Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,4,5.0,3,0,BRA,2.0,BOYD J,0 - 4,397,CAN,6:37,Goal,1
Action shot,4,2.0,3,0,BRA,2.0,CRIVELLA J,0 - 4,374,BRA,6:14,Saved,0
Extra player shot,4,8.0,3,1,BRA,2.0,SILVA F,1 - 4,318,BRA,5:18,Goal,1
Action shot,4,10.0,3,1,BRA,2.0,CONWAY J,1 - 4,282,CAN,4:42,Saved,0
Action shot,4,8.0,3,2,BRA,2.0,SILVA F,2 - 4,238,BRA,3:58,Goal,1
5m shot,4,5.0,3,2,BRA,2.0,BOYD J,2 - 4,214,CAN,3:34,Missed,0
Extra player shot,5,10.0,3,2,BRA,2.0,CONWAY J,2 - 5,155,CAN,2:35,Goal,1
5m shot,5,10.0,3,2,BRA,2.0,PERRONE F,2 - 5,127,BRA,2:07,Saved,0
Counter attack,6,5.0,3,2,BRA,2.0,BOYD J,2 - 6,104,CAN,1:44,Goal,1
Penalty shot,6,6.0,3,2,BRA,2.0,GOMES B,2 - 6,84,BRA,1:24,Saved,0
5m shot,6,8.0,3,2,BRA,2.0,GRAHAM K,2 - 6,52,CAN,0:52,Saved,0
Extra player shot,6,6.0,3,3,BRA,2.0,GOMES B,3 - 6,16,BRA,0:16,Goal,1
5m shot,6,10.0,3,3,BRA,2.0,PERRONE F,3 - 6,1,BRA,0:01,Missed,0
Counter attack,7,12.0,3,3,BRA,3.0,MCELROY J,3 - 7,442,CAN,7:22,Goal,1
5m shot,7,5.0,3,3,BRA,3.0,SALEMI P,3 - 7,418,BRA,6:58,Missed,0
5m shot,7,7.0,3,3,BRA,3.0,TASCHEREAU A,3 - 7,389,CAN,6:29,Blocked,0
Action shot,7,6.0,3,3,BRA,3.0,GOMES B,3 - 7,315,BRA,5:15,Saved,0
Action shot,7,7.0,3,3,BRA,3.0,DELGADO A,3 - 7,269,BRA,4:29,Blocked,0
Extra player shot,7,5.0,3,3,BRA,3.0,BOYD J,3 - 7,227,CAN,3:47,Saved,0
5m shot,7,5.0,3,3,BRA,3.0,SALEMI P,3 - 7,197,BRA,3:17,Saved,0
Counter attack,7,10.0,3,4,BRA,3.0,PERRONE F,4 - 7,169,BRA,2:49,Goal,1
Extra player shot,8,3.0,3,4,BRA,3.0,VIKALO O,4 - 8,141,CAN,2:21,Goal,1
Action shot,8,7.0,3,4,BRA,3.0,DELGADO A,4 - 8,119,BRA,1:59,Blocked,0
Extra player shot,8,3.0,3,5,BRA,3.0,GOMES G,5 - 8,95,BRA,1:35,Goal,1
Extra player shot,8,5.0,3,5,BRA,3.0,BOYD J,5 - 8,59,CAN,0:59,Blocked,0
Extra player shot,9,7.0,3,5,BRA,3.0,TASCHEREAU A,5 - 9,1,CAN,0:01,Goal,1
Centre shot,9,12.0,3,5,BRA,4.0,VRLIC J,5 - 9,458,BRA,7:38,Saved,0
Action shot,9,2.0,3,5,BRA,4.0,CRIVELLA J,5 - 9,409,BRA,6:49,Saved,0
Action shot,9,5.0,3,5,BRA,4.0,BOYD J,5 - 9,350,CAN,5:50,Missed,0
Action shot,9,9.0,3,5,BRA,4.0,ROCHA B,5 - 9,332,BRA,5:32,Missed,0
Action shot,9,7.0,3,5,BRA,4.0,DELGADO A,5 - 9,271,BRA,4:31,Saved,0
5m shot,9,10.0,3,5,BRA,4.0,CONWAY J,5 - 9,252,CAN,4:12,Missed,0
Action shot,9,7.0,3,5,BRA,4.0,DELGADO A,5 - 9,238,BRA,3:58,Saved,0
Extra player shot,9,12.0,3,5,BRA,4.0,MCELROY J,5 - 9,195,CAN,3:15,Saved,0
Action shot,10,6.0,3,5,BRA,4.0,LAPINS D,5 - 10,158,CAN,2:38,Goal,1
Action shot,10,12.0,3,6,BRA,4.0,VRLIC J,6 - 10,127,BRA,2:07,Goal,1
Action shot,10,12.0,3,6,BRA,4.0,VRLIC J,6 - 10,12,BRA,0:12,Saved,0
5m shot,0,2.0,4,0,ITA,1.0,KUDABA C,0 - 0,432,CAN,7:12,Post,0
Action shot,0,2.0,4,0,ITA,1.0,KUDABA C,0 - 0,296,CAN,4:56,Missed,0
5m shot,0,8.0,4,0,ITA,1.0,GRAHAM K,0 - 0,215,CAN,3:35,Saved,0
5m shot,0,2.0,4,0,ITA,1.0,KUDABA C,0 - 0,188,CAN,3:08,Blocked,0
Extra player shot,0,9.0,4,1,ITA,1.0,GITTO N,0 - 1,160,ITA,2:40,Goal,1
Extra player shot,0,12.0,4,1,ITA,1.0,MCELROY J,0 - 1,133,CAN,2:13,Saved,0
Action shot,0,4.0,4,1,ITA,1.0,FIGLIOLI P,0 - 1,108,ITA,1:48,Blocked,0
Action shot,0,8.0,4,1,ITA,1.0,GRAHAM K,0 - 1,80,CAN,1:20,Saved,0
Counter attack,0,8.0,4,1,ITA,1.0,PRESCIUTTI N,0 - 1,55,ITA,0:55,Saved,0
5m shot,0,8.0,4,1,ITA,1.0,GRAHAM K,0 - 1,37,CAN,0:37,Saved,0
Centre shot,0,5.0,4,2,ITA,1.0,GIORGETTI A,0 - 2,20,ITA,0:20,Goal,1
5m shot,0,10.0,4,2,ITA,1.0,CONWAY J,0 - 2,5,CAN,0:05,Post,0
5m shot,0,2.0,4,2,ITA,1.0,DI FULVIO F,0 - 2,0,ITA,0:00,Saved,0
Penalty shot,0,10.0,4,2,ITA,2.0,CONWAY J,0 - 2,439,CAN,7:19,Saved,0
5m shot,0,11.0,4,2,ITA,2.0,TORAKIS G,0 - 2,381,CAN,6:21,Saved,0
5m shot,1,11.0,4,2,ITA,2.0,TORAKIS G,1 - 2,361,CAN,6:01,Goal,1
Extra player shot,1,3.0,4,2,ITA,2.0,VELOTTO A,1 - 2,319,ITA,5:19,Saved,0
5m shot,1,5.0,4,2,ITA,2.0,GIORGETTI A,1 - 2,265,ITA,4:25,Missed,0
5m shot,1,10.0,4,2,ITA,2.0,LUONGO S,1 - 2,220,ITA,3:40,Post,0
Action shot,1,10.0,4,2,ITA,2.0,CONWAY J,1 - 2,149,CAN,2:29,Saved,0
5m shot,1,11.0,4,2,ITA,2.0,TORAKIS G,1 - 2,124,CAN,2:04,Post,0
Centre shot,1,11.0,4,3,ITA,2.0,AICARDI M,1 - 3,97,ITA,1:37,Goal,1
5m shot,1,5.0,4,3,ITA,2.0,BOYD J,1 - 3,70,CAN,1:10,Post,0
5m shot,1,8.0,4,3,ITA,2.0,GRAHAM K,1 - 3,2,CAN,0:02,Post,0
5m shot,1,5.0,4,3,ITA,3.0,BOYD J,1 - 3,429,CAN,7:09,Saved,0
5m shot,1,10.0,4,3,ITA,3.0,LUONGO S,1 - 3,382,ITA,6:22,Missed,0
Extra player shot,1,5.0,4,3,ITA,3.0,BOYD J,1 - 3,350,CAN,5:50,Saved,0
5m shot,1,11.0,4,3,ITA,3.0,TORAKIS G,1 - 3,264,CAN,4:24,Blocked,0
Action shot,1,11.0,4,3,ITA,3.0,AICARDI M,1 - 3,243,ITA,4:03,Saved,0
Extra player shot,2,2.0,4,3,ITA,3.0,KUDABA C,2 - 3,214,CAN,3:34,Goal,1
Action shot,2,5.0,4,3,ITA,3.0,GIORGETTI A,2 - 3,191,ITA,3:11,Saved,0
Action shot,2,5.0,4,4,ITA,3.0,GIORGETTI A,2 - 4,132,ITA,2:12,Goal,1
5m shot,2,4.0,4,5,ITA,3.0,FIGLIOLI P,2 - 5,95,ITA,1:35,Goal,1
Action shot,2,10.0,4,5,ITA,3.0,CONWAY J,2 - 5,1,CAN,0:01,Missed,0
5m shot,2,9.0,4,5,ITA,4.0,GITTO N,2 - 5,451,ITA,7:31,Post,0
Extra player shot,2,12.0,4,5,ITA,4.0,MCELROY J,2 - 5,421,CAN,7:01,Post,0
Extra player shot,2,9.0,4,6,ITA,4.0,GITTO N,2 - 6,393,ITA,6:33,Goal,1
5m shot,2,5.0,4,6,ITA,4.0,BOYD J,2 - 6,370,CAN,6:10,Saved,0
Action shot,2,8.0,4,6,ITA,4.0,GRAHAM K,2 - 6,351,CAN,5:51,Blocked,0
Action shot,2,12.0,4,7,ITA,4.0,BARALDI F,2 - 7,324,ITA,5:24,Goal,1
Penalty shot,2,12.0,4,7,ITA,4.0,MCELROY J,2 - 7,296,CAN,4:56,Saved,0
5m shot,2,9.0,4,7,ITA,4.0,HALAJIAN M,2 - 7,279,CAN,4:39,Saved,0
5m shot,2,6.0,4,7,ITA,4.0,FONDELLI A,2 - 7,245,ITA,4:05,Post,0
5m shot,2,10.0,4,7,ITA,4.0,LUONGO S,2 - 7,149,ITA,2:29,Saved,0
Action shot,2,7.0,4,7,ITA,4.0,TASCHEREAU A,2 - 7,72,CAN,1:12,Missed,0
Extra player shot,2,3.0,4,8,ITA,4.0,VELOTTO A,2 - 8,52,ITA,0:52,Goal,1
Action shot,2,6.0,4,8,ITA,4.0,FONDELLI A,2 - 8,8,ITA,0:08,Post,0
5m shot,0,2.0,5,0,KAZ,1.0,KUDABA C,0 - 0,453,CAN,7:33,Missed,0
Action shot,0,3.0,5,1,KAZ,1.0,AXENOV A,0 - 1,410,KAZ,6:50,Goal,1
Action shot,1,4.0,5,1,KAZ,1.0,CONSTANTIN-BICARI,1 - 1,391,CAN,6:31,Goal,1
Extra player shot,1,12.0,5,1,KAZ,1.0,MCELROY J,1 - 1,322,CAN,5:22,Missed,0
5m shot,1,2.0,5,1,KAZ,1.0,GUBAREV S,1 - 1,294,KAZ,4:54,Missed,0
Action shot,1,3.0,5,1,KAZ,1.0,VIKALO O,1 - 1,278,CAN,4:38,Missed,0
Counter attack,1,5.0,5,1,KAZ,1.0,BOYD J,1 - 1,246,CAN,4:06,Saved,0
Counter attack,1,8.0,5,1,KAZ,1.0,GRAHAM K,1 - 1,205,CAN,3:25,Saved,0
Action shot,1,6.0,5,1,KAZ,1.0,SHMIDER A,1 - 1,169,KAZ,2:49,Saved,0
5m shot,1,5.0,5,1,KAZ,1.0,BOYD J,1 - 1,152,CAN,2:32,Saved,0
5m shot,1,3.0,5,2,KAZ,1.0,AXENOV A,1 - 2,107,KAZ,1:47,Goal,1
Extra player shot,1,3.0,5,2,KAZ,1.0,AXENOV A,1 - 2,6,KAZ,0:06,Post,0
Action shot,1,10.0,5,2,KAZ,1.0,CONWAY J,1 - 2,1,CAN,0:01,Saved,0
5m shot,1,12.0,5,2,KAZ,2.0,MCELROY J,1 - 2,459,CAN,7:39,Saved,0
Action shot,1,10.0,5,2,KAZ,2.0,CONWAY J,1 - 2,386,CAN,6:26,Saved,0
Action shot,1,2.0,5,2,KAZ,2.0,GUBAREV S,1 - 2,366,KAZ,6:06,Missed,0
Counter attack,1,8.0,5,2,KAZ,2.0,GRAHAM K,1 - 2,350,CAN,5:50,Saved,0
Extra player shot,1,4.0,5,2,KAZ,2.0,PILIPENKO R,1 - 2,307,KAZ,5:07,Missed,0
Action shot,2,8.0,5,2,KAZ,2.0,GRAHAM K,2 - 2,285,CAN,4:45,Goal,1
Action shot,2,12.0,5,2,KAZ,2.0,PEKOVICH B,2 - 2,263,KAZ,4:23,Saved,0
Extra player shot,3,10.0,5,2,KAZ,2.0,CONWAY J,3 - 2,236,CAN,3:56,Goal,1
