Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,6.0,10,6,8,RUS,3.0,SIMANOVICH A,10 - 8,227,RUS,3:47,Goal,1
Extra player shot,10.0,11,6,8,RUS,3.0,TARRAGO R,11 - 8,161,ESP,2:41,Goal,1
5m shot,11.0,11,6,8,RUS,3.0,IVANOVA E,11 - 8,40,RUS,0:40,Missed,0
Action shot,12.0,12,6,8,RUS,3.0,LOPEZ L,12 - 8,14,ESP,0:14,Goal,1
Penalty shot,3.0,12,6,9,RUS,4.0,PROKOFYEVA E,12 - 9,458,RUS,7:38,Goal,1
Centre shot,11.0,13,6,9,RUS,4.0,GARCIA M,13 - 9,439,ESP,7:19,Goal,1
Action shot,8.0,13,6,9,RUS,4.0,ABDRIZIAKOVA E,13 - 9,414,RUS,6:54,Blocked,0
Extra player shot,3.0,13,6,9,RUS,4.0,ESPAR A,13 - 9,375,ESP,6:15,Saved,0
Extra player shot,7.0,13,6,9,RUS,4.0,LISUNOVA E,13 - 9,285,RUS,4:45,Saved,0
Counter attack,6.0,14,6,9,RUS,4.0,PAREJA J,14 - 9,270,ESP,4:30,Goal,1
Extra player shot,7.0,14,6,9,RUS,4.0,LISUNOVA E,14 - 9,239,RUS,3:59,Saved,0
Extra player shot,11.0,14,6,9,RUS,4.0,IVANOVA E,14 - 9,171,RUS,2:51,Blocked,0
Action shot,9.0,14,6,9,RUS,4.0,FORCA J,14 - 9,67,ESP,1:07,Saved,0
Counter attack,10.0,15,6,10,RUS,4.0,TARRAGO R,15 - 10,34,ESP,0:34,Goal,1
Extra player shot,8.0,15,6,10,RUS,4.0,ABDRIZIAKOVA E,15 - 10,11,RUS,0:11,Missed,0
