Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time
Action shot - Blocked,12.0,2,1,CRO,2.0,GARCIA GADEA J,3,3 - 1,330,CRO,5:30
5m shot - Blocked,2.0,2,1,CRO,2.0,LAZAREV N,3,3 - 1,302,RUS,5:02
Turnover foul,10.0,2,1,CRO,2.0,KRAPIC I,3,3 - 1,281,CRO,4:41
Turnover foul,8.0,2,1,CRO,2.0,NAGAEV I,3,3 - 1,258,RUS,4:18
Steal,9.0,2,1,CRO,2.0,SUKNO S,3,3 - 1,258,CRO,4:18
20 sec. exclusion in centre,10.0,2,1,CRO,2.0,KHOLOD D,3,3 - 1,243,RUS,4:03
Extra player shot - Goal,5.0,2,2,CRO,2.0,JOKOVIC M,3,3 - 2,240,CRO,4:00
20 sec. exclusion in centre,8.0,2,2,CRO,2.0,BUSLJE A,3,3 - 2,217,CRO,3:37
Extra player shot - Saved,4.0,2,2,CRO,2.0,DEREVIANKIN N,3,3 - 2,202,RUS,3:22
Turnover foul,2.0,2,2,CRO,2.0,MACAN M,3,3 - 2,184,CRO,3:04
Steal,12.0,2,2,CRO,2.0,SHEPELEV R,3,3 - 2,184,RUS,3:04
Action shot - Goal,8.0,2,2,CRO,2.0,NAGAEV I,4,4 - 2,164,RUS,2:44
Centre shot - Blocked,4.0,2,2,CRO,2.0,LONCAR L,4,4 - 2,142,CRO,2:22
Turnover foul,13.0,2,2,CRO,2.0,STATSENKO V,4,4 - 2,134,RUS,2:14
Steal,5.0,2,2,CRO,2.0,JOKOVIC M,4,4 - 2,134,CRO,2:14
Counter attack - Goal,11.0,2,3,CRO,2.0,SETKA A,4,4 - 3,124,CRO,2:04
20 sec. exclusion in field,3.0,2,3,CRO,2.0,FATOVIC L,4,4 - 3,107,CRO,1:47
Action shot - Goal,5.0,2,3,CRO,2.0,BUGAYCHUK A,5,5 - 3,85,RUS,1:25
Turnover foul,4.0,2,3,CRO,2.0,LONCAR L,5,5 - 3,63,CRO,1:03
Centre shot - Goal,11.0,2,3,CRO,2.0,LISUNOV S,6,6 - 3,37,RUS,0:37
Time-Out,,2,3,CRO,2.0,,6,6 - 3,37,CRO,0:37
20 sec. exclusion in field,12.0,2,3,CRO,2.0,SHEPELEV R,6,6 - 3,23,RUS,0:23
Action shot - Missed,2.0,2,3,CRO,4.0,LAZAREV N,6,6 - 3,36,RUS,0:36
20 sec. exclusion in centre,10.0,2,3,CRO,4.0,KHOLOD D,6,6 - 3,9,RUS,0:09
Exclusion with substitution,10.0,2,3,CRO,4.0,KHOLOD D,6,6 - 3,9,RUS,0:09
Extra player shot - Goal,9.0,2,4,CRO,2.0,SUKNO S,6,6 - 4,10,CRO,0:10
Starting goalkeeper,13.0,2,4,CRO,3.0,STATSENKO V,6,6 - 4,480,RUS,8:00
Starting goalkeeper,1.0,2,4,CRO,3.0,BIJAC M,6,6 - 4,480,CRO,8:00
Sprint won possession,10.0,2,4,CRO,3.0,KHOLOD D,6,6 - 4,480,RUS,8:00
Turnover foul,2.0,2,4,CRO,3.0,LAZAREV N,6,6 - 4,452,RUS,7:32
Steal,9.0,2,4,CRO,3.0,SUKNO S,6,6 - 4,452,CRO,7:32
5m shot - Saved,11.0,2,4,CRO,3.0,SETKA A,6,6 - 4,423,CRO,7:03
Action shot - Saved,2.0,2,4,CRO,3.0,LAZAREV N,6,6 - 4,402,RUS,6:42
20 sec. exclusion in field,11.0,2,4,CRO,3.0,LISUNOV S,6,6 - 4,397,RUS,6:37
Action shot - Goal,5.0,2,5,CRO,3.0,JOKOVIC M,6,6 - 5,373,CRO,6:13
5m shot - Missed,2.0,2,5,CRO,3.0,LAZAREV N,6,6 - 5,340,RUS,5:40
Turnover foul,4.0,2,5,CRO,3.0,LONCAR L,6,6 - 5,319,CRO,5:19
Turnover foul,4.0,2,5,CRO,3.0,DEREVIANKIN N,6,6 - 5,296,RUS,4:56
20 sec. exclusion in centre,2.0,2,5,CRO,3.0,LAZAREV N,6,6 - 5,281,RUS,4:41
Extra player shot - Goal,5.0,2,6,CRO,3.0,JOKOVIC M,6,6 - 6,278,CRO,4:38
20 sec. exclusion in centre,6.0,2,6,CRO,3.0,BULJUBASIC I,6,6 - 6,258,CRO,4:18
Extra player shot - Blocked,2.0,2,6,CRO,3.0,LAZAREV N,6,6 - 6,244,RUS,4:04
Counter attack - Saved,3.0,2,6,CRO,3.0,FATOVIC L,6,6 - 6,231,CRO,3:51
5m shot - Saved,7.0,2,6,CRO,3.0,MERKULOV D,6,6 - 6,206,RUS,3:26
Turnover foul,10.0,2,6,CRO,3.0,KRAPIC I,6,6 - 6,186,CRO,3:06
Centre shot - Saved,11.0,2,6,CRO,3.0,LISUNOV S,6,6 - 6,158,RUS,2:38
5m shot - Goal,3.0,2,7,CRO,3.0,FATOVIC L,6,6 - 7,136,CRO,2:16
20 sec. exclusion in centre,8.0,2,7,CRO,3.0,BUSLJE A,6,6 - 7,107,CRO,1:47
Extra player shot - Goal,11.0,2,7,CRO,3.0,LISUNOV S,7,7 - 7,89,RUS,1:29
20 sec. exclusion in centre,9.0,2,7,CRO,3.0,SUCHKOV I,7,7 - 7,59,RUS,0:59
Time-Out,,2,7,CRO,3.0,,7,7 - 7,59,CRO,0:59
Action shot - Goal,9.0,2,8,CRO,3.0,SUKNO S,7,7 - 8,35,CRO,0:35
20 sec. exclusion in centre,2.0,2,8,CRO,3.0,MACAN M,7,7 - 8,8,CRO,0:08
Extra player shot - Saved,10.0,2,8,CRO,3.0,KHOLOD D,7,7 - 8,1,RUS,0:01
Starting goalkeeper,13.0,2,8,CRO,4.0,STATSENKO V,7,7 - 8,480,RUS,8:00
Starting goalkeeper,1.0,2,8,CRO,4.0,BIJAC M,7,7 - 8,480,CRO,8:00
Sprint won possession,10.0,2,8,CRO,4.0,KHOLOD D,7,7 - 8,480,RUS,8:00
5m shot - Missed,10.0,2,8,CRO,4.0,KHOLOD D,7,7 - 8,451,RUS,7:31
Action shot - Post,9.0,2,8,CRO,4.0,SUKNO S,7,7 - 8,422,CRO,7:02
Turnover foul,10.0,2,8,CRO,4.0,KHOLOD D,7,7 - 8,393,RUS,6:33
Steal,10.0,2,8,CRO,4.0,KRAPIC I,7,7 - 8,393,CRO,6:33
20 sec. exclusion in centre,4.0,2,8,CRO,4.0,DEREVIANKIN N,7,7 - 8,372,RUS,6:12
Extra player shot - Saved,11.0,2,8,CRO,4.0,SETKA A,7,7 - 8,350,CRO,5:50
5m shot - Post,12.0,2,8,CRO,4.0,SHEPELEV R,7,7 - 8,326,RUS,5:26
20 sec. exclusion in field,7.0,2,8,CRO,4.0,MERKULOV D,7,7 - 8,311,RUS,5:11
Extra player shot - Goal,5.0,2,9,CRO,4.0,JOKOVIC M,7,7 - 9,308,CRO,5:08
20 sec. exclusion in field,3.0,2,9,CRO,4.0,FATOVIC L,7,7 - 9,287,CRO,4:47
Extra player shot - Post,7.0,2,9,CRO,4.0,MERKULOV D,7,7 - 9,271,RUS,4:31
20 sec. exclusion in centre,6.0,2,9,CRO,4.0,ASHAEV A,7,7 - 9,252,RUS,4:12
Turnover foul,4.0,2,9,CRO,4.0,LONCAR L,7,7 - 9,227,CRO,3:47
Steal,2.0,2,9,CRO,4.0,LAZAREV N,7,7 - 9,227,RUS,3:47
5m shot - Saved,7.0,2,9,CRO,4.0,MERKULOV D,7,7 - 9,201,RUS,3:21
Penalty foul,8.0,2,9,CRO,4.0,BUSLJE A,7,7 - 9,184,CRO,3:04
Exclusion with substitution,8.0,2,9,CRO,4.0,BUSLJE A,7,7 - 9,184,CRO,3:04
Yellow card,,2,9,CRO,4.0,Team Official,7,7 - 9,184,CRO,3:04
Penalty shot - Goal,7.0,2,9,CRO,4.0,MERKULOV D,8,8 - 9,184,RUS,3:04
Turnover foul,6.0,2,9,CRO,4.0,ASHAEV A,8,8 - 9,160,RUS,2:40
Red card,,2,9,CRO,4.0,Team Official,8,8 - 9,151,CRO,2:31
20 sec. exclusion in centre,6.0,2,9,CRO,4.0,BULJUBASIC I,8,8 - 9,147,CRO,2:27
Exclusion with substitution,6.0,2,9,CRO,4.0,BULJUBASIC I,8,8 - 9,147,CRO,2:27
Extra player shot - Saved,9.0,2,9,CRO,4.0,SUCHKOV I,8,8 - 9,130,RUS,2:10
20 sec. exclusion in centre,8.0,2,9,CRO,4.0,NAGAEV I,8,8 - 9,103,RUS,1:43
Time-Out,,2,9,CRO,4.0,,8,8 - 9,103,CRO,1:43
Action shot - Goal,4.0,2,10,CRO,4.0,LONCAR L,8,8 - 10,82,CRO,1:22
20 sec. exclusion in centre,2.0,2,10,CRO,4.0,MACAN M,8,8 - 10,61,CRO,1:01
Time-Out,,2,10,CRO,4.0,,8,8 - 10,61,RUS,1:01
Exclusion with substitution,4.0,2,10,CRO,4.0,LONCAR L,8,8 - 10,1,CRO,0:01
20 sec. exclusion in field,4.0,2,10,CRO,4.0,LONCAR L,8,8 - 10,1,CRO,0:01
Starting goalkeeper,1.0,3,0,USA,1.0,BARON M,0,0 - 0,480,USA,8:00
Starting goalkeeper,13.0,3,0,USA,1.0,STATSENKO V,0,0 - 0,480,RUS,8:00
Sprint won possession,2.0,3,0,USA,1.0,HOOPER J,0,0 - 0,480,USA,8:00
5m shot - Post,6.0,3,0,USA,1.0,CUPIDO L,0,0 - 0,457,USA,7:37
20 sec. exclusion in field,5.0,3,0,USA,1.0,HALLOCK B,0,0 - 0,457,USA,7:37
Turnover foul,2.0,3,0,USA,1.0,LAZAREV N,0,0 - 0,434,RUS,7:14
Steal,1.0,3,0,USA,1.0,BARON M,0,0 - 0,434,USA,7:14
Turnover foul,2.0,3,0,USA,1.0,HOOPER J,0,0 - 0,420,USA,7:00
Steal,8.0,3,0,USA,1.0,NAGAEV I,0,0 - 0,420,RUS,7:00
5m shot - Saved,2.0,3,0,USA,1.0,LAZAREV N,0,0 - 0,391,RUS,6:31
Turnover foul,1.0,3,0,USA,1.0,BARON M,0,0 - 0,374,USA,6:14
Steal,10.0,3,0,USA,1.0,KHOLOD D,0,0 - 0,374,RUS,6:14
Action shot - Saved,2.0,3,0,USA,1.0,LAZAREV N,0,0 - 0,366,RUS,6:06
5m shot - Goal,11.0,3,1,USA,1.0,ROELSE A,0,1 - 0,347,USA,5:47
