Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
Extra player shot,8.0,4,2,ESP,1.0,NAGAEV I,3,2 - 3,7,RUS,0:07,Goal,1
5m shot,11.0,4,2,ESP,1.0,MALLARACH GUELL B,3,2 - 3,4,ESP,0:04,Blocked,0
Extra player shot,11.0,4,2,ESP,2.0,LISUNOV S,4,2 - 4,425,RUS,7:05,Goal,1
Extra player shot,2.0,4,3,ESP,2.0,MUNARRIZ EGANA A,4,3 - 4,382,ESP,6:22,Goal,1
5m shot,2.0,4,3,ESP,2.0,MUNARRIZ EGANA A,4,3 - 4,333,ESP,5:33,Blocked,0
Extra player shot,4.0,4,3,ESP,2.0,DEREVIANKIN N,5,3 - 5,287,RUS,4:47,Goal,1
5m shot,8.0,4,3,ESP,2.0,NAGAEV I,5,3 - 5,231,RUS,3:51,Saved,0
Extra player shot,6.0,4,4,ESP,2.0,MINGUELL ALFEREZ M,5,4 - 5,217,ESP,3:37,Goal,1
Action shot,7.0,4,4,ESP,2.0,BARROSO MACARRO A,5,4 - 5,172,ESP,2:52,Saved,0
5m shot,2.0,4,4,ESP,2.0,MUNARRIZ EGANA A,5,4 - 5,117,ESP,1:57,Saved,0
5m shot,7.0,4,4,ESP,2.0,BARROSO MACARRO A,5,4 - 5,95,ESP,1:35,Post,0
5m shot,2.0,4,4,ESP,2.0,LAZAREV N,5,4 - 5,58,RUS,0:58,Saved,0
Action shot,6.0,4,4,ESP,2.0,MINGUELL ALFEREZ M,5,4 - 5,43,ESP,0:43,Missed,0
Counter attack,11.0,4,4,ESP,2.0,LISUNOV S,6,4 - 6,35,RUS,0:35,Goal,1
5m shot,8.0,4,4,ESP,2.0,NAGAEV I,7,4 - 7,3,RUS,0:03,Goal,1
5m shot,11.0,4,4,ESP,2.0,MALLARACH GUELL B,7,4 - 7,1,ESP,0:01,Saved,0
5m shot,5.0,4,4,ESP,3.0,BUGAYCHUK A,7,4 - 7,425,RUS,7:05,Missed,0
Extra player shot,11.0,4,4,ESP,3.0,MALLARACH GUELL B,7,4 - 7,398,ESP,6:38,Saved,0
Action shot,11.0,4,4,ESP,3.0,MALLARACH GUELL B,7,4 - 7,386,ESP,6:26,Saved,0
5m shot,2.0,4,4,ESP,3.0,LAZAREV N,7,4 - 7,357,RUS,5:57,Saved,0
5m shot,8.0,4,5,ESP,3.0,ESPANOL LIFANTE A,7,5 - 7,326,ESP,5:26,Goal,1
5m shot,9.0,4,5,ESP,3.0,SUCHKOV I,7,5 - 7,302,RUS,5:02,Saved,0
Centre shot,11.0,4,5,ESP,3.0,LISUNOV S,8,5 - 8,277,RUS,4:37,Goal,1
5m shot,8.0,4,6,ESP,3.0,ESPANOL LIFANTE A,8,6 - 8,205,ESP,3:25,Goal,1
Centre shot,9.0,4,7,ESP,3.0,TAHULL COMPTE R,8,7 - 8,157,ESP,2:37,Goal,1
5m shot,7.0,4,7,ESP,3.0,MERKULOV D,9,7 - 9,135,RUS,2:15,Goal,1
Centre shot,9.0,4,7,ESP,3.0,TAHULL COMPTE R,9,7 - 9,111,ESP,1:51,Missed,0
5m shot,7.0,4,7,ESP,3.0,MERKULOV D,9,7 - 9,87,RUS,1:27,Missed,0
Action shot,8.0,4,7,ESP,3.0,ESPANOL LIFANTE A,9,7 - 9,74,ESP,1:14,Missed,0
Extra player shot,4.0,4,7,ESP,3.0,DEREVIANKIN N,10,7 - 10,32,RUS,0:32,Goal,1
5m shot,2.0,4,7,ESP,3.0,MUNARRIZ EGANA A,10,7 - 10,14,ESP,0:14,Post,0
5m shot,6.0,4,7,ESP,3.0,MINGUELL ALFEREZ M,10,7 - 10,1,ESP,0:01,Saved,0
5m shot,8.0,4,7,ESP,4.0,ESPANOL LIFANTE A,10,7 - 10,431,ESP,7:11,Blocked,0
Extra player shot,5.0,4,7,ESP,4.0,BUGAYCHUK A,11,7 - 11,392,RUS,6:32,Goal,1
Extra player shot,9.0,4,8,ESP,4.0,TAHULL COMPTE R,11,8 - 11,319,ESP,5:19,Goal,1
Extra player shot,8.0,4,8,ESP,4.0,NAGAEV I,11,8 - 11,279,RUS,4:39,Saved,0
Action shot,6.0,4,8,ESP,4.0,MINGUELL ALFEREZ M,11,8 - 11,245,ESP,4:05,Missed,0
Action shot,8.0,4,8,ESP,4.0,NAGAEV I,11,8 - 11,187,RUS,3:07,Post,0
Centre shot,5.0,4,8,ESP,4.0,BUSTOS SANCHEZ A,11,8 - 11,165,ESP,2:45,Post,0
5m shot,10.0,4,9,ESP,4.0,FERNANDEZ MIRANDA,11,9 - 11,132,ESP,2:12,Goal,1
Extra player shot,9.0,4,10,ESP,4.0,TAHULL COMPTE R,11,10 - 11,1,ESP,0:01,Goal,1
Extra player shot,6.0,5,1,HUN,1.0,HOSNYANSZKY N,0,1 - 0,421,HUN,7:01,Goal,1
Action shot,7.0,5,1,HUN,1.0,MERKULOV D,0,1 - 0,395,RUS,6:35,Saved,0
Extra player shot,11.0,5,1,HUN,1.0,LISUNOV S,0,1 - 0,358,RUS,5:58,Blocked,0
Action shot,9.0,5,1,HUN,1.0,ERDELYI B,0,1 - 0,332,HUN,5:32,Blocked,0
Action shot,8.0,5,1,HUN,1.0,NAGAEV I,0,1 - 0,312,RUS,5:12,Saved,0
5m shot,10.0,5,2,HUN,1.0,VARGA D,0,2 - 0,241,HUN,4:01,Goal,1
Action shot,8.0,5,2,HUN,1.0,NAGAEV I,0,2 - 0,203,RUS,3:23,Missed,0
Centre shot,3.0,5,2,HUN,1.0,MANHERCZ K,0,2 - 0,192,HUN,3:12,Saved,0
Action shot,12.0,5,2,HUN,1.0,SHEPELEV R,0,2 - 0,166,RUS,2:46,Post,0
Action shot,3.0,5,3,HUN,1.0,MANHERCZ K,0,3 - 0,140,HUN,2:20,Goal,1
5m shot,6.0,5,4,HUN,1.0,HOSNYANSZKY N,0,4 - 0,106,HUN,1:46,Goal,1
Action shot,7.0,5,4,HUN,1.0,MERKULOV D,0,4 - 0,79,RUS,1:19,Post,0
Extra player shot,5.0,5,5,HUN,1.0,VAMOS M,0,5 - 0,42,HUN,0:42,Goal,1
Extra player shot,4.0,5,5,HUN,1.0,DEREVIANKIN N,0,5 - 0,4,RUS,0:04,Saved,0
Centre shot,6.0,5,5,HUN,1.0,ASHAEV A,0,5 - 0,1,RUS,0:01,Saved,0
5m shot,9.0,5,5,HUN,2.0,SUCHKOV I,0,5 - 0,411,RUS,6:51,Saved,0
5m shot,10.0,5,6,HUN,2.0,VARGA D,0,6 - 0,374,HUN,6:14,Goal,1
5m shot,10.0,5,6,HUN,2.0,KHOLOD D,0,6 - 0,349,RUS,5:49,Post,0
Extra player shot,8.0,5,6,HUN,2.0,NAGAEV I,1,6 - 1,317,RUS,5:17,Goal,1
5m shot,6.0,5,6,HUN,2.0,HOSNYANSZKY N,1,6 - 1,289,HUN,4:49,Missed,0
Action shot,10.0,5,6,HUN,2.0,KHOLOD D,1,6 - 1,263,RUS,4:23,Saved,0
Extra player shot,7.0,5,6,HUN,2.0,DECKER A,1,6 - 1,212,HUN,3:32,Missed,0
5m shot,10.0,5,6,HUN,2.0,KHOLOD D,1,6 - 1,189,RUS,3:09,Saved,0
Extra player shot,2.0,5,6,HUN,2.0,LAZAREV N,1,6 - 1,161,RUS,2:41,Saved,0
5m shot,5.0,5,7,HUN,2.0,VAMOS M,1,7 - 1,128,HUN,2:08,Goal,1
5m shot,8.0,5,7,HUN,2.0,NAGAEV I,1,7 - 1,105,RUS,1:45,Saved,0
Extra player shot,4.0,5,7,HUN,2.0,ZALANKI G,1,7 - 1,73,HUN,1:13,Blocked,0
Action shot,3.0,5,7,HUN,4.0,VASILYEV E,1,7 - 1,90,RUS,1:30,Saved,0
Action shot,5.0,5,7,HUN,4.0,VAMOS M,1,7 - 1,61,HUN,1:01,Missed,0
Action shot,5.0,5,7,HUN,2.0,BUGAYCHUK A,1,7 - 1,45,RUS,0:45,Blocked,0
5m shot,10.0,5,8,HUN,2.0,VARGA D,1,8 - 1,25,HUN,0:25,Goal,1
5m shot,10.0,5,8,HUN,2.0,KHOLOD D,1,8 - 1,5,RUS,0:05,Saved,0
Extra player shot,12.0,5,9,HUN,3.0,HARAI B,1,9 - 1,441,HUN,7:21,Goal,1
Centre shot,11.0,5,9,HUN,3.0,LISUNOV S,1,9 - 1,424,RUS,7:04,Saved,0
Extra player shot,3.0,5,10,HUN,3.0,MANHERCZ K,1,10 - 1,396,HUN,6:36,Goal,1
