Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
Extra player shot,9.0,3,6,KAZ,2.0,UKUMANOV R,0,0 - 6,171,KAZ,2:51,Goal,1
5m shot,11.0,3,6,KAZ,2.0,MOLYNEUX N,1,1 - 6,152,RSA,2:32,Goal,1
Extra player shot,6.0,3,6,KAZ,2.0,SHMIDER A,1,1 - 6,118,KAZ,1:58,Missed,0
5m shot,4.0,3,6,KAZ,2.0,PILIPENKO R,1,1 - 6,67,KAZ,1:07,Saved,0
5m shot,3.0,3,7,KAZ,2.0,AXENOV A,1,1 - 7,23,KAZ,0:23,Goal,1
5m shot,11.0,3,7,KAZ,2.0,MOLYNEUX N,1,1 - 7,1,RSA,0:01,Missed,0
Extra player shot,11.0,3,8,KAZ,3.0,MANAFOV R,1,1 - 8,426,KAZ,7:06,Goal,1
Action shot,2.0,3,8,KAZ,3.0,GUBAREV S,1,1 - 8,382,KAZ,6:22,Blocked,0
Action shot,2.0,3,8,KAZ,3.0,LE ROUX E,1,1 - 8,361,RSA,6:01,Missed,0
Centre shot,7.0,3,8,KAZ,3.0,JAGGA D,2,2 - 8,305,RSA,5:05,Goal,1
Extra player shot,3.0,3,9,KAZ,3.0,AXENOV A,2,2 - 9,266,KAZ,4:26,Goal,1
Counter attack,3.0,3,10,KAZ,3.0,AXENOV A,2,2 - 10,224,KAZ,3:44,Goal,1
Extra player shot,4.0,3,10,KAZ,3.0,BADENHORST I,2,2 - 10,191,RSA,3:11,Missed,0
Counter attack,6.0,3,11,KAZ,3.0,SHMIDER A,2,2 - 11,179,KAZ,2:59,Goal,1
Extra player shot,11.0,3,11,KAZ,3.0,MOLYNEUX N,2,2 - 11,145,RSA,2:25,Blocked,0
Counter attack,2.0,3,11,KAZ,3.0,GUBAREV S,2,2 - 11,85,KAZ,1:25,Post,0
Action shot,10.0,3,11,KAZ,3.0,LE ROUX P,2,2 - 11,53,RSA,0:53,Saved,0
Extra player shot,11.0,3,11,KAZ,3.0,MOLYNEUX N,2,2 - 11,29,RSA,0:29,Saved,0
Action shot,5.0,3,12,KAZ,3.0,USHAKOV V,2,2 - 12,8,KAZ,0:08,Goal,1
Action shot,2.0,3,13,KAZ,4.0,GUBAREV S,2,2 - 13,380,KAZ,6:20,Goal,1
Action shot,3.0,3,13,KAZ,4.0,CARD D,2,2 - 13,358,RSA,5:58,Post,0
Action shot,4.0,3,13,KAZ,4.0,BADENHORST I,2,2 - 13,320,RSA,5:20,Missed,0
Counter attack,2.0,3,13,KAZ,4.0,GUBAREV S,2,2 - 13,305,KAZ,5:05,Saved,0
Counter attack,2.0,3,14,KAZ,4.0,GUBAREV S,2,2 - 14,267,KAZ,4:27,Goal,1
5m shot,6.0,3,14,KAZ,4.0,DE CARVALHO J,3,3 - 14,241,RSA,4:01,Goal,1
Action shot,7.0,3,14,KAZ,4.0,JAGGA D,3,3 - 14,194,RSA,3:14,Saved,0
5m shot,4.0,3,14,KAZ,4.0,BADENHORST I,3,3 - 14,146,RSA,2:26,Blocked,0
Action shot,12.0,3,14,KAZ,4.0,BOHATA W,3,3 - 14,88,RSA,1:28,Saved,0
Action shot,3.0,3,14,KAZ,4.0,AXENOV A,3,3 - 14,67,KAZ,1:07,Saved,0
Extra player shot,12.0,3,14,KAZ,4.0,BOHATA W,3,3 - 14,28,RSA,0:28,Post,0
Centre shot,12.0,3,14,KAZ,4.0,BOHATA W,3,3 - 14,17,RSA,0:17,Saved,0
5m shot,6.0,3,14,KAZ,4.0,SHMIDER A,3,3 - 14,0,KAZ,0:00,Missed,0
Centre shot,9.0,4,0,AUS,1.0,SWIFT J,0,0 - 0,399,AUS,6:39,Saved,0
5m shot,10.0,4,0,AUS,1.0,LE ROUX P,0,0 - 0,372,RSA,6:12,Saved,0
Centre shot,9.0,4,0,AUS,1.0,SWIFT J,0,0 - 0,351,AUS,5:51,Saved,0
Extra player shot,6.0,4,0,AUS,1.0,GILCHRIST J,0,0 - 0,322,AUS,5:22,Saved,0
Action shot,2.0,4,1,AUS,1.0,CAMPBELL R,0,0 - 1,314,AUS,5:14,Goal,1
Counter attack,10.0,4,2,AUS,1.0,EMERY M,0,0 - 2,285,AUS,4:45,Goal,1
Counter attack,10.0,4,3,AUS,1.0,EMERY M,0,0 - 3,254,AUS,4:14,Goal,1
Action shot,10.0,4,3,AUS,1.0,LE ROUX P,0,0 - 3,234,RSA,3:54,Saved,0
Action shot,11.0,4,3,AUS,1.0,HOWDEN R,0,0 - 3,216,AUS,3:36,Saved,0
Action shot,2.0,4,3,AUS,1.0,LE ROUX E,1,1 - 3,178,RSA,2:58,Goal,1
Extra player shot,8.0,4,4,AUS,1.0,YOUNGER A,1,1 - 4,138,AUS,2:18,Goal,1
Action shot,7.0,4,4,AUS,1.0,ROACH A,1,1 - 4,96,AUS,1:36,Post,0
Counter attack,7.0,4,5,AUS,1.0,ROACH A,1,1 - 5,50,AUS,0:50,Goal,1
5m shot,8.0,4,5,AUS,1.0,WINGATE-PEARSE J,1,1 - 5,21,RSA,0:21,Saved,0
Penalty shot,6.0,4,6,AUS,2.0,GILCHRIST J,1,1 - 6,464,AUS,7:44,Goal,1
Counter attack,5.0,4,6,AUS,2.0,POWER N,1,1 - 6,419,AUS,6:59,Saved,0
Counter attack,12.0,4,6,AUS,2.0,MARTIN T,1,1 - 6,374,AUS,6:14,Saved,0
Centre shot,12.0,4,7,AUS,2.0,MARTIN T,1,1 - 7,322,AUS,5:22,Goal,1
5m shot,2.0,4,7,AUS,2.0,LE ROUX E,1,1 - 7,278,RSA,4:38,Saved,0
Action shot,8.0,4,8,AUS,2.0,YOUNGER A,1,1 - 8,264,AUS,4:24,Goal,1
Action shot,11.0,4,8,AUS,2.0,MOLYNEUX N,1,1 - 8,193,RSA,3:13,Blocked,0
Action shot,7.0,4,9,AUS,2.0,ROACH A,1,1 - 9,171,AUS,2:51,Goal,1
5m shot,11.0,4,9,AUS,2.0,MOLYNEUX N,1,1 - 9,144,RSA,2:24,Missed,0
5m shot,5.0,4,9,AUS,2.0,HOCK N,1,1 - 9,97,RSA,1:37,Saved,0
Extra player shot,12.0,4,10,AUS,2.0,MARTIN T,1,1 - 10,58,AUS,0:58,Goal,1
Penalty shot,11.0,4,10,AUS,2.0,MOLYNEUX N,1,1 - 10,31,RSA,0:31,Post,0
Action shot,10.0,4,11,AUS,2.0,EMERY M,1,1 - 11,3,AUS,0:03,Goal,1
5m shot,10.0,4,11,AUS,3.0,LE ROUX P,1,1 - 11,422,RSA,7:02,Blocked,0
Action shot,5.0,4,11,AUS,3.0,POWER N,1,1 - 11,403,AUS,6:43,Post,0
Action shot,2.0,4,11,AUS,3.0,LE ROUX E,1,1 - 11,326,RSA,5:26,Saved,0
Action shot,12.0,4,11,AUS,3.0,MARTIN T,1,1 - 11,312,AUS,5:12,Blocked,0
5m shot,2.0,4,11,AUS,3.0,CAMPBELL R,1,1 - 11,260,AUS,4:20,Missed,0
5m shot,2.0,4,11,AUS,3.0,LE ROUX E,1,1 - 11,168,RSA,2:48,Missed,0
Extra player shot,8.0,4,12,AUS,3.0,YOUNGER A,1,1 - 12,145,AUS,2:25,Goal,1
Action shot,3.0,4,13,AUS,3.0,FORD G,1,1 - 13,61,AUS,1:01,Goal,1
5m shot,4.0,4,13,AUS,3.0,BADENHORST I,1,1 - 13,31,RSA,0:31,Saved,0
Action shot,6.0,4,13,AUS,3.0,GILCHRIST J,1,1 - 13,19,AUS,0:19,Missed,0
5m shot,12.0,4,13,AUS,3.0,BOHATA W,1,1 - 13,4,RSA,0:04,Missed,0
5m shot,4.0,4,13,AUS,4.0,BADENHORST I,1,1 - 13,421,RSA,7:01,Blocked,0
5m shot,2.0,4,13,AUS,4.0,CAMPBELL R,1,1 - 13,394,AUS,6:34,Saved,0
5m shot,4.0,4,13,AUS,4.0,BADENHORST I,1,1 - 13,363,RSA,6:03,Missed,0
5m shot,10.0,4,13,AUS,4.0,LE ROUX P,1,1 - 13,343,RSA,5:43,Missed,0
Action shot,6.0,4,13,AUS,4.0,GILCHRIST J,1,1 - 13,299,AUS,4:59,Saved,0
Extra player shot,9.0,4,14,AUS,4.0,SWIFT J,1,1 - 14,231,AUS,3:51,Goal,1
Action shot,8.0,4,14,AUS,4.0,YOUNGER A,1,1 - 14,186,AUS,3:06,Saved,0
Counter attack,8.0,4,15,AUS,4.0,YOUNGER A,1,1 - 15,90,AUS,1:30,Goal,1
5m shot,8.0,4,15,AUS,4.0,WINGATE-PEARSE J,1,1 - 15,59,RSA,0:59,Blocked,0
Centre shot,10.0,4,15,AUS,4.0,LE ROUX P,1,1 - 15,59,RSA,0:59,Saved,0
Counter attack,6.0,4,16,AUS,4.0,GILCHRIST J,1,1 - 16,38,AUS,0:38,Goal,1
Counter attack,7.0,4,17,AUS,4.0,ROACH A,1,1 - 17,3,AUS,0:03,Goal,1
5m shot,4.0,4,17,AUS,4.0,BADENHORST I,1,1 - 17,0,RSA,0:00,Missed,0
5m shot,3.0,5,0,BRA,1.0,CARD D,1,0 - 1,450,RSA,7:30,Goal,1
Extra player shot,7.0,5,1,BRA,1.0,DELGADO A,1,1 - 1,426,BRA,7:06,Goal,1
5m shot,2.0,5,1,BRA,1.0,LE ROUX E,2,1 - 2,410,RSA,6:50,Goal,1
Extra player shot,7.0,5,1,BRA,1.0,DELGADO A,2,1 - 2,386,BRA,6:26,Saved,0
Extra player shot,12.0,5,2,BRA,1.0,VRLIC J,2,2 - 2,377,BRA,6:17,Goal,1
5m shot,6.0,5,2,BRA,1.0,GOMES B,2,2 - 2,319,BRA,5:19,Post,0
Action shot,2.0,5,2,BRA,1.0,LE ROUX E,2,2 - 2,297,RSA,4:57,Saved,0
Counter attack,12.0,5,3,BRA,1.0,VRLIC J,2,3 - 2,292,BRA,4:52,Goal,1
Action shot,7.0,5,3,BRA,1.0,JAGGA D,2,3 - 2,258,RSA,4:18,Saved,0
Counter attack,9.0,5,3,BRA,1.0,ROCHA B,2,3 - 2,244,BRA,4:04,Saved,0
5m shot,3.0,5,3,BRA,1.0,GOMES G,2,3 - 2,230,BRA,3:50,Saved,0
Extra player shot,9.0,5,4,BRA,1.0,ROCHA B,2,4 - 2,204,BRA,3:24,Goal,1
Counter attack,11.0,5,4,BRA,1.0,MOLYNEUX N,3,4 - 3,141,RSA,2:21,Goal,1
Extra player shot,10.0,5,5,BRA,1.0,PERRONE F,3,5 - 3,105,BRA,1:45,Goal,1
Counter attack,10.0,5,6,BRA,1.0,PERRONE F,3,6 - 3,84,BRA,1:24,Goal,1
5m shot,12.0,5,6,BRA,1.0,VRLIC J,3,6 - 3,52,BRA,0:52,Saved,0
Counter attack,7.0,5,7,BRA,1.0,DELGADO A,3,7 - 3,41,BRA,0:41,Goal,1
Centre shot,12.0,5,7,BRA,1.0,VRLIC J,3,7 - 3,5,BRA,0:05,Saved,0
5m shot,6.0,5,7,BRA,2.0,GOMES B,3,7 - 3,436,BRA,7:16,Post,0
Penalty shot,10.0,5,7,BRA,2.0,LE ROUX P,4,7 - 4,401,RSA,6:41,Goal,1
Centre shot,12.0,5,8,BRA,2.0,VRLIC J,4,8 - 4,379,BRA,6:19,Goal,1
Action shot,7.0,5,8,BRA,2.0,DELGADO A,4,8 - 4,325,BRA,5:25,Saved,0
Action shot,6.0,5,8,BRA,2.0,GOMES B,4,8 - 4,285,BRA,4:45,Saved,0
5m shot,6.0,5,8,BRA,2.0,GOMES B,4,8 - 4,263,BRA,4:23,Saved,0
Action shot,7.0,5,8,BRA,2.0,JAGGA D,5,8 - 5,252,RSA,4:12,Goal,1
5m shot,11.0,5,8,BRA,2.0,GUIMARAES G,5,8 - 5,231,BRA,3:51,Saved,0
Action shot,3.0,5,8,BRA,2.0,GOMES G,5,8 - 5,172,BRA,2:52,Blocked,0
Counter attack,10.0,5,8,BRA,2.0,PERRONE F,5,8 - 5,138,BRA,2:18,Blocked,0
5m shot,3.0,5,8,BRA,2.0,GOMES G,5,8 - 5,131,BRA,2:11,Blocked,0
Counter attack,11.0,5,9,BRA,2.0,GUIMARAES G,5,9 - 5,101,BRA,1:41,Goal,1
5m shot,10.0,5,9,BRA,2.0,PERRONE F,5,9 - 5,51,BRA,0:51,Post,0
5m shot,5.0,5,9,BRA,2.0,HOCK N,5,9 - 5,0,RSA,0:00,Saved,0
Extra player shot,12.0,5,10,BRA,3.0,VRLIC J,5,10 - 5,455,BRA,7:35,Goal,1
5m shot,8.0,5,10,BRA,3.0,WINGATE-PEARSE J,5,10 - 5,426,RSA,7:06,Saved,0
Centre shot,12.0,5,10,BRA,3.0,VRLIC J,5,10 - 5,408,BRA,6:48,Saved,0
5m shot,7.0,5,10,BRA,3.0,DELGADO A,5,10 - 5,386,BRA,6:26,Post,0
Action shot,6.0,5,10,BRA,3.0,GOMES B,5,10 - 5,348,BRA,5:48,Post,0
Action shot,10.0,5,10,BRA,3.0,PERRONE F,5,10 - 5,307,BRA,5:07,Post,0
Action shot,5.0,5,10,BRA,3.0,HOCK N,5,10 - 5,269,RSA,4:29,Saved,0
Centre shot,12.0,5,10,BRA,3.0,VRLIC J,5,10 - 5,247,BRA,4:07,Saved,0
Extra player shot,8.0,5,10,BRA,3.0,WINGATE-PEARSE J,5,10 - 5,198,RSA,3:18,Missed,0
Counter attack,10.0,5,10,BRA,3.0,PERRONE F,5,10 - 5,189,BRA,3:09,Post,0
Action shot,10.0,5,10,BRA,3.0,LE ROUX P,5,10 - 5,167,RSA,2:47,Saved,0
Action shot,5.0,5,10,BRA,3.0,SALEMI P,5,10 - 5,145,BRA,2:25,Post,0
Extra player shot,10.0,5,11,BRA,3.0,PERRONE F,5,11 - 5,105,BRA,1:45,Goal,1
5m shot,11.0,5,11,BRA,3.0,MOLYNEUX N,5,11 - 5,77,RSA,1:17,Missed,0
Action shot,5.0,5,11,BRA,3.0,SALEMI P,5,11 - 5,50,BRA,0:50,Blocked,0
5m shot,2.0,5,11,BRA,3.0,LE ROUX E,5,11 - 5,19,RSA,0:19,Saved,0
Extra player shot,6.0,5,12,BRA,3.0,GOMES B,5,12 - 5,3,BRA,0:03,Goal,1
Action shot,12.0,5,13,BRA,4.0,VRLIC J,5,13 - 5,461,BRA,7:41,Goal,1
Action shot,6.0,5,13,BRA,4.0,GOMES B,5,13 - 5,417,BRA,6:57,Saved,0
Extra player shot,2.0,5,14,BRA,4.0,CRIVELLA J,5,14 - 5,356,BRA,5:56,Goal,1
Action shot,11.0,5,14,BRA,4.0,MOLYNEUX N,5,14 - 5,326,RSA,5:26,Post,0
Action shot,10.0,5,14,BRA,4.0,PERRONE F,5,14 - 5,298,BRA,4:58,Blocked,0
5m shot,5.0,5,14,BRA,4.0,SALEMI P,5,14 - 5,255,BRA,4:15,Saved,0
Extra player shot,10.0,5,14,BRA,4.0,LE ROUX P,5,14 - 5,216,RSA,3:36,Saved,0
Action shot,3.0,5,15,BRA,4.0,GOMES G,5,15 - 5,161,BRA,2:41,Goal,1
Counter attack,10.0,5,16,BRA,4.0,PERRONE F,5,16 - 5,132,BRA,2:12,Goal,1
Action shot,10.0,5,16,BRA,4.0,PERRONE F,5,16 - 5,76,BRA,1:16,Saved,0
