Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
Action shot - Goal,10.0,2,15,HUN,4.0,VARGA D,4,4 - 15,164,HUN,2:44
Turnover foul,10.0,2,15,HUN,4.0,LE ROUX P,4,4 - 15,139,RSA,2:19
Steal,8.0,2,15,HUN,4.0,SZIVOS M,4,4 - 15,139,HUN,2:19
Counter attack - Goal,4.0,2,16,HUN,4.0,ERDELYI B,4,4 - 16,79,HUN,1:19
Action shot - Goal,4.0,2,17,HUN,4.0,ERDELYI B,4,4 - 17,37,HUN,0:37
5m shot - Saved,8.0,2,17,HUN,4.0,SZIVOS M,4,4 - 17,0,HUN,0:00
Starting goalkeeper,1.0,3,0,KAZ,1.0,FLATSCHER D,0,0 - 0,480,RSA,8:00
Starting goalkeeper,1.0,3,0,KAZ,1.0,FEDOROV A,0,0 - 0,480,KAZ,8:00
Sprint won possession,11.0,3,0,KAZ,1.0,MOLYNEUX N,0,0 - 0,480,RSA,8:00
Turnover foul,6.0,3,0,KAZ,1.0,DE CARVALHO J,0,0 - 0,462,RSA,7:42
Counter attack - Goal,2.0,3,1,KAZ,1.0,GUBAREV S,0,0 - 1,455,KAZ,7:35
Turnover foul,8.0,3,1,KAZ,1.0,WINGATE-PEARSE J,0,0 - 1,426,RSA,7:06
Centre shot - Goal,12.0,3,2,KAZ,1.0,PEKOVICH B,0,0 - 2,398,KAZ,6:38
Turnover foul,11.0,3,2,KAZ,1.0,MOLYNEUX N,0,0 - 2,374,RSA,6:14
20 sec. exclusion in centre,2.0,3,2,KAZ,1.0,LE ROUX E,0,0 - 2,354,RSA,5:54
Extra player shot - Goal,3.0,3,3,KAZ,1.0,AXENOV A,0,0 - 3,351,KAZ,5:51
20 sec. exclusion in centre,8.0,3,3,KAZ,1.0,KOLIADENKO A,0,0 - 3,335,KAZ,5:35
5m shot - Saved,10.0,3,3,KAZ,1.0,LE ROUX P,0,0 - 3,314,RSA,5:14
5m shot - Goal,3.0,3,4,KAZ,1.0,AXENOV A,0,0 - 4,292,KAZ,4:52
Time-Out,,3,4,KAZ,1.0,,0,0 - 4,292,RSA,4:52
20 sec. exclusion in centre,4.0,3,4,KAZ,1.0,PILIPENKO R,0,0 - 4,267,KAZ,4:27
Extra player shot - Post,6.0,3,4,KAZ,1.0,DE CARVALHO J,0,0 - 4,244,RSA,4:04
Extra player shot - Saved,8.0,3,4,KAZ,1.0,WINGATE-PEARSE J,0,0 - 4,233,RSA,3:53
20 sec. exclusion in centre,11.0,3,4,KAZ,1.0,MOLYNEUX N,0,0 - 4,221,RSA,3:41
Action shot - Blocked,5.0,3,4,KAZ,1.0,USHAKOV V,0,0 - 4,204,KAZ,3:24
20 sec. exclusion in centre,6.0,3,4,KAZ,1.0,DE CARVALHO J,0,0 - 4,161,RSA,2:41
Turnover foul,9.0,3,4,KAZ,1.0,UKUMANOV R,0,0 - 4,132,KAZ,2:12
Action shot - Saved,10.0,3,4,KAZ,1.0,LE ROUX P,0,0 - 4,123,RSA,2:03
Action shot - Missed,2.0,3,4,KAZ,1.0,GUBAREV S,0,0 - 4,96,KAZ,1:36
20 sec. exclusion in field,9.0,3,4,KAZ,1.0,UKUMANOV R,0,0 - 4,81,KAZ,1:21
Action shot - Missed,8.0,3,4,KAZ,1.0,WINGATE-PEARSE J,0,0 - 4,56,RSA,0:56
Time-Out,,3,4,KAZ,1.0,,0,0 - 4,56,KAZ,0:56
Turnover foul,12.0,3,4,KAZ,1.0,BOHATA W,0,0 - 4,36,RSA,0:36
Steal,1.0,3,4,KAZ,1.0,FEDOROV A,0,0 - 4,36,KAZ,0:36
Turnover foul,6.0,3,4,KAZ,1.0,DE CARVALHO J,0,0 - 4,3,RSA,0:03
Steal,12.0,3,4,KAZ,1.0,PEKOVICH B,0,0 - 4,3,KAZ,0:03
Starting goalkeeper,1.0,3,4,KAZ,2.0,FLATSCHER D,0,0 - 4,480,RSA,8:00
Starting goalkeeper,1.0,3,4,KAZ,2.0,FEDOROV A,0,0 - 4,480,KAZ,8:00
