Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,6.0,4,5,4,KAZ,2.0,HOSNYANSZKY N,5 - 4,291,HUN,4:51,Saved,0
Action shot,2.0,4,5,5,KAZ,2.0,GUBAREV S,5 - 5,256,KAZ,4:16,Goal,1
Action shot,6.0,4,6,5,KAZ,2.0,HOSNYANSZKY N,6 - 5,240,HUN,4:00,Goal,1
Action shot,2.0,4,7,5,KAZ,2.0,GOR-NAGY M,7 - 5,201,HUN,3:21,Goal,1
Action shot,3.0,4,7,5,KAZ,2.0,MADARAS N,7 - 5,165,HUN,2:45,Saved,0
Extra player shot,3.0,4,8,5,KAZ,2.0,MADARAS N,8 - 5,107,HUN,1:47,Goal,1
5m shot,4.0,4,8,5,KAZ,2.0,BATORI B,8 - 5,68,HUN,1:08,Post,0
Extra player shot,8.0,4,9,5,KAZ,2.0,SZIVOS M,9 - 5,5,HUN,0:05,Goal,1
5m shot,7.0,4,9,5,KAZ,2.0,USHAKOV V,9 - 5,1,KAZ,0:01,Saved,0
Action shot,5.0,4,9,5,KAZ,3.0,VAMOS M,9 - 5,455,HUN,7:35,Post,0
Action shot,8.0,4,9,5,KAZ,3.0,KOLIADENKO A,9 - 5,433,KAZ,7:13,Saved,0
Extra player shot,10.0,4,10,5,KAZ,3.0,VARGA D,10 - 5,401,HUN,6:41,Goal,1
5m shot,7.0,4,10,5,KAZ,3.0,USHAKOV V,10 - 5,373,KAZ,6:13,Missed,0
Action shot,3.0,4,11,5,KAZ,3.0,MADARAS N,11 - 5,353,HUN,5:53,Goal,1
Action shot,5.0,4,12,5,KAZ,3.0,VAMOS M,12 - 5,307,HUN,5:07,Goal,1
Action shot,6.0,4,12,5,KAZ,3.0,SHMIDER A,12 - 5,281,KAZ,4:41,Saved,0
Action shot,9.0,4,12,5,KAZ,3.0,VARGA D,12 - 5,247,HUN,4:07,Post,0
Action shot,9.0,4,12,5,KAZ,3.0,UKUMANOV R,12 - 5,222,KAZ,3:42,Saved,0
Extra player shot,11.0,4,13,5,KAZ,3.0,BEDO K,13 - 5,182,HUN,3:02,Goal,1
Extra player shot,8.0,4,13,5,KAZ,3.0,KOLIADENKO A,13 - 5,141,KAZ,2:21,Saved,0
Action shot,3.0,4,13,6,KAZ,3.0,MEDVEDEV Y,13 - 6,135,KAZ,2:15,Goal,1
Extra player shot,12.0,4,13,6,KAZ,3.0,HARAI B,13 - 6,102,HUN,1:42,Saved,0
Extra player shot,6.0,4,14,6,KAZ,3.0,HOSNYANSZKY N,14 - 6,51,HUN,0:51,Goal,1
5m shot,2.0,4,14,6,KAZ,3.0,GUBAREV S,14 - 6,21,KAZ,0:21,Saved,0
Action shot,4.0,4,15,6,KAZ,3.0,BATORI B,15 - 6,1,HUN,0:01,Goal,1
5m shot,7.0,4,15,6,KAZ,3.0,USHAKOV V,15 - 6,1,KAZ,0:01,Saved,0
