Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,9.0,6,2,9,AUS,3.0,FORD A,6 - 9,145,AUS,2:25,Saved,0
5m shot,6.0,6,2,9,AUS,3.0,SIMON T,6 - 9,115,FRA,1:55,Saved,0
5m shot,8.0,6,2,9,AUS,3.0,YOUNGER A,6 - 9,89,AUS,1:29,Blocked,0
Extra player shot,7.0,7,2,9,AUS,3.0,CROUSILLAT U,7 - 9,57,FRA,0:57,Goal,1
5m shot,3.0,7,2,9,AUS,3.0,KOVACEVIC I,7 - 9,10,FRA,0:10,Blocked,0
5m shot,8.0,7,2,9,AUS,3.0,YOUNGER A,7 - 9,1,AUS,0:01,Saved,0
5m shot,11.0,7,2,10,AUS,4.0,HOLLIS L,7 - 10,451,AUS,7:31,Goal,1
Action shot,3.0,7,2,10,AUS,4.0,KOVACEVIC I,7 - 10,422,FRA,7:02,Missed,0
Centre shot,6.0,7,2,10,AUS,4.0,EDWARDS L,7 - 10,393,AUS,6:33,Saved,0
Centre shot,12.0,7,2,10,AUS,4.0,CAMARASA A,7 - 10,364,FRA,6:04,Saved,0
Action shot,9.0,7,2,10,AUS,4.0,MARZOUKI M,7 - 10,349,FRA,5:49,Saved,0
Centre shot,12.0,8,2,10,AUS,4.0,CAMARASA A,8 - 10,343,FRA,5:43,Goal,1
Extra player shot,3.0,9,2,10,AUS,4.0,KOVACEVIC I,9 - 10,282,FRA,4:42,Goal,1
Centre shot,7.0,9,2,10,AUS,4.0,GILCHRIST J,9 - 10,256,AUS,4:16,Missed,0
Action shot,7.0,9,2,10,AUS,4.0,CROUSILLAT U,9 - 10,237,FRA,3:57,Post,0
5m shot,6.0,9,2,10,AUS,4.0,SIMON T,9 - 10,152,FRA,2:32,Saved,0
Extra player shot,6.0,10,2,11,AUS,4.0,SIMON T,10 - 11,15,FRA,0:15,Goal,1
5m shot,9.0,0,3,0,HUN,1.0,MARZOUKI M,0 - 0,427,FRA,7:07,Blocked,0
Action shot,5.0,0,3,1,HUN,1.0,VAMOS M,0 - 1,417,HUN,6:57,Goal,1
Extra player shot,9.0,0,3,2,HUN,1.0,ERDELYI B,0 - 2,371,HUN,6:11,Goal,1
5m shot,7.0,0,3,2,HUN,1.0,CROUSILLAT U,0 - 2,348,FRA,5:48,Saved,0
Extra player shot,10.0,0,3,3,HUN,1.0,VARGA D,0 - 3,314,HUN,5:14,Goal,1
5m shot,5.0,0,3,4,HUN,1.0,VAMOS M,0 - 4,249,HUN,4:09,Goal,1
Action shot,12.0,0,3,4,HUN,1.0,CAMARASA A,0 - 4,237,FRA,3:57,Missed,0
Action shot,4.0,0,3,5,HUN,1.0,ZALANKI G,0 - 5,219,HUN,3:39,Goal,1
Extra player shot,4.0,0,3,6,HUN,1.0,ZALANKI G,0 - 6,151,HUN,2:31,Goal,1
Action shot,8.0,0,3,6,HUN,1.0,IZDINSKY M,0 - 6,124,FRA,2:04,Blocked,0
Action shot,8.0,1,3,6,HUN,1.0,IZDINSKY M,1 - 6,84,FRA,1:24,Goal,1
Extra player shot,11.0,1,3,6,HUN,1.0,PEISSON M,1 - 6,21,FRA,0:21,Missed,0
Action shot,5.0,1,3,6,HUN,2.0,VAMOS M,1 - 6,436,HUN,7:16,Missed,0
Action shot,4.0,1,3,6,HUN,2.0,PIOT L,1 - 6,366,FRA,6:06,Blocked,0
Action shot,3.0,1,3,6,HUN,2.0,MANHERCZ K,1 - 6,355,HUN,5:55,Saved,0
Extra player shot,3.0,1,3,7,HUN,2.0,MANHERCZ K,1 - 7,324,HUN,5:24,Goal,1
Extra player shot,12.0,2,3,7,HUN,2.0,CAMARASA A,2 - 7,283,FRA,4:43,Goal,1
Action shot,10.0,2,3,7,HUN,2.0,VARGA D,2 - 7,252,HUN,4:12,Saved,0
Penalty shot,9.0,3,3,7,HUN,2.0,MARZOUKI M,3 - 7,225,FRA,3:45,Goal,1
Centre shot,2.0,3,3,7,HUN,2.0,SAUDADIER R,3 - 7,190,FRA,3:10,Saved,0
Extra player shot,5.0,3,3,8,HUN,2.0,VAMOS M,3 - 8,157,HUN,2:37,Goal,1
5m shot,7.0,3,3,8,HUN,2.0,CROUSILLAT U,3 - 8,129,FRA,2:09,Blocked,0
5m shot,6.0,3,3,8,HUN,4.0,HOSNYANSZKY N,3 - 8,239,HUN,3:59,Blocked,0
Action shot,6.0,3,3,8,HUN,4.0,SIMON T,3 - 8,210,FRA,3:30,Saved,0
5m shot,6.0,3,3,8,HUN,4.0,SIMON T,3 - 8,153,FRA,2:33,Saved,0
Extra player shot,3.0,3,3,8,HUN,4.0,MANHERCZ K,3 - 8,114,HUN,1:54,Saved,0
Centre shot,11.0,3,3,8,HUN,2.0,MEZEI T,3 - 8,35,HUN,0:35,Saved,0
5m shot,9.0,4,3,8,HUN,2.0,MARZOUKI M,4 - 8,10,FRA,0:10,Goal,1
Action shot,5.0,4,3,8,HUN,2.0,VAMOS M,4 - 8,1,HUN,0:01,Saved,0
Extra player shot,6.0,4,3,9,HUN,3.0,HOSNYANSZKY N,4 - 9,447,HUN,7:27,Goal,1
5m shot,3.0,4,3,9,HUN,3.0,KOVACEVIC I,4 - 9,422,FRA,7:02,Missed,0
5m shot,10.0,4,3,9,HUN,3.0,VARGA D,4 - 9,344,HUN,5:44,Missed,0
Counter attack,10.0,4,3,10,HUN,3.0,VARGA D,4 - 10,324,HUN,5:24,Goal,1
