Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Extra player shot - Goal,9.0,5,2,4,AUS,1.0,MARZOUKI M,5 - 4,6,FRA,0:06
Time-Out,,5,2,4,AUS,1.0,,5 - 4,6,AUS,0:06
Starting goalkeeper,1.0,5,2,4,AUS,2.0,GARSAU R,5 - 4,480,FRA,8:00
Starting goalkeeper,13.0,5,2,4,AUS,2.0,HRYSANTHOS A,5 - 4,480,AUS,8:00
Sprint won possession,7.0,5,2,4,AUS,2.0,GILCHRIST J,5 - 4,480,AUS,8:00
Action shot - Saved,5.0,5,2,4,AUS,2.0,POWER N,5 - 4,451,AUS,7:31
5m shot - Saved,9.0,5,2,4,AUS,2.0,MARZOUKI M,5 - 4,419,FRA,6:59
Action shot - Saved,10.0,5,2,4,AUS,2.0,LAVERSANNE M,5 - 4,419,FRA,6:59
20 sec. exclusion in centre,9.0,5,2,4,AUS,2.0,MARZOUKI M,5 - 4,378,FRA,6:18
Action shot - Goal,4.0,5,2,5,AUS,2.0,KAYES J,5 - 5,354,AUS,5:54
5m shot - Missed,9.0,5,2,5,AUS,2.0,MARZOUKI M,5 - 5,334,FRA,5:34
Action shot - Saved,8.0,5,2,5,AUS,2.0,YOUNGER A,5 - 5,323,AUS,5:23
5m shot - Post,9.0,5,2,5,AUS,2.0,MARZOUKI M,5 - 5,291,FRA,4:51
20 sec. exclusion in centre,3.0,5,2,5,AUS,2.0,KOVACEVIC I,5 - 5,267,FRA,4:27
Time-Out,,5,2,5,AUS,2.0,,5 - 5,267,AUS,4:27
5m shot - Blocked,8.0,5,2,5,AUS,2.0,YOUNGER A,5 - 5,251,AUS,4:11
Turnover foul,2.0,5,2,5,AUS,2.0,SAUDADIER R,5 - 5,231,FRA,3:51
Steal,12.0,5,2,5,AUS,2.0,BROOKS N,5 - 5,231,AUS,3:51
Turnover foul,4.0,5,2,5,AUS,2.0,KAYES J,5 - 5,231,AUS,3:51
Steal,6.0,5,2,5,AUS,2.0,SIMON T,5 - 5,231,FRA,3:51
5m shot - Post,7.0,5,2,5,AUS,2.0,CROUSILLAT U,5 - 5,231,FRA,3:51
20 sec. exclusion in centre,6.0,5,2,5,AUS,2.0,SIMON T,5 - 5,154,FRA,2:34
Action shot - Goal,12.0,5,2,6,AUS,2.0,BROOKS N,5 - 6,133,AUS,2:13
20 sec. exclusion in centre,2.0,5,2,6,AUS,2.0,PUTT T,5 - 6,119,AUS,1:59
20 sec. exclusion in centre,4.0,5,2,6,AUS,2.0,PIOT L,5 - 6,87,FRA,1:27
Exclusion with substitution,4.0,5,2,6,AUS,2.0,PIOT L,5 - 6,87,FRA,1:27
Turnover foul,10.0,5,2,6,AUS,2.0,FANNON J,5 - 6,65,AUS,1:05
Steal,3.0,5,2,6,AUS,2.0,KOVACEVIC I,5 - 6,65,FRA,1:05
5m shot - Goal,9.0,6,2,6,AUS,2.0,MARZOUKI M,6 - 6,40,FRA,0:40
Turnover foul,4.0,6,2,6,AUS,2.0,KAYES J,6 - 6,11,AUS,0:11
Steal,3.0,6,2,6,AUS,2.0,KOVACEVIC I,6 - 6,11,FRA,0:11
Time-Out,,6,2,6,AUS,4.0,,6 - 6,152,AUS,2:32
Yellow card,,6,2,6,AUS,4.0,Team Official,6 - 6,152,FRA,2:32
Turnover foul,9.0,6,2,6,AUS,4.0,FORD A,6 - 6,137,AUS,2:17
Steal,5.0,6,2,6,AUS,4.0,GUILLAUME D,6 - 6,137,FRA,2:17
Action shot - Missed,9.0,6,2,6,AUS,4.0,MARZOUKI M,6 - 6,116,FRA,1:56
5m shot - Goal,6.0,9,2,11,AUS,4.0,EDWARDS L,9 - 11,98,AUS,1:38
