ARG,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
4,5m shot,9.0,4,11,JPN,4.0,TAKEI K,4 - 11,398,JPN,6:38,Goal,1
4,5m shot,11.0,4,11,JPN,4.0,DEMARCHI F,4 - 11,330,ARG,5:30,Saved,0
4,Action shot,9.0,4,12,JPN,4.0,TAKEI K,4 - 12,322,JPN,5:22,Goal,1
4,Action shot,3.0,4,12,JPN,4.0,ARAI A,4 - 12,277,JPN,4:37,Saved,0
5,Action shot,9.0,4,12,JPN,4.0,CARABANTES I,5 - 12,256,ARG,4:16,Goal,1
5,Action shot,8.0,4,12,JPN,4.0,CORSI E,5 - 12,213,ARG,3:33,Saved,0
5,Counter attack,10.0,4,13,JPN,4.0,YASUDA K,5 - 13,173,JPN,2:53,Goal,1
5,Action shot,8.0,4,13,JPN,4.0,CORSI E,5 - 13,147,ARG,2:27,Saved,0
5,Extra player shot,8.0,4,13,JPN,4.0,KADONO Y,5 - 13,118,JPN,1:58,Saved,0
6,Counter attack,11.0,4,13,JPN,4.0,DEMARCHI F,6 - 13,109,ARG,1:49,Goal,1
6,5m shot,11.0,4,13,JPN,4.0,DEMARCHI F,6 - 13,2,ARG,0:02,Saved,0
0,Action shot,11.0,5,1,CHN,1.0,ZHANG C,1 - 0,370,CHN,6:10,Goal,1
0,Extra player shot,6.0,5,2,CHN,1.0,LI L,2 - 0,305,CHN,5:05,Goal,1
0,Action shot,12.0,5,3,CHN,1.0,LIANG N,3 - 0,227,CHN,3:47,Goal,1
0,5m shot,9.0,5,3,CHN,1.0,CARABANTES I,3 - 0,202,ARG,3:22,Saved,0
0,5m shot,11.0,5,4,CHN,1.0,ZHANG C,4 - 0,184,CHN,3:04,Goal,1
0,Action shot,11.0,5,4,CHN,1.0,DEMARCHI F,4 - 0,162,ARG,2:42,Saved,0
0,Counter attack,9.0,5,5,CHN,1.0,XIE Z,5 - 0,151,CHN,2:31,Goal,1
1,5m shot,12.0,5,5,CHN,1.0,YANEZ G,5 - 1,137,ARG,2:17,Goal,1
1,Action shot,4.0,5,5,CHN,1.0,DONG T,5 - 1,111,CHN,1:51,Saved,0
2,Extra player shot,12.0,5,5,CHN,1.0,YANEZ G,5 - 2,89,ARG,1:29,Goal,1
2,Action shot,9.0,5,5,CHN,1.0,XIE Z,5 - 2,41,CHN,0:41,Post,0
2,5m shot,11.0,5,5,CHN,1.0,ZHANG C,5 - 2,26,CHN,0:26,Blocked,0
2,Centre shot,12.0,5,6,CHN,1.0,LIANG N,6 - 2,12,CHN,0:12,Goal,1
2,5m shot,2.0,5,6,CHN,1.0,VEICH R,6 - 2,0,ARG,0:00,Saved,0
3,Centre shot,2.0,5,6,CHN,2.0,VEICH R,6 - 3,442,ARG,7:22,Goal,1
3,Action shot,10.0,5,6,CHN,2.0,CHEN J,6 - 3,422,CHN,7:02,Blocked,0
3,5m shot,5.0,5,7,CHN,2.0,LU W,7 - 3,375,CHN,6:15,Goal,1
4,5m shot,9.0,5,7,CHN,2.0,CARABANTES I,7 - 4,325,ARG,5:25,Goal,1
4,5m shot,2.0,5,7,CHN,2.0,TAN F,7 - 4,302,CHN,5:02,Blocked,0
4,5m shot,12.0,5,7,CHN,2.0,YANEZ G,7 - 4,280,ARG,4:40,Saved,0
4,Counter attack,5.0,5,7,CHN,2.0,LU W,7 - 4,254,CHN,4:14,Missed,0
4,Counter attack,2.0,5,7,CHN,2.0,TAN F,7 - 4,224,CHN,3:44,Saved,0
4,5m shot,6.0,5,7,CHN,2.0,LI L,7 - 4,204,CHN,3:24,Saved,0
5,Extra player shot,12.0,5,7,CHN,2.0,YANEZ G,7 - 5,190,ARG,3:10,Goal,1
5,Counter attack,4.0,5,8,CHN,2.0,DONG T,8 - 5,114,CHN,1:54,Goal,1
5,Counter attack,4.0,5,9,CHN,2.0,DONG T,9 - 5,75,CHN,1:15,Goal,1
6,5m shot,12.0,5,9,CHN,2.0,YANEZ G,9 - 6,60,ARG,1:00,Goal,1
6,5m shot,3.0,5,9,CHN,2.0,HU Z,9 - 6,36,CHN,0:36,Saved,0
6,5m shot,9.0,5,9,CHN,2.0,CARABANTES I,9 - 6,8,ARG,0:08,Missed,0
8,Extra player shot,2.0,5,15,CHN,4.0,TAN F,15 - 8,134,CHN,2:14,Goal,1
