ARG,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
1,Steal,6.0,2,1,KAZ,1.0,BULGHERONI T,1 - 1,319,ARG,5:19
1,20 sec. exclusion in centre,4.0,2,1,KAZ,1.0,PILIPENKO R,1 - 1,310,KAZ,5:10
1,Extra player shot - Saved,12.0,2,1,KAZ,1.0,YANEZ G,1 - 1,293,ARG,4:53
1,Action shot - Goal,3.0,2,2,KAZ,1.0,AXENOV A,2 - 1,280,KAZ,4:40
1,Action shot - Saved,11.0,2,2,KAZ,1.0,DEMARCHI F,2 - 1,253,ARG,4:13
1,Action shot - Goal,4.0,2,3,KAZ,1.0,PILIPENKO R,3 - 1,233,KAZ,3:53
1,Action shot - Saved,5.0,2,3,KAZ,1.0,LOPEZ E,3 - 1,205,ARG,3:25
1,Counter attack - Goal,3.0,2,4,KAZ,1.0,AXENOV A,4 - 1,194,KAZ,3:14
1,Time-Out,,2,4,KAZ,1.0,,4 - 1,194,ARG,3:14
1,Turnover foul,9.0,2,4,KAZ,1.0,CARABANTES I,4 - 1,178,ARG,2:58
1,Steal,2.0,2,4,KAZ,1.0,GUBAREV S,4 - 1,178,KAZ,2:58
1,Turnover foul,2.0,2,4,KAZ,1.0,GUBAREV S,4 - 1,154,KAZ,2:34
1,Steal,9.0,2,4,KAZ,1.0,CARABANTES I,4 - 1,154,ARG,2:34
1,Turnover foul,12.0,2,4,KAZ,1.0,YANEZ G,4 - 1,142,ARG,2:22
1,Steal,13.0,2,4,KAZ,1.0,SHLEMOV V,4 - 1,142,KAZ,2:22
1,20 sec. exclusion in centre,8.0,2,4,KAZ,1.0,CORSI E,4 - 1,130,ARG,2:10
1,Time-Out,,2,4,KAZ,1.0,,4 - 1,130,KAZ,2:10
1,Extra player shot - Saved,3.0,2,4,KAZ,1.0,AXENOV A,4 - 1,107,KAZ,1:47
1,Turnover foul,12.0,2,4,KAZ,1.0,YANEZ G,4 - 1,97,ARG,1:37
2,Counter attack - Goal,12.0,2,4,KAZ,1.0,YANEZ G,4 - 2,96,ARG,1:36
2,5m shot - Post,9.0,2,4,KAZ,1.0,UKUMANOV R,4 - 2,69,KAZ,1:09
2,Turnover foul,12.0,2,4,KAZ,1.0,YANEZ G,4 - 2,57,ARG,0:57
2,20 sec. exclusion in centre,4.0,2,4,KAZ,1.0,MONUTTI A,4 - 2,57,ARG,0:57
2,Extra player shot - Goal,7.0,2,5,KAZ,1.0,SHAKENOV M,5 - 2,36,KAZ,0:36
2,5m shot - Missed,12.0,2,5,KAZ,1.0,YANEZ G,5 - 2,13,ARG,0:13
2,Turnover foul,7.0,2,5,KAZ,1.0,SHAKENOV M,5 - 2,13,KAZ,0:13
2,20 sec. exclusion in centre,6.0,2,5,KAZ,1.0,SHMIDER A,5 - 2,2,KAZ,0:02
2,Starting goalkeeper,13.0,2,5,KAZ,2.0,SHLEMOV V,5 - 2,480,KAZ,8:00
2,Starting goalkeeper,1.0,2,5,KAZ,2.0,MALNERO D,5 - 2,480,ARG,8:00
2,Sprint won possession,7.0,2,5,KAZ,2.0,SHAKENOV M,5 - 2,480,KAZ,8:00
2,Action shot - Post,6.0,2,5,KAZ,2.0,SHMIDER A,5 - 2,451,KAZ,7:31
2,5m shot - Missed,2.0,2,5,KAZ,2.0,VEICH R,5 - 2,422,ARG,7:02
2,5m shot - Saved,2.0,2,5,KAZ,2.0,GUBAREV S,5 - 2,397,KAZ,6:37
2,Turnover foul,11.0,2,5,KAZ,2.0,MANAFOV R,5 - 2,386,KAZ,6:26
2,Turnover foul,7.0,2,5,KAZ,2.0,MONTANE J,5 - 2,371,ARG,6:11
2,20 sec. exclusion in field,11.0,2,5,KAZ,2.0,DEMARCHI F,5 - 2,352,ARG,5:52
2,Extra player shot - Post,6.0,2,5,KAZ,2.0,SHMIDER A,5 - 2,345,KAZ,5:45
2,Extra player shot - Goal,6.0,2,6,KAZ,2.0,SHMIDER A,6 - 2,334,KAZ,5:34
2,20 sec. exclusion in field,8.0,2,6,KAZ,2.0,KOLIADENKO A,6 - 2,315,KAZ,5:15
2,Extra player shot - Saved,12.0,2,6,KAZ,2.0,YANEZ G,6 - 2,295,ARG,4:55
3,Extra player shot - Goal,2.0,2,6,KAZ,2.0,VEICH R,6 - 3,295,ARG,4:55
3,20 sec. exclusion in field,9.0,2,6,KAZ,2.0,UKUMANOV R,6 - 3,269,KAZ,4:29
3,Time-Out,,2,6,KAZ,2.0,,6 - 3,268,ARG,4:28
3,Action shot - Post,12.0,2,6,KAZ,2.0,YANEZ G,6 - 3,242,ARG,4:02
3,Turnover foul,7.0,2,6,KAZ,2.0,SHAKENOV M,6 - 3,237,KAZ,3:57
4,5m shot - Goal,9.0,2,6,KAZ,2.0,CARABANTES I,6 - 4,232,ARG,3:52
4,5m shot - Goal,3.0,2,7,KAZ,2.0,AXENOV A,7 - 4,211,KAZ,3:31
4,Turnover foul,4.0,2,7,KAZ,2.0,MONUTTI A,7 - 4,184,ARG,3:04
