Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,12.0,2,1,3,BRA,1.0,MANTELLATO G,3 - 1,181,BRA,3:01,Goal,1
Penalty shot,6.0,2,1,4,BRA,1.0,CHIAPPINI I,4 - 1,130,BRA,2:10,Goal,1
5m shot,7.0,2,1,4,BRA,1.0,NAKANO Y,4 - 1,108,JPN,1:48,Post,0
5m shot,7.0,2,1,4,BRA,1.0,NAKANO Y,4 - 1,59,JPN,0:59,Post,0
Action shot,6.0,2,2,4,BRA,1.0,TAKAHASHI A,4 - 2,26,JPN,0:26,Goal,1
Action shot,4.0,2,2,4,BRA,2.0,MAGARIYAMA S,4 - 2,437,JPN,7:17,Saved,0
Action shot,3.0,2,2,4,BRA,2.0,ZABLITH M,4 - 2,383,BRA,6:23,Missed,0
5m shot,4.0,2,2,4,BRA,2.0,MAGARIYAMA S,4 - 2,376,JPN,6:16,Missed,0
Action shot,2.0,2,2,4,BRA,2.0,SAKANOUE C,4 - 2,299,JPN,4:59,Saved,0
5m shot,6.0,2,2,5,BRA,2.0,CHIAPPINI I,5 - 2,277,BRA,4:37,Goal,1
5m shot,12.0,2,2,5,BRA,2.0,SUZUKI K,5 - 2,255,JPN,4:15,Saved,0
Action shot,9.0,2,2,5,BRA,2.0,HOSOYA K,5 - 2,211,JPN,3:31,Saved,0
Extra player shot,9.0,2,2,6,BRA,2.0,DIAS M,6 - 2,186,BRA,3:06,Goal,1
Action shot,4.0,2,2,6,BRA,2.0,MAGARIYAMA S,6 - 2,154,JPN,2:34,Saved,0
Action shot,4.0,2,3,6,BRA,2.0,MAGARIYAMA S,6 - 3,109,JPN,1:49,Goal,1
Extra player shot,6.0,2,3,6,BRA,2.0,CHIAPPINI I,6 - 3,22,BRA,0:22,Saved,0
5m shot,7.0,2,3,6,BRA,2.0,NAKANO Y,6 - 3,0,JPN,0:00,Post,0
Counter attack,3.0,2,4,6,BRA,3.0,KAZAMA Y,6 - 4,349,JPN,5:49,Goal,1
Extra player shot,5.0,2,4,6,BRA,3.0,BARRONCAS L,6 - 4,308,BRA,5:08,Saved,0
Action shot,6.0,2,4,7,BRA,3.0,CHIAPPINI I,7 - 4,281,BRA,4:41,Goal,1
Penalty shot,7.0,2,5,7,BRA,3.0,NAKANO Y,7 - 5,250,JPN,4:10,Goal,1
Action shot,8.0,2,5,8,BRA,3.0,CARVALHO L,8 - 5,235,BRA,3:55,Goal,1
5m shot,5.0,2,5,8,BRA,3.0,NAKATA M,8 - 5,212,JPN,3:32,Missed,0
Extra player shot,9.0,2,5,9,BRA,3.0,DIAS M,9 - 5,183,BRA,3:03,Goal,1
Extra player shot,10.0,2,5,9,BRA,3.0,MORI T,9 - 5,146,JPN,2:26,Saved,0
Action shot,7.0,2,6,9,BRA,3.0,NAKANO Y,9 - 6,78,JPN,1:18,Goal,1
Centre shot,12.0,2,6,9,BRA,3.0,SUZUKI K,9 - 6,42,JPN,0:42,Saved,0
Action shot,6.0,2,6,10,BRA,3.0,CHIAPPINI I,10 - 6,37,BRA,0:37,Goal,1
Action shot,3.0,2,6,10,BRA,3.0,KAZAMA Y,10 - 6,30,JPN,0:30,Blocked,0
5m shot,7.0,2,6,11,BRA,4.0,OLIVEIRA A,11 - 6,459,BRA,7:39,Goal,1
5m shot,7.0,2,6,11,BRA,4.0,NAKANO Y,11 - 6,436,JPN,7:16,Post,0
5m shot,4.0,2,6,11,BRA,4.0,MAGARIYAMA S,11 - 6,360,JPN,6:00,Post,0
5m shot,10.0,2,6,11,BRA,4.0,MORI T,11 - 6,311,JPN,5:11,Blocked,0
Action shot,12.0,2,7,11,BRA,4.0,SUZUKI K,11 - 7,157,JPN,2:37,Goal,1
5m shot,3.0,2,8,11,BRA,4.0,KAZAMA Y,11 - 8,43,JPN,0:43,Goal,1
Action shot,6.0,3,0,1,USA,1.0,STEFFENS M,0 - 1,462,USA,7:42,Goal,1
Action shot,6.0,3,0,2,USA,1.0,STEFFENS M,0 - 2,321,USA,5:21,Goal,1
Action shot,8.0,3,0,2,USA,1.0,HASHIGUCHI M,0 - 2,265,JPN,4:25,Saved,0
Extra player shot,4.0,3,0,3,USA,1.0,FATTAL R,0 - 3,143,USA,2:23,Goal,1
Centre shot,12.0,3,0,4,USA,1.0,CRAIG K,0 - 4,61,USA,1:01,Goal,1
Action shot,9.0,3,0,4,USA,1.0,GROSSMAN A,0 - 4,3,USA,0:03,Saved,0
Action shot,11.0,3,0,4,USA,2.0,FISCHER M,0 - 4,464,USA,7:44,Post,0
Action shot,2.0,3,0,5,USA,2.0,MUSSELMAN M,0 - 5,431,USA,7:11,Goal,1
Action shot,10.0,3,0,5,USA,2.0,MORI T,0 - 5,333,JPN,5:33,Saved,0
Action shot,11.0,3,0,6,USA,2.0,FISCHER M,0 - 6,316,USA,5:16,Goal,1
Action shot,6.0,3,0,7,USA,2.0,STEFFENS M,0 - 7,291,USA,4:51,Goal,1
Action shot,8.0,3,0,7,USA,2.0,HASHIGUCHI M,0 - 7,262,JPN,4:22,Missed,0
Action shot,7.0,3,0,7,USA,2.0,NAKANO Y,0 - 7,239,JPN,3:59,Saved,0
Action shot,12.0,3,0,8,USA,2.0,CRAIG K,0 - 8,191,USA,3:11,Goal,1
Action shot,7.0,3,0,8,USA,2.0,NAKANO Y,0 - 8,10,JPN,0:10,Blocked,0
Centre shot,2.0,3,0,8,USA,2.0,MUSSELMAN M,0 - 8,4,USA,0:04,Post,0
Action shot,9.0,3,0,8,USA,3.0,HOSOYA K,0 - 8,446,JPN,7:26,Missed,0
Extra player shot,8.0,3,0,9,USA,3.0,NEUSHUL K,0 - 9,416,USA,6:56,Goal,1
Counter attack,7.0,3,0,10,USA,3.0,MATHEWSON C,0 - 10,384,USA,6:24,Goal,1
Counter attack,6.0,3,0,11,USA,3.0,STEFFENS M,0 - 11,352,USA,5:52,Goal,1
Action shot,12.0,3,0,11,USA,3.0,CRAIG K,0 - 11,263,USA,4:23,Missed,0
Action shot,12.0,3,0,12,USA,3.0,CRAIG K,0 - 12,196,USA,3:16,Goal,1
Counter attack,9.0,3,0,13,USA,3.0,GROSSMAN A,0 - 13,157,USA,2:37,Goal,1
Extra player shot,2.0,3,0,13,USA,3.0,SAKANOUE C,0 - 13,120,JPN,2:00,Saved,0
Action shot,9.0,3,0,14,USA,3.0,GROSSMAN A,0 - 14,104,USA,1:44,Goal,1
Action shot,7.0,3,1,14,USA,3.0,NAKANO Y,1 - 14,74,JPN,1:14,Goal,1
Extra player shot,10.0,3,1,14,USA,3.0,GILCHRIST K,1 - 14,32,USA,0:32,Missed,0
5m shot,6.0,3,1,14,USA,3.0,TAKAHASHI A,1 - 14,13,JPN,0:13,Saved,0
Centre shot,6.0,3,1,14,USA,4.0,STEFFENS M,1 - 14,362,USA,6:02,Post,0
Action shot,7.0,3,1,14,USA,4.0,NAKANO Y,1 - 14,325,JPN,5:25,Blocked,0
Counter attack,7.0,3,2,14,USA,4.0,NAKANO Y,2 - 14,286,JPN,4:46,Goal,1
Action shot,9.0,3,2,15,USA,4.0,GROSSMAN A,2 - 15,276,USA,4:36,Goal,1
Action shot,11.0,3,2,16,USA,4.0,FISCHER M,2 - 16,231,USA,3:51,Goal,1
Action shot,2.0,3,2,17,USA,4.0,MUSSELMAN M,2 - 17,49,USA,0:49,Goal,1
Action shot,3.0,3,2,17,USA,4.0,SEIDEMANN M,2 - 17,1,USA,0:01,Missed,0
Extra player shot,5.0,4,1,0,FRA,1.0,NAKATA M,1 - 0,403,JPN,6:43,Goal,1
Action shot,6.0,4,2,0,FRA,1.0,TAKAHASHI A,2 - 0,355,JPN,5:55,Goal,1
5m shot,7.0,4,2,0,FRA,1.0,NAKANO Y,2 - 0,310,JPN,5:10,Saved,0
Action shot,11.0,4,2,0,FRA,1.0,TOKUMOTO M,2 - 0,248,JPN,4:08,Saved,0
Centre shot,3.0,4,2,0,FRA,1.0,BACHELIER L,2 - 0,224,FRA,3:44,Post,0
Centre shot,7.0,4,3,0,FRA,1.0,NAKANO Y,3 - 0,200,JPN,3:20,Goal,1
5m shot,2.0,4,3,0,FRA,1.0,MILLOT E,3 - 0,148,FRA,2:28,Missed,0
Extra player shot,5.0,4,3,1,FRA,1.0,GUILLET L,3 - 1,105,FRA,1:45,Goal,1
Penalty shot,5.0,4,3,2,FRA,1.0,GUILLET L,3 - 2,73,FRA,1:13,Goal,1
5m shot,4.0,4,3,2,FRA,1.0,MAGARIYAMA S,3 - 2,46,JPN,0:46,Saved,0
Action shot,2.0,4,3,2,FRA,1.0,SAKANOUE C,3 - 2,0,JPN,0:00,Saved,0
5m shot,8.0,4,3,2,FRA,2.0,HASHIGUCHI M,3 - 2,429,JPN,7:09,Missed,0
Action shot,6.0,4,3,3,FRA,2.0,MAHIEU G,3 - 3,356,FRA,5:56,Goal,1
Action shot,5.0,4,3,4,FRA,2.0,GUILLET L,3 - 4,313,FRA,5:13,Goal,1
Extra player shot,2.0,4,3,4,FRA,2.0,SAKANOUE C,3 - 4,295,JPN,4:55,Saved,0
Penalty shot,5.0,4,3,5,FRA,2.0,GUILLET L,3 - 5,273,FRA,4:33,Goal,1
Extra player shot,12.0,4,4,5,FRA,2.0,SUZUKI K,4 - 5,239,JPN,3:59,Goal,1
5m shot,10.0,4,4,5,FRA,2.0,MORI T,4 - 5,96,JPN,1:36,Saved,0
Action shot,5.0,4,4,5,FRA,2.0,NAKATA M,4 - 5,57,JPN,0:57,Post,0
5m shot,8.0,4,4,5,FRA,2.0,HASHIGUCHI M,4 - 5,16,JPN,0:16,Post,0
Action shot,3.0,4,4,5,FRA,4.0,KAZAMA Y,4 - 5,73,JPN,1:13,Saved,0
Action shot,2.0,4,4,5,FRA,4.0,SAKANOUE C,4 - 5,21,JPN,0:21,Blocked,0
Action shot,5.0,4,4,6,FRA,2.0,GUILLET L,4 - 6,3,FRA,0:03,Goal,1
5m shot,11.0,4,4,6,FRA,2.0,TOKUMOTO M,4 - 6,0,JPN,0:00,Post,0
Counter attack,12.0,4,4,6,FRA,3.0,SUZUKI K,4 - 6,445,JPN,7:25,Post,0
Extra player shot,8.0,4,4,6,FRA,3.0,TARDY M,4 - 6,396,FRA,6:36,Post,0
Centre shot,2.0,4,4,6,FRA,3.0,MILLOT E,4 - 6,274,FRA,4:34,Missed,0
Action shot,9.0,4,4,6,FRA,3.0,HOSOYA K,4 - 6,261,JPN,4:21,Missed,0
5m shot,2.0,4,4,7,FRA,3.0,MILLOT E,4 - 7,125,FRA,2:05,Goal,1
Action shot,4.0,4,4,7,FRA,3.0,MAGARIYAMA S,4 - 7,88,JPN,1:28,Blocked,0
Action shot,9.0,4,4,7,FRA,3.0,HOSOYA K,4 - 7,55,JPN,0:55,Saved,0
Extra player shot,9.0,4,5,7,FRA,3.0,HOSOYA K,5 - 7,10,JPN,0:10,Goal,1
5m shot,5.0,4,5,7,FRA,3.0,GUILLET L,5 - 7,0,FRA,0:00,Missed,0
5m shot,4.0,4,5,7,FRA,4.0,MAGARIYAMA S,5 - 7,451,JPN,7:31,Saved,0
Action shot,8.0,4,5,8,FRA,4.0,TARDY M,5 - 8,404,FRA,6:44,Goal,1
Action shot,7.0,4,6,8,FRA,4.0,NAKANO Y,6 - 8,343,JPN,5:43,Goal,1
Action shot,7.0,4,6,8,FRA,4.0,NAKANO Y,6 - 8,296,JPN,4:56,Post,0
Extra player shot,7.0,4,6,8,FRA,4.0,NAKANO Y,6 - 8,230,JPN,3:50,Post,0
Centre shot,6.0,4,6,8,FRA,4.0,MAHIEU G,6 - 8,191,FRA,3:11,Saved,0
Action shot,9.0,4,6,8,FRA,4.0,HOSOYA K,6 - 8,175,JPN,2:55,Blocked,0
Extra player shot,3.0,4,6,8,FRA,4.0,KAZAMA Y,6 - 8,125,JPN,2:05,Saved,0
5m shot,5.0,4,6,8,FRA,4.0,GUILLET L,6 - 8,103,FRA,1:43,Missed,0
Counter attack,3.0,4,6,8,FRA,4.0,KAZAMA Y,6 - 8,91,JPN,1:31,Post,0
Penalty shot,3.0,4,6,9,FRA,4.0,BACHELIER L,6 - 9,4,FRA,0:04,Goal,1
5m shot,4.0,4,6,9,FRA,4.0,MAGARIYAMA S,6 - 9,0,JPN,0:00,Saved,0
Action shot,4.0,5,0,0,RSA,1.0,MAGARIYAMA S,0 - 0,447,JPN,7:27,Missed,0
Extra player shot,6.0,5,1,0,RSA,1.0,TAKAHASHI A,0 - 1,395,JPN,6:35,Goal,1
Action shot,4.0,5,1,0,RSA,1.0,VERSFELD R,0 - 1,310,RSA,5:10,Saved,0
Action shot,5.0,5,1,0,RSA,1.0,NAKATA M,0 - 1,303,JPN,5:03,Saved,0
Action shot,4.0,5,1,0,RSA,1.0,VERSFELD R,0 - 1,257,RSA,4:17,Saved,0
5m shot,10.0,5,1,0,RSA,1.0,MORI T,0 - 1,235,JPN,3:55,Saved,0
Counter attack,8.0,5,2,0,RSA,1.0,HASHIGUCHI M,0 - 2,205,JPN,3:25,Goal,1
5m shot,12.0,5,2,0,RSA,1.0,WHITE K,0 - 2,125,RSA,2:05,Blocked,0
5m shot,7.0,5,2,0,RSA,1.0,NAKANO Y,0 - 2,105,JPN,1:45,Saved,0
Action shot,8.0,5,2,0,RSA,1.0,HASHIGUCHI M,0 - 2,64,JPN,1:04,Saved,0
Action shot,3.0,5,2,0,RSA,1.0,PALEY K,0 - 2,32,RSA,0:32,Saved,0
Action shot,6.0,5,2,0,RSA,2.0,TAKAHASHI A,0 - 2,424,JPN,7:04,Missed,0
Counter attack,4.0,5,2,0,RSA,2.0,MAGARIYAMA S,0 - 2,389,JPN,6:29,Post,0
Counter attack,8.0,5,2,0,RSA,2.0,HASHIGUCHI M,0 - 2,358,JPN,5:58,Saved,0
Action shot,12.0,5,2,0,RSA,2.0,WHITE K,0 - 2,318,RSA,5:18,Post,0
Action shot,7.0,5,3,0,RSA,2.0,NAKANO Y,0 - 3,296,JPN,4:56,Goal,1
Action shot,7.0,5,3,0,RSA,2.0,KAY K,0 - 3,229,RSA,3:49,Missed,0
Action shot,4.0,5,3,0,RSA,2.0,VERSFELD R,0 - 3,178,RSA,2:58,Missed,0
5m shot,3.0,5,3,0,RSA,2.0,KAZAMA Y,0 - 3,165,JPN,2:45,Saved,0
Action shot,8.0,5,3,0,RSA,2.0,HASHIGUCHI M,0 - 3,119,JPN,1:59,Saved,0
Extra player shot,7.0,5,3,0,RSA,4.0,KAY K,0 - 3,171,RSA,2:51,Saved,0
Counter attack,12.0,5,15,6,RSA,4.0,WHITE K,6 - 15,145,RSA,2:25,Goal,1
Action shot,10.0,5,15,6,RSA,2.0,MORI T,6 - 15,94,JPN,1:34,Saved,0
Counter attack,7.0,5,4,0,RSA,2.0,NAKANO Y,0 - 4,78,JPN,1:18,Goal,1
Action shot,7.0,5,4,0,RSA,2.0,NAKANO Y,0 - 4,47,JPN,0:47,Missed,0
Action shot,10.0,5,4,0,RSA,2.0,MORI T,0 - 4,14,JPN,0:14,Saved,0
5m shot,12.0,5,4,0,RSA,2.0,WHITE K,0 - 4,0,RSA,0:00,Saved,0
Action shot,4.0,5,4,1,RSA,3.0,VERSFELD R,1 - 4,455,RSA,7:35,Goal,1
5m shot,11.0,5,4,1,RSA,3.0,TOKUMOTO M,1 - 4,429,JPN,7:09,Missed,0
Counter attack,11.0,5,5,1,RSA,3.0,TOKUMOTO M,1 - 5,413,JPN,6:53,Goal,1
Counter attack,2.0,5,6,1,RSA,3.0,SAKANOUE C,1 - 6,386,JPN,6:26,Goal,1
Action shot,7.0,5,6,1,RSA,3.0,KAY K,1 - 6,365,RSA,6:05,Saved,0
Action shot,11.0,5,6,2,RSA,3.0,O'HANLON D,2 - 6,341,RSA,5:41,Goal,1
Counter attack,5.0,5,6,2,RSA,3.0,NAKATA M,2 - 6,303,JPN,5:03,Saved,0
Counter attack,8.0,5,7,2,RSA,3.0,HASHIGUCHI M,2 - 7,298,JPN,4:58,Goal,1
Counter attack,7.0,5,8,2,RSA,3.0,NAKANO Y,2 - 8,264,JPN,4:24,Goal,1
Counter attack,2.0,5,9,2,RSA,3.0,SAKANOUE C,2 - 9,237,JPN,3:57,Goal,1
Action shot,10.0,5,10,2,RSA,3.0,MORI T,2 - 10,186,JPN,3:06,Goal,1
Centre shot,8.0,5,10,2,RSA,3.0,HASHIGUCHI M,2 - 10,136,JPN,2:16,Saved,0
Action shot,7.0,5,11,2,RSA,3.0,NAKANO Y,2 - 11,124,JPN,2:04,Goal,1
Action shot,3.0,5,11,2,RSA,3.0,PALEY K,2 - 11,98,RSA,1:38,Saved,0
5m shot,5.0,5,12,2,RSA,3.0,NAKATA M,2 - 12,78,JPN,1:18,Goal,1
Centre shot,7.0,5,12,2,RSA,3.0,KAY K,2 - 12,61,RSA,1:01,Post,0
Centre shot,7.0,5,12,3,RSA,3.0,KAY K,3 - 12,55,RSA,0:55,Goal,1
5m shot,12.0,5,12,3,RSA,3.0,SUZUKI K,3 - 12,32,JPN,0:32,Saved,0
Extra player shot,7.0,5,12,3,RSA,3.0,KAY K,3 - 12,1,RSA,0:01,Missed,0
5m shot,10.0,5,13,3,RSA,4.0,MORI T,3 - 13,422,JPN,7:02,Goal,1
Centre shot,7.0,5,13,3,RSA,4.0,KAY K,3 - 13,406,RSA,6:46,Saved,0
Extra player shot,12.0,5,13,4,RSA,4.0,WHITE K,4 - 13,358,RSA,5:58,Goal,1
5m shot,4.0,5,13,4,RSA,4.0,MAGARIYAMA S,4 - 13,311,JPN,5:11,Post,0
Action shot,6.0,5,13,5,RSA,4.0,HALLENDORFF A,5 - 13,289,RSA,4:49,Goal,1
Action shot,9.0,5,14,5,RSA,4.0,HOSOYA K,5 - 14,250,JPN,4:10,Goal,1
Counter attack,6.0,5,15,5,RSA,4.0,TAKAHASHI A,5 - 15,221,JPN,3:41,Goal,1
Extra player shot,5.0,5,15,7,RSA,4.0,SCHOOLING M,7 - 15,99,RSA,1:39,Goal,1
Counter attack,4.0,5,15,7,RSA,4.0,MAGARIYAMA S,7 - 15,6,JPN,0:06,Saved,0
