Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Goal,4.0,3,4,0,KAZ,2.0,FIGLIOLI P,4 - 0,418,ITA,6:58
20 sec. exclusion in centre,3.0,3,4,0,KAZ,2.0,GITTO N,4 - 0,401,ITA,6:41
Action shot - Goal,2.0,3,4,1,KAZ,2.0,GUBAREV S,4 - 1,378,KAZ,6:18
20 sec. exclusion in centre,4.0,3,4,1,KAZ,2.0,PILIPENKO R,4 - 1,362,KAZ,6:02
Extra player shot - Post,5.0,3,4,1,KAZ,2.0,GIORGETTI A,4 - 1,345,ITA,5:45
Turnover foul,12.0,3,4,1,KAZ,2.0,PEKOVICH B,4 - 1,320,KAZ,5:20
Steal,2.0,3,4,1,KAZ,2.0,PEREZ A,4 - 1,320,ITA,5:20
Action shot - Goal,5.0,3,5,1,KAZ,2.0,GIORGETTI A,5 - 1,300,ITA,5:00
5m shot - Goal,9.0,3,5,2,KAZ,2.0,UKUMANOV R,5 - 2,272,KAZ,4:32
5m shot - Post,6.0,3,5,2,KAZ,2.0,FELUGO M,5 - 2,242,ITA,4:02
Centre shot - Goal,9.0,3,6,2,KAZ,2.0,PRESCIUTTI C,6 - 2,203,ITA,3:23
20 sec. exclusion in centre,7.0,3,6,2,KAZ,2.0,FIGARI N,6 - 2,180,ITA,3:00
Extra player shot - Saved,4.0,3,6,2,KAZ,2.0,PILIPENKO R,6 - 2,164,KAZ,2:44
Centre shot - Saved,11.0,3,6,2,KAZ,2.0,AICARDI M,6 - 2,134,ITA,2:14
Turnover foul,5.0,3,6,2,KAZ,2.0,SHAKENOV M,6 - 2,112,KAZ,1:52
Steal,8.0,3,6,2,KAZ,2.0,GALLO V,6 - 2,112,ITA,1:52
Centre shot - Saved,11.0,3,6,2,KAZ,2.0,AICARDI M,6 - 2,92,ITA,1:32
Turnover foul,4.0,3,6,2,KAZ,2.0,PILIPENKO R,6 - 2,71,KAZ,1:11
Steal,1.0,3,6,2,KAZ,2.0,TEMPESTI S,6 - 2,71,ITA,1:11
Action shot - Saved,8.0,3,6,2,KAZ,2.0,GALLO V,6 - 2,57,ITA,0:57
Action shot - Saved,6.0,3,6,2,KAZ,2.0,FELUGO M,6 - 2,33,ITA,0:33
Turnover foul,5.0,3,6,2,KAZ,2.0,SHAKENOV M,6 - 2,25,KAZ,0:25
5m shot - Post,4.0,3,6,2,KAZ,2.0,FIGLIOLI P,6 - 2,13,ITA,0:13
Extra player shot - Saved,8.0,3,6,2,KAZ,4.0,GALLO V,6 - 2,60,ITA,1:00
Extra player shot - Goal,8.0,3,12,6,KAZ,4.0,GALLO V,12 - 6,54,ITA,0:54
Turnover foul,7.0,3,12,6,KAZ,4.0,USHAKOV V,12 - 6,41,KAZ,0:41
Steal,9.0,3,12,6,KAZ,4.0,PRESCIUTTI C,12 - 6,41,ITA,0:41
Starting goalkeeper,1.0,3,12,6,KAZ,3.0,MAXIMOV N,12 - 6,480,KAZ,8:00
Starting goalkeeper,1.0,3,12,6,KAZ,3.0,TEMPESTI S,12 - 6,480,ITA,8:00
Sprint won possession,5.0,3,12,6,KAZ,3.0,GIORGETTI A,12 - 6,480,ITA,8:00
Action shot - Missed,6.0,3,12,6,KAZ,3.0,FELUGO M,12 - 6,453,ITA,7:33
Turnover foul,12.0,3,12,6,KAZ,3.0,PEKOVICH B,12 - 6,432,KAZ,7:12
Steal,3.0,3,12,6,KAZ,3.0,GITTO N,12 - 6,432,ITA,7:12
Turnover foul,12.0,3,12,6,KAZ,3.0,NAPOLITANO C,12 - 6,404,ITA,6:44
Steal,1.0,3,12,6,KAZ,3.0,MAXIMOV N,12 - 6,404,KAZ,6:44
Action shot - Blocked,9.0,3,12,6,KAZ,3.0,UKUMANOV R,12 - 6,379,KAZ,6:19
20 sec. exclusion in centre,9.0,3,12,6,KAZ,3.0,UKUMANOV R,12 - 6,362,KAZ,6:02
Turnover foul,8.0,3,12,6,KAZ,3.0,GALLO V,12 - 6,336,ITA,5:36
Steal,2.0,3,12,6,KAZ,3.0,GUBAREV S,12 - 6,336,KAZ,5:36
5m shot - Blocked,3.0,3,12,6,KAZ,3.0,MEDVEDEV Y,12 - 6,313,KAZ,5:13
Turnover foul,5.0,3,12,6,KAZ,3.0,GIORGETTI A,12 - 6,289,ITA,4:49
Action shot - Blocked,7.0,3,12,6,KAZ,3.0,USHAKOV V,12 - 6,268,KAZ,4:28
20 sec. exclusion in field,9.0,3,12,6,KAZ,3.0,PRESCIUTTI C,12 - 6,262,ITA,4:22
Time-Out,,3,12,6,KAZ,3.0,,12 - 6,262,KAZ,4:22
Turnover foul,9.0,3,12,6,KAZ,3.0,UKUMANOV R,12 - 6,239,KAZ,3:59
Steal,5.0,3,12,6,KAZ,3.0,GIORGETTI A,12 - 6,239,ITA,3:59
20 sec. exclusion in centre,7.0,3,12,6,KAZ,3.0,USHAKOV V,12 - 6,218,KAZ,3:38
Extra player shot - Goal,4.0,3,7,2,KAZ,3.0,FIGLIOLI P,7 - 2,206,ITA,3:26
Action shot - Saved,5.0,3,7,2,KAZ,3.0,SHAKENOV M,7 - 2,187,KAZ,3:07
5m shot - Post,2.0,3,7,2,KAZ,3.0,PEREZ A,7 - 2,165,ITA,2:45
20 sec. exclusion in centre,5.0,3,7,2,KAZ,3.0,SHAKENOV M,7 - 2,146,KAZ,2:26
Extra player shot - Saved,4.0,3,7,2,KAZ,3.0,FIGLIOLI P,7 - 2,142,ITA,2:22
20 sec. exclusion in field,2.0,3,7,2,KAZ,3.0,PEREZ A,7 - 2,128,ITA,2:08
Extra player shot - Goal,4.0,3,7,3,KAZ,3.0,PILIPENKO R,7 - 3,122,KAZ,2:02
20 sec. exclusion in centre,4.0,3,7,3,KAZ,3.0,PILIPENKO R,7 - 3,102,KAZ,1:42
Extra player shot - Saved,5.0,3,7,3,KAZ,3.0,GIORGETTI A,7 - 3,83,ITA,1:23
Action shot - Goal,5.0,3,8,3,KAZ,3.0,GIORGETTI A,8 - 3,80,ITA,1:20
20 sec. exclusion in centre,3.0,3,8,3,KAZ,3.0,GITTO N,8 - 3,54,ITA,0:54
Turnover foul,7.0,3,8,3,KAZ,3.0,USHAKOV V,8 - 3,49,KAZ,0:49
Steal,9.0,3,8,3,KAZ,3.0,PRESCIUTTI C,8 - 3,49,ITA,0:49
5m shot - Saved,5.0,3,8,3,KAZ,3.0,GIORGETTI A,8 - 3,20,ITA,0:20
5m shot - Missed,12.0,3,8,3,KAZ,3.0,PEKOVICH B,8 - 3,2,KAZ,0:02
Starting goalkeeper,1.0,3,8,3,KAZ,4.0,TEMPESTI S,8 - 3,480,ITA,8:00
Starting goalkeeper,1.0,3,8,3,KAZ,4.0,MAXIMOV N,8 - 3,480,KAZ,8:00
Sprint won possession,10.0,3,8,3,KAZ,4.0,FIORENTINI D,8 - 3,480,ITA,8:00
Turnover foul,5.0,3,8,3,KAZ,4.0,GIORGETTI A,8 - 3,453,ITA,7:33
Steal,1.0,3,8,3,KAZ,4.0,MAXIMOV N,8 - 3,453,KAZ,7:33
20 sec. exclusion in centre,2.0,3,8,3,KAZ,4.0,PEREZ A,8 - 3,427,ITA,7:07
Extra player shot - Goal,12.0,3,8,4,KAZ,4.0,PEKOVICH B,8 - 4,409,KAZ,6:49
20 sec. exclusion in centre,8.0,3,8,4,KAZ,4.0,KOLIADENKO A,8 - 4,381,KAZ,6:21
Extra player shot - Goal,5.0,3,9,4,KAZ,4.0,GIORGETTI A,9 - 4,367,ITA,6:07
Turnover foul,11.0,3,9,4,KAZ,4.0,MANAFOV R,9 - 4,353,KAZ,5:53
Turnover foul,11.0,3,9,4,KAZ,4.0,AICARDI M,9 - 4,336,ITA,5:36
Turnover foul,11.0,3,9,4,KAZ,4.0,MANAFOV R,9 - 4,320,KAZ,5:20
5m shot - Goal,8.0,3,10,4,KAZ,4.0,GALLO V,10 - 4,299,ITA,4:59
Turnover foul,5.0,3,10,4,KAZ,4.0,SHAKENOV M,10 - 4,280,KAZ,4:40
