Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,4.0,1,7,4,ROU,4.0,FIGLIOLI P,7 - 4,380,ITA,6:20,Missed,0
5m shot,7.0,1,7,4,ROU,4.0,MATEI A,7 - 4,356,ROU,5:56,Missed,0
5m shot,4.0,1,7,4,ROU,4.0,FIGLIOLI P,7 - 4,338,ITA,5:38,Missed,0
5m shot,11.0,1,7,4,ROU,4.0,GHIBAN A,7 - 4,313,ROU,5:13,Missed,0
Centre shot,9.0,1,7,4,ROU,4.0,PRESCIUTTI C,7 - 4,287,ITA,4:47,Saved,0
Action shot,12.0,1,7,4,ROU,4.0,CRETU A,7 - 4,245,ROU,4:05,Missed,0
Centre shot,11.0,1,8,4,ROU,4.0,AICARDI M,8 - 4,218,ITA,3:38,Goal,1
Centre shot,11.0,1,8,4,ROU,4.0,AICARDI M,8 - 4,179,ITA,2:59,Post,0
Action shot,2.0,1,9,4,ROU,4.0,PEREZ A,9 - 4,155,ITA,2:35,Goal,1
5m shot,7.0,1,9,4,ROU,4.0,MATEI A,9 - 4,123,ROU,2:03,Blocked,0
5m shot,8.0,1,9,4,ROU,4.0,GALLO V,9 - 4,99,ITA,1:39,Missed,0
5m shot,8.0,1,9,4,ROU,4.0,CHIOVEANU M,9 - 4,71,ROU,1:11,Missed,0
Action shot,4.0,1,10,4,ROU,4.0,FIGLIOLI P,10 - 4,52,ITA,0:52,Goal,1
5m shot,7.0,1,10,4,ROU,4.0,MATEI A,10 - 4,27,ROU,0:27,Blocked,0
5m shot,9.0,1,10,4,ROU,4.0,PRESCIUTTI C,10 - 4,2,ITA,0:02,Missed,0
5m shot,4.0,1,10,4,ROU,4.0,DIACONU N,10 - 4,1,ROU,0:01,Saved,0
Centre shot,3.0,2,0,0,GER,1.0,GITTO N,0 - 0,418,ITA,6:58,Saved,0
5m shot,6.0,2,0,0,GER,1.0,FELUGO M,0 - 0,393,ITA,6:33,Missed,0
5m shot,4.0,2,0,0,GER,1.0,REAL J,0 - 0,367,GER,6:07,Saved,0
Centre shot,4.0,2,0,1,GER,1.0,REAL J,0 - 1,297,GER,4:57,Goal,1
5m shot,4.0,2,0,1,GER,1.0,REAL J,0 - 1,250,GER,4:10,Saved,0
5m shot,9.0,2,0,1,GER,1.0,STAMM M,0 - 1,201,GER,3:21,Saved,0
5m shot,4.0,2,1,1,GER,1.0,FIGLIOLI P,1 - 1,177,ITA,2:57,Goal,1
5m shot,6.0,2,1,1,GER,1.0,JUENGLING M,1 - 1,147,GER,2:27,Saved,0
Action shot,12.0,2,1,1,GER,1.0,EIDNER D,1 - 1,132,GER,2:12,Saved,0
Extra player shot,5.0,2,2,1,GER,1.0,GIORGETTI A,2 - 1,104,ITA,1:44,Goal,1
5m shot,4.0,2,2,1,GER,1.0,REAL J,2 - 1,76,GER,1:16,Saved,0
Centre shot,11.0,2,3,1,GER,1.0,AICARDI M,3 - 1,56,ITA,0:56,Goal,1
Centre shot,2.0,2,3,1,GER,1.0,BUKOWSKI E,3 - 1,17,GER,0:17,Post,0
Extra player shot,10.0,2,3,1,GER,2.0,FIORENTINI D,3 - 1,433,ITA,7:13,Missed,0
5m shot,6.0,2,3,1,GER,2.0,FELUGO M,3 - 1,385,ITA,6:25,Saved,0
Action shot,6.0,2,4,1,GER,2.0,FELUGO M,4 - 1,331,ITA,5:31,Goal,1
Centre shot,11.0,2,5,1,GER,2.0,AICARDI M,5 - 1,279,ITA,4:39,Goal,1
Action shot,7.0,2,5,1,GER,2.0,FIGARI N,5 - 1,223,ITA,3:43,Saved,0
Extra player shot,8.0,2,5,2,GER,2.0,SCHUELER P,5 - 2,189,GER,3:09,Goal,1
5m shot,7.0,2,5,2,GER,2.0,NOSSEK H,5 - 2,117,GER,1:57,Saved,0
Extra player shot,9.0,2,6,2,GER,2.0,PRESCIUTTI C,6 - 2,32,ITA,0:32,Goal,1
Extra player shot,10.0,2,6,2,GER,2.0,OELER M,6 - 2,5,GER,0:05,Saved,0
5m shot,5.0,2,7,2,GER,3.0,GIORGETTI A,7 - 2,451,ITA,7:31,Goal,1
Extra player shot,5.0,2,7,2,GER,3.0,GIORGETTI A,7 - 2,391,ITA,6:31,Saved,0
Extra player shot,8.0,2,8,2,GER,3.0,GALLO V,8 - 2,360,ITA,6:00,Goal,1
Penalty shot,8.0,2,8,2,GER,3.0,GALLO V,8 - 2,305,ITA,5:05,Saved,0
5m shot,7.0,2,8,2,GER,3.0,FIGARI N,8 - 2,258,ITA,4:18,Saved,0
5m shot,7.0,2,8,3,GER,3.0,NOSSEK H,8 - 3,231,GER,3:51,Goal,1
Action shot,4.0,2,8,3,GER,3.0,FIGLIOLI P,8 - 3,205,ITA,3:25,Saved,0
Extra player shot,6.0,2,8,3,GER,3.0,JUENGLING M,8 - 3,178,GER,2:58,Blocked,0
Action shot,3.0,2,8,4,GER,3.0,MIERS E,8 - 4,170,GER,2:50,Goal,1
5m shot,4.0,2,8,4,GER,3.0,FIGLIOLI P,8 - 4,140,ITA,2:20,Post,0
Action shot,5.0,2,8,4,GER,3.0,GIORGETTI A,8 - 4,84,ITA,1:24,Blocked,0
5m shot,8.0,2,8,4,GER,3.0,GALLO V,8 - 4,55,ITA,0:55,Post,0
5m shot,4.0,2,8,5,GER,3.0,REAL J,8 - 5,26,GER,0:26,Goal,1
5m shot,8.0,2,9,5,GER,3.0,GALLO V,9 - 5,5,ITA,0:05,Goal,1
5m shot,12.0,2,9,5,GER,3.0,EIDNER D,9 - 5,1,GER,0:01,Saved,0
Counter attack,9.0,2,9,5,GER,4.0,PRESCIUTTI C,9 - 5,420,ITA,7:00,Post,0
5m shot,4.0,2,9,5,GER,4.0,FIGLIOLI P,9 - 5,391,ITA,6:31,Saved,0
5m shot,6.0,2,9,5,GER,4.0,FELUGO M,9 - 5,363,ITA,6:03,Missed,0
Action shot,6.0,2,9,5,GER,4.0,FELUGO M,9 - 5,322,ITA,5:22,Post,0
5m shot,4.0,2,9,5,GER,4.0,REAL J,9 - 5,300,GER,5:00,Saved,0
Centre shot,11.0,2,9,5,GER,4.0,AICARDI M,9 - 5,275,ITA,4:35,Post,0
Counter attack,11.0,2,9,6,GER,4.0,SCHLOTTERBECK A,9 - 6,229,GER,3:49,Goal,1
Extra player shot,9.0,2,10,6,GER,4.0,PRESCIUTTI C,10 - 6,207,ITA,3:27,Goal,1
Centre shot,11.0,2,10,6,GER,4.0,AICARDI M,10 - 6,165,ITA,2:45,Saved,0
Centre shot,11.0,2,10,7,GER,4.0,SCHLOTTERBECK A,10 - 7,141,GER,2:21,Goal,1
Action shot,10.0,2,10,8,GER,4.0,OELER M,10 - 8,52,GER,0:52,Goal,1
Centre shot,11.0,2,10,8,GER,4.0,AICARDI M,10 - 8,30,ITA,0:30,Saved,0
Centre shot,11.0,3,0,0,KAZ,1.0,AICARDI M,0 - 0,463,ITA,7:43,Saved,0
5m shot,6.0,3,0,0,KAZ,1.0,FELUGO M,0 - 0,435,ITA,7:15,Post,0
Extra player shot,11.0,3,1,0,KAZ,1.0,AICARDI M,1 - 0,325,ITA,5:25,Goal,1
Action shot,4.0,3,2,0,KAZ,1.0,FIGLIOLI P,2 - 0,302,ITA,5:02,Goal,1
Extra player shot,12.0,3,2,0,KAZ,1.0,PEKOVICH B,2 - 0,275,KAZ,4:35,Saved,0
Extra player shot,12.0,3,2,0,KAZ,1.0,NAPOLITANO C,2 - 0,196,ITA,3:16,Saved,0
Extra player shot,12.0,3,2,0,KAZ,1.0,NAPOLITANO C,2 - 0,131,ITA,2:11,Saved,0
Centre shot,2.0,3,2,0,KAZ,1.0,PEREZ A,2 - 0,126,ITA,2:06,Saved,0
Action shot,4.0,3,2,0,KAZ,1.0,PILIPENKO R,2 - 0,40,KAZ,0:40,Missed,0
5m shot,5.0,3,2,0,KAZ,1.0,GIORGETTI A,2 - 0,16,ITA,0:16,Saved,0
Centre shot,11.0,3,3,0,KAZ,1.0,AICARDI M,3 - 0,5,ITA,0:05,Goal,1
5m shot,4.0,3,4,0,KAZ,2.0,FIGLIOLI P,4 - 0,418,ITA,6:58,Goal,1
Action shot,2.0,3,4,1,KAZ,2.0,GUBAREV S,4 - 1,378,KAZ,6:18,Goal,1
Extra player shot,5.0,3,4,1,KAZ,2.0,GIORGETTI A,4 - 1,345,ITA,5:45,Post,0
Action shot,5.0,3,5,1,KAZ,2.0,GIORGETTI A,5 - 1,300,ITA,5:00,Goal,1
5m shot,9.0,3,5,2,KAZ,2.0,UKUMANOV R,5 - 2,272,KAZ,4:32,Goal,1
5m shot,6.0,3,5,2,KAZ,2.0,FELUGO M,5 - 2,242,ITA,4:02,Post,0
Centre shot,9.0,3,6,2,KAZ,2.0,PRESCIUTTI C,6 - 2,203,ITA,3:23,Goal,1
Extra player shot,4.0,3,6,2,KAZ,2.0,PILIPENKO R,6 - 2,164,KAZ,2:44,Saved,0
Centre shot,11.0,3,6,2,KAZ,2.0,AICARDI M,6 - 2,134,ITA,2:14,Saved,0
Centre shot,11.0,3,6,2,KAZ,2.0,AICARDI M,6 - 2,92,ITA,1:32,Saved,0
Action shot,8.0,3,6,2,KAZ,2.0,GALLO V,6 - 2,57,ITA,0:57,Saved,0
Action shot,6.0,3,6,2,KAZ,2.0,FELUGO M,6 - 2,33,ITA,0:33,Saved,0
5m shot,4.0,3,6,2,KAZ,2.0,FIGLIOLI P,6 - 2,13,ITA,0:13,Post,0
Extra player shot,8.0,3,6,2,KAZ,4.0,GALLO V,6 - 2,60,ITA,1:00,Saved,0
Extra player shot,8.0,3,12,6,KAZ,4.0,GALLO V,12 - 6,54,ITA,0:54,Goal,1
Action shot,6.0,3,12,6,KAZ,3.0,FELUGO M,12 - 6,453,ITA,7:33,Missed,0
Action shot,9.0,3,12,6,KAZ,3.0,UKUMANOV R,12 - 6,379,KAZ,6:19,Blocked,0
5m shot,3.0,3,12,6,KAZ,3.0,MEDVEDEV Y,12 - 6,313,KAZ,5:13,Blocked,0
Action shot,7.0,3,12,6,KAZ,3.0,USHAKOV V,12 - 6,268,KAZ,4:28,Blocked,0
Extra player shot,4.0,3,7,2,KAZ,3.0,FIGLIOLI P,7 - 2,206,ITA,3:26,Goal,1
Action shot,5.0,3,7,2,KAZ,3.0,SHAKENOV M,7 - 2,187,KAZ,3:07,Saved,0
5m shot,2.0,3,7,2,KAZ,3.0,PEREZ A,7 - 2,165,ITA,2:45,Post,0
Extra player shot,4.0,3,7,2,KAZ,3.0,FIGLIOLI P,7 - 2,142,ITA,2:22,Saved,0
Extra player shot,4.0,3,7,3,KAZ,3.0,PILIPENKO R,7 - 3,122,KAZ,2:02,Goal,1
Extra player shot,5.0,3,7,3,KAZ,3.0,GIORGETTI A,7 - 3,83,ITA,1:23,Saved,0
Action shot,5.0,3,8,3,KAZ,3.0,GIORGETTI A,8 - 3,80,ITA,1:20,Goal,1
5m shot,5.0,3,8,3,KAZ,3.0,GIORGETTI A,8 - 3,20,ITA,0:20,Saved,0
5m shot,12.0,3,8,3,KAZ,3.0,PEKOVICH B,8 - 3,2,KAZ,0:02,Missed,0
Extra player shot,12.0,3,8,4,KAZ,4.0,PEKOVICH B,8 - 4,409,KAZ,6:49,Goal,1
Extra player shot,5.0,3,9,4,KAZ,4.0,GIORGETTI A,9 - 4,367,ITA,6:07,Goal,1
5m shot,8.0,3,10,4,KAZ,4.0,GALLO V,10 - 4,299,ITA,4:59,Goal,1
5m shot,4.0,3,11,4,KAZ,4.0,FIGLIOLI P,11 - 4,253,ITA,4:13,Goal,1
Extra player shot,8.0,3,11,5,KAZ,4.0,KOLIADENKO A,11 - 5,227,KAZ,3:47,Goal,1
5m shot,9.0,3,11,5,KAZ,4.0,UKUMANOV R,11 - 5,179,KAZ,2:59,Saved,0
5m shot,8.0,3,11,5,KAZ,4.0,GALLO V,11 - 5,150,ITA,2:30,Saved,0
5m shot,7.0,3,11,5,KAZ,4.0,USHAKOV V,11 - 5,124,KAZ,2:04,Saved,0
Action shot,8.0,3,11,6,KAZ,4.0,KOLIADENKO A,11 - 6,98,KAZ,1:38,Goal,1
5m shot,6.0,3,11,6,KAZ,4.0,SHMIDER A,11 - 6,1,KAZ,0:01,Saved,0
Action shot,8.0,4,1,0,CHN,1.0,GALLO V,1 - 0,413,ITA,6:53,Goal,1
Action shot,2.0,4,1,0,CHN,1.0,TAN F,1 - 0,348,CHN,5:48,Blocked,0
Action shot,5.0,4,2,0,CHN,1.0,GIORGETTI A,2 - 0,295,ITA,4:55,Goal,1
Centre shot,12.0,4,2,0,CHN,1.0,NAPOLITANO C,2 - 0,244,ITA,4:04,Post,0
Extra player shot,11.0,4,2,1,CHN,1.0,ZHANG C,2 - 1,188,CHN,3:08,Goal,1
Action shot,4.0,4,2,1,CHN,1.0,FIGLIOLI P,2 - 1,164,ITA,2:44,Missed,0
Centre shot,11.0,4,3,1,CHN,1.0,AICARDI M,3 - 1,80,ITA,1:20,Goal,1
Extra player shot,6.0,4,4,1,CHN,2.0,FELUGO M,4 - 1,423,ITA,7:03,Goal,1
Extra player shot,7.0,4,4,1,CHN,2.0,FIGARI N,4 - 1,322,ITA,5:22,Missed,0
Action shot,3.0,4,4,1,CHN,2.0,LIANG Z,4 - 1,305,CHN,5:05,Post,0
Action shot,8.0,4,4,1,CHN,2.0,WANG Y,4 - 1,220,CHN,3:40,Saved,0
Centre shot,2.0,4,4,2,CHN,2.0,TAN F,4 - 2,217,CHN,3:37,Goal,1
5m shot,3.0,4,4,2,CHN,2.0,LIANG Z,4 - 2,101,CHN,1:41,Saved,0
5m shot,6.0,4,5,2,CHN,2.0,FELUGO M,5 - 2,79,ITA,1:19,Goal,1
Extra player shot,5.0,4,6,2,CHN,2.0,GIORGETTI A,6 - 2,32,ITA,0:32,Goal,1
5m shot,11.0,4,6,2,CHN,2.0,ZHANG C,6 - 2,9,CHN,0:09,Blocked,0
Centre shot,5.0,4,6,2,CHN,4.0,GUO J,6 - 2,10,CHN,0:10,Post,0
Counter attack,4.0,4,6,2,CHN,2.0,FIGLIOLI P,6 - 2,1,ITA,0:01,Saved,0
Extra player shot,5.0,4,7,2,CHN,3.0,GIORGETTI A,7 - 2,442,ITA,7:22,Goal,1
Counter attack,9.0,4,8,2,CHN,3.0,PRESCIUTTI C,8 - 2,362,ITA,6:02,Goal,1
5m shot,7.0,4,8,2,CHN,3.0,LI B,8 - 2,339,CHN,5:39,Blocked,0
Action shot,8.0,4,9,2,CHN,3.0,GALLO V,9 - 2,316,ITA,5:16,Goal,1
Extra player shot,8.0,4,9,2,CHN,3.0,GALLO V,9 - 2,256,ITA,4:16,Missed,0
5m shot,6.0,4,9,2,CHN,3.0,PAN N,9 - 2,235,CHN,3:55,Missed,0
Extra player shot,4.0,4,9,2,CHN,3.0,FIGLIOLI P,9 - 2,214,ITA,3:34,Saved,0
Action shot,5.0,4,9,2,CHN,3.0,GUO J,9 - 2,137,CHN,2:17,Saved,0
5m shot,2.0,4,9,2,CHN,3.0,TAN F,9 - 2,88,CHN,1:28,Saved,0
Action shot,5.0,4,9,2,CHN,3.0,GIORGETTI A,9 - 2,63,ITA,1:03,Blocked,0
Action shot,10.0,4,9,2,CHN,3.0,ZHANG J,9 - 2,17,CHN,0:17,Saved,0
Action shot,2.0,4,9,2,CHN,3.0,PEREZ A,9 - 2,1,ITA,0:01,Blocked,0
Centre shot,11.0,4,9,2,CHN,4.0,AICARDI M,9 - 2,461,ITA,7:41,Saved,0
Extra player shot,3.0,4,9,2,CHN,4.0,LIANG Z,9 - 2,424,CHN,7:04,Blocked,0
Action shot,4.0,4,9,2,CHN,4.0,FIGLIOLI P,9 - 2,409,ITA,6:49,Post,0
Centre shot,11.0,4,10,2,CHN,4.0,AICARDI M,10 - 2,389,ITA,6:29,Goal,1
5m shot,3.0,4,10,2,CHN,4.0,LIANG Z,10 - 2,362,CHN,6:02,Blocked,0
Penalty shot,4.0,4,10,2,CHN,4.0,FIGLIOLI P,10 - 2,343,ITA,5:43,Saved,0
Action shot,10.0,4,10,2,CHN,4.0,FIORENTINI D,10 - 2,304,ITA,5:04,Missed,0
Centre shot,9.0,4,10,2,CHN,4.0,XIE J,10 - 2,276,CHN,4:36,Saved,0
Action shot,5.0,4,11,2,CHN,4.0,GIORGETTI A,11 - 2,258,ITA,4:18,Goal,1
Action shot,3.0,4,11,2,CHN,4.0,LIANG Z,11 - 2,233,CHN,3:53,Blocked,0
Centre shot,12.0,4,11,2,CHN,4.0,NAPOLITANO C,11 - 2,205,ITA,3:25,Post,0
Extra player shot,10.0,4,11,2,CHN,4.0,FIORENTINI D,11 - 2,157,ITA,2:37,Blocked,0
Action shot,5.0,4,11,2,CHN,4.0,GUO J,11 - 2,83,CHN,1:23,Saved,0
Penalty shot,3.0,4,11,3,CHN,4.0,LIANG Z,11 - 3,1,CHN,0:01,Goal,1
Action shot,5.0,5,0,0,ESP,1.0,GIORGETTI A,0 - 0,405,ITA,6:45,Blocked,0
Action shot,5.0,5,0,0,ESP,1.0,GIORGETTI A,0 - 0,378,ITA,6:18,Post,0
Action shot,6.0,5,0,0,ESP,1.0,FELUGO M,0 - 0,354,ITA,5:54,Saved,0
5m shot,12.0,5,0,0,ESP,1.0,GARCIA X,0 - 0,308,ESP,5:08,Post,0
Action shot,5.0,5,1,0,ESP,1.0,GIORGETTI A,0 - 1,293,ITA,4:53,Goal,1
Action shot,6.0,5,1,0,ESP,1.0,FELUGO M,0 - 1,244,ITA,4:04,Missed,0
Extra player shot,10.0,5,1,1,ESP,1.0,PERRONE F,1 - 1,200,ESP,3:20,Goal,1
5m shot,8.0,5,1,1,ESP,1.0,ESPANOL A,1 - 1,162,ESP,2:42,Saved,0
5m shot,5.0,5,1,1,ESP,1.0,MOLINA G,1 - 1,117,ESP,1:57,Blocked,0
5m shot,7.0,5,2,1,ESP,1.0,FIGARI N,1 - 2,96,ITA,1:36,Goal,1
Penalty shot,8.0,5,2,2,ESP,1.0,ESPANOL A,2 - 2,79,ESP,1:19,Goal,1
5m shot,5.0,5,2,2,ESP,1.0,MOLINA G,2 - 2,33,ESP,0:33,Missed,0
5m shot,12.0,5,2,2,ESP,2.0,GARCIA X,2 - 2,422,ESP,7:02,Saved,0
Action shot,6.0,5,2,2,ESP,2.0,FELUGO M,2 - 2,397,ITA,6:37,Blocked,0
Centre shot,12.0,5,2,2,ESP,2.0,NAPOLITANO C,2 - 2,366,ITA,6:06,Post,0
5m shot,10.0,5,2,2,ESP,2.0,PERRONE F,2 - 2,337,ESP,5:37,Blocked,0
Action shot,4.0,5,3,2,ESP,2.0,FIGLIOLI P,2 - 3,262,ITA,4:22,Goal,1
Extra player shot,5.0,5,3,2,ESP,2.0,MOLINA G,2 - 3,183,ESP,3:03,Blocked,0
Action shot,5.0,5,3,3,ESP,2.0,MOLINA G,3 - 3,176,ESP,2:56,Goal,1
5m shot,5.0,5,3,3,ESP,2.0,MOLINA G,3 - 3,73,ESP,1:13,Blocked,0
Extra player shot,8.0,5,3,3,ESP,4.0,ESPANOL A,3 - 3,87,ESP,1:27,Blocked,0
Action shot,7.0,5,3,3,ESP,4.0,FIGARI N,3 - 3,57,ITA,0:57,Saved,0
5m shot,6.0,5,3,3,ESP,4.0,MINGUELL M,3 - 3,42,ESP,0:42,Saved,0
Action shot,10.0,5,3,3,ESP,2.0,FIORENTINI D,3 - 3,5,ITA,0:05,Post,0
Penalty shot,4.0,5,4,3,ESP,3.0,FIGLIOLI P,3 - 4,462,ITA,7:42,Goal,1
Counter attack,9.0,5,4,3,ESP,3.0,PRESCIUTTI C,3 - 4,425,ITA,7:05,Saved,0
Extra player shot,6.0,5,4,3,ESP,3.0,MINGUELL M,3 - 4,386,ESP,6:26,Saved,0
Action shot,12.0,5,4,3,ESP,3.0,GARCIA X,3 - 4,378,ESP,6:18,Saved,0
5m shot,4.0,5,4,3,ESP,3.0,FIGLIOLI P,3 - 4,351,ITA,5:51,Post,0
5m shot,6.0,5,4,3,ESP,3.0,FELUGO M,3 - 4,325,ITA,5:25,Saved,0
5m shot,6.0,5,4,3,ESP,3.0,MINGUELL M,3 - 4,301,ESP,5:01,Blocked,0
5m shot,8.0,5,4,3,ESP,3.0,GALLO V,3 - 4,273,ITA,4:33,Saved,0
5m shot,6.0,5,4,3,ESP,3.0,MINGUELL M,3 - 4,248,ESP,4:08,Saved,0
Centre shot,9.0,5,4,3,ESP,3.0,VALLES X,3 - 4,247,ESP,4:07,Missed,0
5m shot,4.0,5,4,3,ESP,3.0,FIGLIOLI P,3 - 4,222,ITA,3:42,Post,0
5m shot,5.0,5,4,3,ESP,3.0,MOLINA G,3 - 4,155,ESP,2:35,Blocked,0
5m shot,6.0,5,4,3,ESP,3.0,FELUGO M,3 - 4,127,ITA,2:07,Blocked,0
Extra player shot,10.0,5,4,3,ESP,3.0,PERRONE F,3 - 4,75,ESP,1:15,Saved,0
Extra player shot,7.0,5,4,3,ESP,3.0,FIGARI N,3 - 4,36,ITA,0:36,Missed,0
Action shot,10.0,5,4,3,ESP,3.0,FIORENTINI D,3 - 4,1,ITA,0:01,Saved,0
5m shot,12.0,5,4,3,ESP,4.0,GARCIA X,3 - 4,432,ESP,7:12,Saved,0
Extra player shot,6.0,5,4,3,ESP,4.0,MINGUELL M,3 - 4,375,ESP,6:15,Saved,0
Extra player shot,10.0,5,4,3,ESP,4.0,PERRONE F,3 - 4,351,ESP,5:51,Saved,0
5m shot,12.0,5,4,3,ESP,4.0,GARCIA X,3 - 4,343,ESP,5:43,Post,0
5m shot,4.0,5,4,3,ESP,4.0,FIGLIOLI P,3 - 4,297,ITA,4:57,Saved,0
5m shot,6.0,5,4,3,ESP,4.0,MINGUELL M,3 - 4,272,ESP,4:32,Blocked,0
Centre shot,11.0,5,4,3,ESP,4.0,AICARDI M,3 - 4,248,ITA,4:08,Saved,0
Action shot,6.0,5,4,3,ESP,4.0,FELUGO M,3 - 4,146,ITA,2:26,Saved,0
5m shot,11.0,5,4,3,ESP,4.0,AICARDI M,3 - 4,15,ITA,0:15,Post,0
5m shot,9.0,6,0,1,MNE,1.0,IVOVIC A,1 - 0,455,MNE,7:35,Goal,1
Centre shot,11.0,6,0,1,MNE,1.0,AICARDI M,1 - 0,394,ITA,6:34,Saved,0
Action shot,7.0,6,0,2,MNE,1.0,JANOVIC M,2 - 0,355,MNE,5:55,Goal,1
5m shot,5.0,6,0,2,MNE,1.0,GIORGETTI A,2 - 0,337,ITA,5:37,Missed,0
5m shot,5.0,6,0,2,MNE,1.0,GIORGETTI A,2 - 0,297,ITA,4:57,Saved,0
Extra player shot,7.0,6,0,2,MNE,1.0,JANOVIC M,2 - 0,254,MNE,4:14,Saved,0
Penalty shot,8.0,6,0,3,MNE,1.0,JANOVIC N,3 - 0,244,MNE,4:04,Goal,1
Extra player shot,8.0,6,0,3,MNE,1.0,GALLO V,3 - 0,211,ITA,3:31,Post,0
Centre shot,11.0,6,1,3,MNE,1.0,AICARDI M,3 - 1,209,ITA,3:29,Goal,1
Action shot,11.0,6,1,3,MNE,1.0,AICARDI M,3 - 1,160,ITA,2:40,Saved,0
5m shot,8.0,6,1,3,MNE,1.0,JANOVIC N,3 - 1,132,MNE,2:12,Missed,0
Action shot,9.0,6,1,3,MNE,1.0,PRESCIUTTI C,3 - 1,80,ITA,1:20,Missed,0
