Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,2,9.0,5,2,AUS,3.0,SUKNO S,2 - 2,235,CRO,3:55,Blocked,0
Centre shot,2,2.0,5,2,AUS,3.0,CAMPBELL R,2 - 2,208,AUS,3:28,Saved,0
Action shot,7,7.0,5,6,AUS,ET2,MUSLIM P,7 - 6,54,CRO,0:54,Goal,1
Centre shot,7,11.0,5,6,AUS,3,SETKA A,7 - 6,189,CRO,3:09,Saved,0
Action shot,2,8.0,5,3,AUS,3,YOUNGER A,2 - 3,158,AUS,2:38,Goal,1
Action shot,2,2.0,5,3,AUS,3,CAMPBELL R,2 - 3,49,AUS,0:49,Missed,0
Extra player shot,2,12.0,5,3,AUS,3,OBRADOVIC P,2 - 3,10,CRO,0:10,Saved,0
Action shot,2,9.0,5,3,AUS,3,SUKNO S,2 - 3,1,CRO,0:01,Saved,0
Action shot,2,12.0,5,4,AUS,4,MILLER W,2 - 4,450,AUS,7:30,Goal,1
Counter attack,3,5.0,5,4,AUS,4,JOKOVIC M,3 - 4,378,CRO,6:18,Goal,1
Action shot,3,11.0,5,5,AUS,4,HOWDEN R,3 - 5,351,AUS,5:51,Goal,1
Action shot,3,4.0,5,5,AUS,4,COTTERILL J,3 - 5,297,AUS,4:57,Saved,0
Action shot,3,5.0,5,5,AUS,4,POWER N,3 - 5,276,AUS,4:36,Saved,0
Extra player shot,4,5.0,5,5,AUS,4,JOKOVIC M,4 - 5,234,CRO,3:54,Goal,1
Action shot,4,8.0,5,5,AUS,4,BUSLJE A,4 - 5,176,CRO,2:56,Post,0
Extra player shot,5,2.0,5,5,AUS,4,LONCAR L,5 - 5,121,CRO,2:01,Goal,1
Extra player shot,5,8.0,5,5,AUS,4,YOUNGER A,5 - 5,94,AUS,1:34,Saved,0
Centre shot,5,9.0,5,5,AUS,4,SWIFT J,5 - 5,64,AUS,1:04,Saved,0
Action shot,5,5.0,5,5,AUS,4,JOKOVIC M,5 - 5,42,CRO,0:42,Missed,0
Extra player shot,5,2.0,5,5,AUS,4,CAMPBELL R,5 - 5,1,AUS,0:01,Saved,0
Extra player shot,6,8.0,5,5,AUS,ET1,BUSLJE A,6 - 5,140,CRO,2:20,Goal,1
Action shot,6,2.0,5,6,AUS,ET1,CAMPBELL R,6 - 6,116,AUS,1:56,Goal,1
Action shot,6,2.0,5,6,AUS,ET1,CAMPBELL R,6 - 6,67,AUS,1:07,Saved,0
Extra player shot,6,9.0,5,6,AUS,ET1,SUKNO S,6 - 6,19,CRO,0:19,Blocked,0
Action shot,6,2.0,5,6,AUS,ET1,CAMPBELL R,6 - 6,1,AUS,0:01,Saved,0
5m shot,6,2.0,5,6,AUS,ET2,CAMPBELL R,6 - 6,154,AUS,2:34,Saved,0
Action shot,6,8.0,5,6,AUS,ET2,YOUNGER A,6 - 6,128,AUS,2:08,Saved,0
Action shot,6,8.0,5,6,AUS,ET2,YOUNGER A,6 - 6,98,AUS,1:38,Blocked,0
Action shot,6,9.0,5,6,AUS,ET2,SUKNO S,6 - 6,55,CRO,0:55,Post,0
Action shot,0,3.0,6,0,HUN,1.0,MILAKOVIC I,0 - 0,451,CRO,7:31,Blocked,0
Extra player shot,0,2.0,6,1,HUN,1.0,GOR-NAGY M,1 - 0,411,HUN,6:51,Goal,1
Extra player shot,1,12.0,6,1,HUN,1.0,OBRADOVIC P,1 - 1,379,CRO,6:19,Goal,1
Extra player shot,2,10.0,6,1,HUN,1.0,DOBUD N,1 - 2,317,CRO,5:17,Goal,1
Centre shot,2,9.0,6,1,HUN,1.0,VARGA D,1 - 2,246,HUN,4:06,Post,0
5m shot,2,5.0,6,2,HUN,1.0,VAMOS M,2 - 2,221,HUN,3:41,Goal,1
Extra player shot,3,7.0,6,2,HUN,1.0,MUSLIM P,2 - 3,186,CRO,3:06,Goal,1
5m shot,3,11.0,6,2,HUN,1.0,BEDO K,2 - 3,158,HUN,2:38,Post,0
Action shot,3,9.0,6,2,HUN,1.0,SUKNO S,2 - 3,128,CRO,2:08,Post,0
Extra player shot,3,11.0,6,2,HUN,1.0,BEDO K,2 - 3,90,HUN,1:30,Saved,0
Centre shot,3,10.0,6,2,HUN,1.0,DOBUD N,2 - 3,36,CRO,0:36,Blocked,0
Action shot,3,5.0,6,2,HUN,1.0,JOKOVIC M,2 - 3,7,CRO,0:07,Post,0
5m shot,3,9.0,6,2,HUN,1.0,VARGA D,2 - 3,1,HUN,0:01,Saved,0
5m shot,3,12.0,6,2,HUN,2.0,OBRADOVIC P,2 - 3,457,CRO,7:37,Saved,0
Extra player shot,3,4.0,6,2,HUN,2.0,PASKVALIN F,2 - 3,371,CRO,6:11,Saved,0
5m shot,3,3.0,6,2,HUN,2.0,MADARAS N,2 - 3,347,HUN,5:47,Blocked,0
Action shot,3,5.0,6,3,HUN,2.0,VAMOS M,3 - 3,341,HUN,5:41,Goal,1
Action shot,3,12.0,6,3,HUN,2.0,OBRADOVIC P,3 - 3,320,CRO,5:20,Missed,0
Counter attack,3,3.0,6,4,HUN,2.0,MADARAS N,4 - 3,311,HUN,5:11,Goal,1
Extra player shot,4,12.0,6,4,HUN,2.0,OBRADOVIC P,4 - 4,274,CRO,4:34,Goal,1
Extra player shot,4,8.0,6,5,HUN,2.0,SZIVOS M,5 - 4,247,HUN,4:07,Goal,1
5m shot,4,8.0,6,6,HUN,2.0,SZIVOS M,6 - 4,209,HUN,3:29,Goal,1
Centre shot,4,10.0,6,6,HUN,2.0,VARGA D,6 - 4,168,HUN,2:48,Saved,0
Extra player shot,5,5.0,6,6,HUN,2.0,JOKOVIC M,6 - 5,121,CRO,2:01,Goal,1
Extra player shot,5,8.0,6,6,HUN,2.0,BUSLJE A,6 - 5,33,CRO,0:33,Saved,0
5m shot,5,9.0,6,6,HUN,2.0,VARGA D,6 - 5,5,HUN,0:05,Saved,0
5m shot,5,6.0,6,6,HUN,2.0,HOSNYANSZKY N,6 - 5,1,HUN,0:01,Saved,0
