Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in centre,5,8.0,6,6,HUN,4.0,SZIVOS M,6 - 5,71,HUN,1:11
Time-Out,5,,6,6,HUN,4.0,,6 - 5,71,CRO,1:11
Sprint won possession,5,5.0,6,6,HUN,3.0,VAMOS M,6 - 5,480,HUN,8:00
Centre shot - Blocked,5,11.0,6,6,HUN,3.0,BEDO K,6 - 5,454,HUN,7:34
Penalty foul,5,7.0,6,6,HUN,3.0,DECKER A,6 - 5,429,HUN,7:09
Penalty shot - Saved,5,5.0,6,6,HUN,3.0,JOKOVIC M,6 - 5,429,CRO,7:09
Turnover foul,5,9.0,6,6,HUN,3.0,VARGA D,6 - 5,405,HUN,6:45
Turnover foul,5,10.0,6,6,HUN,3.0,DOBUD N,6 - 5,388,CRO,6:28
20 sec. exclusion in field,5,5.0,6,6,HUN,3.0,JOKOVIC M,6 - 5,383,CRO,6:23
Action shot - Goal,5,10.0,6,7,HUN,3.0,VARGA D,7 - 5,357,HUN,5:57
20 sec. exclusion in centre,5,6.0,6,7,HUN,3.0,HOSNYANSZKY N,7 - 5,338,HUN,5:38
Action shot - Goal,6,10.0,6,7,HUN,3.0,DOBUD N,7 - 6,316,CRO,5:16
Turnover foul,6,12.0,6,7,HUN,3.0,HARAI B,7 - 6,291,HUN,4:51
Steal,6,9.0,6,7,HUN,3.0,SUKNO S,7 - 6,291,CRO,4:51
Action shot - Missed,6,11.0,6,7,HUN,3.0,SETKA A,7 - 6,264,CRO,4:24
20 sec. exclusion in centre,6,8.0,6,7,HUN,3.0,BUSLJE A,7 - 6,238,CRO,3:58
Extra player shot - Goal,6,5.0,6,8,HUN,3.0,VAMOS M,8 - 6,219,HUN,3:39
Turnover foul,6,3.0,6,8,HUN,3.0,MILAKOVIC I,8 - 6,207,CRO,3:27
Turnover foul,6,6.0,6,8,HUN,3.0,HOSNYANSZKY N,8 - 6,193,HUN,3:13
Steal,6,2.0,6,8,HUN,3.0,LONCAR L,8 - 6,193,CRO,3:13
Action shot - Post,6,5.0,6,8,HUN,3.0,JOKOVIC M,8 - 6,164,CRO,2:44
5m shot - Saved,6,9.0,6,8,HUN,3.0,VARGA D,8 - 6,140,HUN,2:20
20 sec. exclusion in field,6,2.0,6,8,HUN,3.0,GOR-NAGY M,8 - 6,127,HUN,2:07
Exclusion with substitution,6,2.0,6,8,HUN,3.0,GOR-NAGY M,8 - 6,127,HUN,2:07
Time-Out,6,,6,8,HUN,3.0,,8 - 6,125,CRO,2:05
Action shot - Saved,6,9.0,6,8,HUN,3.0,SUKNO S,8 - 6,104,CRO,1:44
5m shot - Saved,6,9.0,6,8,HUN,3.0,VARGA D,8 - 6,74,HUN,1:14
Turnover foul,6,12.0,6,8,HUN,3.0,HARAI B,8 - 6,51,HUN,0:51
20 sec. exclusion in centre,6,7.0,6,8,HUN,3.0,DECKER A,8 - 6,28,HUN,0:28
Exclusion with substitution,6,7.0,6,8,HUN,3.0,DECKER A,8 - 6,28,HUN,0:28
Extra player shot - Goal,7,9.0,6,8,HUN,3.0,SUKNO S,8 - 7,11,CRO,0:11
20 sec. exclusion in field,7,12.0,6,8,HUN,3.0,OBRADOVIC P,8 - 7,4,CRO,0:04
Extra player shot - Goal,7,8.0,6,9,HUN,3.0,SZIVOS M,9 - 7,2,HUN,0:02
5m shot - Blocked,7,5.0,6,9,HUN,3.0,JOKOVIC M,9 - 7,1,CRO,0:01
Starting goalkeeper,7,1.0,6,9,HUN,4.0,NAGY V,9 - 7,480,HUN,8:00
Starting goalkeeper,7,1.0,6,9,HUN,4.0,PAVIC J,9 - 7,480,CRO,8:00
Sprint won possession,7,11.0,6,9,HUN,4.0,SETKA A,9 - 7,480,CRO,8:00
Turnover foul,7,10.0,6,9,HUN,4.0,DOBUD N,9 - 7,463,CRO,7:43
Turnover foul,7,3.0,6,9,HUN,4.0,MADARAS N,9 - 7,462,HUN,7:42
Action shot - Saved,7,8.0,6,9,HUN,4.0,BUSLJE A,9 - 7,446,CRO,7:26
Turnover foul,7,10.0,6,9,HUN,4.0,DOBUD N,9 - 7,422,CRO,7:02
Steal,7,1.0,6,9,HUN,4.0,NAGY V,9 - 7,422,HUN,7:02
Centre shot - Goal,7,11.0,6,10,HUN,4.0,BEDO K,10 - 7,403,HUN,6:43
Action shot - Goal,8,9.0,6,10,HUN,4.0,SUKNO S,10 - 8,381,CRO,6:21
Turnover foul,8,12.0,6,10,HUN,4.0,HARAI B,10 - 8,359,HUN,5:59
Steal,8,1.0,6,10,HUN,4.0,PAVIC J,10 - 8,359,CRO,5:59
20 sec. exclusion in field,8,9.0,6,10,HUN,4.0,VARGA D,10 - 8,350,HUN,5:50
Penalty foul,8,1.0,6,10,HUN,4.0,NAGY V,10 - 8,350,HUN,5:50
Penalty shot - Saved,8,7.0,6,10,HUN,4.0,MUSLIM P,10 - 8,350,CRO,5:50
Extra player shot - Saved,8,12.0,6,10,HUN,4.0,OBRADOVIC P,10 - 8,333,CRO,5:33
Turnover foul,8,8.0,6,10,HUN,4.0,BUSLJE A,10 - 8,322,CRO,5:22
Steal,8,9.0,6,10,HUN,4.0,VARGA D,10 - 8,322,HUN,5:22
20 sec. exclusion in centre,8,12.0,6,10,HUN,4.0,OBRADOVIC P,10 - 8,299,CRO,4:59
Time-Out,8,,6,10,HUN,4.0,,10 - 8,297,HUN,4:57
Extra player shot - Saved,8,8.0,6,10,HUN,4.0,SZIVOS M,10 - 8,283,HUN,4:43
20 sec. exclusion in field,8,5.0,6,10,HUN,4.0,VAMOS M,10 - 8,282,HUN,4:42
Action shot - Saved,8,5.0,6,10,HUN,4.0,JOKOVIC M,10 - 8,255,CRO,4:15
Centre shot - Goal,9,11.0,6,10,HUN,4.0,SETKA A,10 - 9,252,CRO,4:12
Turnover foul,9,11.0,6,10,HUN,4.0,BEDO K,10 - 9,227,HUN,3:47
Steal,9,7.0,6,10,HUN,4.0,MUSLIM P,10 - 9,227,CRO,3:47
Turnover foul,9,7.0,6,10,HUN,4.0,MUSLIM P,10 - 9,209,CRO,3:29
Turnover foul,9,11.0,6,10,HUN,4.0,BEDO K,10 - 9,185,HUN,3:05
