Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,12.0,1,0,8,HUN,3.0,HARAI B,8 - 0,442,HUN,7:22,Goal,1
Centre shot,12.0,1,0,8,HUN,3.0,PEKOVICH B,8 - 0,419,KAZ,6:59,Saved,0
Centre shot,12.0,1,0,9,HUN,3.0,HARAI B,9 - 0,405,HUN,6:45,Goal,1
Extra player shot,9.0,1,0,9,HUN,3.0,VARGA D,9 - 0,348,HUN,5:48,Post,0
Extra player shot,3.0,1,0,9,HUN,3.0,MADARAS N,9 - 0,335,HUN,5:35,Post,0
Action shot,6.0,1,0,10,HUN,3.0,HOSNYANSZKY N,10 - 0,326,HUN,5:26,Goal,1
Extra player shot,3.0,1,0,10,HUN,3.0,AXENOV A,10 - 0,297,KAZ,4:57,Blocked,0
Action shot,5.0,1,0,10,HUN,3.0,USHAKOV V,10 - 0,260,KAZ,4:20,Saved,0
Action shot,9.0,1,0,11,HUN,3.0,VARGA D,11 - 0,240,HUN,4:00,Goal,1
5m shot,9.0,1,0,11,HUN,3.0,UKUMANOV R,11 - 0,216,KAZ,3:36,Saved,0
Action shot,4.0,1,0,11,HUN,3.0,ERDELYI B,11 - 0,196,HUN,3:16,Saved,0
Penalty shot,9.0,1,1,11,HUN,3.0,UKUMANOV R,11 - 1,178,KAZ,2:58,Goal,1
Action shot,11.0,1,1,11,HUN,3.0,BEDO K,11 - 1,156,HUN,2:36,Saved,0
Extra player shot,10.0,1,1,11,HUN,3.0,VARGA D,11 - 1,119,HUN,1:59,Post,0
Action shot,5.0,1,2,11,HUN,3.0,USHAKOV V,11 - 2,106,KAZ,1:46,Goal,1
5m shot,6.0,1,2,12,HUN,3.0,HOSNYANSZKY N,12 - 2,78,HUN,1:18,Goal,1
Extra player shot,9.0,1,2,12,HUN,3.0,UKUMANOV R,12 - 2,2,KAZ,0:02,Saved,0
Action shot,8.0,1,2,12,HUN,4.0,SZIVOS M,12 - 2,454,HUN,7:34,Saved,0
5m shot,5.0,1,2,12,HUN,4.0,USHAKOV V,12 - 2,435,KAZ,7:15,Saved,0
5m shot,9.0,1,2,12,HUN,4.0,VARGA D,12 - 2,400,HUN,6:40,Post,0
Extra player shot,2.0,1,3,12,HUN,4.0,GUBAREV S,12 - 3,362,KAZ,6:02,Goal,1
Action shot,12.0,1,3,12,HUN,4.0,PEKOVICH B,12 - 3,336,KAZ,5:36,Missed,0
Centre shot,12.0,1,3,13,HUN,4.0,HARAI B,13 - 3,275,HUN,4:35,Goal,1
Action shot,8.0,1,3,13,HUN,4.0,KOLIADENKO A,13 - 3,246,KAZ,4:06,Saved,0
Centre shot,8.0,1,3,13,HUN,4.0,KOLIADENKO A,13 - 3,237,KAZ,3:57,Saved,0
Extra player shot,3.0,1,4,13,HUN,4.0,AXENOV A,13 - 4,216,KAZ,3:36,Goal,1
Action shot,3.0,1,4,13,HUN,4.0,MADARAS N,13 - 4,189,HUN,3:09,Saved,0
Extra player shot,5.0,1,5,13,HUN,4.0,USHAKOV V,13 - 5,158,KAZ,2:38,Goal,1
Centre shot,11.0,1,5,13,HUN,4.0,BEDO K,13 - 5,132,HUN,2:12,Saved,0
5m shot,5.0,1,5,13,HUN,4.0,VAMOS M,13 - 5,121,HUN,2:01,Saved,0
Action shot,6.0,1,5,13,HUN,4.0,HOSNYANSZKY N,13 - 5,84,HUN,1:24,Post,0
Action shot,10.0,1,5,14,HUN,4.0,VARGA D,14 - 5,50,HUN,0:50,Goal,1
Action shot,6.0,1,5,14,HUN,4.0,HOSNYANSZKY N,14 - 5,0,HUN,0:00,Post,0
Extra player shot,6.0,2,0,1,ARG,1.0,BULGHERONI T,0 - 1,380,ARG,6:20,Goal,1
Action shot,6.0,2,1,1,ARG,1.0,SHMIDER A,1 - 1,355,KAZ,5:55,Goal,1
Extra player shot,12.0,2,1,1,ARG,1.0,YANEZ G,1 - 1,293,ARG,4:53,Saved,0
Action shot,3.0,2,2,1,ARG,1.0,AXENOV A,2 - 1,280,KAZ,4:40,Goal,1
Action shot,11.0,2,2,1,ARG,1.0,DEMARCHI F,2 - 1,253,ARG,4:13,Saved,0
Action shot,4.0,2,3,1,ARG,1.0,PILIPENKO R,3 - 1,233,KAZ,3:53,Goal,1
Action shot,5.0,2,3,1,ARG,1.0,LOPEZ E,3 - 1,205,ARG,3:25,Saved,0
Counter attack,3.0,2,4,1,ARG,1.0,AXENOV A,4 - 1,194,KAZ,3:14,Goal,1
Extra player shot,3.0,2,4,1,ARG,1.0,AXENOV A,4 - 1,107,KAZ,1:47,Saved,0
Counter attack,12.0,2,4,2,ARG,1.0,YANEZ G,4 - 2,96,ARG,1:36,Goal,1
5m shot,9.0,2,4,2,ARG,1.0,UKUMANOV R,4 - 2,69,KAZ,1:09,Post,0
Extra player shot,7.0,2,5,2,ARG,1.0,SHAKENOV M,5 - 2,36,KAZ,0:36,Goal,1
5m shot,12.0,2,5,2,ARG,1.0,YANEZ G,5 - 2,13,ARG,0:13,Missed,0
Action shot,6.0,2,5,2,ARG,2.0,SHMIDER A,5 - 2,451,KAZ,7:31,Post,0
5m shot,2.0,2,5,2,ARG,2.0,VEICH R,5 - 2,422,ARG,7:02,Missed,0
5m shot,2.0,2,5,2,ARG,2.0,GUBAREV S,5 - 2,397,KAZ,6:37,Saved,0
Extra player shot,6.0,2,5,2,ARG,2.0,SHMIDER A,5 - 2,345,KAZ,5:45,Post,0
Extra player shot,6.0,2,6,2,ARG,2.0,SHMIDER A,6 - 2,334,KAZ,5:34,Goal,1
Extra player shot,12.0,2,6,2,ARG,2.0,YANEZ G,6 - 2,295,ARG,4:55,Saved,0
Extra player shot,2.0,2,6,3,ARG,2.0,VEICH R,6 - 3,295,ARG,4:55,Goal,1
Action shot,12.0,2,6,3,ARG,2.0,YANEZ G,6 - 3,242,ARG,4:02,Post,0
5m shot,9.0,2,6,4,ARG,2.0,CARABANTES I,6 - 4,232,ARG,3:52,Goal,1
5m shot,3.0,2,7,4,ARG,2.0,AXENOV A,7 - 4,211,KAZ,3:31,Goal,1
Action shot,12.0,2,7,4,ARG,2.0,YANEZ G,7 - 4,120,ARG,2:00,Saved,0
Action shot,3.0,2,8,4,ARG,2.0,AXENOV A,8 - 4,76,KAZ,1:16,Goal,1
Action shot,9.0,2,8,4,ARG,2.0,CARABANTES I,8 - 4,52,ARG,0:52,Saved,0
Extra player shot,6.0,2,8,4,ARG,4.0,BULGHERONI T,8 - 4,111,ARG,1:51,Post,0
Action shot,12.0,2,8,4,ARG,4.0,PEKOVICH B,8 - 4,88,KAZ,1:28,Saved,0
Extra player shot,12.0,2,8,4,ARG,2.0,PEKOVICH B,8 - 4,14,KAZ,0:14,Saved,0
Counter attack,12.0,2,8,5,ARG,2.0,YANEZ G,8 - 5,4,ARG,0:04,Goal,1
Extra player shot,12.0,2,9,5,ARG,3.0,PEKOVICH B,9 - 5,420,KAZ,7:00,Goal,1
Centre shot,12.0,2,10,5,ARG,3.0,PEKOVICH B,10 - 5,371,KAZ,6:11,Goal,1
Extra player shot,2.0,2,10,5,ARG,3.0,VEICH R,10 - 5,322,ARG,5:22,Blocked,0
Action shot,2.0,2,10,5,ARG,3.0,GUBAREV S,10 - 5,253,KAZ,4:13,Missed,0
5m shot,2.0,2,10,5,ARG,3.0,GUBAREV S,10 - 5,213,KAZ,3:33,Saved,0
Extra player shot,2.0,2,11,5,ARG,3.0,GUBAREV S,11 - 5,184,KAZ,3:04,Goal,1
Counter attack,2.0,2,11,5,ARG,3.0,GUBAREV S,11 - 5,143,KAZ,2:23,Saved,0
Counter attack,2.0,2,12,5,ARG,3.0,GUBAREV S,12 - 5,114,KAZ,1:54,Goal,1
Action shot,12.0,2,12,5,ARG,3.0,YANEZ G,12 - 5,102,ARG,1:42,Blocked,0
Action shot,10.0,2,12,5,ARG,3.0,MEDVEDEV Y,12 - 5,86,KAZ,1:26,Saved,0
Action shot,12.0,2,13,5,ARG,3.0,PEKOVICH B,13 - 5,86,KAZ,1:26,Goal,1
Extra player shot,12.0,2,13,6,ARG,3.0,YANEZ G,13 - 6,60,ARG,1:00,Goal,1
Action shot,7.0,2,13,6,ARG,3.0,SHAKENOV M,13 - 6,35,KAZ,0:35,Saved,0
Extra player shot,3.0,2,13,6,ARG,3.0,AXENOV A,13 - 6,3,KAZ,0:03,Saved,0
5m shot,5.0,2,13,6,ARG,4.0,USHAKOV V,13 - 6,428,KAZ,7:08,Missed,0
Action shot,5.0,2,13,6,ARG,4.0,USHAKOV V,13 - 6,397,KAZ,6:37,Saved,0
Extra player shot,6.0,2,13,6,ARG,4.0,SHMIDER A,13 - 6,376,KAZ,6:16,Saved,0
Action shot,5.0,2,13,6,ARG,4.0,USHAKOV V,13 - 6,338,KAZ,5:38,Missed,0
Extra player shot,12.0,2,14,6,ARG,4.0,PEKOVICH B,14 - 6,291,KAZ,4:51,Goal,1
Extra player shot,9.0,2,14,6,ARG,4.0,CARABANTES I,14 - 6,238,ARG,3:58,Missed,0
Action shot,6.0,2,15,6,ARG,4.0,SHMIDER A,15 - 6,215,KAZ,3:35,Goal,1
Extra player shot,12.0,2,15,6,ARG,4.0,YANEZ G,15 - 6,169,ARG,2:49,Post,0
Action shot,6.0,2,15,7,ARG,4.0,BULGHERONI T,15 - 7,18,ARG,0:18,Goal,1
Counter attack,2.0,3,1,0,RSA,1.0,GUBAREV S,0 - 1,455,KAZ,7:35,Goal,1
Centre shot,12.0,3,2,0,RSA,1.0,PEKOVICH B,0 - 2,398,KAZ,6:38,Goal,1
Extra player shot,3.0,3,3,0,RSA,1.0,AXENOV A,0 - 3,351,KAZ,5:51,Goal,1
5m shot,10.0,3,3,0,RSA,1.0,LE ROUX P,0 - 3,314,RSA,5:14,Saved,0
5m shot,3.0,3,4,0,RSA,1.0,AXENOV A,0 - 4,292,KAZ,4:52,Goal,1
Extra player shot,6.0,3,4,0,RSA,1.0,DE CARVALHO J,0 - 4,244,RSA,4:04,Post,0
Extra player shot,8.0,3,4,0,RSA,1.0,WINGATE-PEARSE J,0 - 4,233,RSA,3:53,Saved,0
Action shot,5.0,3,4,0,RSA,1.0,USHAKOV V,0 - 4,204,KAZ,3:24,Blocked,0
Action shot,10.0,3,4,0,RSA,1.0,LE ROUX P,0 - 4,123,RSA,2:03,Saved,0
Action shot,2.0,3,4,0,RSA,1.0,GUBAREV S,0 - 4,96,KAZ,1:36,Missed,0
Action shot,8.0,3,4,0,RSA,1.0,WINGATE-PEARSE J,0 - 4,56,RSA,0:56,Missed,0
Extra player shot,7.0,3,4,0,RSA,2.0,SHAKENOV M,0 - 4,408,KAZ,6:48,Saved,0
Extra player shot,10.0,3,4,0,RSA,2.0,LE ROUX P,0 - 4,385,RSA,6:25,Blocked,0
Action shot,10.0,3,4,0,RSA,2.0,LE ROUX P,0 - 4,338,RSA,5:38,Saved,0
Action shot,12.0,3,4,0,RSA,2.0,PEKOVICH B,0 - 4,254,KAZ,4:14,Saved,0
Centre shot,12.0,3,5,0,RSA,2.0,PEKOVICH B,0 - 5,242,KAZ,4:02,Goal,1
Centre shot,11.0,3,5,0,RSA,2.0,MANAFOV R,0 - 5,192,KAZ,3:12,Saved,0
Extra player shot,9.0,3,6,0,RSA,2.0,UKUMANOV R,0 - 6,171,KAZ,2:51,Goal,1
5m shot,11.0,3,6,1,RSA,2.0,MOLYNEUX N,1 - 6,152,RSA,2:32,Goal,1
Extra player shot,6.0,3,6,1,RSA,2.0,SHMIDER A,1 - 6,118,KAZ,1:58,Missed,0
5m shot,4.0,3,6,1,RSA,2.0,PILIPENKO R,1 - 6,67,KAZ,1:07,Saved,0
5m shot,3.0,3,7,1,RSA,2.0,AXENOV A,1 - 7,23,KAZ,0:23,Goal,1
5m shot,11.0,3,7,1,RSA,2.0,MOLYNEUX N,1 - 7,1,RSA,0:01,Missed,0
Extra player shot,11.0,3,8,1,RSA,3.0,MANAFOV R,1 - 8,426,KAZ,7:06,Goal,1
Action shot,2.0,3,8,1,RSA,3.0,GUBAREV S,1 - 8,382,KAZ,6:22,Blocked,0
Action shot,2.0,3,8,1,RSA,3.0,LE ROUX E,1 - 8,361,RSA,6:01,Missed,0
Centre shot,7.0,3,8,2,RSA,3.0,JAGGA D,2 - 8,305,RSA,5:05,Goal,1
Extra player shot,3.0,3,9,2,RSA,3.0,AXENOV A,2 - 9,266,KAZ,4:26,Goal,1
Counter attack,3.0,3,10,2,RSA,3.0,AXENOV A,2 - 10,224,KAZ,3:44,Goal,1
Extra player shot,4.0,3,10,2,RSA,3.0,BADENHORST I,2 - 10,191,RSA,3:11,Missed,0
Counter attack,6.0,3,11,2,RSA,3.0,SHMIDER A,2 - 11,179,KAZ,2:59,Goal,1
Extra player shot,11.0,3,11,2,RSA,3.0,MOLYNEUX N,2 - 11,145,RSA,2:25,Blocked,0
Counter attack,2.0,3,11,2,RSA,3.0,GUBAREV S,2 - 11,85,KAZ,1:25,Post,0
Action shot,10.0,3,11,2,RSA,3.0,LE ROUX P,2 - 11,53,RSA,0:53,Saved,0
Extra player shot,11.0,3,11,2,RSA,3.0,MOLYNEUX N,2 - 11,29,RSA,0:29,Saved,0
Action shot,5.0,3,12,2,RSA,3.0,USHAKOV V,2 - 12,8,KAZ,0:08,Goal,1
Action shot,2.0,3,13,2,RSA,4.0,GUBAREV S,2 - 13,380,KAZ,6:20,Goal,1
Action shot,3.0,3,13,2,RSA,4.0,CARD D,2 - 13,358,RSA,5:58,Post,0
Action shot,4.0,3,13,2,RSA,4.0,BADENHORST I,2 - 13,320,RSA,5:20,Missed,0
Counter attack,2.0,3,13,2,RSA,4.0,GUBAREV S,2 - 13,305,KAZ,5:05,Saved,0
Counter attack,2.0,3,14,2,RSA,4.0,GUBAREV S,2 - 14,267,KAZ,4:27,Goal,1
5m shot,6.0,3,14,3,RSA,4.0,DE CARVALHO J,3 - 14,241,RSA,4:01,Goal,1
Action shot,7.0,3,14,3,RSA,4.0,JAGGA D,3 - 14,194,RSA,3:14,Saved,0
5m shot,4.0,3,14,3,RSA,4.0,BADENHORST I,3 - 14,146,RSA,2:26,Blocked,0
Action shot,12.0,3,14,3,RSA,4.0,BOHATA W,3 - 14,88,RSA,1:28,Saved,0
Action shot,3.0,3,14,3,RSA,4.0,AXENOV A,3 - 14,67,KAZ,1:07,Saved,0
Extra player shot,12.0,3,14,3,RSA,4.0,BOHATA W,3 - 14,28,RSA,0:28,Post,0
Centre shot,12.0,3,14,3,RSA,4.0,BOHATA W,3 - 14,17,RSA,0:17,Saved,0
5m shot,6.0,3,14,3,RSA,4.0,SHMIDER A,3 - 14,0,KAZ,0:00,Missed,0
5m shot,3.0,4,0,0,MNE,1.0,AXENOV A,0 - 0,436,KAZ,7:16,Post,0
5m shot,2.0,4,1,0,MNE,1.0,GUBAREV S,1 - 0,391,KAZ,6:31,Goal,1
5m shot,7.0,4,1,0,MNE,1.0,JANOVIC M,1 - 0,372,MNE,6:12,Blocked,0
Action shot,9.0,4,1,0,MNE,1.0,IVOVIC A,1 - 0,340,MNE,5:40,Blocked,0
Counter attack,12.0,4,1,0,MNE,1.0,JOKIC P,1 - 0,275,MNE,4:35,Missed,0
5m shot,3.0,4,2,0,MNE,1.0,AXENOV A,2 - 0,244,KAZ,4:04,Goal,1
5m shot,6.0,4,2,1,MNE,1.0,RADOVIC A,2 - 1,220,MNE,3:40,Goal,1
Counter attack,7.0,4,2,2,MNE,1.0,JANOVIC M,2 - 2,189,MNE,3:09,Goal,1
Action shot,5.0,4,2,2,MNE,1.0,BRGULJAN D,2 - 2,88,MNE,1:28,Missed,0
Action shot,2.0,4,3,2,MNE,1.0,GUBAREV S,3 - 2,50,KAZ,0:50,Goal,1
Extra player shot,7.0,4,3,2,MNE,2.0,JANOVIC M,3 - 2,439,MNE,7:19,Saved,0
5m shot,9.0,4,3,2,MNE,2.0,UKUMANOV R,3 - 2,408,KAZ,6:48,Saved,0
Extra player shot,9.0,4,3,2,MNE,2.0,IVOVIC A,3 - 2,291,MNE,4:51,Saved,0
5m shot,3.0,4,3,2,MNE,2.0,AXENOV A,3 - 2,268,KAZ,4:28,Saved,0
Action shot,2.0,4,3,2,MNE,2.0,BRGULJAN D,3 - 2,246,MNE,4:06,Saved,0
5m shot,7.0,4,3,2,MNE,2.0,JANOVIC M,3 - 2,229,MNE,3:49,Post,0
Extra player shot,3.0,4,3,2,MNE,2.0,AXENOV A,3 - 2,186,KAZ,3:06,Blocked,0
Action shot,3.0,4,4,2,MNE,2.0,AXENOV A,4 - 2,176,KAZ,2:56,Goal,1
Extra player shot,5.0,4,4,3,MNE,2.0,BRGULJAN D,4 - 3,140,MNE,2:20,Goal,1
Penalty shot,7.0,4,4,4,MNE,2.0,JANOVIC M,4 - 4,96,MNE,1:36,Goal,1
Action shot,3.0,4,4,4,MNE,2.0,AXENOV A,4 - 4,67,KAZ,1:07,Post,0
Counter attack,12.0,4,4,5,MNE,2.0,JOKIC P,4 - 5,15,MNE,0:15,Goal,1
Centre shot,9.0,4,5,5,MNE,2.0,UKUMANOV R,5 - 5,1,KAZ,0:01,Goal,1
5m shot,6.0,4,5,6,MNE,3.0,RADOVIC A,5 - 6,453,MNE,7:33,Goal,1
Action shot,2.0,4,6,6,MNE,3.0,GUBAREV S,6 - 6,417,KAZ,6:57,Goal,1
5m shot,5.0,4,6,6,MNE,3.0,USHAKOV V,6 - 6,366,KAZ,6:06,Blocked,0
Extra player shot,2.0,4,6,6,MNE,3.0,BRGULJAN D,6 - 6,328,MNE,5:28,Saved,0
Extra player shot,5.0,4,6,7,MNE,3.0,BRGULJAN D,6 - 7,204,MNE,3:24,Goal,1
Centre shot,9.0,4,6,8,MNE,3.0,IVOVIC A,6 - 8,155,MNE,2:35,Goal,1
5m shot,9.0,4,6,8,MNE,3.0,UKUMANOV R,6 - 8,127,KAZ,2:07,Saved,0
5m shot,9.0,4,6,8,MNE,3.0,UKUMANOV R,6 - 8,115,KAZ,1:55,Blocked,0
Extra player shot,5.0,4,6,9,MNE,3.0,BRGULJAN D,6 - 9,87,MNE,1:27,Goal,1
Action shot,7.0,4,6,10,MNE,3.0,JANOVIC M,6 - 10,6,MNE,0:06,Goal,1
5m shot,4.0,4,6,10,MNE,4.0,PILIPENKO R,6 - 10,431,KAZ,7:11,Saved,0
Extra player shot,3.0,4,6,10,MNE,4.0,AXENOV A,6 - 10,392,KAZ,6:32,Saved,0
Extra player shot,5.0,4,7,10,MNE,4.0,USHAKOV V,7 - 10,388,KAZ,6:28,Goal,1
Extra player shot,6.0,4,7,10,MNE,4.0,RADOVIC A,7 - 10,351,MNE,5:51,Blocked,0
Action shot,7.0,4,7,10,MNE,4.0,JANOVIC M,7 - 10,340,MNE,5:40,Saved,0
5m shot,3.0,4,7,10,MNE,4.0,AXENOV A,7 - 10,318,KAZ,5:18,,0
5m shot,6.0,4,7,10,MNE,4.0,RADOVIC A,7 - 10,291,MNE,4:51,Saved,0
Counter attack,9.0,4,8,10,MNE,4.0,UKUMANOV R,8 - 10,274,KAZ,4:34,Goal,1
5m shot,9.0,4,8,11,MNE,4.0,IVOVIC A,8 - 11,246,MNE,4:06,Goal,1
5m shot,9.0,4,8,11,MNE,4.0,IVOVIC A,8 - 11,193,MNE,3:13,Blocked,0
Counter attack,3.0,4,8,11,MNE,4.0,PASKOVIC V,8 - 11,111,MNE,1:51,Saved,0
5m shot,3.0,4,8,11,MNE,4.0,AXENOV A,8 - 11,40,KAZ,0:40,Saved,0
Counter attack,3.0,4,8,12,MNE,4.0,PASKOVIC V,8 - 12,18,MNE,0:18,Goal,1
5m shot,9.0,4,8,12,MNE,4.0,UKUMANOV R,8 - 12,2,KAZ,0:02,Post,0
5m shot,2.0,5,0,0,CAN,1.0,KUDABA C,0 - 0,453,CAN,7:33,Missed,0
Action shot,3.0,5,1,0,CAN,1.0,AXENOV A,0 - 1,410,KAZ,6:50,Goal,1
Action shot,4.0,5,1,1,CAN,1.0,CONSTANTIN-BICARI,1 - 1,391,CAN,6:31,Goal,1
Extra player shot,12.0,5,1,1,CAN,1.0,MCELROY J,1 - 1,322,CAN,5:22,Missed,0
5m shot,2.0,5,1,1,CAN,1.0,GUBAREV S,1 - 1,294,KAZ,4:54,Missed,0
Action shot,3.0,5,1,1,CAN,1.0,VIKALO O,1 - 1,278,CAN,4:38,Missed,0
Counter attack,5.0,5,1,1,CAN,1.0,BOYD J,1 - 1,246,CAN,4:06,Saved,0
Counter attack,8.0,5,1,1,CAN,1.0,GRAHAM K,1 - 1,205,CAN,3:25,Saved,0
Action shot,6.0,5,1,1,CAN,1.0,SHMIDER A,1 - 1,169,KAZ,2:49,Saved,0
5m shot,5.0,5,1,1,CAN,1.0,BOYD J,1 - 1,152,CAN,2:32,Saved,0
5m shot,3.0,5,2,1,CAN,1.0,AXENOV A,1 - 2,107,KAZ,1:47,Goal,1
Extra player shot,3.0,5,2,1,CAN,1.0,AXENOV A,1 - 2,6,KAZ,0:06,Post,0
Action shot,10.0,5,2,1,CAN,1.0,CONWAY J,1 - 2,1,CAN,0:01,Saved,0
5m shot,12.0,5,2,1,CAN,2.0,MCELROY J,1 - 2,459,CAN,7:39,Saved,0
Action shot,10.0,5,2,1,CAN,2.0,CONWAY J,1 - 2,386,CAN,6:26,Saved,0
Action shot,2.0,5,2,1,CAN,2.0,GUBAREV S,1 - 2,366,KAZ,6:06,Missed,0
Counter attack,8.0,5,2,1,CAN,2.0,GRAHAM K,1 - 2,350,CAN,5:50,Saved,0
Extra player shot,4.0,5,2,1,CAN,2.0,PILIPENKO R,1 - 2,307,KAZ,5:07,Missed,0
Action shot,8.0,5,2,2,CAN,2.0,GRAHAM K,2 - 2,285,CAN,4:45,Goal,1
Action shot,12.0,5,2,2,CAN,2.0,PEKOVICH B,2 - 2,263,KAZ,4:23,Saved,0
Extra player shot,10.0,5,2,3,CAN,2.0,CONWAY J,3 - 2,236,CAN,3:56,Goal,1
Extra player shot,5.0,5,2,3,CAN,2.0,USHAKOV V,3 - 2,197,KAZ,3:17,Saved,0
Penalty shot,10.0,5,2,4,CAN,2.0,CONWAY J,4 - 2,192,CAN,3:12,Goal,1
Counter attack,10.0,5,2,5,CAN,2.0,CONWAY J,5 - 2,164,CAN,2:44,Goal,1
Extra player shot,12.0,5,2,5,CAN,2.0,PEKOVICH B,5 - 2,129,KAZ,2:09,Missed,0
Action shot,9.0,5,2,5,CAN,2.0,UKUMANOV R,5 - 2,99,KAZ,1:39,Post,0
Centre shot,11.0,5,2,5,CAN,4.0,TORAKIS G,5 - 2,1,CAN,0:01,Missed,0
Action shot,10.0,5,2,5,CAN,2.0,CONWAY J,5 - 2,59,CAN,0:59,Saved,0
5m shot,5.0,5,2,5,CAN,2.0,USHAKOV V,5 - 2,37,KAZ,0:37,Blocked,0
Extra player shot,12.0,5,2,6,CAN,2.0,MCELROY J,6 - 2,17,CAN,0:17,Goal,1
5m shot,9.0,5,2,6,CAN,2.0,UKUMANOV R,6 - 2,1,KAZ,0:01,Saved,0
Extra player shot,3.0,5,2,6,CAN,3.0,AXENOV A,6 - 2,424,KAZ,7:04,Blocked,0
5m shot,11.0,5,2,6,CAN,3.0,TORAKIS G,6 - 2,402,CAN,6:42,Saved,0
Counter attack,3.0,5,3,6,CAN,3.0,AXENOV A,6 - 3,360,KAZ,6:00,Goal,1
Action shot,10.0,5,3,6,CAN,3.0,CONWAY J,6 - 3,340,CAN,5:40,Post,0
Extra player shot,4.0,5,4,6,CAN,3.0,PILIPENKO R,6 - 4,308,KAZ,5:08,Goal,1
Action shot,8.0,5,4,6,CAN,3.0,GRAHAM K,6 - 4,277,CAN,4:37,Missed,0
Action shot,5.0,5,4,6,CAN,3.0,USHAKOV V,6 - 4,258,KAZ,4:18,Saved,0
Extra player shot,3.0,5,4,7,CAN,3.0,VIKALO O,7 - 4,178,CAN,2:58,Goal,1
5m shot,3.0,5,4,7,CAN,3.0,AXENOV A,7 - 4,160,KAZ,2:40,Post,0
5m shot,3.0,5,4,7,CAN,3.0,AXENOV A,7 - 4,111,KAZ,1:51,Post,0
5m shot,10.0,5,4,8,CAN,3.0,CONWAY J,8 - 4,99,CAN,1:39,Goal,1
Extra player shot,2.0,5,4,8,CAN,3.0,GUBAREV S,8 - 4,63,KAZ,1:03,Blocked,0
5m shot,2.0,5,4,8,CAN,3.0,KUDABA C,8 - 4,36,CAN,0:36,Saved,0
Centre shot,12.0,5,5,8,CAN,3.0,PEKOVICH B,8 - 5,15,KAZ,0:15,Goal,1
5m shot,7.0,5,5,8,CAN,4.0,SHAKENOV M,8 - 5,429,KAZ,7:09,Saved,0
Centre shot,3.0,5,5,8,CAN,4.0,AXENOV A,8 - 5,409,KAZ,6:49,Saved,0
