Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,1,7.0,6,3,HUN,1.0,OLIVEIRA A,3 - 1,314,BRA,5:14,Goal,1
Action shot,2,6.0,6,3,HUN,1.0,CHIAPPINI I,3 - 2,271,BRA,4:31,Goal,1
Centre shot,2,9.0,6,3,HUN,1.0,TOTH I,3 - 2,199,HUN,3:19,Saved,0
Counter attack,2,2.0,6,4,HUN,1.0,CZIGANY D,4 - 2,157,HUN,2:37,Goal,1
Extra player shot,2,2.0,6,5,HUN,1.0,CZIGANY D,5 - 2,70,HUN,1:10,Goal,1
5m shot,2,6.0,6,5,HUN,1.0,CHIAPPINI I,5 - 2,42,BRA,0:42,Missed,0
Penalty shot,2,10.0,6,6,HUN,2.0,BUJKA B,6 - 2,423,HUN,7:03,Goal,1
Counter attack,2,5.0,6,7,HUN,2.0,SZUCS G,7 - 2,399,HUN,6:39,Goal,1
Centre shot,2,4.0,6,7,HUN,2.0,KISTELEKI D,7 - 2,371,HUN,6:11,Saved,0
5m shot,2,7.0,6,7,HUN,2.0,OLIVEIRA A,7 - 2,348,BRA,5:48,Post,0
Counter attack,2,8.0,6,8,HUN,2.0,KESZTHELYI R,8 - 2,336,HUN,5:36,Goal,1
Extra player shot,2,9.0,6,8,HUN,2.0,DIAS M,8 - 2,302,BRA,5:02,Post,0
Action shot,2,6.0,6,8,HUN,2.0,CHIAPPINI I,8 - 2,285,BRA,4:45,Post,0
Action shot,2,2.0,6,9,HUN,2.0,CZIGANY D,9 - 2,240,HUN,4:00,Goal,1
5m shot,2,6.0,6,9,HUN,2.0,TAKACS O,9 - 2,195,HUN,3:15,Post,0
Action shot,2,7.0,6,9,HUN,2.0,OLIVEIRA A,9 - 2,172,BRA,2:52,Blocked,0
Counter attack,2,3.0,6,10,HUN,2.0,ANTAL D,10 - 2,158,HUN,2:38,Goal,1
Action shot,3,3.0,6,10,HUN,2.0,ZABLITH M,10 - 3,123,BRA,2:03,Goal,1
Action shot,3,11.0,6,10,HUN,4.0,GARDA K,10 - 3,296,HUN,4:56,Saved,0
Action shot,5,6.0,6,19,HUN,4.0,CHIAPPINI I,19 - 5,273,BRA,4:33,Goal,1
Centre shot,5,4.0,6,20,HUN,4.0,KISTELEKI D,20 - 5,256,HUN,4:16,Goal,1
5m shot,5,6.0,6,20,HUN,4.0,CHIAPPINI I,20 - 5,231,BRA,3:51,Missed,0
Action shot,5,12.0,6,20,HUN,4.0,MENCZINGER K,20 - 5,220,HUN,3:40,Post,0
Action shot,5,6.0,6,20,HUN,4.0,TAKACS O,20 - 5,177,HUN,2:57,Saved,0
Centre shot,3,4.0,6,11,HUN,2.0,KISTELEKI D,11 - 3,103,HUN,1:43,Goal,1
5m shot,3,11.0,6,11,HUN,2.0,GARDA K,11 - 3,61,HUN,1:01,Saved,0
Action shot,4,3.0,6,11,HUN,2.0,ZABLITH M,11 - 4,45,BRA,0:45,Goal,1
5m shot,4,9.0,6,11,HUN,2.0,TOTH I,11 - 4,0,HUN,0:00,Saved,0
Action shot,4,12.0,6,11,HUN,3.0,MANTELLATO G,11 - 4,457,BRA,7:37,Saved,0
Action shot,4,10.0,6,12,HUN,3.0,BUJKA B,12 - 4,440,HUN,7:20,Goal,1
