Action,Cap,GBR,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Goal,4.0,3,2,3,GRE,2.0,GIBSON-BYRNE C,3 - 3,173,GBR,2:53
Action shot - Blocked,10.0,3,2,3,GRE,2.0,MANOLIOUDAKI T,3 - 3,148,GRE,2:28
5m shot - Missed,8.0,3,2,3,GRE,2.0,MUSGROVE H,3 - 3,128,GBR,2:08
Turnover foul,6.0,3,2,3,GRE,2.0,AVRAMIDOU A,3 - 3,115,GRE,1:55
Steal,8.0,3,2,3,GRE,2.0,MUSGROVE H,3 - 3,115,GBR,1:55
Action shot - Blocked,4.0,3,2,3,GRE,2.0,GIBSON-BYRNE C,3 - 3,86,GBR,1:26
Action shot - Post,10.0,3,2,3,GRE,2.0,MANOLIOUDAKI T,3 - 3,60,GRE,1:00
20 sec. exclusion in centre,8.0,3,2,3,GRE,2.0,ROUMPESI A,3 - 3,32,GRE,0:32
5m shot - Post,8.0,3,2,3,GRE,2.0,MUSGROVE H,3 - 3,2,GBR,0:02
Starting goalkeeper,1.0,3,2,3,GRE,3.0,MORRIS R,3 - 3,480,GBR,8:00
Starting goalkeeper,1.0,3,2,3,GRE,3.0,KOUVDOU E,3 - 3,480,GRE,8:00
Sprint won possession,2.0,3,2,3,GRE,3.0,WILCOX C,3 - 3,480,GBR,8:00
20 sec. exclusion in centre,10.0,3,2,3,GRE,4.0,WINSTANLEY-SMITH A,3 - 3,27,GBR,0:27
Extra player shot - Post,11.0,3,2,3,GRE,4.0,PLEVRITOU E,3 - 3,12,GRE,0:12
Centre shot - Missed,7.0,3,2,3,GRE,3.0,GIBSON L,3 - 3,461,GBR,7:41
Centre shot - Goal,7.0,3,2,4,GRE,3.0,ASIMAKI A,3 - 4,444,GRE,7:24
Turnover foul,7.0,3,2,4,GRE,3.0,GIBSON L,3 - 4,428,GBR,7:08
Centre shot - Goal,7.0,3,2,5,GRE,3.0,ASIMAKI A,3 - 5,415,GRE,6:55
Turnover foul,8.0,3,2,5,GRE,3.0,MUSGROVE H,3 - 5,387,GBR,6:27
Steal,2.0,3,2,5,GRE,3.0,TSOUKALA C,3 - 5,387,GRE,6:27
Centre shot - Goal,6.0,3,2,6,GRE,3.0,AVRAMIDOU A,3 - 6,363,GRE,6:03
Time-Out,,3,2,6,GRE,3.0,,3 - 6,363,GBR,6:03
Turnover foul,2.0,3,2,6,GRE,3.0,WILCOX C,3 - 6,335,GBR,5:35
Steal,1.0,3,2,6,GRE,3.0,KOUVDOU E,3 - 6,335,GRE,5:35
Centre shot - Missed,7.0,3,2,6,GRE,3.0,ASIMAKI A,3 - 6,310,GRE,5:10
20 sec. exclusion in field,2.0,3,2,6,GRE,3.0,TSOUKALA C,3 - 6,300,GRE,5:00
Extra player shot - Saved,4.0,3,2,6,GRE,3.0,GIBSON-BYRNE C,3 - 6,283,GBR,4:43
Action shot - Missed,2.0,3,2,6,GRE,3.0,WILCOX C,3 - 6,263,GBR,4:23
Turnover foul,7.0,3,2,6,GRE,3.0,ASIMAKI A,3 - 6,247,GRE,4:07
20 sec. exclusion in centre,10.0,3,2,6,GRE,3.0,MANOLIOUDAKI T,3 - 6,225,GRE,3:45
Extra player shot - Saved,6.0,3,2,6,GRE,3.0,NIXON C,3 - 6,205,GBR,3:25
Penalty foul,6.0,3,2,6,GRE,3.0,AVRAMIDOU A,3 - 6,204,GRE,3:24
Penalty shot - Goal,4.0,4,2,6,GRE,3.0,GIBSON-BYRNE C,4 - 6,204,GBR,3:24
5m shot - Goal,4.0,4,2,7,GRE,3.0,PSOUNI I,4 - 7,177,GRE,2:57
Turnover foul,9.0,4,2,7,GRE,3.0,ETIEBET P,4 - 7,158,GBR,2:38
Steal,1.0,4,2,7,GRE,3.0,KOUVDOU E,4 - 7,158,GRE,2:38
5m shot - Missed,2.0,4,2,7,GRE,3.0,TSOUKALA C,4 - 7,132,GRE,2:12
5m shot - Missed,11.0,4,2,7,GRE,3.0,CLAYTON F,4 - 7,117,GBR,1:57
Turnover foul,10.0,4,2,7,GRE,3.0,MANOLIOUDAKI T,4 - 7,92,GRE,1:32
