Action,Cap,GBR,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,12.0,3,3,14,USA,4.0,CRAIG K,14 - 3,152,USA,2:32,Goal,1
Action shot,5.0,3,3,15,USA,4.0,CLARK C,15 - 3,110,USA,1:50,Goal,1
Action shot,12.0,4,3,15,USA,4.0,FOWLER K,15 - 4,90,GBR,1:30,Goal,1
Action shot,4.0,4,3,16,USA,4.0,FATTAL R,16 - 4,61,USA,1:01,Goal,1
Action shot,3.0,4,3,16,USA,4.0,McCANN F,16 - 4,45,GBR,0:45,Saved,0
Counter attack,4.0,0,4,1,HUN,1.0,KISTELEKI D,1 - 0,418,HUN,6:58,Goal,1
Action shot,6.0,1,4,1,HUN,1.0,NIXON C,1 - 1,393,GBR,6:33,Goal,1
Extra player shot,5.0,1,4,1,HUN,1.0,SZUCS G,1 - 1,246,HUN,4:06,Blocked,0
Extra player shot,4.0,1,4,2,HUN,1.0,KISTELEKI D,2 - 1,193,HUN,3:13,Goal,1
Action shot,7.0,1,4,2,HUN,1.0,MISKOLCZI I,2 - 1,155,HUN,2:35,Post,0
5m shot,8.0,1,4,2,HUN,1.0,MUSGROVE H,2 - 1,125,GBR,2:05,Post,0
Centre shot,10.0,1,4,3,HUN,1.0,BUJKA B,3 - 1,73,HUN,1:13,Goal,1
Centre shot,10.0,1,4,4,HUN,1.0,BUJKA B,4 - 1,39,HUN,0:39,Goal,1
Action shot,4.0,2,4,4,HUN,1.0,GIBSON-BYRNE C,4 - 2,16,GBR,0:16,Goal,1
5m shot,6.0,2,4,4,HUN,1.0,NIXON C,4 - 2,1,GBR,0:01,Saved,0
Action shot,4.0,2,4,4,HUN,2.0,KISTELEKI D,4 - 2,397,HUN,6:37,Saved,0
Action shot,10.0,2,4,4,HUN,2.0,WINSTANLEY-SMITH A,4 - 2,369,GBR,6:09,Saved,0
Counter attack,8.0,2,4,5,HUN,2.0,KESZTHELYI R,5 - 2,359,HUN,5:59,Goal,1
