Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Action shot,2.0,3,4,NZL,3.0,MUSSELMAN M,4 - 14,332,USA,5:32,14,Goal,1
5m shot,9.0,3,5,NZL,3.0,STONEMAN E,5 - 14,310,NZL,5:10,14,Goal,1
5m shot,7.0,3,5,NZL,3.0,RANEY J,5 - 14,281,USA,4:41,14,Missed,0
Extra player shot,7.0,3,5,NZL,3.0,RANEY J,5 - 15,227,USA,3:47,15,Goal,1
Counter attack,9.0,3,5,NZL,3.0,FISCHER A,5 - 16,130,USA,2:10,16,Goal,1
Action shot,9.0,3,5,NZL,3.0,FISCHER A,5 - 17,79,USA,1:19,17,Goal,1
5m shot,3.0,3,5,NZL,3.0,MASON K,5 - 17,33,NZL,0:33,17,Blocked,0
Action shot,8.0,3,5,NZL,3.0,NEUSHUL K,5 - 18,19,USA,0:19,18,Goal,1
5m shot,9.0,3,5,NZL,3.0,STONEMAN E,5 - 18,1,NZL,0:01,18,Saved,0
Extra player shot,6.0,3,5,NZL,4.0,STEFFENS M,5 - 19,445,USA,7:25,19,Goal,1
5m shot,8.0,3,5,NZL,4.0,LOPES da SILVA C,5 - 19,400,NZL,6:40,19,Missed,0
Extra player shot,2.0,3,5,NZL,4.0,LEWIS N,5 - 19,328,NZL,5:28,19,Missed,0
5m shot,2.0,3,5,NZL,4.0,MUSSELMAN M,5 - 19,282,USA,4:42,19,Post,0
5m shot,11.0,3,5,NZL,4.0,HUDSON K,5 - 19,254,NZL,4:14,19,Saved,0
Extra player shot,4.0,3,5,NZL,4.0,FATTAL R,5 - 20,228,USA,3:48,20,Goal,1
5m shot,7.0,3,5,NZL,4.0,HOUGHTON E,5 - 20,208,NZL,3:28,20,Blocked,0
Counter attack,12.0,3,5,NZL,4.0,WILLIAMS A,5 - 20,195,USA,3:15,20,Saved,0
Extra player shot,12.0,3,5,NZL,4.0,PYE B,5 - 20,154,NZL,2:34,20,Saved,0
5m shot,3.0,3,6,NZL,4.0,MASON K,6 - 20,142,NZL,2:22,20,Goal,1
Action shot,11.0,3,7,NZL,4.0,HUDSON K,7 - 20,80,NZL,1:20,20,Goal,1
Action shot,10.0,3,7,NZL,4.0,NEUSHUL J,7 - 21,47,USA,0:47,21,Goal,1
5m shot,3.0,3,7,NZL,4.0,MASON K,7 - 21,16,NZL,0:16,21,Blocked,0
Extra player shot,6.0,3,7,NZL,4.0,STEFFENS M,7 - 22,7,USA,0:07,22,Goal,1
5m shot,3.0,3,7,NZL,4.0,MASON K,7 - 22,1,NZL,0:01,22,Saved,0
5m shot,6.0,4,0,AUS,1.0,STEFFENS M,0 - 0,409,USA,6:49,0,Post,0
5m shot,11.0,4,0,AUS,1.0,FISCHER M,0 - 0,349,USA,5:49,0,Post,0
Action shot,7.0,4,0,AUS,1.0,WEBSTER R,0 - 0,219,AUS,3:39,0,Blocked,0
Centre shot,2.0,4,0,AUS,1.0,GOFERS K,0 - 0,193,AUS,3:13,0,Saved,0
Action shot,2.0,4,0,AUS,1.0,MUSSELMAN M,0 - 0,174,USA,2:54,0,Blocked,0
Action shot,2.0,4,0,AUS,1.0,MUSSELMAN M,0 - 0,169,USA,2:49,0,Post,0
5m shot,3.0,4,0,AUS,1.0,BUCKLING H,0 - 0,141,AUS,2:21,0,Missed,0
5m shot,4.0,4,0,AUS,1.0,FATTAL R,0 - 0,114,USA,1:54,0,Post,0
Action shot,3.0,4,0,AUS,1.0,BUCKLING H,0 - 0,56,AUS,0:56,0,Blocked,0
Action shot,4.0,4,0,AUS,2.0,HALLIGAN B,0 - 0,425,AUS,7:05,0,Missed,0
Centre shot,9.0,4,0,AUS,2.0,FISCHER A,0 - 0,399,USA,6:39,0,Post,0
Centre shot,7.0,4,0,AUS,2.0,WEBSTER R,0 - 0,371,AUS,6:11,0,Saved,0
Action shot,8.0,4,0,AUS,2.0,NEUSHUL K,0 - 0,314,USA,5:14,0,Post,0
Action shot,7.0,4,0,AUS,2.0,WEBSTER R,0 - 0,296,AUS,4:56,0,Post,0
Action shot,12.0,4,0,AUS,2.0,WILLIAMS A,0 - 0,264,USA,4:24,0,Saved,0
Action shot,2.0,4,0,AUS,2.0,GOFERS K,0 - 0,233,AUS,3:53,0,Saved,0
Extra player shot,7.0,4,0,AUS,2.0,RANEY J,1 - 0,208,USA,3:28,1,Goal,1
Action shot,7.0,4,0,AUS,2.0,RANEY J,2 - 0,149,USA,2:29,2,Goal,1
5m shot,11.0,4,0,AUS,2.0,FISCHER M,2 - 0,65,USA,1:05,2,Blocked,0
Action shot,2.0,4,0,AUS,2.0,MUSSELMAN M,3 - 0,36,USA,0:36,3,Goal,1
Extra player shot,4.0,4,0,AUS,2.0,HALLIGAN B,3 - 0,1,AUS,0:01,3,Saved,0
Extra player shot,2.0,4,0,AUS,3.0,MUSSELMAN M,3 - 0,434,USA,7:14,3,Saved,0
Action shot,2.0,4,0,AUS,3.0,MUSSELMAN M,3 - 0,416,USA,6:56,3,Missed,0
Action shot,2.0,4,1,AUS,3.0,GOFERS K,3 - 1,387,AUS,6:27,3,Goal,1
5m shot,5.0,4,1,AUS,3.0,BISHOP I,3 - 1,308,AUS,5:08,3,Saved,0
Action shot,8.0,4,1,AUS,3.0,NEUSHUL K,3 - 1,276,USA,4:36,3,Saved,0
5m shot,10.0,4,1,AUS,3.0,MIHAILOVIC L,3 - 1,243,AUS,4:03,3,Saved,0
Action shot,2.0,4,1,AUS,3.0,MUSSELMAN M,3 - 1,223,USA,3:43,3,Saved,0
Action shot,3.0,4,1,AUS,3.0,SEIDEMANN M,4 - 1,182,USA,3:02,4,Goal,1
Action shot,2.0,4,2,AUS,3.0,GOFERS K,4 - 2,137,AUS,2:17,4,Goal,1
Action shot,11.0,4,2,AUS,3.0,FISCHER M,4 - 2,114,USA,1:54,4,Missed,0
Centre shot,9.0,4,2,AUS,3.0,FISCHER A,4 - 2,71,USA,1:11,4,Saved,0
Action shot,10.0,4,2,AUS,3.0,NEUSHUL J,5 - 2,70,USA,1:10,5,Goal,1
5m shot,3.0,4,2,AUS,3.0,SEIDEMANN M,5 - 2,15,USA,0:15,5,Saved,0
Action shot,8.0,4,2,AUS,4.0,NEUSHUL K,5 - 2,409,USA,6:49,5,Saved,0
Action shot,5.0,4,2,AUS,4.0,BISHOP I,5 - 2,377,AUS,6:17,5,Saved,0
Action shot,2.0,4,3,AUS,4.0,GOFERS K,5 - 3,342,AUS,5:42,5,Goal,1
Action shot,12.0,4,3,AUS,4.0,WILLIAMS A,5 - 3,326,USA,5:26,5,Post,0
Extra player shot,2.0,4,3,AUS,4.0,MUSSELMAN M,6 - 3,248,USA,4:08,6,Goal,1
Centre shot,3.0,4,3,AUS,4.0,SEIDEMANN M,6 - 3,200,USA,3:20,6,Saved,0
5m shot,7.0,4,3,AUS,4.0,WEBSTER R,6 - 3,182,AUS,3:02,6,Missed,0
Action shot,4.0,4,3,AUS,4.0,FATTAL R,7 - 3,165,USA,2:45,7,Goal,1
Extra player shot,2.0,4,4,AUS,4.0,GOFERS K,7 - 4,130,AUS,2:10,7,Goal,1
Extra player shot,3.0,4,4,AUS,4.0,SEIDEMANN M,7 - 4,103,USA,1:43,7,Saved,0
Penalty shot,7.0,4,5,AUS,4.0,WEBSTER R,7 - 5,89,AUS,1:29,7,Goal,1
5m shot,7.0,4,5,AUS,4.0,WEBSTER R,7 - 5,1,AUS,0:01,7,Missed,0
Centre shot,8.0,5,1,RUS,1.0,SIMANOVICH A,1 - 0,430,RUS,7:10,0,Goal,1
Action shot,11.0,5,1,RUS,1.0,FISCHER M,1 - 0,353,USA,5:53,0,Saved,0
5m shot,3.0,5,2,RUS,1.0,PROKOFYEVA E,2 - 0,294,RUS,4:54,0,Goal,1
Action shot,2.0,5,2,RUS,1.0,MUSSELMAN M,2 - 1,267,USA,4:27,1,Goal,1
Extra player shot,4.0,5,2,RUS,1.0,FATTAL R,2 - 2,215,USA,3:35,2,Goal,1
5m shot,3.0,5,3,RUS,1.0,PROKOFYEVA E,3 - 2,178,RUS,2:58,2,Goal,1
Action shot,6.0,5,3,RUS,1.0,STEFFENS M,3 - 2,149,USA,2:29,2,Post,0
Penalty shot,5.0,5,4,RUS,1.0,BORISOVA M,4 - 2,130,RUS,2:10,2,Goal,1
5m shot,6.0,5,4,RUS,1.0,STEFFENS M,4 - 3,106,USA,1:46,3,Goal,1
5m shot,11.0,5,4,RUS,1.0,FISCHER M,4 - 3,67,USA,1:07,3,Post,0
