Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in centre,8.0,1,0,3,GRE,3.0,DELAKAS E,0 - 3,464,GRE,7:44
Turnover foul,9.0,1,0,3,GRE,3.0,IVOVIC A,0 - 3,439,MNE,7:19
Steal,12.0,1,0,3,GRE,3.0,VLACHOPOULOS A,0 - 3,439,GRE,7:19
Turnover foul,2.0,1,0,3,GRE,3.0,MYLONAKIS E,0 - 3,425,GRE,7:05
Action shot - Saved,9.0,1,0,3,GRE,3.0,IVOVIC A,0 - 3,396,MNE,6:36
20 sec. exclusion in field,12.0,1,0,3,GRE,3.0,JOKIC P,0 - 3,379,MNE,6:19
Extra player shot - Missed,9.0,1,0,3,GRE,3.0,MOURIKIS K,0 - 3,365,GRE,6:05
20 sec. exclusion in field,6.0,1,0,3,GRE,3.0,PONTIKEAS K,0 - 3,345,GRE,5:45
Turnover foul,7.0,1,0,3,GRE,3.0,JANOVIC M,0 - 3,327,MNE,5:27
Action shot - Missed,7.0,1,0,3,GRE,3.0,JANOVIC M,0 - 3,298,MNE,4:58
20 sec. exclusion in field,7.0,1,0,3,GRE,3.0,JANOVIC M,0 - 3,297,MNE,4:57
Time-Out,,1,0,3,GRE,3.0,,0 - 3,297,GRE,4:57
Extra player shot - Saved,8.0,1,0,3,GRE,3.0,DELAKAS E,0 - 3,278,GRE,4:38
Centre shot - Missed,10.0,1,0,3,GRE,3.0,KOLOMVOS C,0 - 3,260,GRE,4:20
Action shot - Post,5.0,1,0,3,GRE,3.0,BRGULJAN D,0 - 3,240,MNE,4:00
Centre shot - Missed,10.0,1,0,3,GRE,3.0,KOLOMVOS C,0 - 3,229,GRE,3:49
Turnover foul,3.0,1,0,3,GRE,3.0,PASKOVIC V,0 - 3,171,MNE,2:51
20 sec. exclusion in field,8.0,1,0,3,GRE,3.0,JANOVIC N,0 - 3,170,MNE,2:50
Action shot - Goal,5.0,1,0,4,GRE,3.0,FOUNTOULIS I,0 - 4,147,GRE,2:27
Action shot - Saved,3.0,1,0,4,GRE,3.0,PASKOVIC V,0 - 4,121,MNE,2:01
20 sec. exclusion in centre,6.0,1,0,4,GRE,3.0,CROUSILLAT U,0 - 4,106,MNE,1:46
Turnover foul,5.0,1,0,4,GRE,3.0,FOUNTOULIS I,0 - 4,89,GRE,1:29
Steal,2.0,1,0,4,GRE,3.0,BRGULJAN D,0 - 4,89,MNE,1:29
Penalty foul,12.0,1,0,4,GRE,3.0,VLACHOPOULOS A,0 - 4,74,GRE,1:14
Penalty shot - Goal,9.0,1,1,4,GRE,3.0,IVOVIC A,1 - 4,74,MNE,1:14
20 sec. exclusion in field,5.0,1,1,4,GRE,3.0,BRGULJAN D,1 - 4,53,MNE,0:53
Action shot - Goal,2.0,1,1,5,GRE,3.0,MYLONAKIS E,1 - 5,26,GRE,0:26
Turnover foul,10.0,1,1,5,GRE,3.0,MISIC S,1 - 5,2,MNE,0:02
Steal,7.0,1,1,5,GRE,3.0,AFROUDAKIS C,1 - 5,2,GRE,0:02
Starting goalkeeper,13.0,1,1,5,GRE,4.0,SCEPANOVIC M,1 - 5,480,MNE,8:00
Starting goalkeeper,1.0,1,1,5,GRE,4.0,TSALKANIS K,1 - 5,480,GRE,8:00
Sprint won possession,6.0,1,1,5,GRE,4.0,CROUSILLAT U,1 - 5,480,MNE,8:00
Action shot - Post,6.0,1,1,5,GRE,4.0,CROUSILLAT U,1 - 5,450,MNE,7:30
Action shot - Saved,9.0,1,1,5,GRE,4.0,IVOVIC A,1 - 5,438,MNE,7:18
20 sec. exclusion in centre,4.0,1,1,5,GRE,4.0,PETROVIC A,1 - 5,415,MNE,6:55
Exclusion with substitution,4.0,1,1,5,GRE,4.0,PETROVIC A,1 - 5,415,MNE,6:55
Extra player shot - Goal,2.0,1,1,6,GRE,4.0,MYLONAKIS E,1 - 6,414,GRE,6:54
20 sec. exclusion in centre,8.0,1,1,6,GRE,4.0,DELAKAS E,1 - 6,396,GRE,6:36
Extra player shot - Saved,6.0,1,1,6,GRE,4.0,CROUSILLAT U,1 - 6,381,MNE,6:21
Action shot - Saved,6.0,1,1,6,GRE,4.0,CROUSILLAT U,1 - 6,339,MNE,5:39
5m shot - Blocked,11.0,1,1,6,GRE,4.0,GOUNAS A,1 - 6,311,GRE,5:11
Action shot - Goal,9.0,1,2,6,GRE,4.0,IVOVIC A,2 - 6,276,MNE,4:36
Turnover foul,9.0,1,2,6,GRE,4.0,MOURIKIS K,2 - 6,245,GRE,4:05
Steal,2.0,1,2,6,GRE,4.0,BRGULJAN D,2 - 6,245,MNE,4:05
Action shot - Blocked,8.0,1,2,6,GRE,4.0,JANOVIC N,2 - 6,219,MNE,3:39
5m shot - Blocked,8.0,1,2,6,GRE,4.0,DELAKAS E,2 - 6,191,GRE,3:11
Time-Out,,1,2,6,GRE,4.0,,2 - 6,177,MNE,2:57
Action shot - Saved,7.0,1,2,6,GRE,4.0,JANOVIC M,2 - 6,161,MNE,2:41
20 sec. exclusion in field,5.0,1,2,6,GRE,4.0,FOUNTOULIS I,2 - 6,126,GRE,2:06
Extra player shot - Missed,2.0,1,2,6,GRE,4.0,BRGULJAN D,2 - 6,119,MNE,1:59
Centre shot - Blocked,9.0,1,2,6,GRE,4.0,MOURIKIS K,2 - 6,95,GRE,1:35
20 sec. exclusion in centre,12.0,1,2,6,GRE,4.0,VLACHOPOULOS A,2 - 6,66,GRE,1:06
Exclusion with substitution,12.0,1,2,6,GRE,4.0,VLACHOPOULOS A,2 - 6,66,GRE,1:06
Extra player shot - Goal,8.0,1,3,6,GRE,4.0,JANOVIC N,3 - 6,56,MNE,0:56
Action shot - Blocked,5.0,1,3,6,GRE,4.0,FOUNTOULIS I,3 - 6,28,GRE,0:28
Counter attack - Goal,9.0,1,4,6,GRE,4.0,IVOVIC A,4 - 6,22,MNE,0:22
Starting goalkeeper,1.0,2,0,0,ESP,1.0,RADIC Z,0 - 0,480,MNE,8:00
Starting goalkeeper,1.0,2,0,0,ESP,1.0,AGUILAR I,0 - 0,480,ESP,8:00
Sprint won possession,8.0,2,0,0,ESP,1.0,ESPANOL A,0 - 0,480,ESP,8:00
Turnover foul,7.0,2,0,0,ESP,1.0,SZIRANYI B,0 - 0,459,ESP,7:39
Counter attack - Goal,7.0,2,1,0,ESP,1.0,JANOVIC M,1 - 0,453,MNE,7:33
Centre shot - Goal,9.0,2,1,1,ESP,1.0,VALLES X,1 - 1,429,ESP,7:09
Action shot - Saved,2.0,2,1,1,ESP,1.0,BRGULJAN D,1 - 1,402,MNE,6:42
5m shot - Goal,5.0,2,1,2,ESP,1.0,MOLINA G,1 - 2,379,ESP,6:19
Action shot - Missed,7.0,2,1,2,ESP,1.0,JANOVIC M,1 - 2,349,MNE,5:49
Turnover foul,10.0,2,1,2,ESP,1.0,PERRONE F,1 - 2,321,ESP,5:21
Steal,1.0,2,1,2,ESP,1.0,RADIC Z,1 - 2,321,MNE,5:21
20 sec. exclusion in field,7.0,2,1,2,ESP,1.0,SZIRANYI B,1 - 2,305,ESP,5:05
Action shot - Goal,2.0,2,2,2,ESP,1.0,BRGULJAN D,2 - 2,283,MNE,4:43
20 sec. exclusion in field,10.0,2,2,2,ESP,1.0,MISIC S,2 - 2,263,MNE,4:23
Action shot - Goal,8.0,2,2,3,ESP,1.0,ESPANOL A,2 - 3,242,ESP,4:02
5m shot - Saved,5.0,2,2,3,ESP,1.0,BRGULJAN D,2 - 3,210,MNE,3:30
20 sec. exclusion in centre,12.0,2,2,3,ESP,1.0,JOKIC P,2 - 3,188,MNE,3:08
Extra player shot - Saved,11.0,2,2,3,ESP,1.0,ESTRANY P,2 - 3,183,ESP,3:03
20 sec. exclusion in centre,5.0,2,2,3,ESP,1.0,MOLINA G,2 - 3,159,ESP,2:39
Extra player shot - Saved,7.0,2,2,3,ESP,1.0,JANOVIC M,2 - 3,143,MNE,2:23
5m shot - Post,11.0,2,2,3,ESP,1.0,ESTRANY P,2 - 3,116,ESP,1:56
5m shot - Post,5.0,2,2,3,ESP,1.0,BRGULJAN D,2 - 3,95,MNE,1:35
Turnover foul,8.0,2,2,3,ESP,1.0,JANOVIC N,2 - 3,80,MNE,1:20
5m shot - Post,6.0,2,2,3,ESP,1.0,MINGUELL M,2 - 3,55,ESP,0:55
Centre shot - Saved,9.0,2,2,3,ESP,1.0,VALLES X,2 - 3,52,ESP,0:52
5m shot - Saved,5.0,2,2,3,ESP,1.0,BRGULJAN D,2 - 3,29,MNE,0:29
Turnover foul,10.0,2,2,3,ESP,1.0,PERRONE F,2 - 3,5,ESP,0:05
Steal,5.0,2,2,3,ESP,1.0,BRGULJAN D,2 - 3,5,MNE,0:05
5m shot - Missed,1.0,2,2,3,ESP,1.0,RADIC Z,2 - 3,1,MNE,0:01
Starting goalkeeper,1.0,2,2,3,ESP,2.0,RADIC Z,2 - 3,480,MNE,8:00
Starting goalkeeper,1.0,2,2,3,ESP,2.0,AGUILAR I,2 - 3,480,ESP,8:00
Sprint won possession,8.0,2,2,3,ESP,2.0,ESPANOL A,2 - 3,480,ESP,8:00
5m shot - Saved,12.0,2,2,3,ESP,2.0,GARCIA X,2 - 3,452,ESP,7:32
Turnover foul,7.0,2,2,3,ESP,2.0,SZIRANYI B,2 - 3,433,ESP,7:13
Turnover foul,3.0,2,2,3,ESP,2.0,PASKOVIC V,2 - 3,428,MNE,7:08
Steal,12.0,2,2,3,ESP,2.0,GARCIA X,2 - 3,428,ESP,7:08
Counter attack - Saved,12.0,2,2,3,ESP,2.0,GARCIA X,2 - 3,413,ESP,6:53
5m shot - Saved,4.0,2,2,3,ESP,2.0,PETROVIC A,2 - 3,383,MNE,6:23
Turnover foul,5.0,2,2,3,ESP,2.0,MOLINA G,2 - 3,359,ESP,5:59
Turnover foul,9.0,2,2,3,ESP,2.0,IVOVIC A,2 - 3,341,MNE,5:41
Centre shot - Saved,7.0,2,2,3,ESP,2.0,SZIRANYI B,2 - 3,323,ESP,5:23
5m shot - Missed,6.0,2,2,3,ESP,2.0,MINGUELL M,2 - 3,292,ESP,4:52
5m shot - Goal,9.0,2,3,3,ESP,2.0,IVOVIC A,3 - 3,275,MNE,4:35
20 sec. exclusion in centre,9.0,2,3,3,ESP,2.0,IVOVIC A,3 - 3,252,MNE,4:12
Extra player shot - Goal,8.0,2,3,4,ESP,2.0,ESPANOL A,3 - 4,234,ESP,3:54
5m shot - Saved,8.0,2,3,4,ESP,2.0,ESPANOL A,3 - 4,177,ESP,2:57
Turnover foul,9.0,2,3,4,ESP,2.0,VALLES X,3 - 4,155,ESP,2:35
Turnover foul,8.0,2,3,4,ESP,2.0,JANOVIC N,3 - 4,134,MNE,2:14
Action shot - Post,5.0,2,3,4,ESP,2.0,MOLINA G,3 - 4,111,ESP,1:51
Action shot - Goal,7.0,2,4,4,ESP,2.0,JANOVIC M,4 - 4,94,MNE,1:34
Penalty foul,4.0,2,4,4,ESP,2.0,PETROVIC A,4 - 4,73,MNE,1:13
Penalty shot - Goal,12.0,2,4,5,ESP,2.0,GARCIA X,4 - 5,73,ESP,1:13
20 sec. exclusion in field,12.0,2,4,5,ESP,2.0,GARCIA X,4 - 5,60,ESP,1:00
Time-Out,,2,4,5,ESP,2.0,,4 - 5,59,MNE,0:59
Turnover foul,11.0,2,4,5,ESP,2.0,KLIKOVAK F,4 - 5,37,MNE,0:37
Turnover foul,6.0,2,4,5,ESP,2.0,MINGUELL M,4 - 5,9,ESP,0:09
Steal,7.0,2,4,5,ESP,2.0,JANOVIC M,4 - 5,9,MNE,0:09
5m shot - Missed,1.0,2,4,5,ESP,2.0,RADIC Z,4 - 5,1,MNE,0:01
Starting goalkeeper,1.0,2,4,5,ESP,3.0,RADIC Z,4 - 5,480,MNE,8:00
Starting goalkeeper,1.0,2,4,5,ESP,3.0,AGUILAR I,4 - 5,480,ESP,8:00
Sprint won possession,2.0,2,4,5,ESP,3.0,BRGULJAN D,4 - 5,480,MNE,8:00
Penalty foul,6.0,2,4,5,ESP,3.0,MINGUELL M,4 - 5,455,ESP,7:35
Penalty shot - Goal,7.0,2,5,5,ESP,3.0,JANOVIC M,5 - 5,455,MNE,7:35
Turnover foul,8.0,2,5,5,ESP,4.0,ESPANOL A,5 - 5,3,ESP,0:03
5m shot - Saved,12.0,2,5,5,ESP,3.0,GARCIA X,5 - 5,426,ESP,7:06
5m shot - Saved,2.0,2,5,5,ESP,3.0,BRGULJAN D,5 - 5,400,MNE,6:40
20 sec. exclusion in field,11.0,2,5,5,ESP,3.0,KLIKOVAK F,5 - 5,396,MNE,6:36
Action shot - Missed,12.0,2,5,5,ESP,3.0,GARCIA X,5 - 5,377,ESP,6:17
Centre shot - Saved,9.0,2,5,5,ESP,3.0,IVOVIC A,5 - 5,350,MNE,5:50
5m shot - Post,8.0,2,5,5,ESP,3.0,ESPANOL A,5 - 5,321,ESP,5:21
20 sec. exclusion in centre,10.0,2,5,5,ESP,3.0,PERRONE F,5 - 5,304,ESP,5:04
Action shot - Saved,2.0,2,5,5,ESP,3.0,BRGULJAN D,5 - 5,277,MNE,4:37
Turnover foul,9.0,2,5,5,ESP,3.0,VALLES X,5 - 5,259,ESP,4:19
Centre shot - Goal,7.0,2,6,5,ESP,3.0,JANOVIC M,6 - 5,239,MNE,3:59
20 sec. exclusion in centre,4.0,2,6,5,ESP,3.0,PETROVIC A,6 - 5,215,MNE,3:35
Action shot - Saved,11.0,2,6,5,ESP,3.0,ESTRANY P,6 - 5,190,ESP,3:10
20 sec. exclusion in field,5.0,2,6,5,ESP,3.0,BRGULJAN D,6 - 5,162,MNE,2:42
Time-Out,,2,6,5,ESP,3.0,,6 - 5,162,ESP,2:42
Extra player shot - Missed,10.0,2,6,5,ESP,3.0,PERRONE F,6 - 5,144,ESP,2:24
20 sec. exclusion in field,9.0,2,6,5,ESP,3.0,VALLES X,6 - 5,125,ESP,2:05
Extra player shot - Saved,2.0,2,6,5,ESP,3.0,BRGULJAN D,6 - 5,102,MNE,1:42
Centre shot - Saved,8.0,2,6,5,ESP,3.0,JANOVIC N,6 - 5,101,MNE,1:41
Turnover foul,8.0,2,6,5,ESP,3.0,JANOVIC N,6 - 5,81,MNE,1:21
Turnover foul,7.0,2,6,5,ESP,3.0,SZIRANYI B,6 - 5,63,ESP,1:03
Turnover foul,8.0,2,6,5,ESP,3.0,JANOVIC N,6 - 5,41,MNE,0:41
20 sec. exclusion in field,8.0,2,6,5,ESP,3.0,JANOVIC N,6 - 5,40,MNE,0:40
Extra player shot - Blocked,6.0,2,6,5,ESP,3.0,MINGUELL M,6 - 5,20,ESP,0:20
Turnover foul,3.0,2,6,5,ESP,3.0,PASKOVIC V,6 - 5,3,MNE,0:03
Steal,10.0,2,6,5,ESP,3.0,PERRONE F,6 - 5,3,ESP,0:03
5m shot - Missed,10.0,2,6,5,ESP,3.0,PERRONE F,6 - 5,1,ESP,0:01
Starting goalkeeper,1.0,2,6,5,ESP,4.0,RADIC Z,6 - 5,480,MNE,8:00
Starting goalkeeper,1.0,2,6,5,ESP,4.0,AGUILAR I,6 - 5,480,ESP,8:00
Sprint won possession,2.0,2,6,5,ESP,4.0,BRGULJAN D,6 - 5,480,MNE,8:00
Turnover foul,11.0,2,6,5,ESP,4.0,KLIKOVAK F,6 - 5,457,MNE,7:37
20 sec. exclusion in field,3.0,2,6,5,ESP,4.0,PASKOVIC V,6 - 5,455,MNE,7:35
Turnover foul,5.0,2,6,5,ESP,4.0,MOLINA G,6 - 5,428,ESP,7:08
Turnover foul,11.0,2,6,5,ESP,4.0,KLIKOVAK F,6 - 5,400,MNE,6:40
Steal,12.0,2,6,5,ESP,4.0,GARCIA X,6 - 5,400,ESP,6:40
Centre shot - Missed,5.0,2,6,5,ESP,4.0,MOLINA G,6 - 5,375,ESP,6:15
Turnover foul,7.0,2,6,5,ESP,4.0,JANOVIC M,6 - 5,358,MNE,5:58
Steal,12.0,2,6,5,ESP,4.0,GARCIA X,6 - 5,358,ESP,5:58
Turnover foul,5.0,2,6,5,ESP,4.0,MOLINA G,6 - 5,340,ESP,5:40
Steal,5.0,2,6,5,ESP,4.0,BRGULJAN D,6 - 5,340,MNE,5:40
Penalty foul,6.0,2,6,5,ESP,4.0,MINGUELL M,6 - 5,321,ESP,5:21
Penalty shot - Goal,7.0,2,7,5,ESP,4.0,JANOVIC M,7 - 5,321,MNE,5:21
20 sec. exclusion in centre,12.0,2,7,5,ESP,4.0,JOKIC P,7 - 5,299,MNE,4:59
Extra player shot - Saved,10.0,2,7,5,ESP,4.0,PERRONE F,7 - 5,293,ESP,4:53
Turnover foul,12.0,2,7,5,ESP,4.0,JOKIC P,7 - 5,272,MNE,4:32
5m shot - Blocked,10.0,2,7,5,ESP,4.0,PERRONE F,7 - 5,253,ESP,4:13
Turnover foul,5.0,2,7,5,ESP,4.0,BRGULJAN D,7 - 5,228,MNE,3:48
Steal,9.0,2,7,5,ESP,4.0,VALLES X,7 - 5,228,ESP,3:48
5m shot - Saved,4.0,2,7,5,ESP,4.0,ALARCON R,7 - 5,207,ESP,3:27
Turnover foul,12.0,2,7,5,ESP,4.0,JOKIC P,7 - 5,182,MNE,3:02
Steal,3.0,2,7,5,ESP,4.0,de LERA R,7 - 5,182,ESP,3:02
20 sec. exclusion in centre,12.0,2,7,5,ESP,4.0,JOKIC P,7 - 5,154,MNE,2:34
Exclusion with substitution,12.0,2,7,5,ESP,4.0,JOKIC P,7 - 5,154,MNE,2:34
Extra player shot - Post,3.0,2,7,5,ESP,4.0,de LERA R,7 - 5,134,ESP,2:14
Turnover foul,10.0,2,7,5,ESP,4.0,MISIC S,7 - 5,103,MNE,1:43
Steal,8.0,2,7,5,ESP,4.0,ESPANOL A,7 - 5,103,ESP,1:43
Time-Out,,2,7,5,ESP,4.0,,7 - 5,102,ESP,1:42
Turnover foul,6.0,2,7,5,ESP,4.0,MINGUELL M,7 - 5,77,ESP,1:17
Steal,9.0,2,7,5,ESP,4.0,IVOVIC A,7 - 5,77,MNE,1:17
Turnover foul,8.0,2,7,5,ESP,4.0,JANOVIC N,7 - 5,58,MNE,0:58
20 sec. exclusion in centre,9.0,2,7,5,ESP,4.0,IVOVIC A,7 - 5,41,MNE,0:41
Extra player shot - Post,12.0,2,7,5,ESP,4.0,GARCIA X,7 - 5,34,ESP,0:34
Time-Out,,2,7,5,ESP,4.0,,7 - 5,34,MNE,0:34
5m shot - Saved,9.0,2,7,5,ESP,4.0,IVOVIC A,7 - 5,13,MNE,0:13
5m shot - Saved,2.0,2,7,5,ESP,4.0,BRGULJAN D,7 - 5,1,MNE,0:01
Starting goalkeeper,1.0,3,0,0,NZL,1.0,RADIC Z,0 - 0,480,MNE,8:00
Starting goalkeeper,1.0,3,0,0,NZL,1.0,KINGSMILL T,0 - 0,480,NZL,8:00
Sprint won possession,3.0,3,0,0,NZL,1.0,PASKOVIC V,0 - 0,480,MNE,8:00
Turnover foul,9.0,3,0,0,NZL,1.0,IVOVIC A,0 - 0,451,MNE,7:31
Steal,1.0,3,0,0,NZL,1.0,KINGSMILL T,0 - 0,451,NZL,7:31
Turnover foul,7.0,3,0,0,NZL,1.0,JACKSON D,0 - 0,428,NZL,7:08
20 sec. exclusion in centre,11.0,3,0,0,NZL,1.0,TIJSEN L,0 - 0,416,NZL,6:56
Extra player shot - Saved,2.0,3,0,0,NZL,1.0,BRGULJAN D,0 - 0,406,MNE,6:46
Extra player shot - Goal,11.0,3,1,0,NZL,1.0,KLIKOVAK F,1 - 0,397,MNE,6:37
Turnover foul,7.0,3,1,0,NZL,1.0,JACKSON D,1 - 0,381,NZL,6:21
Steal,9.0,3,1,0,NZL,1.0,IVOVIC A,1 - 0,381,MNE,6:21
5m shot - Goal,8.0,3,2,0,NZL,1.0,JANOVIC N,2 - 0,364,MNE,6:04
Centre shot - Saved,12.0,3,2,0,NZL,1.0,PYE A,2 - 0,342,NZL,5:42
Turnover foul,9.0,3,2,0,NZL,1.0,LUI-FAKAOTIMANAVA,2 - 0,324,NZL,5:24
Steal,3.0,3,2,0,NZL,1.0,PASKOVIC V,2 - 0,324,MNE,5:24
Counter attack - Goal,8.0,3,3,0,NZL,1.0,JANOVIC N,3 - 0,314,MNE,5:14
Turnover foul,10.0,3,3,0,NZL,1.0,BRYANT M,3 - 0,314,NZL,5:14
Turnover foul,2.0,3,3,0,NZL,1.0,LEWIS M,3 - 0,294,NZL,4:54
Steal,9.0,3,3,0,NZL,1.0,IVOVIC A,3 - 0,294,MNE,4:54
Centre shot - Goal,7.0,3,4,0,NZL,1.0,JANOVIC M,4 - 0,278,MNE,4:38
Action shot - Saved,12.0,3,4,0,NZL,1.0,PYE A,4 - 0,248,NZL,4:08
