Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Penalty shot,10.0,5,2,3,SRB,1.0,FILIPOVIC F,2 - 3,121,SRB,2:01,Goal,1
5m shot,2.0,5,2,3,SRB,1.0,BRGULJAN D,2 - 3,92,MNE,1:32,Missed,0
Action shot,6.0,5,2,3,SRB,1.0,PIJETLOVIC D,2 - 3,43,SRB,0:43,Saved,0
5m shot,11.0,5,2,3,SRB,1.0,PRLAINOVIC A,2 - 3,33,SRB,0:33,Saved,0
Extra player shot,2.0,5,2,4,SRB,2.0,MANDIC D,2 - 4,424,SRB,7:04,Goal,1
Extra player shot,8.0,5,3,4,SRB,2.0,JANOVIC N,3 - 4,391,MNE,6:31,Goal,1
5m shot,9.0,5,3,4,SRB,2.0,IVOVIC A,3 - 4,349,MNE,5:49,Post,0
Extra player shot,11.0,5,3,4,SRB,2.0,PRLAINOVIC A,3 - 4,291,SRB,4:51,Blocked,0
Action shot,10.0,5,3,4,SRB,2.0,FILIPOVIC F,3 - 4,284,SRB,4:44,Saved,0
Centre shot,7.0,5,4,4,SRB,2.0,JANOVIC M,4 - 4,235,MNE,3:55,Goal,1
Centre shot,7.0,5,4,5,SRB,2.0,NIKIC S,4 - 5,215,SRB,3:35,Goal,1
Action shot,3.0,5,4,6,SRB,2.0,GOCIC Z,4 - 6,173,SRB,2:53,Goal,1
Extra player shot,7.0,5,5,6,SRB,2.0,JANOVIC M,5 - 6,138,MNE,2:18,Goal,1
Counter attack,2.0,5,5,6,SRB,2.0,BRGULJAN D,5 - 6,107,MNE,1:47,Saved,0
Action shot,7.0,5,5,6,SRB,4.0,JANOVIC M,5 - 6,92,MNE,1:32,Blocked,0
5m shot,9.0,5,9,8,SRB,4.0,IVOVIC A,9 - 8,70,MNE,1:10,Goal,1
5m shot,11.0,5,9,8,SRB,4.0,PRLAINOVIC A,9 - 8,47,SRB,0:47,Missed,0
Penalty shot,9.0,5,6,6,SRB,2.0,IVOVIC A,6 - 6,86,MNE,1:26,Goal,1
Centre shot,7.0,5,6,6,SRB,2.0,NIKIC S,6 - 6,64,SRB,1:04,Missed,0
Action shot,2.0,5,6,6,SRB,2.0,BRGULJAN D,6 - 6,19,MNE,0:19,Saved,0
5m shot,8.0,5,6,6,SRB,2.0,JANOVIC N,6 - 6,2,MNE,0:02,Saved,0
5m shot,9.0,5,6,6,SRB,3.0,IVOVIC A,6 - 6,420,MNE,7:00,Blocked,0
Action shot,9.0,5,6,6,SRB,3.0,IVOVIC A,6 - 6,355,MNE,5:55,Post,0
Action shot,9.0,5,6,6,SRB,3.0,RADEN N,6 - 6,328,SRB,5:28,Blocked,0
5m shot,4.0,5,6,6,SRB,3.0,PETROVIC A,6 - 6,302,MNE,5:02,Missed,0
Action shot,7.0,5,7,6,SRB,3.0,JANOVIC M,7 - 6,211,MNE,3:31,Goal,1
Action shot,12.0,5,7,7,SRB,3.0,MITROVIC S,7 - 7,170,SRB,2:50,Goal,1
Extra player shot,8.0,5,7,7,SRB,3.0,JANOVIC N,7 - 7,127,MNE,2:07,Saved,0
Action shot,12.0,5,7,8,SRB,3.0,MITROVIC S,7 - 8,102,SRB,1:42,Goal,1
Action shot,10.0,5,7,8,SRB,3.0,FILIPOVIC F,7 - 8,14,SRB,0:14,Saved,0
Centre shot,11.0,5,7,8,SRB,4.0,KLIKOVAK F,7 - 8,453,MNE,7:33,Missed,0
Extra player shot,11.0,5,8,8,SRB,4.0,KLIKOVAK F,8 - 8,450,MNE,7:30,Goal,1
Action shot,2.0,5,8,8,SRB,4.0,MANDIC D,8 - 8,404,SRB,6:44,Blocked,0
Extra player shot,2.0,5,8,8,SRB,4.0,BRGULJAN D,8 - 8,371,MNE,6:11,Blocked,0
Counter attack,3.0,5,8,8,SRB,4.0,GOCIC Z,8 - 8,355,SRB,5:55,Missed,0
Penalty shot,7.0,5,8,8,SRB,4.0,JANOVIC M,8 - 8,333,MNE,5:33,Saved,0
Extra player shot,12.0,5,8,8,SRB,4.0,MITROVIC S,8 - 8,298,SRB,4:58,Saved,0
5m shot,4.0,5,8,8,SRB,4.0,PETROVIC A,8 - 8,268,MNE,4:28,Blocked,0
Centre shot,6.0,5,8,8,SRB,4.0,PIJETLOVIC D,8 - 8,222,SRB,3:42,Saved,0
5m shot,9.0,5,8,8,SRB,4.0,IVOVIC A,8 - 8,200,MNE,3:20,Blocked,0
Extra player shot,3.0,5,8,8,SRB,4.0,GOCIC Z,8 - 8,146,SRB,2:26,Saved,0
Action shot,11.0,5,8,8,SRB,4.0,PRLAINOVIC A,8 - 8,1,SRB,0:01,Saved,0
5m shot,9.0,6,1,0,ITA,1.0,IVOVIC A,1 - 0,455,MNE,7:35,Goal,1
Centre shot,11.0,6,1,0,ITA,1.0,AICARDI M,1 - 0,394,ITA,6:34,Saved,0
Action shot,7.0,6,2,0,ITA,1.0,JANOVIC M,2 - 0,355,MNE,5:55,Goal,1
