Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,9.0,8,4,6,JPN,4.0,HOSOYA K,6 - 8,175,JPN,2:55,Blocked,0
Extra player shot,3.0,8,4,6,JPN,4.0,KAZAMA Y,6 - 8,125,JPN,2:05,Saved,0
5m shot,5.0,8,4,6,JPN,4.0,GUILLET L,6 - 8,103,FRA,1:43,Missed,0
Counter attack,3.0,8,4,6,JPN,4.0,KAZAMA Y,6 - 8,91,JPN,1:31,Post,0
Penalty shot,3.0,9,4,6,JPN,4.0,BACHELIER L,6 - 9,4,FRA,0:04,Goal,1
5m shot,4.0,9,4,6,JPN,4.0,MAGARIYAMA S,6 - 9,0,JPN,0:00,Saved,0
Action shot,8.0,1,5,0,NZL,1.0,TARDY M,0 - 1,452,FRA,7:32,Goal,1
Action shot,2.0,1,5,0,NZL,1.0,LEWIS N,0 - 1,435,NZL,7:15,Saved,0
Action shot,2.0,1,5,0,NZL,1.0,MILLOT E,0 - 1,414,FRA,6:54,Missed,0
5m shot,6.0,1,5,0,NZL,1.0,LANDRY S,0 - 1,387,NZL,6:27,Saved,0
Action shot,12.0,1,5,0,NZL,1.0,MYLES J,0 - 1,375,NZL,6:15,Saved,0
5m shot,2.0,1,5,0,NZL,1.0,MILLOT E,0 - 1,345,FRA,5:45,Saved,0
5m shot,12.0,1,5,0,NZL,1.0,MYLES J,0 - 1,318,NZL,5:18,Blocked,0
5m shot,12.0,1,5,0,NZL,1.0,JASKOVA M,0 - 1,287,FRA,4:47,Blocked,0
5m shot,8.0,1,5,0,NZL,1.0,LOPES DA SILVA C,0 - 1,266,NZL,4:26,Saved,0
5m shot,3.0,1,5,0,NZL,1.0,BACHELIER L,0 - 1,236,FRA,3:56,Saved,0
Extra player shot,12.0,1,5,1,NZL,1.0,MYLES J,1 - 1,207,NZL,3:27,Goal,1
Action shot,2.0,1,5,1,NZL,1.0,MILLOT E,1 - 1,173,FRA,2:53,Saved,0
5m shot,10.0,1,5,1,NZL,1.0,DANCE L,1 - 1,139,NZL,2:19,Missed,0
