Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,9.0,3,0,0,CRO,1.0,SUKNO S,0 - 0,395,CRO,6:35,Missed,0
5m shot,4.0,3,0,0,CRO,1.0,SHIGA M,0 - 0,383,JPN,6:23,Missed,0
Centre shot,8.0,3,0,1,CRO,1.0,BUSLJE A,0 - 1,318,CRO,5:18,Goal,1
Extra player shot,5.0,3,0,2,CRO,1.0,JOKOVIC M,0 - 2,271,CRO,4:31,Goal,1
5m shot,10.0,3,0,2,CRO,1.0,KRAPIC I,0 - 2,222,CRO,3:42,Saved,0
5m shot,11.0,3,1,2,CRO,1.0,OKAWA K,1 - 2,203,JPN,3:23,Goal,1
5m shot,5.0,3,1,3,CRO,1.0,JOKOVIC M,1 - 3,182,CRO,3:02,Goal,1
Action shot,4.0,3,1,3,CRO,1.0,SHIGA M,1 - 3,141,JPN,2:21,Post,0
Action shot,3.0,3,1,4,CRO,1.0,FATOVIC L,1 - 4,79,CRO,1:19,Goal,1
Extra player shot,4.0,3,1,5,CRO,1.0,LONCAR L,1 - 5,28,CRO,0:28,Goal,1
5m shot,11.0,3,1,5,CRO,1.0,OKAWA K,1 - 5,1,JPN,0:01,Saved,0
Action shot,10.0,3,1,5,CRO,2.0,KRAPIC I,1 - 5,461,CRO,7:41,Missed,0
Centre shot,8.0,3,1,5,CRO,2.0,TAKATA M,1 - 5,448,JPN,7:28,Saved,0
5m shot,9.0,3,1,6,CRO,2.0,SUKNO S,1 - 6,432,CRO,7:12,Goal,1
5m shot,9.0,3,1,6,CRO,2.0,ARAI A,1 - 6,404,JPN,6:44,Blocked,0
Extra player shot,5.0,3,2,6,CRO,2.0,YOSHIDA T,2 - 6,340,JPN,5:40,Goal,1
Action shot,4.0,3,2,6,CRO,2.0,LONCAR L,2 - 6,313,CRO,5:13,Saved,0
5m shot,4.0,3,2,6,CRO,2.0,SHIGA M,2 - 6,300,JPN,5:00,Post,0
Counter attack,6.0,3,2,7,CRO,2.0,BULJUBASIC I,2 - 7,288,CRO,4:48,Goal,1
5m shot,11.0,3,2,7,CRO,2.0,OKAWA K,2 - 7,256,JPN,4:16,Saved,0
Extra player shot,4.0,3,2,8,CRO,2.0,LONCAR L,2 - 8,228,CRO,3:48,Goal,1
5m shot,6.0,3,2,8,CRO,2.0,IIDA A,2 - 8,196,JPN,3:16,Blocked,0
5m shot,6.0,3,2,8,CRO,2.0,BULJUBASIC I,2 - 8,166,CRO,2:46,Saved,0
5m shot,12.0,3,2,9,CRO,2.0,GARCIA GADEA J,2 - 9,100,CRO,1:40,Goal,1
5m shot,5.0,3,2,10,CRO,2.0,JOKOVIC M,2 - 10,66,CRO,1:06,Goal,1
Action shot,10.0,3,3,10,CRO,2.0,INABA K,3 - 10,37,JPN,0:37,Goal,1
Action shot,2.0,3,3,10,CRO,2.0,MACAN M,3 - 10,13,CRO,0:13,Missed,0
5m shot,6.0,3,4,10,CRO,2.0,IIDA A,4 - 10,3,JPN,0:03,Goal,1
5m shot,9.0,3,4,10,CRO,2.0,SUKNO S,4 - 10,1,CRO,0:01,Saved,0
Action shot,11.0,3,4,10,CRO,4.0,OKAWA K,4 - 10,113,JPN,1:53,Saved,0
5m shot,9.0,3,5,10,CRO,3.0,ARAI A,5 - 10,462,JPN,7:42,Goal,1
Extra player shot,9.0,3,5,11,CRO,3.0,SUKNO S,5 - 11,435,CRO,7:15,Goal,1
Action shot,8.0,3,5,11,CRO,3.0,TAKATA M,5 - 11,398,JPN,6:38,Saved,0
Action shot,8.0,3,5,11,CRO,3.0,TAKATA M,5 - 11,363,JPN,6:03,Blocked,0
Counter attack,9.0,3,5,12,CRO,3.0,SUKNO S,5 - 12,354,CRO,5:54,Goal,1
Centre shot,10.0,3,5,12,CRO,3.0,KRAPIC I,5 - 12,312,CRO,5:12,Post,0
5m shot,4.0,3,5,12,CRO,3.0,SHIGA M,5 - 12,297,JPN,4:57,Post,0
Action shot,7.0,3,5,13,CRO,3.0,VUKICEVIC A,5 - 13,203,CRO,3:23,Goal,1
5m shot,6.0,3,5,13,CRO,3.0,IIDA A,5 - 13,170,JPN,2:50,Blocked,0
