Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,1,5,RUS,2.0,TANAMURA K,1 - 5,480,JPN,8:00
Starting goalkeeper,13.0,1,1,5,RUS,2.0,STATSENKO V,1 - 5,480,RUS,8:00
Sprint won possession,10.0,1,1,5,RUS,2.0,KHOLOD D,1 - 5,480,RUS,8:00
20 sec. exclusion in centre,9.0,1,1,5,RUS,2.0,ARAI A,1 - 5,459,JPN,7:39
Centre shot - Saved,11.0,1,1,5,RUS,2.0,LISUNOV S,1 - 5,435,RUS,7:15
Turnover foul,11.0,1,1,5,RUS,2.0,OKAWA K,1 - 5,407,JPN,6:47
Steal,9.0,1,1,5,RUS,2.0,SUCHKOV I,1 - 5,407,RUS,6:47
Turnover foul,11.0,1,1,5,RUS,2.0,LISUNOV S,1 - 5,388,RUS,6:28
Action shot - Goal,4.0,1,2,5,RUS,2.0,SHIGA M,2 - 5,377,JPN,6:17
Action shot - Saved,2.0,1,2,5,RUS,2.0,ADACHI S,2 - 5,321,JPN,5:21
Centre shot - Goal,11.0,1,2,6,RUS,2.0,LISUNOV S,2 - 6,299,RUS,4:59
Turnover foul,8.0,1,2,6,RUS,2.0,TAKATA M,2 - 6,279,JPN,4:39
Steal,6.0,1,2,6,RUS,2.0,ASHAEV A,2 - 6,279,RUS,4:39
Action shot - Saved,8.0,1,2,6,RUS,2.0,NAGAEV I,2 - 6,254,RUS,4:14
Action shot - Goal,5.0,1,3,6,RUS,2.0,YOSHIDA T,3 - 6,235,JPN,3:55
20 sec. exclusion in centre,8.0,1,3,6,RUS,2.0,TAKATA M,3 - 6,211,JPN,3:31
Extra player shot - Goal,8.0,1,3,7,RUS,2.0,NAGAEV I,3 - 7,207,RUS,3:27
Turnover foul,10.0,1,3,7,RUS,2.0,INABA K,3 - 7,184,JPN,3:04
Steal,10.0,1,3,7,RUS,2.0,KHOLOD D,3 - 7,184,RUS,3:04
Turnover foul,8.0,1,3,7,RUS,2.0,NAGAEV I,3 - 7,162,RUS,2:42
Action shot - Saved,8.0,1,3,7,RUS,2.0,NAGAEV I,3 - 7,157,RUS,2:37
Time-Out,,1,3,7,RUS,2.0,,3 - 7,147,RUS,2:27
Action shot - Saved,4.0,1,3,7,RUS,2.0,SHIGA M,3 - 7,146,JPN,2:26
20 sec. exclusion in centre,8.0,1,3,7,RUS,2.0,TAKATA M,3 - 7,134,JPN,2:14
Action shot - Saved,9.0,1,3,7,RUS,4.0,ARAI A,3 - 7,193,JPN,3:13
Action shot - Goal,4.0,1,7,13,RUS,4.0,DEREVIANKIN N,7 - 13,170,RUS,2:50
5m shot - Goal,5.0,1,8,13,RUS,4.0,YOSHIDA T,8 - 13,151,JPN,2:31
Centre shot - Saved,4.0,1,8,13,RUS,4.0,DEREVIANKIN N,8 - 13,134,RUS,2:14
Action shot - Goal,2.0,1,8,14,RUS,4.0,LAZAREV N,8 - 14,120,RUS,2:00
Turnover foul,5.0,1,8,14,RUS,4.0,BUGAYCHUK A,8 - 14,98,RUS,1:38
Action shot - Goal,4.0,1,8,15,RUS,4.0,DEREVIANKIN N,8 - 15,82,RUS,1:22
Extra player shot - Goal,3.0,1,3,8,RUS,2.0,VASILYEV E,3 - 8,123,RUS,2:03
Turnover foul,2.0,1,3,8,RUS,2.0,ADACHI S,3 - 8,99,JPN,1:39
Steal,10.0,1,3,8,RUS,2.0,KHOLOD D,3 - 8,99,RUS,1:39
Action shot - Saved,2.0,1,3,8,RUS,2.0,LAZAREV N,3 - 8,69,RUS,1:09
20 sec. exclusion in centre,11.0,1,3,8,RUS,2.0,OKAWA K,3 - 8,54,JPN,0:54
Extra player shot - Saved,2.0,1,3,8,RUS,2.0,LAZAREV N,3 - 8,41,RUS,0:41
Action shot - Saved,2.0,1,3,8,RUS,2.0,ADACHI S,3 - 8,33,JPN,0:33
Action shot - Missed,11.0,1,3,8,RUS,2.0,OKAWA K,3 - 8,9,JPN,0:09
Starting goalkeeper,1.0,1,3,8,RUS,3.0,TANAMURA K,3 - 8,480,JPN,8:00
Starting goalkeeper,13.0,1,3,8,RUS,3.0,STATSENKO V,3 - 8,480,RUS,8:00
Sprint won possession,4.0,1,3,8,RUS,3.0,SHIGA M,3 - 8,480,JPN,8:00
Turnover foul,10.0,1,3,8,RUS,3.0,INABA K,3 - 8,452,JPN,7:32
Steal,3.0,1,3,8,RUS,3.0,VASILYEV E,3 - 8,452,RUS,7:32
Action shot - Saved,8.0,1,3,8,RUS,3.0,NAGAEV I,3 - 8,427,RUS,7:07
Action shot - Saved,9.0,1,3,8,RUS,3.0,ARAI A,3 - 8,409,JPN,6:49
20 sec. exclusion in centre,8.0,1,3,8,RUS,3.0,NAGAEV I,3 - 8,400,RUS,6:40
Extra player shot - Saved,10.0,1,3,8,RUS,3.0,INABA K,3 - 8,382,JPN,6:22
Turnover foul,3.0,1,3,8,RUS,3.0,VASILYEV E,3 - 8,354,RUS,5:54
Steal,1.0,1,3,8,RUS,3.0,TANAMURA K,3 - 8,354,JPN,5:54
Action shot - Saved,4.0,1,3,8,RUS,3.0,SHIGA M,3 - 8,329,JPN,5:29
Counter attack - Goal,11.0,1,3,9,RUS,3.0,LISUNOV S,3 - 9,298,RUS,4:58
20 sec. exclusion in centre,4.0,1,3,9,RUS,3.0,DEREVIANKIN N,3 - 9,280,RUS,4:40
Extra player shot - Saved,8.0,1,3,9,RUS,3.0,TAKATA M,3 - 9,269,JPN,4:29
20 sec. exclusion in centre,8.0,1,3,9,RUS,3.0,TAKATA M,3 - 9,260,JPN,4:20
Exclusion with substitution,8.0,1,3,9,RUS,3.0,TAKATA M,3 - 9,260,JPN,4:20
Extra player shot - Goal,7.0,1,3,10,RUS,3.0,MERKULOV D,3 - 10,241,RUS,4:01
Turnover foul,12.0,1,3,10,RUS,3.0,ARAKI K,3 - 10,213,JPN,3:33
Steal,3.0,1,3,10,RUS,3.0,VASILYEV E,3 - 10,213,RUS,3:33
Turnover foul,6.0,1,3,10,RUS,3.0,ASHAEV A,3 - 10,196,RUS,3:16
Steal,1.0,1,3,10,RUS,3.0,TANAMURA K,3 - 10,196,JPN,3:16
5m shot - Goal,11.0,1,4,10,RUS,3.0,OKAWA K,4 - 10,184,JPN,3:04
Turnover foul,5.0,1,4,10,RUS,3.0,BUGAYCHUK A,4 - 10,156,RUS,2:36
Steal,1.0,1,4,10,RUS,3.0,TANAMURA K,4 - 10,156,JPN,2:36
Centre shot - Missed,11.0,1,4,10,RUS,3.0,OKAWA K,4 - 10,148,JPN,2:28
Time-Out,,1,4,10,RUS,3.0,,4 - 10,148,RUS,2:28
Action shot - Goal,4.0,1,4,11,RUS,3.0,DEREVIANKIN N,4 - 11,138,RUS,2:18
Turnover foul,2.0,1,4,11,RUS,3.0,ADACHI S,4 - 11,115,JPN,1:55
Steal,12.0,1,4,11,RUS,3.0,SHEPELEV R,4 - 11,115,RUS,1:55
5m shot - Saved,10.0,1,4,11,RUS,3.0,INABA K,4 - 11,65,JPN,1:05
5m shot - Goal,11.0,1,5,11,RUS,3.0,OKAWA K,5 - 11,40,JPN,0:40
Centre shot - Post,12.0,1,5,11,RUS,3.0,SHEPELEV R,5 - 11,17,RUS,0:17
Action shot - Missed,9.0,1,5,11,RUS,3.0,ARAI A,5 - 11,7,JPN,0:07
Starting goalkeeper,1.0,1,5,11,RUS,4.0,TANAMURA K,5 - 11,480,JPN,8:00
Starting goalkeeper,13.0,1,5,11,RUS,4.0,STATSENKO V,5 - 11,480,RUS,8:00
Sprint won possession,10.0,1,5,11,RUS,4.0,KHOLOD D,5 - 11,480,RUS,8:00
5m shot - Missed,12.0,1,5,11,RUS,4.0,SHEPELEV R,5 - 11,454,RUS,7:34
20 sec. exclusion in centre,7.0,1,5,11,RUS,4.0,MERKULOV D,5 - 11,444,RUS,7:24
Extra player shot - Goal,9.0,1,6,11,RUS,4.0,ARAI A,6 - 11,427,JPN,7:07
Turnover foul,12.0,1,6,11,RUS,4.0,SHEPELEV R,6 - 11,406,RUS,6:46
Steal,4.0,1,6,11,RUS,4.0,SHIGA M,6 - 11,406,JPN,6:46
20 sec. exclusion in field,12.0,1,6,11,RUS,4.0,SHEPELEV R,6 - 11,401,RUS,6:41
Extra player shot - Saved,4.0,1,6,11,RUS,4.0,SHIGA M,6 - 11,387,JPN,6:27
Counter attack - Goal,3.0,1,6,12,RUS,4.0,VASILYEV E,6 - 12,366,RUS,6:06
Turnover foul,11.0,1,6,12,RUS,4.0,OKAWA K,6 - 12,340,JPN,5:40
Steal,7.0,1,6,12,RUS,4.0,MERKULOV D,6 - 12,340,RUS,5:40
Action shot - Saved,5.0,1,6,12,RUS,4.0,YOSHIDA T,6 - 12,296,JPN,4:56
20 sec. exclusion in centre,11.0,1,6,12,RUS,4.0,OKAWA K,6 - 12,282,JPN,4:42
Action shot - Saved,6.0,1,6,12,RUS,4.0,ASHAEV A,6 - 12,257,RUS,4:17
Centre shot - Goal,2.0,1,7,12,RUS,4.0,ADACHI S,7 - 12,244,JPN,4:04
Turnover foul,4.0,1,7,12,RUS,4.0,DEREVIANKIN N,7 - 12,221,RUS,3:41
Steal,11.0,1,7,12,RUS,4.0,OKAWA K,7 - 12,221,JPN,3:41
Centre shot - Saved,12.0,1,7,12,RUS,4.0,ARAKI K,7 - 12,54,JPN,0:54
Turnover foul,5.0,1,7,12,RUS,4.0,BUGAYCHUK A,7 - 12,23,RUS,0:23
Steal,5.0,1,7,12,RUS,4.0,YOSHIDA T,7 - 12,23,JPN,0:23
Turnover foul,4.0,1,7,12,RUS,4.0,SHIGA M,7 - 12,9,JPN,0:09
Steal,7.0,1,7,12,RUS,4.0,MERKULOV D,7 - 12,9,RUS,0:09
5m shot - Saved,9.0,1,7,12,RUS,4.0,SUCHKOV I,7 - 12,1,RUS,0:01
Starting goalkeeper,1.0,2,0,0,USA,1.0,BARON M,0 - 0,480,USA,8:00
Starting goalkeeper,1.0,2,0,0,USA,1.0,TANAMURA K,0 - 0,480,JPN,8:00
Sprint won possession,2.0,2,0,0,USA,1.0,HOOPER J,0 - 0,480,USA,8:00
Action shot - Goal,2.0,2,0,1,USA,1.0,HOOPER J,1 - 0,450,USA,7:30
Turnover foul,2.0,2,0,1,USA,1.0,ADACHI S,1 - 0,434,JPN,7:14
Steal,2.0,2,0,1,USA,1.0,HOOPER J,1 - 0,434,USA,7:14
Centre shot - Saved,4.0,2,0,1,USA,1.0,OBERT A,1 - 0,418,USA,6:58
Action shot - Saved,11.0,2,0,1,USA,1.0,OKAWA K,1 - 0,403,JPN,6:43
5m shot - Saved,11.0,2,0,1,USA,1.0,OKAWA K,1 - 0,388,JPN,6:28
5m shot - Post,4.0,2,0,1,USA,1.0,OBERT A,1 - 0,360,USA,6:00
Action shot - Saved,2.0,2,0,1,USA,1.0,ADACHI S,1 - 0,334,JPN,5:34
5m shot - Saved,4.0,2,0,1,USA,1.0,OBERT A,1 - 0,313,USA,5:13
Turnover foul,6.0,2,0,1,USA,1.0,CUPIDO L,1 - 0,306,USA,5:06
Steal,4.0,2,0,1,USA,1.0,SHIGA M,1 - 0,306,JPN,5:06
5m shot - Saved,6.0,2,0,1,USA,1.0,IIDA A,1 - 0,292,JPN,4:52
Centre shot - Post,11.0,2,0,1,USA,1.0,ROELSE A,1 - 0,274,USA,4:34
Action shot - Goal,7.0,2,1,1,USA,1.0,SHIMIZU Y,1 - 1,260,JPN,4:20
20 sec. exclusion in centre,6.0,2,1,1,USA,1.0,IIDA A,1 - 1,235,JPN,3:55
Extra player shot - Post,6.0,2,1,1,USA,1.0,CUPIDO L,1 - 1,216,USA,3:36
Turnover foul,4.0,2,1,1,USA,1.0,SHIGA M,1 - 1,198,JPN,3:18
Steal,1.0,2,1,1,USA,1.0,BARON M,1 - 1,198,USA,3:18
20 sec. exclusion in centre,6.0,2,1,1,USA,1.0,IIDA A,1 - 1,185,JPN,3:05
Time-Out,,2,1,1,USA,1.0,,1 - 1,181,USA,3:01
Extra player shot - Saved,9.0,2,1,1,USA,1.0,BOWEN A,1 - 1,167,USA,2:47
Turnover foul,9.0,2,1,1,USA,1.0,BOWEN A,1 - 1,136,USA,2:16
Steal,9.0,2,1,1,USA,1.0,ARAI A,1 - 1,136,JPN,2:16
5m shot - Post,2.0,2,1,1,USA,1.0,ADACHI S,1 - 1,115,JPN,1:55
5m shot - Post,6.0,2,1,1,USA,1.0,CUPIDO L,1 - 1,92,USA,1:32
Action shot - Saved,4.0,2,1,1,USA,1.0,SHIGA M,1 - 1,74,JPN,1:14
Turnover foul,11.0,2,1,1,USA,1.0,OKAWA K,1 - 1,17,JPN,0:17
Steal,6.0,2,1,1,USA,1.0,CUPIDO L,1 - 1,17,USA,0:17
Action shot - Goal,5.0,2,1,2,USA,1.0,HALLOCK B,2 - 1,2,USA,0:02
Time-Out,,2,1,2,USA,1.0,,2 - 1,2,JPN,0:02
20 sec. exclusion in centre,11.0,2,1,2,USA,1.0,ROELSE A,2 - 1,1,USA,0:01
Starting goalkeeper,1.0,2,1,2,USA,2.0,BARON M,2 - 1,480,USA,8:00
Starting goalkeeper,1.0,2,1,2,USA,2.0,TANAMURA K,2 - 1,480,JPN,8:00
Sprint won possession,2.0,2,1,2,USA,2.0,ADACHI S,2 - 1,480,JPN,8:00
Time-Out,,2,1,2,USA,2.0,,2 - 1,478,JPN,7:58
Action shot - Goal,2.0,2,2,2,USA,2.0,ADACHI S,2 - 2,457,JPN,7:37
Turnover foul,4.0,2,2,2,USA,2.0,OBERT A,2 - 2,435,USA,7:15
Steal,11.0,2,2,2,USA,2.0,OKAWA K,2 - 2,435,JPN,7:15
20 sec. exclusion in field,7.0,2,2,2,USA,2.0,DUNSTAN T,2 - 2,417,USA,6:57
Extra player shot - Saved,11.0,2,2,2,USA,2.0,OKAWA K,2 - 2,399,JPN,6:39
5m shot - Goal,2.0,2,3,2,USA,2.0,ADACHI S,2 - 3,396,JPN,6:36
20 sec. exclusion in centre,4.0,2,3,2,USA,2.0,SHIGA M,2 - 3,380,JPN,6:20
Extra player shot - Goal,6.0,2,3,3,USA,2.0,CUPIDO L,3 - 3,377,USA,6:17
Turnover foul,10.0,2,3,3,USA,2.0,INABA K,3 - 3,361,JPN,6:01
Steal,1.0,2,3,3,USA,2.0,BARON M,3 - 3,361,USA,6:01
Turnover foul,5.0,2,3,3,USA,2.0,HALLOCK B,3 - 3,334,USA,5:34
Action shot - Saved,9.0,2,3,3,USA,2.0,ARAI A,3 - 3,322,JPN,5:22
Turnover foul,4.0,2,3,3,USA,2.0,SHIGA M,3 - 3,314,JPN,5:14
Steal,9.0,2,3,3,USA,2.0,BOWEN A,3 - 3,314,USA,5:14
Turnover foul,6.0,2,3,3,USA,2.0,CUPIDO L,3 - 3,291,USA,4:51
Action shot - Saved,8.0,2,3,3,USA,2.0,TAKATA M,3 - 3,282,JPN,4:42
Time-Out,,2,3,3,USA,2.0,,3 - 3,280,USA,4:40
5m shot - Blocked,8.0,2,3,3,USA,2.0,TAKATA M,3 - 3,232,JPN,3:52
Action shot - Goal,7.0,2,3,4,USA,2.0,DUNSTAN T,4 - 3,203,USA,3:23
5m shot - Saved,2.0,2,3,4,USA,2.0,ADACHI S,4 - 3,180,JPN,3:00
Turnover foul,6.0,2,3,4,USA,2.0,CUPIDO L,4 - 3,160,USA,2:40
Steal,1.0,2,3,4,USA,2.0,TANAMURA K,4 - 3,160,JPN,2:40
Action shot - Goal,12.0,2,4,4,USA,2.0,ARAKI K,4 - 4,147,JPN,2:27
Steal,4.0,2,4,4,USA,4.0,SHIGA M,4 - 4,331,JPN,5:31
Turnover foul,2.0,2,4,4,USA,4.0,ADACHI S,4 - 4,317,JPN,5:17
Turnover foul,6.0,2,4,4,USA,4.0,CUPIDO L,4 - 4,293,USA,4:53
Steal,1.0,2,4,4,USA,4.0,TANAMURA K,4 - 4,293,JPN,4:53
20 sec. exclusion in field,4.0,2,4,4,USA,4.0,OBERT A,4 - 4,293,USA,4:53
Action shot - Goal,9.0,2,11,7,USA,4.0,ARAI A,7 - 11,270,JPN,4:30
Time-Out,,2,11,7,USA,4.0,,7 - 11,270,USA,4:30
5m shot - Post,6.0,2,11,7,USA,4.0,CUPIDO L,7 - 11,262,USA,4:22
5m shot - Goal,2.0,2,12,7,USA,4.0,ADACHI S,7 - 12,245,JPN,4:05
Action shot - Saved,6.0,2,12,7,USA,4.0,CUPIDO L,7 - 12,221,USA,3:41
Turnover foul,7.0,2,12,7,USA,4.0,SHIMIZU Y,7 - 12,199,JPN,3:19
Turnover foul,5.0,2,12,7,USA,4.0,HALLOCK B,7 - 12,188,USA,3:08
Action shot - Goal,4.0,2,13,7,USA,4.0,SHIGA M,7 - 13,175,JPN,2:55
Action shot - Goal,2.0,2,5,4,USA,2.0,ADACHI S,4 - 5,105,JPN,1:45
20 sec. exclusion in centre,4.0,2,5,4,USA,2.0,SHIGA M,4 - 5,85,JPN,1:25
Extra player shot - Saved,9.0,2,5,4,USA,2.0,BOWEN A,4 - 5,69,USA,1:09
5m shot - Saved,9.0,2,5,4,USA,2.0,ARAI A,4 - 5,44,JPN,0:44
Counter attack - Saved,10.0,2,5,4,USA,2.0,RAMIREZ C,4 - 5,26,USA,0:26
Steal,8.0,2,5,4,USA,2.0,TAKATA M,4 - 5,11,JPN,0:11
Counter attack - Goal,11.0,2,6,4,USA,2.0,OKAWA K,4 - 6,6,JPN,0:06
5m shot - Blocked,8.0,2,6,4,USA,2.0,TAKATA M,4 - 6,1,JPN,0:01
Starting goalkeeper,1.0,2,6,4,USA,3.0,BARON M,4 - 6,480,USA,8:00
Starting goalkeeper,1.0,2,6,4,USA,3.0,TANAMURA K,4 - 6,480,JPN,8:00
Sprint won possession,2.0,2,6,4,USA,3.0,ADACHI S,4 - 6,480,JPN,8:00
20 sec. exclusion in centre,11.0,2,6,4,USA,3.0,ROELSE A,4 - 6,460,USA,7:40
Extra player shot - Post,4.0,2,6,4,USA,3.0,SHIGA M,4 - 6,450,JPN,7:30
20 sec. exclusion in field,9.0,2,6,4,USA,3.0,ARAI A,4 - 6,439,JPN,7:19
Extra player shot - Goal,10.0,2,6,5,USA,3.0,RAMIREZ C,5 - 6,421,USA,7:01
20 sec. exclusion in centre,10.0,2,6,5,USA,3.0,RAMIREZ C,5 - 6,401,USA,6:41
Action shot - Saved,4.0,2,6,5,USA,3.0,SHIGA M,5 - 6,388,JPN,6:28
Action shot - Post,2.0,2,6,5,USA,3.0,ADACHI S,5 - 6,372,JPN,6:12
5m shot - Saved,6.0,2,6,5,USA,3.0,CUPIDO L,5 - 6,345,USA,5:45
Turnover foul,2.0,2,6,5,USA,3.0,HOOPER J,5 - 6,331,USA,5:31
Steal,4.0,2,6,5,USA,3.0,SHIGA M,5 - 6,331,JPN,5:31
Penalty foul,4.0,2,6,5,USA,3.0,OBERT A,5 - 6,314,USA,5:14
Penalty shot - Goal,2.0,2,7,5,USA,3.0,ADACHI S,5 - 7,314,JPN,5:14
Steal,6.0,2,7,5,USA,3.0,IIDA A,5 - 7,300,JPN,5:00
Counter attack - Goal,4.0,2,8,5,USA,3.0,SHIGA M,5 - 8,291,JPN,4:51
Time-Out,,2,8,5,USA,3.0,,5 - 8,291,USA,4:51
20 sec. exclusion in centre,6.0,2,8,5,USA,3.0,IIDA A,5 - 8,275,JPN,4:35
Exclusion with substitution,6.0,2,8,5,USA,3.0,IIDA A,5 - 8,275,JPN,4:35
Extra player shot - Missed,7.0,2,8,5,USA,3.0,DUNSTAN T,5 - 8,261,USA,4:21
Turnover foul,4.0,2,8,5,USA,3.0,SHIGA M,5 - 8,231,JPN,3:51
Steal,1.0,2,8,5,USA,3.0,BARON M,5 - 8,231,USA,3:51
Action shot - Goal,7.0,2,8,6,USA,3.0,DUNSTAN T,6 - 8,217,USA,3:37
Action shot - Post,12.0,2,8,6,USA,3.0,ARAKI K,6 - 8,195,JPN,3:15
Turnover foul,10.0,2,8,6,USA,3.0,RAMIREZ C,6 - 8,194,USA,3:14
Counter attack - Goal,5.0,2,9,6,USA,3.0,YOSHIDA T,6 - 9,190,JPN,3:10
Turnover foul,3.0,2,9,6,USA,3.0,VAVIC M,6 - 9,171,USA,2:51
Steal,11.0,2,9,6,USA,3.0,OKAWA K,6 - 9,171,JPN,2:51
Action shot - Missed,8.0,2,9,6,USA,3.0,TAKATA M,6 - 9,150,JPN,2:30
Action shot - Saved,6.0,2,9,6,USA,3.0,CUPIDO L,6 - 9,128,USA,2:08
20 sec. exclusion in centre,11.0,2,9,6,USA,3.0,ROELSE A,6 - 9,128,USA,2:08
Time-Out,,2,9,6,USA,3.0,,6 - 9,128,JPN,2:08
Extra player shot - Blocked,11.0,2,9,6,USA,3.0,OKAWA K,6 - 9,110,JPN,1:50
Turnover foul,4.0,2,9,6,USA,3.0,OBERT A,6 - 9,93,USA,1:33
Steal,11.0,2,9,6,USA,3.0,OKAWA K,6 - 9,93,JPN,1:33
Counter attack - Goal,2.0,2,10,6,USA,3.0,ADACHI S,6 - 10,83,JPN,1:23
Action shot - Saved,9.0,2,10,6,USA,3.0,BOWEN A,6 - 10,61,USA,1:01
Steal,6.0,2,10,6,USA,3.0,CUPIDO L,6 - 10,43,USA,0:43
20 sec. exclusion in centre,8.0,2,10,6,USA,3.0,TAKATA M,6 - 10,26,JPN,0:26
Extra player shot - Blocked,2.0,2,10,6,USA,3.0,HOOPER J,6 - 10,2,USA,0:02
Action shot - Saved,4.0,2,10,6,USA,3.0,OBERT A,6 - 10,1,USA,0:01
Starting goalkeeper,1.0,2,10,6,USA,4.0,BARON M,6 - 10,480,USA,8:00
Starting goalkeeper,1.0,2,10,6,USA,4.0,TANAMURA K,6 - 10,480,JPN,8:00
Sprint won possession,2.0,2,10,6,USA,4.0,HOOPER J,6 - 10,480,USA,8:00
5m shot - Goal,5.0,2,10,7,USA,4.0,HALLOCK B,7 - 10,454,USA,7:34
Turnover foul,4.0,2,10,7,USA,4.0,SHIGA M,7 - 10,433,JPN,7:13
Steal,5.0,2,10,7,USA,4.0,HALLOCK B,7 - 10,433,USA,7:13
20 sec. exclusion in centre,11.0,2,10,7,USA,4.0,OKAWA K,7 - 10,420,JPN,7:00
Exclusion with substitution,11.0,2,10,7,USA,4.0,ROELSE A,7 - 10,420,USA,7:00
Extra player shot - Post,9.0,2,10,7,USA,4.0,BOWEN A,7 - 10,400,USA,6:40
Action shot - Post,2.0,2,10,7,USA,4.0,HOOPER J,7 - 10,389,USA,6:29
5m shot - Blocked,11.0,2,10,7,USA,4.0,OKAWA K,7 - 10,360,JPN,6:00
20 sec. exclusion in centre,10.0,2,10,7,USA,4.0,INABA K,7 - 10,153,JPN,2:33
5m shot - Blocked,3.0,2,10,7,USA,4.0,VAVIC M,7 - 10,146,USA,2:26
20 sec. exclusion in centre,3.0,2,10,7,USA,4.0,VAVIC M,7 - 10,128,USA,2:08
Time-Out,,2,10,7,USA,4.0,,7 - 10,128,JPN,2:08
Penalty foul,7.0,2,10,7,USA,4.0,DUNSTAN T,7 - 10,102,USA,1:42
Penalty shot - Goal,2.0,2,14,7,USA,4.0,ADACHI S,7 - 14,102,JPN,1:42
Action shot - Missed,7.0,2,14,7,USA,4.0,DUNSTAN T,7 - 14,82,USA,1:22
Action shot - Missed,5.0,2,14,7,USA,4.0,YOSHIDA T,7 - 14,65,JPN,1:05
Turnover foul,3.0,2,14,7,USA,4.0,VAVIC M,7 - 14,53,USA,0:53
Counter attack - Goal,7.0,2,15,7,USA,4.0,SHIMIZU Y,7 - 15,42,JPN,0:42
Action shot - Saved,12.0,2,15,7,USA,4.0,IRVING M,7 - 15,15,USA,0:15
5m shot - Saved,8.0,2,15,7,USA,4.0,TAKATA M,7 - 15,1,JPN,0:01
Starting goalkeeper,1.0,3,0,0,CRO,1.0,TANAMURA K,0 - 0,480,JPN,8:00
Starting goalkeeper,1.0,3,0,0,CRO,1.0,BIJAC M,0 - 0,480,CRO,8:00
Sprint won possession,2.0,3,0,0,CRO,1.0,ADACHI S,0 - 0,480,JPN,8:00
