Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,11.0,8,3,7,AUS,3.0,PLEVRITOU E,7 - 8,1,GRE,0:01,Missed,0
5m shot,11.0,9,3,7,AUS,4.0,PLEVRITOU E,7 - 9,452,GRE,7:32,Goal,1
Action shot,5.0,9,3,8,AUS,4.0,BISHOP I,8 - 9,397,AUS,6:37,Goal,1
Action shot,7.0,10,3,8,AUS,4.0,ASIMAKI A,8 - 10,358,GRE,5:58,Goal,1
Action shot,4.0,10,3,8,AUS,4.0,HALLIGAN B,8 - 10,328,AUS,5:28,Blocked,0
5m shot,7.0,10,3,8,AUS,4.0,WEBSTER R,8 - 10,272,AUS,4:32,Blocked,0
5m shot,2.0,10,3,8,AUS,4.0,GOFERS K,8 - 10,245,AUS,4:05,Blocked,0
5m shot,2.0,10,3,8,AUS,4.0,TSOUKALA C,8 - 10,219,GRE,3:39,Missed,0
Centre shot,4.0,10,3,8,AUS,4.0,HALLIGAN B,8 - 10,189,AUS,3:09,Saved,0
5m shot,4.0,10,3,8,AUS,4.0,ELEFTHERIADOU N,8 - 10,168,GRE,2:48,Saved,0
Action shot,8.0,11,3,8,AUS,4.0,CHYDIRIOTI I,8 - 11,134,GRE,2:14,Goal,1
5m shot,7.0,11,3,8,AUS,4.0,WEBSTER R,8 - 11,70,AUS,1:10,Post,0
Extra player shot,4.0,0,4,1,ESP,1.0,ORTIZ MUNOZ B,0 - 1,444,ESP,7:24,Goal,1
5m shot,9.0,0,4,1,ESP,1.0,KOTSIA C,0 - 1,415,GRE,6:55,Missed,0
Action shot,8.0,0,4,1,ESP,1.0,PENA CARRASCO M,0 - 1,388,ESP,6:28,Missed,0
Action shot,11.0,1,4,1,ESP,1.0,PLEVRITOU E,1 - 1,360,GRE,6:00,Goal,1
5m shot,3.0,1,4,1,ESP,1.0,ESPAR LLAQUET A,1 - 1,338,ESP,5:38,Missed,0
Action shot,6.0,1,4,1,ESP,1.0,LLORET GOMEZ H,1 - 1,312,ESP,5:12,Saved,0
Penalty shot,11.0,2,4,1,ESP,1.0,PLEVRITOU E,2 - 1,296,GRE,4:56,Goal,1
5m shot,9.0,2,4,1,ESP,1.0,KOTSIA C,2 - 1,237,GRE,3:57,Saved,0
Centre shot,10.0,2,4,1,ESP,1.0,CRESPI BARRIGA P,2 - 1,209,ESP,3:29,Saved,0
Action shot,2.0,2,4,1,ESP,1.0,TSOUKALA C,2 - 1,175,GRE,2:55,Post,0
5m shot,4.0,2,4,1,ESP,1.0,ORTIZ MUNOZ B,2 - 1,90,ESP,1:30,Post,0
Action shot,4.0,3,4,1,ESP,1.0,ELEFTHERIADOU N,3 - 1,57,GRE,0:57,Goal,1
Extra player shot,4.0,3,4,2,ESP,1.0,ORTIZ MUNOZ B,3 - 2,23,ESP,0:23,Goal,1
Action shot,6.0,3,4,2,ESP,1.0,AVRAMIDOU A,3 - 2,1,GRE,0:01,Saved,0
Action shot,12.0,3,4,2,ESP,2.0,LEITON ARRONES P,3 - 2,442,ESP,7:22,Saved,0
