Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,9.0,9,5,10,HUN,4.0,TOTH I,10 - 9,71,HUN,1:11
Steal,4.0,9,5,10,HUN,4.0,ELEFTHERIADOU N,10 - 9,71,GRE,1:11
Centre shot - Goal,12.0,6,5,3,HUN,2.0,XENAKI E,3 - 6,104,GRE,1:44
5m shot - Saved,8.0,6,5,3,HUN,2.0,KESZTHELYI R,3 - 6,88,HUN,1:28
5m shot - Saved,8.0,6,5,3,HUN,2.0,KESZTHELYI R,3 - 6,75,HUN,1:15
Action shot - Blocked,3.0,6,5,3,HUN,2.0,DIAMANTOPOULOU V,3 - 6,45,GRE,0:45
Action shot - Saved,10.0,6,5,3,HUN,2.0,MANOLIOUDAKI T,3 - 6,23,GRE,0:23
20 sec. exclusion in centre,8.0,6,5,3,HUN,2.0,CHYDIRIOTI I,3 - 6,2,GRE,0:02
Starting goalkeeper,1.0,6,5,3,HUN,3.0,GANGL E,3 - 6,480,HUN,8:00
Starting goalkeeper,13.0,6,5,3,HUN,3.0,DIAMANTOPOULOU C,3 - 6,480,GRE,8:00
Sprint won possession,12.0,6,5,3,HUN,3.0,SZILAGYI D,3 - 6,480,HUN,8:00
Extra player shot - Saved,10.0,6,5,3,HUN,3.0,BUJKA B,3 - 6,461,HUN,7:41
20 sec. exclusion in centre,2.0,6,5,3,HUN,3.0,TSOUKALA C,3 - 6,435,GRE,7:15
Extra player shot - Goal,6.0,6,5,4,HUN,3.0,TAKACS O,4 - 6,419,HUN,6:59
Action shot - Blocked,6.0,6,5,4,HUN,3.0,AVRAMIDOU A,4 - 6,394,GRE,6:34
Action shot - Saved,2.0,6,5,4,HUN,3.0,CZIGANY D,4 - 6,374,HUN,6:14
20 sec. exclusion in field,7.0,6,5,4,HUN,3.0,ASIMAKI A,4 - 6,370,GRE,6:10
Action shot - Goal,12.0,6,5,5,HUN,3.0,SZILAGYI D,5 - 6,346,HUN,5:46
Action shot - Saved,10.0,6,5,5,HUN,3.0,MANOLIOUDAKI T,5 - 6,322,GRE,5:22
Turnover foul,10.0,6,5,5,HUN,3.0,BUJKA B,5 - 6,304,HUN,5:04
Steal,3.0,6,5,5,HUN,3.0,DIAMANTOPOULOU V,5 - 6,304,GRE,5:04
Action shot - Saved,10.0,6,5,5,HUN,3.0,MANOLIOUDAKI T,5 - 6,278,GRE,4:38
5m shot - Post,6.0,6,5,5,HUN,3.0,TAKACS O,5 - 6,249,HUN,4:09
Time-Out,,6,5,5,HUN,3.0,,5 - 6,248,GRE,4:08
Turnover foul,2.0,6,5,5,HUN,3.0,TSOUKALA C,5 - 6,239,GRE,3:59
Steal,4.0,6,5,5,HUN,3.0,GURISATTI G,5 - 6,239,HUN,3:59
Penalty foul,4.0,6,5,5,HUN,3.0,ELEFTHERIADOU N,5 - 6,231,GRE,3:51
Penalty shot - Goal,8.0,6,5,6,HUN,3.0,KESZTHELYI R,6 - 6,231,HUN,3:51
