Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
Extra player shot,11.0,3,2,KAZ,2.0,MIRSHINA A,6,6 - 2,393,KAZ,6:33,Goal,1
Centre shot,8.0,3,2,KAZ,2.0,SIMANOVICH A,7,7 - 2,375,RUS,6:15,Goal,1
Action shot,6.0,3,2,KAZ,2.0,GORBUNOVA O,7,7 - 2,301,RUS,5:01,Missed,0
Centre shot,8.0,3,2,KAZ,2.0,SIMANOVICH A,8,8 - 2,258,RUS,4:18,Goal,1
5m shot,5.0,3,2,KAZ,2.0,ZAKIROVA K,8,8 - 2,227,KAZ,3:47,Blocked,0
5m shot,10.0,3,2,KAZ,2.0,TOLKUNOVA T,8,8 - 2,210,RUS,3:30,Missed,0
Extra player shot,5.0,3,3,KAZ,2.0,ZAKIROVA K,8,8 - 3,172,KAZ,2:52,Goal,1
5m shot,4.0,3,3,KAZ,4.0,TUROVA A,8,8 - 3,374,KAZ,6:14,Saved,0
5m shot,12.0,3,3,KAZ,4.0,RYZHKOVA D,8,8 - 3,352,RUS,5:52,Missed,0
Extra player shot,5.0,3,6,KAZ,4.0,ZAKIROVA K,13,13 - 6,278,KAZ,4:38,Goal,1
Centre shot,11.0,3,6,KAZ,4.0,IVANOVA E,13,13 - 6,255,RUS,4:15,Post,0
Extra player shot,7.0,3,6,KAZ,4.0,SERZHANTOVA A,14,14 - 6,199,RUS,3:19,Goal,1
5m shot,9.0,3,6,KAZ,4.0,YEREMINA A,14,14 - 6,169,KAZ,2:49,Post,0
Centre shot,7.0,3,6,KAZ,2.0,NOVIKOVA A,14,14 - 6,132,KAZ,2:12,Missed,0
Extra player shot,8.0,3,6,KAZ,2.0,SIMANOVICH A,14,14 - 6,104,RUS,1:44,Missed,0
5m shot,11.0,3,6,KAZ,2.0,MIRSHINA A,14,14 - 6,81,KAZ,1:21,Saved,0
Extra player shot,5.0,3,6,KAZ,2.0,BORISOVA M,14,14 - 6,46,RUS,0:46,Post,0
Extra player shot,11.0,3,6,KAZ,2.0,MIRSHINA A,14,14 - 6,2,KAZ,0:02,Missed,0
Extra player shot,3.0,3,3,KAZ,3.0,PROKOFYEVA E,9,9 - 3,401,RUS,6:41,Goal,1
5m shot,4.0,3,3,KAZ,3.0,TUROVA A,9,9 - 3,381,KAZ,6:21,Blocked,0
Counter attack,12.0,3,3,KAZ,3.0,RYZHKOVA D,9,9 - 3,371,RUS,6:11,Post,0
Extra player shot,5.0,3,3,KAZ,3.0,ZAKIROVA K,9,9 - 3,346,KAZ,5:46,Missed,0
Extra player shot,11.0,3,3,KAZ,3.0,IVANOVA E,10,10 - 3,293,RUS,4:53,Goal,1
5m shot,9.0,3,3,KAZ,3.0,YEREMINA A,10,10 - 3,276,KAZ,4:36,Saved,0
Counter attack,4.0,3,3,KAZ,3.0,KARIMOVA E,11,11 - 3,266,RUS,4:26,Goal,1
Action shot,11.0,3,3,KAZ,3.0,IVANOVA E,12,12 - 3,232,RUS,3:52,Goal,1
5m shot,3.0,3,3,KAZ,3.0,AKILBAYEVA A,12,12 - 3,197,KAZ,3:17,Post,0
5m shot,9.0,3,3,KAZ,3.0,TIMOFEEVA A,12,12 - 3,178,RUS,2:58,Missed,0
5m shot,3.0,3,3,KAZ,3.0,AKILBAYEVA A,12,12 - 3,155,KAZ,2:35,Post,0
5m shot,3.0,3,4,KAZ,3.0,AKILBAYEVA A,12,12 - 4,116,KAZ,1:56,Goal,1
Centre shot,7.0,3,4,KAZ,3.0,NOVIKOVA A,12,12 - 4,62,KAZ,1:02,Missed,0
Action shot,8.0,3,4,KAZ,3.0,SIMANOVICH A,12,12 - 4,45,RUS,0:45,Saved,0
Extra player shot,11.0,3,5,KAZ,3.0,MIRSHINA A,12,12 - 5,15,KAZ,0:15,Goal,1
