Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name,Result,Goal
4.0,5:05,Action shot,3 - 6,BRA,ALMEIDA G,3.0,3,6,305,4,AUS,Post,0
4.0,4:16,Action shot,3 - 6,BRA,FREITAS R,12.0,3,6,256,4,AUS,Saved,0
4.0,3:31,5m shot,3 - 6,AUS,HOLLIS L,11.0,3,6,211,4,AUS,Saved,0
4.0,2:23,Extra player shot,3 - 7,AUS,KAYES J,4.0,3,7,143,4,AUS,Goal,1
4.0,1:58,Action shot,3 - 7,BRA,CARRULO H,10.0,3,7,118,4,AUS,Saved,0
4.0,1:32,5m shot,3 - 7,AUS,FORD A,9.0,3,7,92,4,AUS,Missed,0
4.0,1:10,Action shot,3 - 7,BRA,CRUZ A,2.0,3,7,70,4,AUS,Blocked,0
4.0,0:01,Action shot,3 - 7,BRA,ALMEIDA G,3.0,3,7,1,4,AUS,Missed,0
1.0,7:38,Centre shot,0 - 0,JPN,ADACHI S,2.0,0,0,458,5,JPN,Saved,0
1.0,7:15,Action shot,1 - 0,BRA,STELLET P,7.0,1,0,435,5,JPN,Goal,1
1.0,6:10,5m shot,1 - 0,JPN,SHIMIZU Y,7.0,1,0,370,5,JPN,Saved,0
1.0,5:41,Centre shot,1 - 0,BRA,COUTINHO G,4.0,1,0,341,5,JPN,Saved,0
1.0,5:22,Action shot,1 - 0,JPN,SHIGA M,4.0,1,0,322,5,JPN,Saved,0
1.0,4:38,Extra player shot,1 - 1,JPN,ADACHI S,2.0,1,1,278,5,JPN,Goal,1
1.0,3:55,Penalty shot,1 - 2,JPN,ADACHI S,2.0,1,2,235,5,JPN,Goal,1
1.0,3:01,Extra player shot,1 - 3,JPN,TAKATA M,8.0,1,3,181,5,JPN,Goal,1
1.0,2:20,Penalty shot,1 - 3,JPN,ADACHI S,2.0,1,3,140,5,JPN,Saved,0
1.0,1:41,Counter attack,1 - 3,JPN,ARAKI K,12.0,1,3,101,5,JPN,Saved,0
1.0,1:13,5m shot,1 - 3,BRA,GUIMARAES G,11.0,1,3,73,5,JPN,Post,0
1.0,0:59,Action shot,1 - 3,JPN,TAKATA M,8.0,1,3,59,5,JPN,Saved,0
1.0,0:48,5m shot,1 - 3,JPN,YOSHIDA T,5.0,1,3,48,5,JPN,Saved,0
