Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name
1.0,0:37,Action shot - Goal,1 - 1,KAZ,TURLYKHANOV B,12.0,1,1,37,1,KAZ
1.0,0:21,20 sec. exclusion in field,1 - 1,KAZ,VERDESH Y,8.0,1,1,21,1,KAZ
2.0,8:00,Starting goalkeeper,1 - 1,BRA,SORO S,1.0,1,1,480,1,KAZ
2.0,8:00,Starting goalkeeper,1 - 1,KAZ,SHLEMOV V,13.0,1,1,480,1,KAZ
2.0,8:00,Sprint won possession,1 - 1,KAZ,SHVEDOV S,3.0,1,1,480,1,KAZ
2.0,7:36,Centre shot - Missed,1 - 1,KAZ,SHAKENOV M,7.0,1,1,456,1,KAZ
2.0,7:11,Turnover foul,1 - 1,BRA,STELLET P,7.0,1,1,431,1,KAZ
2.0,7:11,Steal,1 - 1,KAZ,SHAKENOV M,7.0,1,1,431,1,KAZ
2.0,6:40,5m shot - Missed,1 - 1,KAZ,SHMIDER A,6.0,1,1,400,1,KAZ
2.0,5:49,Centre shot - Saved,1 - 1,BRA,COUTINHO G,4.0,1,1,349,1,KAZ
2.0,5:30,Action shot - Saved,1 - 1,KAZ,SHAKENOV M,7.0,1,1,330,1,KAZ
2.0,5:05,Turnover foul,1 - 1,KAZ,PILIPENKO R,4.0,1,1,305,1,KAZ
2.0,5:00,Turnover foul,1 - 1,BRA,COUTINHO G,4.0,1,1,300,1,KAZ
2.0,4:49,20 sec. exclusion in field,1 - 1,BRA,FREITAS R,12.0,1,1,289,1,KAZ
2.0,4:23,5m shot - Missed,1 - 1,KAZ,SHAKENOV M,7.0,1,1,263,1,KAZ
2.0,3:54,Turnover foul,1 - 1,BRA,GUIMARAES G,11.0,1,1,234,1,KAZ
2.0,3:54,Steal,1 - 1,KAZ,SHLEMOV V,13.0,1,1,234,1,KAZ
2.0,3:33,Action shot - Saved,1 - 1,KAZ,TURLYKHANOV B,12.0,1,1,213,1,KAZ
2.0,3:06,5m shot - Saved,1 - 1,BRA,GUIMARAES G,11.0,1,1,186,1,KAZ
2.0,3:06,20 sec. exclusion in field,1 - 1,BRA,STELLET P,7.0,1,1,186,1,KAZ
2.0,3:06,Time-Out,1 - 1,KAZ,,,1,1,186,1,KAZ
2.0,2:45,Action shot - Goal,1 - 2,KAZ,UKUMANOV R,9.0,1,2,165,1,KAZ
2.0,2:19,5m shot - Missed,1 - 2,BRA,COUTINHO G,4.0,1,2,139,1,KAZ
2.0,1:55,Action shot - Saved,1 - 2,KAZ,MEDVEDEV Y,2.0,1,2,115,1,KAZ
2.0,1:32,Centre shot - Missed,1 - 2,BRA,ALMEIDA G,3.0,1,2,92,1,KAZ
2.0,1:11,20 sec. exclusion in centre,1 - 2,BRA,ALMEIDA G,3.0,1,2,71,1,KAZ
2.0,0:48,Turnover foul,1 - 2,KAZ,RUDAY M,10.0,1,2,48,1,KAZ
2.0,0:48,Steal,1 - 2,BRA,SILVA L,5.0,1,2,48,1,KAZ
2.0,0:48,Time-Out,1 - 2,BRA,,,1,2,48,1,KAZ
2.0,0:25,Turnover foul,1 - 2,BRA,COUTINHO G,4.0,1,2,25,1,KAZ
2.0,0:25,Steal,1 - 2,KAZ,UKUMANOV R,9.0,1,2,25,1,KAZ
4.0,2:14,20 sec. exclusion in field,1 - 2,BRA,STELLET M,8.0,1,2,134,1,KAZ
4.0,2:14,Time-Out,1 - 2,KAZ,,,1,2,134,1,KAZ
4.0,1:42,Extra player shot - Post,1 - 2,KAZ,SHAKENOV M,7.0,1,2,102,1,KAZ
4.0,1:25,Turnover foul,1 - 2,BRA,FREITAS R,12.0,1,2,85,1,KAZ
4.0,1:25,Steal,1 - 2,KAZ,UKUMANOV R,9.0,1,2,85,1,KAZ
4.0,1:14,Turnover foul,1 - 2,KAZ,TURLYKHANOV B,12.0,1,2,74,1,KAZ
2.0,0:10,Turnover foul,1 - 2,KAZ,ALTAYEV A,5.0,1,2,10,1,KAZ
2.0,0:10,Steal,1 - 2,BRA,GUIMARAES G,11.0,1,2,10,1,KAZ
2.0,0:01,5m shot - Blocked,1 - 2,BRA,GUIMARAES G,11.0,1,2,1,1,KAZ
3.0,8:00,Starting goalkeeper,1 - 2,BRA,SORO S,1.0,1,2,480,1,KAZ
3.0,8:00,Starting goalkeeper,1 - 2,KAZ,SHLEMOV V,13.0,1,2,480,1,KAZ
3.0,8:00,Sprint won possession,1 - 2,KAZ,MEDVEDEV Y,2.0,1,2,480,1,KAZ
3.0,7:32,Turnover foul,1 - 2,KAZ,PILIPENKO R,4.0,1,2,452,1,KAZ
3.0,7:11,Turnover foul,1 - 2,BRA,STELLET P,7.0,1,2,431,1,KAZ
3.0,7:11,Steal,1 - 2,KAZ,PILIPENKO R,4.0,1,2,431,1,KAZ
3.0,7:06,20 sec. exclusion in field,1 - 2,BRA,STELLET P,7.0,1,2,426,1,KAZ
3.0,7:00,Extra player shot - Saved,1 - 2,KAZ,MEDVEDEV Y,2.0,1,2,420,1,KAZ
3.0,6:40,20 sec. exclusion in field,1 - 2,KAZ,MANAFOV R,11.0,1,2,400,1,KAZ
3.0,6:23,Extra player shot - Goal,2 - 2,BRA,ROCHA B,9.0,2,2,383,1,KAZ
3.0,6:04,20 sec. exclusion in centre,2 - 2,BRA,ROCHA B,9.0,2,2,364,1,KAZ
3.0,5:38,Action shot - Saved,2 - 2,KAZ,SHAKENOV M,7.0,2,2,338,1,KAZ
3.0,5:13,Turnover foul,2 - 2,BRA,GUIMARAES G,11.0,2,2,313,1,KAZ
3.0,5:13,Steal,2 - 2,KAZ,PILIPENKO R,4.0,2,2,313,1,KAZ
3.0,4:50,Turnover foul,2 - 2,KAZ,PILIPENKO R,4.0,2,2,290,1,KAZ
3.0,4:50,Steal,2 - 2,BRA,GUIMARAES G,11.0,2,2,290,1,KAZ
3.0,4:22,Action shot - Saved,2 - 2,BRA,GUIMARAES G,11.0,2,2,262,1,KAZ
3.0,4:00,Turnover foul,2 - 2,KAZ,SHMIDER A,6.0,2,2,240,1,KAZ
3.0,3:36,20 sec. exclusion in field,2 - 2,KAZ,UKUMANOV R,9.0,2,2,216,1,KAZ
3.0,3:15,Centre shot - Goal,3 - 2,BRA,ALMEIDA G,3.0,3,2,195,1,KAZ
3.0,2:42,Turnover foul,3 - 2,KAZ,VERDESH Y,8.0,3,2,162,1,KAZ
3.0,2:42,Steal,3 - 2,BRA,ALMEIDA G,3.0,3,2,162,1,KAZ
3.0,2:42,20 sec. exclusion in field,3 - 2,KAZ,PILIPENKO R,4.0,3,2,162,1,KAZ
3.0,2:42,Time-Out,3 - 2,BRA,,,3,2,162,1,KAZ
3.0,2:23,Extra player shot - Goal,4 - 2,BRA,GUIMARAES G,11.0,4,2,143,1,KAZ
3.0,2:03,20 sec. exclusion in centre,4 - 2,BRA,ROCHA B,9.0,4,2,123,1,KAZ
3.0,1:50,20 sec. exclusion in field,4 - 2,BRA,FREITAS R,12.0,4,2,110,1,KAZ
3.0,1:20,5m shot - Missed,4 - 2,KAZ,UKUMANOV R,9.0,4,2,80,1,KAZ
3.0,0:45,Turnover foul,4 - 2,KAZ,MANAFOV R,11.0,4,2,45,1,KAZ
3.0,0:26,20 sec. exclusion in centre,4 - 2,KAZ,TURLYKHANOV B,12.0,4,2,26,1,KAZ
3.0,0:09,Extra player shot - Saved,4 - 2,BRA,COUTINHO G,4.0,4,2,9,1,KAZ
3.0,0:08,Time-Out,4 - 2,KAZ,,,4,2,8,1,KAZ
4.0,8:00,Starting goalkeeper,4 - 2,BRA,SORO S,1.0,4,2,480,1,KAZ
4.0,8:00,Starting goalkeeper,4 - 2,KAZ,SHLEMOV V,13.0,4,2,480,1,KAZ
4.0,8:00,Sprint won possession,4 - 2,KAZ,UKUMANOV R,9.0,4,2,480,1,KAZ
4.0,7:33,Centre shot - Missed,4 - 2,KAZ,SHAKENOV M,7.0,4,2,453,1,KAZ
4.0,7:10,Turnover foul,4 - 2,BRA,STELLET P,7.0,4,2,430,1,KAZ
4.0,7:10,Steal,4 - 2,KAZ,PILIPENKO R,4.0,4,2,430,1,KAZ
4.0,6:49,20 sec. exclusion in centre,4 - 2,BRA,COUTINHO G,4.0,4,2,409,1,KAZ
4.0,6:27,Extra player shot - Post,4 - 2,KAZ,MEDVEDEV Y,2.0,4,2,387,1,KAZ
4.0,5:58,5m shot - Goal,5 - 2,BRA,GUIMARAES G,11.0,5,2,358,1,KAZ
4.0,5:28,5m shot - Blocked,5 - 2,KAZ,UKUMANOV R,9.0,5,2,328,1,KAZ
4.0,5:01,Turnover foul,5 - 2,KAZ,UKUMANOV R,9.0,5,2,301,1,KAZ
4.0,5:01,Steal,5 - 2,BRA,SORO S,1.0,5,2,301,1,KAZ
4.0,4:39,Turnover foul,5 - 2,BRA,SILVA L,5.0,5,2,279,1,KAZ
4.0,4:39,Steal,5 - 2,KAZ,PILIPENKO R,4.0,5,2,279,1,KAZ
4.0,4:21,20 sec. exclusion in centre,5 - 2,BRA,ROCHA B,9.0,5,2,261,1,KAZ
4.0,4:21,Exclusion with substitution,5 - 2,BRA,ROCHA B,9.0,5,2,261,1,KAZ
4.0,4:12,Extra player shot - Saved,5 - 2,KAZ,SHAKENOV M,7.0,5,2,252,1,KAZ
4.0,3:46,5m shot - Post,5 - 2,BRA,FREITAS R,12.0,5,2,226,1,KAZ
4.0,3:29,Turnover foul,5 - 2,KAZ,PILIPENKO R,4.0,5,2,209,1,KAZ
4.0,3:29,Steal,5 - 2,BRA,GUIMARAES G,11.0,5,2,209,1,KAZ
4.0,3:06,Action shot - Saved,5 - 2,BRA,COUTINHO G,4.0,5,2,186,1,KAZ
4.0,2:38,Action shot - Saved,5 - 2,KAZ,MEDVEDEV Y,2.0,5,2,158,1,KAZ
4.0,2:36,Time-Out,5 - 2,BRA,,,5,2,156,1,KAZ
4.0,2:36,Yellow card,5 - 2,KAZ,Team Official,,5,2,156,1,KAZ
4.0,2:36,20 sec. exclusion in centre,5 - 2,KAZ,MEDVEDEV Y,2.0,5,2,156,1,KAZ
4.0,2:14,Extra player shot - Saved,5 - 2,BRA,STELLET M,8.0,5,2,134,1,KAZ
4.0,1:14,Steal,5 - 2,BRA,FREITAS R,12.0,5,2,74,1,KAZ
4.0,1:01,Counter attack - Goal,6 - 2,BRA,GUIMARAES G,11.0,6,2,61,1,KAZ
4.0,0:46,20 sec. exclusion in field,6 - 2,BRA,CRUZ A,2.0,6,2,46,1,KAZ
4.0,0:30,Extra player shot - Post,6 - 2,KAZ,UKUMANOV R,9.0,6,2,30,1,KAZ
4.0,0:05,Action shot - Missed,6 - 2,BRA,CRUZ A,2.0,6,2,5,1,KAZ
1.0,8:00,Starting goalkeeper,0 - 0,BRA,SORO S,1.0,0,0,480,2,MNE
1.0,8:00,Starting goalkeeper,0 - 0,MNE,SCEPANOVIC M,13.0,0,0,480,2,MNE
1.0,8:00,Sprint won possession,0 - 0,MNE,BRGULJAN D,2.0,0,0,480,2,MNE
1.0,7:31,5m shot - Saved,0 - 0,MNE,DRASKOVIC D,7.0,0,0,451,2,MNE
1.0,7:02,5m shot - Saved,0 - 0,MNE,RADOVIC D,9.0,0,0,422,2,MNE
1.0,6:40,Steal,0 - 0,BRA,COUTINHO G,4.0,0,0,400,2,MNE
1.0,6:40,Turnover foul,0 - 0,MNE,MISIC S,10.0,0,0,400,2,MNE
1.0,6:15,5m shot - Saved,0 - 0,BRA,CRUZ A,2.0,0,0,375,2,MNE
1.0,5:54,20 sec. exclusion in centre,0 - 0,BRA,ROCHA B,9.0,0,0,354,2,MNE
1.0,5:34,Extra player shot - Goal,0 - 1,MNE,CUCKOVIC U,11.0,0,1,334,2,MNE
1.0,5:07,5m shot - Post,0 - 1,BRA,FREITAS R,12.0,0,1,307,2,MNE
1.0,4:39,Centre shot - Goal,0 - 2,MNE,MISIC S,10.0,0,2,279,2,MNE
1.0,4:15,Centre shot - Saved,0 - 2,BRA,SILVA L,5.0,0,2,255,2,MNE
1.0,3:51,Centre shot - Missed,0 - 2,MNE,MISIC S,10.0,0,2,231,2,MNE
1.0,3:28,Centre shot - Saved,0 - 2,BRA,COUTINHO G,4.0,0,2,208,2,MNE
1.0,2:41,20 sec. exclusion in centre,0 - 2,BRA,COUTINHO G,4.0,0,2,161,2,MNE
1.0,2:30,Extra player shot - Saved,0 - 2,MNE,UKROPINA A,8.0,0,2,150,2,MNE
1.0,2:07,Turnover foul,0 - 2,BRA,SILVA L,5.0,0,2,127,2,MNE
1.0,2:07,Steal,0 - 2,MNE,DRASKOVIC D,7.0,0,2,127,2,MNE
1.0,1:53,Action shot - Saved,0 - 2,MNE,DRASKOVIC D,7.0,0,2,113,2,MNE
1.0,1:28,Penalty foul,0 - 2,BRA,ALMEIDA G,3.0,0,2,88,2,MNE
1.0,1:28,Time-Out,0 - 2,MNE,,,0,2,88,2,MNE
1.0,1:28,Penalty shot - Goal,0 - 3,MNE,RADOVIC A,6.0,0,3,88,2,MNE
1.0,0:57,Turnover foul,0 - 3,BRA,CARRULO H,10.0,0,3,57,2,MNE
1.0,0:57,Steal,0 - 3,MNE,CUCKOVIC U,11.0,0,3,57,2,MNE
1.0,0:40,Steal,0 - 3,BRA,ALMEIDA G,3.0,0,3,40,2,MNE
1.0,0:40,Time-Out,0 - 3,BRA,,,0,3,40,2,MNE
1.0,0:14,Turnover foul,0 - 3,BRA,CRUZ A,2.0,0,3,14,2,MNE
1.0,0:14,Steal,0 - 3,MNE,SCEPANOVIC M,13.0,0,3,14,2,MNE
1.0,0:01,Action shot - Goal,0 - 4,MNE,PETKOVIC M,4.0,0,4,1,2,MNE
2.0,8:00,Starting goalkeeper,0 - 4,BRA,SORO S,1.0,0,4,480,2,MNE
2.0,8:00,Starting goalkeeper,0 - 4,MNE,SCEPANOVIC M,13.0,0,4,480,2,MNE
2.0,8:00,Sprint won possession,0 - 4,BRA,CRUZ A,2.0,0,4,480,2,MNE
2.0,7:32,5m shot - Goal,1 - 4,BRA,GUIMARAES G,11.0,1,4,452,2,MNE
2.0,7:15,Turnover foul,1 - 4,MNE,MURISIC N,12.0,1,4,435,2,MNE
2.0,7:13,Centre shot - Missed,1 - 4,MNE,MURISIC N,12.0,1,4,433,2,MNE
2.0,6:44,Action shot - Saved,1 - 4,BRA,COUTINHO G,4.0,1,4,404,2,MNE
2.0,6:16,20 sec. exclusion in centre,1 - 4,BRA,STELLET M,8.0,1,4,376,2,MNE
2.0,5:52,Action shot - Saved,1 - 4,MNE,BRGULJAN D,5.0,1,4,352,2,MNE
2.0,5:52,Action shot - Goal,1 - 5,MNE,BANICEVIC B,3.0,1,5,352,2,MNE
2.0,5:23,Action shot - Saved,1 - 5,BRA,GUIMARAES G,11.0,1,5,323,2,MNE
2.0,5:04,Turnover foul,1 - 5,MNE,RADOVIC D,9.0,1,5,304,2,MNE
2.0,4:45,20 sec. exclusion in centre,1 - 5,MNE,RADOVIC D,9.0,1,5,285,2,MNE
2.0,4:21,Action shot - Post,1 - 5,BRA,COUTINHO G,4.0,1,5,261,2,MNE
2.0,3:57,5m shot - Blocked,1 - 5,MNE,CUCKOVIC U,11.0,1,5,237,2,MNE
2.0,3:36,Turnover foul,1 - 5,BRA,GUIMARAES G,11.0,1,5,216,2,MNE
2.0,3:36,Steal,1 - 5,MNE,DRASKOVIC D,7.0,1,5,216,2,MNE
2.0,3:07,Centre shot - Saved,1 - 5,MNE,MURISIC N,12.0,1,5,187,2,MNE
2.0,2:51,20 sec. exclusion in centre,1 - 5,BRA,GUIMARAES G,11.0,1,5,171,2,MNE
2.0,2:51,Time-Out,1 - 5,MNE,,,1,5,171,2,MNE
2.0,2:24,Turnover foul,1 - 5,MNE,UKROPINA A,8.0,1,5,144,2,MNE
2.0,2:24,Steal,1 - 5,BRA,COUTINHO G,4.0,1,5,144,2,MNE
2.0,2:00,5m shot - Goal,2 - 5,BRA,COUTINHO G,4.0,2,5,120,2,MNE
2.0,1:32,5m shot - Goal,2 - 6,MNE,DRASKOVIC D,7.0,2,6,92,2,MNE
2.0,1:07,20 sec. exclusion in centre,2 - 6,MNE,RADOVIC A,6.0,2,6,67,2,MNE
2.0,1:07,Time-Out,2 - 6,BRA,,,2,6,67,2,MNE
2.0,0:47,Turnover foul,2 - 6,BRA,ROCHA B,9.0,2,6,47,2,MNE
2.0,0:37,5m shot - Saved,2 - 6,MNE,DRASKOVIC D,7.0,2,6,37,2,MNE
2.0,0:18,Turnover foul,2 - 6,BRA,COUTINHO G,4.0,2,6,18,2,MNE
2.0,0:18,Steal,2 - 6,MNE,SCEPANOVIC M,13.0,2,6,18,2,MNE
2.0,0:01,Centre shot - Goal,2 - 7,MNE,PETKOVIC M,4.0,2,7,1,2,MNE
4.0,1:44,Steal,2 - 7,MNE,MISIC S,10.0,2,7,104,2,MNE
4.0,1:34,5m shot - Goal,5 - 14,MNE,RADOVIC A,6.0,5,14,94,2,MNE
4.0,1:14,20 sec. exclusion in centre,5 - 14,MNE,UKROPINA A,8.0,5,14,74,2,MNE
4.0,1:14,Time-Out,5 - 14,BRA,,,5,14,74,2,MNE
3.0,8:00,Starting goalkeeper,5 - 14,BRA,SORO S,1.0,5,14,480,2,MNE
3.0,8:00,Starting goalkeeper,5 - 14,MNE,LAZOVIC D,1.0,5,14,480,2,MNE
3.0,8:00,Sprint won possession,5 - 14,MNE,BRGULJAN D,2.0,5,14,480,2,MNE
3.0,7:31,Turnover foul,5 - 14,MNE,BRGULJAN D,2.0,5,14,451,2,MNE
3.0,7:11,Turnover foul,5 - 14,BRA,GUIMARAES G,11.0,5,14,431,2,MNE
3.0,7:11,Steal,5 - 14,MNE,LAZOVIC D,1.0,5,14,431,2,MNE
3.0,6:47,5m shot - Post,5 - 14,MNE,RADOVIC A,6.0,5,14,407,2,MNE
3.0,6:31,Turnover foul,5 - 14,MNE,BRGULJAN D,2.0,5,14,391,2,MNE
3.0,6:31,Steal,5 - 14,BRA,ALMEIDA G,3.0,5,14,391,2,MNE
3.0,6:09,Action shot - Goal,3 - 7,BRA,GUIMARAES G,11.0,3,7,369,2,MNE
3.0,5:55,20 sec. exclusion in centre,3 - 7,BRA,ROCHA B,9.0,3,7,355,2,MNE
3.0,5:49,Extra player shot - Goal,3 - 8,MNE,RADOVIC D,9.0,3,8,349,2,MNE
3.0,5:24,Turnover foul,3 - 8,BRA,GUIMARAES G,11.0,3,8,324,2,MNE
3.0,5:24,Steal,3 - 8,MNE,RADOVIC D,9.0,3,8,324,2,MNE
3.0,4:57,Turnover foul,3 - 8,MNE,RADOVIC D,9.0,3,8,297,2,MNE
3.0,4:57,Steal,3 - 8,BRA,COUTINHO G,4.0,3,8,297,2,MNE
3.0,4:21,Turnover foul,3 - 8,BRA,COUTINHO G,4.0,3,8,261,2,MNE
3.0,4:21,Steal,3 - 8,MNE,CUCKOVIC U,11.0,3,8,261,2,MNE
3.0,4:09,Turnover foul,3 - 8,MNE,RADOVIC D,9.0,3,8,249,2,MNE
3.0,4:09,Steal,3 - 8,BRA,GUIMARAES G,11.0,3,8,249,2,MNE
3.0,4:07,Time-Out,3 - 8,BRA,,,3,8,247,2,MNE
3.0,3:34,5m shot - Blocked,3 - 8,BRA,CRUZ A,2.0,3,8,214,2,MNE
3.0,3:30,20 sec. exclusion in centre,3 - 8,BRA,CRUZ A,2.0,3,8,210,2,MNE
3.0,3:16,Extra player shot - Goal,3 - 9,MNE,CUCKOVIC U,11.0,3,9,196,2,MNE
3.0,2:52,5m shot - Blocked,3 - 9,BRA,GUIMARAES G,11.0,3,9,172,2,MNE
3.0,2:29,Turnover foul,3 - 9,MNE,BRGULJAN D,2.0,3,9,149,2,MNE
3.0,2:29,Steal,3 - 9,BRA,GUIMARAES G,11.0,3,9,149,2,MNE
3.0,2:04,5m shot - Saved,3 - 9,BRA,GUIMARAES G,11.0,3,9,124,2,MNE
3.0,1:36,Action shot - Blocked,3 - 9,BRA,FREITAS R,12.0,3,9,96,2,MNE
3.0,1:36,Time-Out,3 - 9,MNE,,,3,9,96,2,MNE
3.0,1:21,Centre shot - Goal,3 - 10,MNE,BRGULJAN D,5.0,3,10,81,2,MNE
3.0,0:58,Action shot - Goal,4 - 10,BRA,CARRULO H,10.0,4,10,58,2,MNE
3.0,0:33,5m shot - Goal,4 - 11,MNE,BRGULJAN D,5.0,4,11,33,2,MNE
3.0,0:12,Turnover foul,4 - 11,BRA,COUTINHO G,4.0,4,11,12,2,MNE
3.0,0:12,Steal,4 - 11,MNE,LAZOVIC D,1.0,4,11,12,2,MNE
3.0,0:01,5m shot - Saved,4 - 11,MNE,UKROPINA A,8.0,4,11,1,2,MNE
4.0,8:00,Starting goalkeeper,4 - 11,BRA,SORO S,1.0,4,11,480,2,MNE
4.0,8:00,Starting goalkeeper,4 - 11,MNE,LAZOVIC D,1.0,4,11,480,2,MNE
4.0,8:00,Sprint won possession,4 - 11,MNE,BRGULJAN D,2.0,4,11,480,2,MNE
4.0,7:31,Turnover foul,4 - 11,MNE,DRASKOVIC D,7.0,4,11,451,2,MNE
4.0,7:31,Steal,4 - 11,BRA,SILVA L,5.0,4,11,451,2,MNE
4.0,7:02,5m shot - Post,4 - 11,BRA,COUTINHO G,4.0,4,11,422,2,MNE
4.0,6:33,Centre shot - Goal,4 - 12,MNE,DRASKOVIC D,7.0,4,12,393,2,MNE
4.0,6:07,5m shot - Saved,4 - 12,BRA,GUIMARAES G,11.0,4,12,367,2,MNE
4.0,5:41,Action shot - Missed,4 - 12,MNE,MURISIC N,12.0,4,12,341,2,MNE
4.0,5:14,Turnover foul,4 - 12,BRA,GUIMARAES G,11.0,4,12,314,2,MNE
4.0,5:14,Steal,4 - 12,MNE,LAZOVIC D,1.0,4,12,314,2,MNE
4.0,4:57,Action shot - Post,4 - 12,MNE,BANICEVIC B,3.0,4,12,297,2,MNE
4.0,4:21,Turnover foul,4 - 12,BRA,ROCHA B,9.0,4,12,261,2,MNE
4.0,4:21,Steal,4 - 12,MNE,DRASKOVIC D,7.0,4,12,261,2,MNE
4.0,4:04,20 sec. exclusion in centre,4 - 12,BRA,COUTINHO G,4.0,4,12,244,2,MNE
4.0,4:04,Time-Out,4 - 12,MNE,,,4,12,244,2,MNE
4.0,3:37,Extra player shot - Missed,4 - 12,MNE,BRGULJAN D,5.0,4,12,217,2,MNE
4.0,3:17,5m shot - Post,4 - 12,BRA,COUTINHO G,4.0,4,12,197,2,MNE
4.0,3:02,Penalty foul,4 - 12,BRA,COUTINHO G,4.0,4,12,182,2,MNE
4.0,3:02,Exclusion with substitution,4 - 12,BRA,COUTINHO G,4.0,4,12,182,2,MNE
4.0,3:02,Penalty shot - Goal,4 - 13,MNE,RADOVIC A,6.0,4,13,182,2,MNE
4.0,2:34,5m shot - Goal,5 - 13,BRA,ALMEIDA G,3.0,5,13,154,2,MNE
4.0,2:14,Turnover foul,5 - 13,MNE,MISIC S,10.0,5,13,134,2,MNE
4.0,2:13,Goalkeeper substitution,5 - 13,BRA,SILVA L,13.0,5,13,133,2,MNE
4.0,1:44,Turnover foul,5 - 13,BRA,STELLET M,8.0,5,13,104,2,MNE
4.0,0:53,Action shot - Missed,5 - 13,BRA,ALMEIDA G,3.0,5,13,53,2,MNE
4.0,0:37,Action shot - Saved,5 - 13,MNE,PETKOVIC M,4.0,5,13,37,2,MNE
4.0,0:09,5m shot - Saved,5 - 13,BRA,ALMEIDA G,3.0,5,13,9,2,MNE
4.0,0:01,5m shot - Missed,5 - 13,MNE,BRGULJAN D,5.0,5,13,1,2,MNE
1.0,8:00,Starting goalkeeper,0 - 0,BRA,SORO S,1.0,0,0,480,3,CAN
1.0,8:00,Starting goalkeeper,0 - 0,CAN,RADENOVIC M,1.0,0,0,480,3,CAN
1.0,8:00,Sprint won possession,0 - 0,CAN,HALAJIAN M,5.0,0,0,480,3,CAN
1.0,7:34,Turnover foul,0 - 0,CAN,THUMWOOD D,12.0,0,0,454,3,CAN
1.0,7:05,Turnover foul,0 - 0,BRA,STELLET P,7.0,0,0,425,3,CAN
1.0,7:05,Steal,0 - 0,CAN,HALAJIAN M,5.0,0,0,425,3,CAN
1.0,6:43,5m shot - Missed,0 - 0,CAN,TORAKIS G,11.0,0,0,403,3,CAN
1.0,6:15,5m shot - Missed,0 - 0,BRA,ROCHA B,9.0,0,0,375,3,CAN
1.0,5:55,20 sec. exclusion in centre,0 - 0,BRA,STELLET P,7.0,0,0,355,3,CAN
1.0,5:36,Extra player shot - Saved,0 - 0,CAN,ROBINSON S,6.0,0,0,336,3,CAN
1.0,5:14,20 sec. exclusion in field,0 - 0,CAN,D'SOUZA R,7.0,0,0,314,3,CAN
1.0,4:54,Extra player shot - Goal,1 - 0,BRA,FREITAS R,12.0,1,0,294,3,CAN
1.0,4:31,Action shot - Post,1 - 0,CAN,THUMWOOD D,12.0,1,0,271,3,CAN
1.0,4:29,Centre shot - Goal,1 - 1,CAN,CONSTANTIN-BICARI,4.0,1,1,269,3,CAN
1.0,4:02,5m shot - Missed,1 - 1,BRA,GUIMARAES G,11.0,1,1,242,3,CAN
1.0,3:35,Turnover foul,1 - 1,CAN,BLANCHARD J,3.0,1,1,215,3,CAN
1.0,3:35,Steal,1 - 1,BRA,STELLET M,8.0,1,1,215,3,CAN
1.0,3:12,20 sec. exclusion in centre,1 - 1,CAN,SOLEIMANIPAK A,10.0,1,1,192,3,CAN
1.0,2:54,Extra player shot - Saved,1 - 1,BRA,STELLET M,8.0,1,1,174,3,CAN
1.0,2:31,Turnover foul,1 - 1,CAN,SOLEIMANIPAK A,10.0,1,1,151,3,CAN
1.0,2:31,Steal,1 - 1,BRA,SORO S,1.0,1,1,151,3,CAN
1.0,2:04,5m shot - Post,1 - 1,BRA,COUTINHO G,4.0,1,1,124,3,CAN
1.0,1:38,20 sec. exclusion in centre,1 - 1,BRA,STELLET M,8.0,1,1,98,3,CAN
1.0,1:38,Time-Out,1 - 1,CAN,,,1,1,98,3,CAN
1.0,1:24,Extra player shot - Goal,1 - 2,CAN,THUMWOOD D,12.0,1,2,84,3,CAN
1.0,0:53,5m shot - Saved,1 - 2,BRA,CRUZ A,2.0,1,2,53,3,CAN
1.0,0:29,Centre shot - Saved,1 - 2,CAN,CONSTANTIN-BICARI,4.0,1,2,29,3,CAN
1.0,0:25,Time-Out,1 - 2,BRA,,,1,2,25,3,CAN
1.0,0:01,Turnover foul,1 - 2,BRA,COUTINHO G,4.0,1,2,1,3,CAN
2.0,8:00,Starting goalkeeper,1 - 2,BRA,SORO S,1.0,1,2,480,3,CAN
2.0,8:00,Starting goalkeeper,1 - 2,CAN,RADENOVIC M,1.0,1,2,480,3,CAN
2.0,8:00,Sprint won possession,1 - 2,CAN,HALAJIAN M,5.0,1,2,480,3,CAN
2.0,7:36,Action shot - Saved,1 - 2,CAN,TORAKIS G,11.0,1,2,456,3,CAN
2.0,7:13,Turnover foul,1 - 2,CAN,CONSTANTIN-BICARI,4.0,1,2,433,3,CAN
2.0,7:13,Steal,1 - 2,BRA,ROCHA B,9.0,1,2,433,3,CAN
2.0,6:57,Action shot - Post,1 - 2,BRA,GUIMARAES G,11.0,1,2,417,3,CAN
2.0,6:33,5m shot - Blocked,1 - 2,CAN,LAPINS D,8.0,1,2,393,3,CAN
2.0,6:14,Turnover foul,1 - 2,BRA,GUIMARAES G,11.0,1,2,374,3,CAN
2.0,6:11,20 sec. exclusion in field,1 - 2,BRA,GUIMARAES G,11.0,1,2,371,3,CAN
2.0,5:47,Action shot - Goal,1 - 3,CAN,TORAKIS G,11.0,1,3,347,3,CAN
2.0,5:24,Penalty foul,1 - 3,CAN,RADOJCIC D,9.0,1,3,324,3,CAN
2.0,5:24,Penalty shot - Goal,2 - 3,BRA,GUIMARAES G,11.0,2,3,324,3,CAN
