Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name
4.0,3:50,Action shot - Saved,6 - 6,CAN,THUMWOOD D,12.0,6,6,230,3,CAN
4.0,3:28,Centre shot - Saved,6 - 6,BRA,GUIMARAES G,11.0,6,6,208,3,CAN
4.0,3:03,Action shot - Missed,6 - 6,CAN,ROBINSON S,6.0,6,6,183,3,CAN
4.0,2:35,5m shot - Saved,6 - 6,BRA,FREITAS R,12.0,6,6,155,3,CAN
4.0,2:21,20 sec. exclusion in centre,6 - 6,CAN,CONSTANTIN-BICARI,4.0,6,6,141,3,CAN
4.0,2:21,Time-Out,6 - 6,BRA,,,6,6,141,3,CAN
4.0,1:59,Action shot - Missed,6 - 6,BRA,FREITAS R,12.0,6,6,119,3,CAN
4.0,1:37,Action shot - Post,6 - 6,CAN,ROBINSON S,6.0,6,6,97,3,CAN
4.0,1:07,Turnover foul,6 - 6,BRA,COUTINHO G,4.0,6,6,67,3,CAN
4.0,1:07,Steal,6 - 6,CAN,ROBINSON S,6.0,6,6,67,3,CAN
4.0,0:48,20 sec. exclusion in centre,6 - 6,BRA,STELLET P,7.0,6,6,48,3,CAN
4.0,0:48,Time-Out,6 - 6,CAN,,,6,6,48,3,CAN
4.0,0:48,Yellow card,6 - 6,BRA,Team Official,,6,6,48,3,CAN
4.0,0:23,Action shot - Blocked,6 - 6,CAN,SOLEIMANIPAK A,10.0,6,6,23,3,CAN
4.0,0:01,Action shot - Saved,6 - 6,BRA,GUIMARAES G,11.0,6,6,1,3,CAN
1.0,8:00,Starting goalkeeper,0 - 0,BRA,SORO S,1.0,0,0,480,4,AUS
1.0,8:00,Starting goalkeeper,0 - 0,AUS,HRYSANTHOS A,13.0,0,0,480,4,AUS
1.0,8:00,Sprint won possession,0 - 0,AUS,GILCHRIST J,7.0,0,0,480,4,AUS
1.0,7:34,Action shot - Missed,0 - 0,AUS,FORD A,9.0,0,0,454,4,AUS
1.0,7:15,5m shot - Blocked,0 - 0,BRA,COUTINHO G,4.0,0,0,435,4,AUS
1.0,6:45,Action shot - Saved,0 - 0,AUS,YOUNGER A,8.0,0,0,405,4,AUS
1.0,6:22,Action shot - Goal,1 - 0,BRA,FREITAS R,12.0,1,0,382,4,AUS
1.0,5:59,Turnover foul,1 - 0,AUS,KAYES J,4.0,1,0,359,4,AUS
1.0,5:59,Steal,1 - 0,BRA,COUTINHO G,4.0,1,0,359,4,AUS
1.0,5:04,Action shot - Goal,1 - 1,AUS,KAYES J,4.0,1,1,304,4,AUS
1.0,4:34,Action shot - Blocked,1 - 1,BRA,COUTINHO G,4.0,1,1,274,4,AUS
1.0,4:16,20 sec. exclusion in field,1 - 1,BRA,GUIMARAES G,11.0,1,1,256,4,AUS
1.0,3:59,Extra player shot - Goal,1 - 2,AUS,KAYES J,4.0,1,2,239,4,AUS
1.0,3:33,5m shot - Post,1 - 2,BRA,FREITAS R,12.0,1,2,213,4,AUS
1.0,3:14,Turnover foul,1 - 2,BRA,GUIMARAES G,11.0,1,2,194,4,AUS
1.0,2:56,20 sec. exclusion in centre,1 - 2,BRA,COUTINHO G,4.0,1,2,176,4,AUS
1.0,2:34,Turnover foul,1 - 2,AUS,BROOKS N,12.0,1,2,154,4,AUS
1.0,2:17,20 sec. exclusion in field,1 - 2,AUS,BROOKS N,12.0,1,2,137,4,AUS
1.0,2:17,Time-Out,1 - 2,BRA,,,1,2,137,4,AUS
