Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,9.0,3,4,13,KAZ,4.0,STONEMAN E,13 - 4,210,NZL,3:30,Saved,0
Action shot,11.0,3,4,13,KAZ,4.0,MIRSHINA A,13 - 4,184,KAZ,3:04,Blocked,0
5m shot,7.0,3,4,13,KAZ,4.0,CHASE M,13 - 4,160,NZL,2:40,Saved,0
Extra player shot,5.0,3,4,13,KAZ,4.0,ZAKIROVA K,13 - 4,90,KAZ,1:30,Post,0
Action shot,2.0,3,4,13,KAZ,4.0,LEWIS N,13 - 4,31,NZL,0:31,Post,0
Action shot,7.0,4,0,0,RSA,1.0,KAY K,0 - 0,434,RSA,7:14,Saved,0
5m shot,12.0,4,0,0,RSA,1.0,MYLES J,0 - 0,414,NZL,6:54,Missed,0
Centre shot,2.0,4,0,0,RSA,1.0,LEWIS N,0 - 0,367,NZL,6:07,Saved,0
5m shot,9.0,4,1,0,RSA,1.0,STONEMAN E,1 - 0,250,NZL,4:10,Goal,1
Counter attack,4.0,4,1,0,RSA,1.0,LEWIS D,1 - 0,221,NZL,3:41,Missed,0
Action shot,6.0,4,1,0,RSA,1.0,HALLENDORFF A,1 - 0,185,RSA,3:05,Saved,0
Centre shot,4.0,4,1,0,RSA,1.0,LEWIS D,1 - 0,90,NZL,1:30,Post,0
5m shot,3.0,4,1,0,RSA,1.0,PALEY K,1 - 0,65,RSA,1:05,Post,0
Extra player shot,12.0,4,2,0,RSA,1.0,MYLES J,2 - 0,14,NZL,0:14,Goal,1
Extra player shot,11.0,4,3,0,RSA,2.0,HUDSON K,3 - 0,440,NZL,7:20,Goal,1
5m shot,4.0,4,3,0,RSA,2.0,LEWIS D,3 - 0,416,NZL,6:56,Saved,0
5m shot,6.0,4,3,0,RSA,2.0,LANDRY S,3 - 0,398,NZL,6:38,Post,0
Action shot,5.0,4,3,0,RSA,2.0,SCHOOLING M,3 - 0,372,RSA,6:12,Missed,0
Extra player shot,2.0,4,3,0,RSA,2.0,LEWIS N,3 - 0,310,NZL,5:10,Saved,0
5m shot,2.0,4,3,0,RSA,2.0,PARKES M,3 - 0,286,RSA,4:46,Missed,0
