Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Saved,10.0,1,6,10,CAN,3.0,DANCE L,10 - 6,43,NZL,0:43
Action shot - Goal,5.0,1,6,11,CAN,3.0,EGGENS M,11 - 6,18,CAN,0:18
Time-Out,,1,6,11,CAN,3.0,,11 - 6,18,NZL,0:18
Action shot - Blocked,11.0,1,6,11,CAN,3.0,HUDSON K,11 - 6,2,NZL,0:02
Starting goalkeeper,1.0,1,6,11,CAN,4.0,GAUDREAULT J,11 - 6,480,CAN,8:00
Starting goalkeeper,1.0,1,6,11,CAN,4.0,MILLAR B,11 - 6,480,NZL,8:00
Sprint won possession,5.0,1,6,11,CAN,4.0,EGGENS M,11 - 6,480,CAN,8:00
20 sec. exclusion in centre,4.0,1,6,11,CAN,4.0,LEWIS D,11 - 6,466,NZL,7:46
Penalty foul,1.0,1,6,11,CAN,4.0,MILLAR B,11 - 6,438,NZL,7:18
Penalty shot - Goal,5.0,1,6,12,CAN,4.0,EGGENS M,12 - 6,438,CAN,7:18
Turnover foul,6.0,1,6,12,CAN,4.0,LANDRY S,12 - 6,421,NZL,7:01
Steal,3.0,1,6,12,CAN,4.0,MONTON K,12 - 6,421,CAN,7:01
Action shot - Post,11.0,1,6,12,CAN,4.0,VALIN S,12 - 6,393,CAN,6:33
20 sec. exclusion in field,7.0,1,6,12,CAN,4.0,BEKHAZI J,12 - 6,374,CAN,6:14
5m shot - Post,11.0,1,6,12,CAN,4.0,VALIN S,12 - 6,329,CAN,5:29
Turnover foul,8.0,1,6,12,CAN,4.0,LOPES DA SILVA C,12 - 6,298,NZL,4:58
Steal,10.0,1,6,12,CAN,4.0,ROBINSON C,12 - 6,298,CAN,4:58
Action shot - Saved,11.0,1,6,12,CAN,4.0,VALIN S,12 - 6,279,CAN,4:39
20 sec. exclusion in field,12.0,1,6,12,CAN,4.0,MYLES J,12 - 6,268,NZL,4:28
Extra player shot - Goal,11.0,1,6,13,CAN,4.0,VALIN S,13 - 6,258,CAN,4:18
20 sec. exclusion in field,12.0,1,6,13,CAN,4.0,PERREAULT D,13 - 6,245,CAN,4:05
5m shot - Blocked,6.0,1,6,13,CAN,4.0,MCKEE K,13 - 6,228,CAN,3:48
Action shot - Saved,5.0,1,6,13,CAN,4.0,EGGENS M,13 - 6,197,CAN,3:17
Centre shot - Goal,3.0,1,6,14,CAN,4.0,MONTON K,14 - 6,180,CAN,3:00
Turnover foul,9.0,1,6,14,CAN,4.0,STONEMAN E,14 - 6,153,NZL,2:33
Turnover foul,2.0,1,6,14,CAN,4.0,ALOGBO K,14 - 6,127,CAN,2:07
Steal,10.0,1,6,14,CAN,4.0,DANCE L,14 - 6,127,NZL,2:07
Action shot - Saved,9.0,1,6,14,CAN,4.0,STONEMAN E,14 - 6,103,NZL,1:43
Turnover foul,6.0,1,6,14,CAN,4.0,LANDRY S,14 - 6,96,NZL,1:36
Counter attack - Saved,10.0,1,6,14,CAN,4.0,DANCE L,14 - 6,92,NZL,1:32
20 sec. exclusion in field,3.0,1,6,14,CAN,4.0,PATTISON S,14 - 6,81,NZL,1:21
Time-Out,,1,6,14,CAN,4.0,,14 - 6,81,CAN,1:21
