AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5,5m shot,7.0,4,2,GER,3.0,NOSSEK H,2 - 5,41,GER,0:41,Blocked,0
5,Action shot,8.0,4,2,GER,4.0,YOUNGER A,2 - 5,431,AUS,7:11,Post,0
5,5m shot,10.0,4,2,GER,4.0,OELER M,2 - 5,337,GER,5:37,Saved,0
6,Counter attack,8.0,4,2,GER,4.0,YOUNGER A,2 - 6,302,AUS,5:02,Goal,1
6,Centre shot,11.0,4,2,GER,4.0,SCHLOTTERBECK A,2 - 6,276,GER,4:36,Saved,0
6,Extra player shot,6.0,4,3,GER,4.0,JUENGLING M,3 - 6,247,GER,4:07,Goal,1
6,Centre shot,4.0,4,4,GER,4.0,REAL J,4 - 6,183,GER,3:03,Goal,1
7,Centre shot,9.0,4,4,GER,4.0,SWIFT J,4 - 7,154,AUS,2:34,Goal,1
7,5m shot,6.0,4,4,GER,4.0,JUENGLING M,4 - 7,126,GER,2:06,Saved,0
8,Action shot,4.0,4,4,GER,4.0,COTTERILL J,4 - 8,78,AUS,1:18,Goal,1
8,Centre shot,10.0,4,4,GER,4.0,MARTIN T,4 - 8,37,AUS,0:37,Saved,0
8,5m shot,4.0,4,4,GER,4.0,COTTERILL J,4 - 8,1,AUS,0:01,Saved,0
0,5m shot,11.0,5,0,CRO,1.0,HOWDEN R,0 - 0,451,AUS,7:31,Missed,0
0,5m shot,7.0,5,0,CRO,1.0,MUSLIM P,0 - 0,368,CRO,6:08,Saved,0
0,Action shot,2.0,5,0,CRO,1.0,CAMPBELL R,0 - 0,293,AUS,4:53,Blocked,0
0,Action shot,2.0,5,0,CRO,1.0,CAMPBELL R,0 - 0,264,AUS,4:24,Missed,0
0,Extra player shot,12.0,5,1,CRO,1.0,OBRADOVIC P,1 - 0,226,CRO,3:46,Goal,1
0,Action shot,12.0,5,1,CRO,1.0,MILLER W,1 - 0,198,AUS,3:18,Blocked,0
0,Action shot,12.0,5,1,CRO,1.0,MILLER W,1 - 0,140,AUS,2:20,Blocked,0
1,Action shot,12.0,5,1,CRO,1.0,MILLER W,1 - 1,50,AUS,0:50,Goal,1
1,Action shot,9.0,5,2,CRO,2.0,SUKNO S,2 - 1,455,CRO,7:35,Goal,1
1,Action shot,2.0,5,2,CRO,2.0,CAMPBELL R,2 - 1,362,AUS,6:02,Blocked,0
1,Action shot,11.0,5,2,CRO,2.0,SETKA A,2 - 1,334,CRO,5:34,Blocked,0
1,Action shot,8.0,5,2,CRO,2.0,YOUNGER A,2 - 1,288,AUS,4:48,Post,0
1,Action shot,2.0,5,2,CRO,2.0,CAMPBELL R,2 - 1,231,AUS,3:51,Post,0
1,Action shot,9.0,5,2,CRO,2.0,SUKNO S,2 - 1,205,CRO,3:25,Post,0
1,Action shot,7.0,5,2,CRO,2.0,MUSLIM P,2 - 1,153,CRO,2:33,Post,0
1,Action shot,2.0,5,2,CRO,2.0,CAMPBELL R,2 - 1,109,AUS,1:49,Saved,0
2,Extra player shot,7.0,5,2,CRO,2.0,ROACH A,2 - 2,73,AUS,1:13,Goal,1
2,5m shot,8.0,5,2,CRO,2.0,YOUNGER A,2 - 2,1,AUS,0:01,Blocked,0
2,Action shot,5.0,5,2,CRO,3.0,JOKOVIC M,2 - 2,408,CRO,6:48,Saved,0
2,5m shot,12.0,5,2,CRO,3.0,MILLER W,2 - 2,384,AUS,6:24,Saved,0
2,5m shot,10.0,5,2,CRO,3.0,MARTIN T,2 - 2,321,AUS,5:21,Blocked,0
2,5m shot,12.0,5,2,CRO,3.0,OBRADOVIC P,2 - 2,302,CRO,5:02,Saved,0
2,Action shot,8.0,5,2,CRO,3.0,BUSLJE A,2 - 2,278,CRO,4:38,Saved,0
2,5m shot,9.0,5,2,CRO,3.0,SUKNO S,2 - 2,235,CRO,3:55,Blocked,0
