Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Saved,8,8.0,2,5,CHN,3.0,ZHANG C,5 - 8,41,CHN,0:41
Action shot - Missed,8,12.0,2,5,CHN,3.0,FOURNIER S,5 - 8,16,CAN,0:16
Turnover foul,8,2.0,2,5,CHN,3.0,BI Y,5 - 8,2,CHN,0:02
Starting goalkeeper,8,1.0,2,5,CHN,4.0,PENG L,5 - 8,480,CHN,8:00
Starting goalkeeper,8,1.0,2,5,CHN,4.0,GAUDREAULT J,5 - 8,480,CAN,8:00
Sprint won possession,8,5.0,2,5,CHN,4.0,NIU G,5 - 8,480,CHN,8:00
Action shot - Saved,8,8.0,2,5,CHN,4.0,ZHANG C,5 - 8,450,CHN,7:30
5m shot - Blocked,8,5.0,2,5,CHN,4.0,EGGENS M,5 - 8,432,CAN,7:12
Action shot - Saved,8,3.0,2,5,CHN,4.0,MEI X,5 - 8,406,CHN,6:46
Action shot - Post,8,9.0,2,5,CHN,4.0,McKELVEY H,5 - 8,368,CAN,6:08
Turnover foul,8,3.0,2,5,CHN,4.0,MEI X,5 - 8,347,CHN,5:47
5m shot - Missed,8,12.0,2,5,CHN,4.0,FOURNIER S,5 - 8,272,CAN,4:32
5m shot - Blocked,8,9.0,2,5,CHN,4.0,ZHAO Z,5 - 8,256,CHN,4:16
Action shot - Post,8,6.0,2,5,CHN,4.0,CHRISTMAS K,5 - 8,233,CAN,3:53
Time-Out,8,,2,5,CHN,4.0,,5 - 8,232,CHN,3:52
Action shot - Saved,8,8.0,2,5,CHN,4.0,ZHANG C,5 - 8,210,CHN,3:30
20 sec. exclusion in centre,8,2.0,2,5,CHN,4.0,BI Y,5 - 8,193,CHN,3:13
Extra player shot - Post,8,4.0,2,5,CHN,4.0,WRIGHT E,5 - 8,182,CAN,3:02
20 sec. exclusion in field,8,9.0,2,5,CHN,4.0,McKELVEY H,5 - 8,165,CAN,2:45
Extra player shot - Goal,8,12.0,2,6,CHN,4.0,ZHANG J,6 - 8,152,CHN,2:32
Turnover foul,8,10.0,2,6,CHN,4.0,ROBINSON C,6 - 8,126,CAN,2:06
20 sec. exclusion in field,8,10.0,2,6,CHN,4.0,ROBINSON C,6 - 8,126,CAN,2:06
Extra player shot - Goal,8,12.0,2,7,CHN,4.0,ZHANG J,7 - 8,107,CHN,1:47
Centre shot - Missed,8,4.0,2,7,CHN,4.0,WRIGHT E,7 - 8,90,CAN,1:30
Action shot - Blocked,8,10.0,2,7,CHN,4.0,ZHANG D,7 - 8,75,CHN,1:15
20 sec. exclusion in centre,8,7.0,2,7,CHN,4.0,BEKHAZI J,7 - 8,33,CAN,0:33
Action shot - Blocked,8,12.0,2,7,CHN,4.0,ZHANG J,7 - 8,15,CHN,0:15
Action shot - Goal,8,10.0,2,8,CHN,4.0,ZHANG D,8 - 8,8,CHN,0:08
Time-Out,8,,2,8,CHN,4.0,,8 - 8,8,CAN,0:08
Centre shot - Goal,9,10.0,2,8,CHN,4.0,ROBINSON C,8 - 9,1,CAN,0:01
Starting goalkeeper,0,1.0,3,0,BRA,1.0,CHAMORRO V,0 - 0,480,BRA,8:00
Starting goalkeeper,0,1.0,3,0,BRA,1.0,GAUDREAULT J,0 - 0,480,CAN,8:00
Sprint won possession,0,3.0,3,0,BRA,1.0,ZABLITH M,0 - 0,480,BRA,8:00
Turnover foul,0,3.0,3,0,BRA,1.0,ZABLITH M,0 - 0,454,BRA,7:34
Steal,0,12.0,3,0,BRA,1.0,FOURNIER S,0 - 0,454,CAN,7:34
Penalty foul,0,3.0,3,0,BRA,1.0,ZABLITH M,0 - 0,431,BRA,7:11
Penalty shot - Goal,1,4.0,3,0,BRA,1.0,WRIGHT E,0 - 1,431,CAN,7:11
Turnover foul,1,9.0,3,0,BRA,1.0,DIAS M,0 - 1,417,BRA,6:57
Steal,1,5.0,3,0,BRA,1.0,EGGENS M,0 - 1,417,CAN,6:57
Counter attack - Goal,2,5.0,3,0,BRA,1.0,EGGENS M,0 - 2,406,CAN,6:46
5m shot - Missed,2,2.0,3,0,BRA,1.0,ABLA D,0 - 2,387,BRA,6:27
20 sec. exclusion in centre,2,4.0,3,0,BRA,1.0,SOUZA J,0 - 2,375,BRA,6:15
Extra player shot - Post,2,9.0,3,0,BRA,1.0,McKELVEY H,0 - 2,358,CAN,5:58
Turnover foul,2,10.0,3,0,BRA,1.0,BAHIA V,0 - 2,331,BRA,5:31
Steal,2,5.0,3,0,BRA,1.0,EGGENS M,0 - 2,331,CAN,5:31
Turnover foul,2,10.0,3,0,BRA,1.0,ROBINSON C,0 - 2,310,CAN,5:10
Steal,2,11.0,3,0,BRA,1.0,DUARTE M,0 - 2,310,BRA,5:10
Action shot - Goal,2,9.0,3,1,BRA,1.0,DIAS M,1 - 2,285,BRA,4:45
Turnover foul,2,5.0,3,1,BRA,1.0,EGGENS M,1 - 2,273,CAN,4:33
Steal,2,9.0,3,1,BRA,1.0,DIAS M,1 - 2,273,BRA,4:33
Action shot - Goal,2,2.0,3,2,BRA,1.0,ABLA D,2 - 2,262,BRA,4:22
20 sec. exclusion in centre,2,3.0,3,2,BRA,1.0,ZABLITH M,2 - 2,248,BRA,4:08
Extra player shot - Goal,3,6.0,3,2,BRA,1.0,CHRISTMAS K,2 - 3,232,CAN,3:52
5m shot - Saved,3,2.0,3,2,BRA,1.0,ABLA D,2 - 3,208,BRA,3:28
5m shot - Missed,3,11.0,3,2,BRA,1.0,DUARTE M,2 - 3,185,BRA,3:05
Action shot - Saved,3,9.0,3,2,BRA,1.0,McKELVEY H,2 - 3,169,CAN,2:49
Turnover foul,3,11.0,3,2,BRA,1.0,DUARTE M,2 - 3,145,BRA,2:25
Steal,3,1.0,3,2,BRA,1.0,GAUDREAULT J,2 - 3,145,CAN,2:25
Action shot - Blocked,3,4.0,3,2,BRA,1.0,WRIGHT E,2 - 3,118,CAN,1:58
5m shot - Goal,4,6.0,3,2,BRA,1.0,CHRISTMAS K,2 - 4,106,CAN,1:46
20 sec. exclusion in centre,4,12.0,3,2,BRA,1.0,FOURNIER S,2 - 4,85,CAN,1:25
Time-Out,4,,3,2,BRA,1.0,,2 - 4,84,BRA,1:24
Extra player shot - Blocked,4,10.0,3,2,BRA,1.0,BAHIA V,2 - 4,61,BRA,1:01
5m shot - Post,4,3.0,3,2,BRA,1.0,CREVIER A,2 - 4,38,CAN,0:38
Turnover foul,4,10.0,3,2,BRA,1.0,BAHIA V,2 - 4,18,BRA,0:18
Time-Out,4,,3,2,BRA,1.0,,2 - 4,18,CAN,0:18
Action shot - Missed,4,5.0,3,2,BRA,1.0,EGGENS M,2 - 4,10,CAN,0:10
5m shot - Missed,4,1.0,3,2,BRA,1.0,CHAMORRO V,2 - 4,1,BRA,0:01
Starting goalkeeper,4,1.0,3,2,BRA,2.0,CHAMORRO V,2 - 4,480,BRA,8:00
Starting goalkeeper,4,1.0,3,2,BRA,2.0,GAUDREAULT J,2 - 4,480,CAN,8:00
Sprint won possession,4,9.0,3,2,BRA,2.0,DIAS M,2 - 4,480,BRA,8:00
