Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,4.0,1,6,3,CAN,3.0,PETKOVIC M,6 - 3,166,MNE,2:46,Saved,0
5m shot,12.0,1,6,4,CAN,3.0,THUMWOOD D,6 - 4,135,CAN,2:15,Goal,1
5m shot,11.0,1,6,4,CAN,3.0,TORAKIS G,6 - 4,92,CAN,1:32,Saved,0
Action shot,6.0,1,6,4,CAN,3.0,RADOVIC A,6 - 4,74,MNE,1:14,Post,0
5m shot,12.0,1,6,4,CAN,3.0,THUMWOOD D,6 - 4,51,CAN,0:51,Saved,0
Action shot,6.0,1,6,4,CAN,3.0,RADOVIC A,6 - 4,34,MNE,0:34,Saved,0
5m shot,13.0,1,6,4,CAN,3.0,SCEPANOVIC M,6 - 4,1,MNE,0:01,Missed,0
Centre shot,12.0,1,7,4,CAN,4.0,MURISIC N,7 - 4,456,MNE,7:36,Goal,1
Centre shot,5.0,1,8,4,CAN,4.0,BRGULJAN D,8 - 4,398,MNE,6:38,Goal,1
Action shot,5.0,1,8,4,CAN,4.0,BRGULJAN D,8 - 4,366,MNE,6:06,Saved,0
Action shot,10.0,1,8,5,CAN,4.0,SOLEIMANIPAK A,8 - 5,330,CAN,5:30,Goal,1
5m shot,6.0,1,8,5,CAN,4.0,ROBINSON S,8 - 5,275,CAN,4:35,Saved,0
Counter attack,4.0,1,8,5,CAN,4.0,PETKOVIC M,8 - 5,263,MNE,4:23,Missed,0
5m shot,4.0,1,8,5,CAN,4.0,CONSTANTIN-BICARI,8 - 5,234,CAN,3:54,Post,0
Extra player shot,10.0,1,8,5,CAN,4.0,MISIC S,8 - 5,202,MNE,3:22,Saved,0
Extra player shot,10.0,1,8,5,CAN,4.0,MISIC S,8 - 5,202,MNE,3:22,Missed,0
5m shot,4.0,1,8,6,CAN,4.0,CONSTANTIN-BICARI,8 - 6,174,CAN,2:54,Goal,1
Extra player shot,7.0,1,8,7,CAN,4.0,D'SOUZA R,8 - 7,86,CAN,1:26,Goal,1
Action shot,2.0,1,8,7,CAN,4.0,BRGULJAN D,8 - 7,57,MNE,0:57,Blocked,0
Extra player shot,11.0,1,8,8,CAN,4.0,TORAKIS G,8 - 8,21,CAN,0:21,Goal,1
5m shot,7.0,2,0,0,BRA,1.0,DRASKOVIC D,0 - 0,451,MNE,7:31,Saved,0
5m shot,9.0,2,0,0,BRA,1.0,RADOVIC D,0 - 0,422,MNE,7:02,Saved,0
5m shot,2.0,2,0,0,BRA,1.0,CRUZ A,0 - 0,375,BRA,6:15,Saved,0
Extra player shot,11.0,2,1,0,BRA,1.0,CUCKOVIC U,0 - 1,334,MNE,5:34,Goal,1
5m shot,12.0,2,1,0,BRA,1.0,FREITAS R,0 - 1,307,BRA,5:07,Post,0
Centre shot,10.0,2,2,0,BRA,1.0,MISIC S,0 - 2,279,MNE,4:39,Goal,1
Centre shot,5.0,2,2,0,BRA,1.0,SILVA L,0 - 2,255,BRA,4:15,Saved,0
Centre shot,10.0,2,2,0,BRA,1.0,MISIC S,0 - 2,231,MNE,3:51,Missed,0
Centre shot,4.0,2,2,0,BRA,1.0,COUTINHO G,0 - 2,208,BRA,3:28,Saved,0
Extra player shot,8.0,2,2,0,BRA,1.0,UKROPINA A,0 - 2,150,MNE,2:30,Saved,0
Action shot,7.0,2,2,0,BRA,1.0,DRASKOVIC D,0 - 2,113,MNE,1:53,Saved,0
Penalty shot,6.0,2,3,0,BRA,1.0,RADOVIC A,0 - 3,88,MNE,1:28,Goal,1
Action shot,4.0,2,4,0,BRA,1.0,PETKOVIC M,0 - 4,1,MNE,0:01,Goal,1
5m shot,11.0,2,4,1,BRA,2.0,GUIMARAES G,1 - 4,452,BRA,7:32,Goal,1
Centre shot,12.0,2,4,1,BRA,2.0,MURISIC N,1 - 4,433,MNE,7:13,Missed,0
Action shot,4.0,2,4,1,BRA,2.0,COUTINHO G,1 - 4,404,BRA,6:44,Saved,0
Action shot,5.0,2,4,1,BRA,2.0,BRGULJAN D,1 - 4,352,MNE,5:52,Saved,0
Action shot,3.0,2,5,1,BRA,2.0,BANICEVIC B,1 - 5,352,MNE,5:52,Goal,1
Action shot,11.0,2,5,1,BRA,2.0,GUIMARAES G,1 - 5,323,BRA,5:23,Saved,0
Action shot,4.0,2,5,1,BRA,2.0,COUTINHO G,1 - 5,261,BRA,4:21,Post,0
5m shot,11.0,2,5,1,BRA,2.0,CUCKOVIC U,1 - 5,237,MNE,3:57,Blocked,0
Centre shot,12.0,2,5,1,BRA,2.0,MURISIC N,1 - 5,187,MNE,3:07,Saved,0
5m shot,4.0,2,5,2,BRA,2.0,COUTINHO G,2 - 5,120,BRA,2:00,Goal,1
5m shot,7.0,2,6,2,BRA,2.0,DRASKOVIC D,2 - 6,92,MNE,1:32,Goal,1
5m shot,7.0,2,6,2,BRA,2.0,DRASKOVIC D,2 - 6,37,MNE,0:37,Saved,0
Centre shot,4.0,2,7,2,BRA,2.0,PETKOVIC M,2 - 7,1,MNE,0:01,Goal,1
5m shot,6.0,2,14,5,BRA,4.0,RADOVIC A,5 - 14,94,MNE,1:34,Goal,1
5m shot,6.0,2,14,5,BRA,3.0,RADOVIC A,5 - 14,407,MNE,6:47,Post,0
Action shot,11.0,2,7,3,BRA,3.0,GUIMARAES G,3 - 7,369,BRA,6:09,Goal,1
Extra player shot,9.0,2,8,3,BRA,3.0,RADOVIC D,3 - 8,349,MNE,5:49,Goal,1
5m shot,2.0,2,8,3,BRA,3.0,CRUZ A,3 - 8,214,BRA,3:34,Blocked,0
Extra player shot,11.0,2,9,3,BRA,3.0,CUCKOVIC U,3 - 9,196,MNE,3:16,Goal,1
5m shot,11.0,2,9,3,BRA,3.0,GUIMARAES G,3 - 9,172,BRA,2:52,Blocked,0
5m shot,11.0,2,9,3,BRA,3.0,GUIMARAES G,3 - 9,124,BRA,2:04,Saved,0
Action shot,12.0,2,9,3,BRA,3.0,FREITAS R,3 - 9,96,BRA,1:36,Blocked,0
Centre shot,5.0,2,10,3,BRA,3.0,BRGULJAN D,3 - 10,81,MNE,1:21,Goal,1
Action shot,10.0,2,10,4,BRA,3.0,CARRULO H,4 - 10,58,BRA,0:58,Goal,1
5m shot,5.0,2,11,4,BRA,3.0,BRGULJAN D,4 - 11,33,MNE,0:33,Goal,1
5m shot,8.0,2,11,4,BRA,3.0,UKROPINA A,4 - 11,1,MNE,0:01,Saved,0
5m shot,4.0,2,11,4,BRA,4.0,COUTINHO G,4 - 11,422,BRA,7:02,Post,0
Centre shot,7.0,2,12,4,BRA,4.0,DRASKOVIC D,4 - 12,393,MNE,6:33,Goal,1
5m shot,11.0,2,12,4,BRA,4.0,GUIMARAES G,4 - 12,367,BRA,6:07,Saved,0
Action shot,12.0,2,12,4,BRA,4.0,MURISIC N,4 - 12,341,MNE,5:41,Missed,0
Action shot,3.0,2,12,4,BRA,4.0,BANICEVIC B,4 - 12,297,MNE,4:57,Post,0
Extra player shot,5.0,2,12,4,BRA,4.0,BRGULJAN D,4 - 12,217,MNE,3:37,Missed,0
5m shot,4.0,2,12,4,BRA,4.0,COUTINHO G,4 - 12,197,BRA,3:17,Post,0
Penalty shot,6.0,2,13,4,BRA,4.0,RADOVIC A,4 - 13,182,MNE,3:02,Goal,1
5m shot,3.0,2,13,5,BRA,4.0,ALMEIDA G,5 - 13,154,BRA,2:34,Goal,1
Action shot,3.0,2,13,5,BRA,4.0,ALMEIDA G,5 - 13,53,BRA,0:53,Missed,0
Action shot,4.0,2,13,5,BRA,4.0,PETKOVIC M,5 - 13,37,MNE,0:37,Saved,0
5m shot,3.0,2,13,5,BRA,4.0,ALMEIDA G,5 - 13,9,BRA,0:09,Saved,0
5m shot,5.0,2,13,5,BRA,4.0,BRGULJAN D,5 - 13,1,MNE,0:01,Missed,0
5m shot,7.0,3,0,0,KAZ,1.0,SHAKENOV M,0 - 0,454,KAZ,7:34,Missed,0
Centre shot,12.0,3,0,0,KAZ,1.0,MURISIC N,0 - 0,432,MNE,7:12,Saved,0
5m shot,6.0,3,0,0,KAZ,1.0,SHMIDER A,0 - 0,406,KAZ,6:46,Saved,0
Centre shot,11.0,3,0,0,KAZ,1.0,MANAFOV R,0 - 0,384,KAZ,6:24,Saved,0
5m shot,9.0,3,0,0,KAZ,1.0,RADOVIC D,0 - 0,347,MNE,5:47,Blocked,0
5m shot,4.0,3,1,0,KAZ,1.0,PETKOVIC M,1 - 0,293,MNE,4:53,Goal,1
5m shot,6.0,3,1,0,KAZ,1.0,SHMIDER A,1 - 0,263,KAZ,4:23,Missed,0
Action shot,9.0,3,1,0,KAZ,1.0,RADOVIC D,1 - 0,222,MNE,3:42,Saved,0
Centre shot,10.0,3,2,0,KAZ,1.0,MISIC S,2 - 0,142,MNE,2:22,Goal,1
Centre shot,5.0,3,2,0,KAZ,1.0,BRGULJAN D,2 - 0,96,MNE,1:36,Saved,0
Action shot,6.0,3,2,0,KAZ,1.0,SHMIDER A,2 - 0,11,KAZ,0:11,Post,0
Centre shot,10.0,3,2,0,KAZ,1.0,MISIC S,2 - 0,2,MNE,0:02,Post,0
5m shot,11.0,3,3,0,KAZ,2.0,CUCKOVIC U,3 - 0,396,MNE,6:36,Goal,1
5m shot,9.0,3,3,0,KAZ,2.0,UKUMANOV R,3 - 0,368,KAZ,6:08,Post,0
Centre shot,12.0,3,4,0,KAZ,2.0,MURISIC N,4 - 0,345,MNE,5:45,Goal,1
5m shot,7.0,3,4,0,KAZ,2.0,SHAKENOV M,4 - 0,329,KAZ,5:29,Missed,0
Centre shot,10.0,3,4,0,KAZ,2.0,RUDAY M,4 - 0,290,KAZ,4:50,Saved,0
Penalty shot,9.0,3,4,0,KAZ,2.0,UKUMANOV R,4 - 0,269,KAZ,4:29,Saved,0
5m shot,8.0,3,4,0,KAZ,2.0,UKROPINA A,4 - 0,245,MNE,4:05,Saved,0
Action shot,11.0,3,4,0,KAZ,2.0,MANAFOV R,4 - 0,198,KAZ,3:18,Post,0
Counter attack,6.0,3,5,0,KAZ,2.0,RADOVIC A,5 - 0,183,MNE,3:03,Goal,1
5m shot,12.0,3,5,0,KAZ,2.0,TURLYKHANOV B,5 - 0,111,KAZ,1:51,Saved,0
Centre shot,12.0,3,5,0,KAZ,2.0,MURISIC N,5 - 0,85,MNE,1:25,Saved,0
Extra player shot,5.0,3,6,0,KAZ,2.0,BRGULJAN D,6 - 0,11,MNE,0:11,Goal,1
5m shot,9.0,3,6,0,KAZ,2.0,UKUMANOV R,6 - 0,1,KAZ,0:01,Blocked,0
5m shot,5.0,3,6,0,KAZ,3.0,BRGULJAN D,6 - 0,455,MNE,7:35,Saved,0
Action shot,9.0,3,7,0,KAZ,3.0,RADOVIC D,7 - 0,419,MNE,6:59,Goal,1
Action shot,6.0,3,7,1,KAZ,3.0,SHMIDER A,7 - 1,382,KAZ,6:22,Goal,1
Action shot,9.0,3,7,1,KAZ,3.0,UKUMANOV R,7 - 1,277,KAZ,4:37,Missed,0
Centre shot,9.0,3,7,2,KAZ,3.0,UKUMANOV R,7 - 2,271,KAZ,4:31,Goal,1
5m shot,7.0,3,7,2,KAZ,3.0,DRASKOVIC D,7 - 2,241,MNE,4:01,Saved,0
Extra player shot,11.0,3,8,2,KAZ,3.0,CUCKOVIC U,8 - 2,207,MNE,3:27,Goal,1
Action shot,4.0,3,8,2,KAZ,3.0,PETKOVIC M,8 - 2,159,MNE,2:39,Post,0
Centre shot,9.0,3,8,2,KAZ,3.0,UKUMANOV R,8 - 2,132,KAZ,2:12,Saved,0
Extra player shot,8.0,3,8,2,KAZ,3.0,VERDESH Y,8 - 2,94,KAZ,1:34,Saved,0
Action shot,2.0,3,8,2,KAZ,3.0,BRGULJAN D,8 - 2,74,MNE,1:14,Saved,0
Action shot,6.0,3,8,2,KAZ,3.0,RADOVIC A,8 - 2,42,MNE,0:42,Missed,0
Counter attack,6.0,3,9,2,KAZ,3.0,RADOVIC A,9 - 2,5,MNE,0:05,Goal,1
Extra player shot,7.0,3,9,2,KAZ,4.0,SHAKENOV M,9 - 2,436,KAZ,7:16,Blocked,0
Penalty shot,8.0,3,9,2,KAZ,4.0,UKROPINA A,9 - 2,423,MNE,7:03,Post,0
Centre shot,10.0,3,9,2,KAZ,4.0,RUDAY M,9 - 2,403,KAZ,6:43,Saved,0
5m shot,7.0,3,9,2,KAZ,4.0,DRASKOVIC D,9 - 2,377,MNE,6:17,Saved,0
Centre shot,10.0,3,9,3,KAZ,4.0,RUDAY M,9 - 3,355,KAZ,5:55,Goal,1
5m shot,2.0,3,9,3,KAZ,4.0,MEDVEDEV Y,9 - 3,301,KAZ,5:01,Post,0
Centre shot,10.0,3,9,3,KAZ,4.0,MISIC S,9 - 3,276,MNE,4:36,Post,0
5m shot,11.0,3,10,3,KAZ,4.0,CUCKOVIC U,10 - 3,221,MNE,3:41,Goal,1
5m shot,11.0,3,11,3,KAZ,4.0,CUCKOVIC U,11 - 3,178,MNE,2:58,Goal,1
5m shot,9.0,3,11,4,KAZ,4.0,UKUMANOV R,11 - 4,154,KAZ,2:34,Goal,1
Extra player shot,2.0,3,12,4,KAZ,4.0,BRGULJAN D,12 - 4,125,MNE,2:05,Goal,1
Centre shot,8.0,3,12,5,KAZ,4.0,VERDESH Y,12 - 5,61,KAZ,1:01,Goal,1
5m shot,3.0,3,12,5,KAZ,4.0,BANICEVIC B,12 - 5,32,MNE,0:32,Saved,0
Counter attack,8.0,3,13,5,KAZ,4.0,UKROPINA A,13 - 5,1,MNE,0:01,Goal,1
Penalty shot,7.0,4,0,0,GRE,1.0,DRASKOVIC D,0 - 0,437,MNE,7:17,Saved,0
Action shot,3.0,4,0,0,GRE,1.0,DELAKAS E,0 - 0,407,GRE,6:47,Blocked,0
5m shot,2.0,4,0,0,GRE,1.0,BRGULJAN D,0 - 0,380,MNE,6:20,Saved,0
Action shot,4.0,4,0,0,GRE,1.0,PETKOVIC M,0 - 0,352,MNE,5:52,Blocked,0
5m shot,3.0,4,0,0,GRE,1.0,DELAKAS E,0 - 0,289,GRE,4:49,Saved,0
Extra player shot,11.0,4,0,1,GRE,1.0,GOUNAS A,0 - 1,260,GRE,4:20,Goal,1
Action shot,2.0,4,0,1,GRE,1.0,BRGULJAN D,0 - 1,184,MNE,3:04,Saved,0
Centre shot,11.0,4,0,1,GRE,1.0,GOUNAS A,0 - 1,167,GRE,2:47,Saved,0
Action shot,5.0,4,0,1,GRE,1.0,BRGULJAN D,0 - 1,145,MNE,2:25,Saved,0
Extra player shot,11.0,4,0,1,GRE,1.0,GOUNAS A,0 - 1,122,GRE,2:02,Saved,0
Action shot,12.0,4,0,1,GRE,1.0,VLACHOPOULOS A,0 - 1,96,GRE,1:36,Blocked,0
Extra player shot,4.0,4,0,1,GRE,1.0,PETKOVIC M,0 - 1,51,MNE,0:51,Saved,0
Extra player shot,9.0,4,0,1,GRE,1.0,MOURIKIS K,0 - 1,8,GRE,0:08,Saved,0
5m shot,5.0,4,0,1,GRE,2.0,FOUNTOULIS I,0 - 1,459,GRE,7:39,Post,0
Centre shot,10.0,4,0,1,GRE,2.0,MISIC S,0 - 1,430,MNE,7:10,Saved,0
5m shot,12.0,4,0,2,GRE,2.0,VLACHOPOULOS A,0 - 2,403,GRE,6:43,Goal,1
Action shot,4.0,4,0,3,GRE,2.0,DERVISIS G,0 - 3,349,GRE,5:49,Goal,1
Action shot,5.0,4,0,3,GRE,2.0,BRGULJAN D,0 - 3,330,MNE,5:30,Blocked,0
Action shot,10.0,4,0,4,GRE,2.0,KOLOMVOS C,0 - 4,288,GRE,4:48,Goal,1
Extra player shot,10.0,4,1,4,GRE,2.0,MISIC S,1 - 4,258,MNE,4:18,Goal,1
Centre shot,9.0,4,1,5,GRE,2.0,MOURIKIS K,1 - 5,217,GRE,3:37,Goal,1
5m shot,6.0,4,1,5,GRE,2.0,RADOVIC A,1 - 5,179,MNE,2:59,Blocked,0
Extra player shot,5.0,4,1,6,GRE,2.0,FOUNTOULIS I,1 - 6,152,GRE,2:32,Goal,1
5m shot,6.0,4,2,6,GRE,2.0,RADOVIC A,2 - 6,93,MNE,1:33,Goal,1
5m shot,2.0,4,2,6,GRE,2.0,GENIDOUNIAS K,2 - 6,72,GRE,1:12,Blocked,0
Action shot,5.0,4,2,6,GRE,2.0,BRGULJAN D,2 - 6,55,MNE,0:55,Saved,0
Extra player shot,5.0,4,2,6,GRE,4.0,BRGULJAN D,2 - 6,32,MNE,0:32,Saved,0
5m shot,11.0,4,2,6,GRE,3.0,GOUNAS A,2 - 6,411,GRE,6:51,Post,0
5m shot,11.0,4,2,6,GRE,3.0,CUCKOVIC U,2 - 6,383,MNE,6:23,Saved,0
Action shot,5.0,4,2,7,GRE,3.0,FOUNTOULIS I,2 - 7,363,GRE,6:03,Goal,1
Action shot,2.0,4,2,7,GRE,3.0,BRGULJAN D,2 - 7,319,MNE,5:19,Missed,0
5m shot,11.0,4,2,7,GRE,3.0,GOUNAS A,2 - 7,291,GRE,4:51,Saved,0
Action shot,11.0,4,2,8,GRE,3.0,GOUNAS A,2 - 8,267,GRE,4:27,Goal,1
5m shot,2.0,4,2,8,GRE,3.0,BRGULJAN D,2 - 8,240,MNE,4:00,Saved,0
5m shot,5.0,4,2,8,GRE,3.0,FOUNTOULIS I,2 - 8,212,GRE,3:32,Saved,0
Penalty shot,5.0,4,2,9,GRE,3.0,FOUNTOULIS I,2 - 9,188,GRE,3:08,Goal,1
Centre shot,10.0,4,2,9,GRE,3.0,MISIC S,2 - 9,165,MNE,2:45,Saved,0
5m shot,5.0,4,2,9,GRE,3.0,FOUNTOULIS I,2 - 9,141,GRE,2:21,Post,0
Action shot,5.0,4,2,9,GRE,3.0,BRGULJAN D,2 - 9,116,MNE,1:56,Saved,0
5m shot,11.0,4,2,9,GRE,3.0,GOUNAS A,2 - 9,94,GRE,1:34,Missed,0
Extra player shot,9.0,4,2,9,GRE,3.0,RADOVIC D,2 - 9,56,MNE,0:56,Blocked,0
Extra player shot,5.0,4,2,10,GRE,3.0,FOUNTOULIS I,2 - 10,14,GRE,0:14,Goal,1
5m shot,2.0,4,3,10,GRE,3.0,BRGULJAN D,3 - 10,3,MNE,0:03,Goal,1
5m shot,12.0,4,3,10,GRE,3.0,VLACHOPOULOS A,3 - 10,1,GRE,0:01,Saved,0
Action shot,4.0,4,3,10,GRE,4.0,PETKOVIC M,3 - 10,456,MNE,7:36,Post,0
5m shot,3.0,4,3,10,GRE,4.0,DELAKAS E,3 - 10,337,GRE,5:37,Saved,0
Centre shot,12.0,4,4,10,GRE,4.0,MURISIC N,4 - 10,315,MNE,5:15,Goal,1
Penalty shot,6.0,4,5,10,GRE,4.0,RADOVIC A,5 - 10,227,MNE,3:47,Goal,1
Counter attack,8.0,4,5,11,GRE,4.0,ARGYROPOULOS KANAK,5 - 11,184,GRE,3:04,Goal,1
Extra player shot,4.0,4,6,11,GRE,4.0,PETKOVIC M,6 - 11,159,MNE,2:39,Goal,1
Action shot,2.0,4,6,12,GRE,4.0,GENIDOUNIAS K,6 - 12,106,GRE,1:46,Goal,1
Penalty shot,5.0,4,7,12,GRE,4.0,BRGULJAN D,7 - 12,84,MNE,1:24,Goal,1
Centre shot,11.0,5,0,0,RUS,1.0,LISUNOV S,0 - 0,454,RUS,7:34,Post,0
Centre shot,7.0,5,0,0,RUS,1.0,DRASKOVIC D,0 - 0,440,MNE,7:20,Post,0
Action shot,12.0,5,0,1,RUS,1.0,SHEPELEV R,0 - 1,352,RUS,5:52,Goal,1
Centre shot,12.0,5,0,1,RUS,1.0,MURISIC N,0 - 1,335,MNE,5:35,Missed,0
5m shot,2.0,5,0,1,RUS,1.0,BRGULJAN D,0 - 1,276,MNE,4:36,Saved,0
Action shot,4.0,5,0,1,RUS,1.0,PETKOVIC M,0 - 1,257,MNE,4:17,Saved,0
5m shot,9.0,5,0,1,RUS,1.0,SUCHKOV I,0 - 1,229,RUS,3:49,Blocked,0
Counter attack,3.0,5,1,1,RUS,1.0,BANICEVIC B,1 - 1,214,MNE,3:34,Goal,1
5m shot,6.0,5,1,1,RUS,1.0,RADOVIC A,1 - 1,160,MNE,2:40,Saved,0
Action shot,2.0,5,1,1,RUS,1.0,LAZAREV N,1 - 1,132,RUS,2:12,Saved,0
Action shot,8.0,5,1,1,RUS,1.0,UKROPINA A,1 - 1,109,MNE,1:49,Post,0
Centre shot,11.0,5,1,1,RUS,1.0,LISUNOV S,1 - 1,88,RUS,1:28,Missed,0
5m shot,5.0,5,1,1,RUS,1.0,BRGULJAN D,1 - 1,55,MNE,0:55,Post,0
5m shot,8.0,5,1,1,RUS,1.0,NAGAEV I,1 - 1,9,RUS,0:09,Post,0
5m shot,2.0,5,1,1,RUS,1.0,BRGULJAN D,1 - 1,1,MNE,0:01,Saved,0
5m shot,2.0,5,1,1,RUS,2.0,BRGULJAN D,1 - 1,422,MNE,7:02,Saved,0
Extra player shot,2.0,5,2,1,RUS,2.0,BRGULJAN D,2 - 1,403,MNE,6:43,Goal,1
Extra player shot,11.0,5,2,2,RUS,2.0,LISUNOV S,2 - 2,377,RUS,6:17,Goal,1
5m shot,7.0,5,2,2,RUS,2.0,MERKULOV D,2 - 2,325,RUS,5:25,Blocked,0
5m shot,6.0,5,3,2,RUS,2.0,RADOVIC A,3 - 2,305,MNE,5:05,Goal,1
Extra player shot,10.0,5,3,2,RUS,2.0,KHOLOD D,3 - 2,263,RUS,4:23,Saved,0
5m shot,7.0,5,3,3,RUS,2.0,MERKULOV D,3 - 3,257,RUS,4:17,Goal,1
5m shot,10.0,5,3,3,RUS,2.0,KHOLOD D,3 - 3,215,RUS,3:35,Missed,0
Extra player shot,5.0,5,3,3,RUS,2.0,BRGULJAN D,3 - 3,171,MNE,2:51,Saved,0
Extra player shot,10.0,5,4,3,RUS,2.0,MISIC S,4 - 3,122,MNE,2:02,Goal,1
5m shot,2.0,5,4,3,RUS,2.0,LAZAREV N,4 - 3,96,RUS,1:36,Blocked,0
5m shot,6.0,5,4,3,RUS,2.0,RADOVIC A,4 - 3,70,MNE,1:10,Saved,0
Extra player shot,2.0,5,5,3,RUS,2.0,BRGULJAN D,5 - 3,30,MNE,0:30,Goal,1
Centre shot,12.0,5,5,3,RUS,4.0,SHEPELEV R,5 - 3,134,RUS,2:14,Saved,0
5m shot,7.0,5,5,3,RUS,4.0,DRASKOVIC D,5 - 3,106,MNE,1:46,Saved,0
Extra player shot,7.0,5,5,3,RUS,2.0,MERKULOV D,5 - 3,1,RUS,0:01,Saved,0
5m shot,8.0,5,5,4,RUS,3.0,NAGAEV I,5 - 4,452,RUS,7:32,Goal,1
Counter attack,11.0,5,5,5,RUS,3.0,LISUNOV S,5 - 5,377,RUS,6:17,Goal,1
Extra player shot,2.0,5,6,5,RUS,3.0,BRGULJAN D,6 - 5,348,MNE,5:48,Goal,1
Extra player shot,4.0,5,6,6,RUS,3.0,DEREVIANKIN N,6 - 6,308,RUS,5:08,Goal,1
Penalty shot,6.0,5,7,6,RUS,3.0,RADOVIC A,7 - 6,295,MNE,4:55,Goal,1
5m shot,7.0,5,7,6,RUS,3.0,DRASKOVIC D,7 - 6,256,MNE,4:16,Saved,0
Action shot,10.0,5,7,7,RUS,3.0,KHOLOD D,7 - 7,154,RUS,2:34,Goal,1
5m shot,5.0,5,7,7,RUS,3.0,BRGULJAN D,7 - 7,131,MNE,2:11,Blocked,0
Extra player shot,4.0,5,7,7,RUS,3.0,PETKOVIC M,7 - 7,85,MNE,1:25,Missed,0
Centre shot,11.0,5,7,7,RUS,3.0,LISUNOV S,7 - 7,55,RUS,0:55,Saved,0
Centre shot,11.0,5,7,7,RUS,3.0,LISUNOV S,7 - 7,5,RUS,0:05,Saved,0
5m shot,6.0,5,7,7,RUS,4.0,RADOVIC A,7 - 7,451,MNE,7:31,Blocked,0
