Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,8.0,7,2,8,NED,3.0,ROUMPESI A,8 - 7,87,GRE,1:27,Missed,0
Penalty shot,4.0,7,2,9,NED,3.0,VAN DER SLOOT C,9 - 7,67,NED,1:07,Goal,1
5m shot,4.0,7,2,9,NED,3.0,VAN DER SLOOT C,9 - 7,0,NED,0:00,Missed,0
5m shot,7.0,7,2,9,NED,4.0,NIJHUIS M,9 - 7,451,NED,7:31,Saved,0
Action shot,8.0,8,2,9,NED,4.0,ROUMPESI A,9 - 8,430,GRE,7:10,Goal,1
Action shot,4.0,8,2,10,NED,4.0,VAN DER SLOOT C,10 - 8,410,NED,6:50,Goal,1
Centre shot,7.0,8,2,10,NED,4.0,ASIMAKI A,10 - 8,383,GRE,6:23,Saved,0
5m shot,2.0,8,2,10,NED,4.0,SMIT M,10 - 8,366,NED,6:06,Saved,0
Extra player shot,3.0,8,2,10,NED,4.0,CHARALAMPIDI S,10 - 8,332,GRE,5:32,Saved,0
Action shot,7.0,8,2,10,NED,4.0,ASIMAKI A,10 - 8,282,GRE,4:42,Saved,0
Action shot,4.0,8,2,10,NED,4.0,VAN DER SLOOT C,10 - 8,259,NED,4:19,Saved,0
Counter attack,11.0,9,2,10,NED,4.0,PLEVRITOU E,10 - 9,244,GRE,4:04,Goal,1
5m shot,2.0,9,2,10,NED,4.0,SMIT M,10 - 9,217,NED,3:37,Missed,0
5m shot,11.0,9,2,10,NED,4.0,KLAASSEN L,10 - 9,174,NED,2:54,Saved,0
Penalty shot,2.0,9,2,10,NED,4.0,TSOUKALA C,10 - 9,156,GRE,2:36,Saved,0
Action shot,6.0,9,2,10,NED,4.0,STOMPHORST N,10 - 9,33,NED,0:33,Saved,0
5m shot,6.0,9,2,10,NED,4.0,STOMPHORST N,10 - 9,0,NED,0:00,Missed,0
Action shot,8.0,1,3,0,RSA,1.0,ROUMPESI A,0 - 1,458,GRE,7:38,Goal,1
Centre shot,4.0,1,3,1,RSA,1.0,VERSFELD R,1 - 1,443,RSA,7:23,Goal,1
Action shot,9.0,1,3,1,RSA,1.0,CHARALAMPIDI I,1 - 1,419,GRE,6:59,Saved,0
Centre shot,7.0,2,3,1,RSA,1.0,ASIMAKI A,1 - 2,367,GRE,6:07,Goal,1
5m shot,12.0,2,3,1,RSA,1.0,WHITE K,1 - 2,339,RSA,5:39,Missed,0
5m shot,7.0,2,3,1,RSA,1.0,KAY K,1 - 2,291,RSA,4:51,Missed,0
