Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Penalty shot - Goal,2.0,3,1,3,AUS,2.0,TSOUKALA C,3 - 3,390,GRE,6:30
5m shot - Post,12.0,3,1,3,AUS,2.0,ZAGAME N,3 - 3,363,AUS,6:03
Action shot - Saved,7.0,3,1,3,AUS,2.0,WEBSTER R,3 - 3,337,AUS,5:37
Centre shot - Missed,7.0,3,1,3,AUS,2.0,ASIMAKI A,3 - 3,318,GRE,5:18
5m shot - Post,6.0,3,1,3,AUS,2.0,KNOX B,3 - 3,294,AUS,4:54
Turnover foul,2.0,3,1,3,AUS,2.0,TSOUKALA C,3 - 3,263,GRE,4:23
5m shot - Saved,9.0,3,1,3,AUS,2.0,ARANCINI Z,3 - 3,237,AUS,3:57
20 sec. exclusion in centre,12.0,3,1,3,AUS,2.0,ZAGAME N,3 - 3,214,AUS,3:34
Extra player shot - Missed,2.0,3,1,3,AUS,2.0,TSOUKALA C,3 - 3,210,GRE,3:30
Action shot - Saved,10.0,3,1,3,AUS,2.0,SOUTHERN A,3 - 3,155,AUS,2:35
Turnover foul,4.0,3,1,3,AUS,2.0,KOTSIA C,3 - 3,140,GRE,2:20
Steal,1.0,3,1,3,AUS,2.0,YANITSAS L,3 - 3,140,AUS,2:20
Action shot - Saved,10.0,3,1,3,AUS,2.0,SOUTHERN A,3 - 3,120,AUS,2:00
Action shot - Missed,10.0,3,1,3,AUS,2.0,SOUTHERN A,3 - 3,95,AUS,1:35
Action shot - Blocked,7.0,3,1,3,AUS,2.0,ASIMAKI A,3 - 3,70,GRE,1:10
Time-Out,,3,1,3,AUS,2.0,,3 - 3,70,AUS,1:10
5m shot - Missed,3.0,3,1,3,AUS,2.0,BUCKLING H,3 - 3,50,AUS,0:50
Time-Out,,3,1,3,AUS,2.0,,3 - 3,49,GRE,0:49
Double exclusion,12.0,3,1,3,AUS,2.0,XENAKI E,3 - 3,45,GRE,0:45
Double exclusion,3.0,3,1,3,AUS,2.0,BUCKLING H,3 - 3,45,AUS,0:45
Action shot - Goal,8.0,4,1,3,AUS,2.0,ROUMPESI A,3 - 4,28,GRE,0:28
20 sec. exclusion in centre,5.0,4,1,3,AUS,2.0,PLEVRITOU M,3 - 4,4,GRE,0:04
Starting goalkeeper,1.0,4,1,3,AUS,3.0,YANITSAS L,3 - 4,480,AUS,8:00
Starting goalkeeper,1.0,4,1,3,AUS,3.0,KOUVDOU E,3 - 4,480,GRE,8:00
Sprint won possession,12.0,4,1,3,AUS,3.0,ZAGAME N,3 - 4,480,AUS,8:00
5m shot - Missed,7.0,4,1,3,AUS,3.0,WEBSTER R,3 - 4,449,AUS,7:29
Turnover foul,12.0,4,1,3,AUS,3.0,ZAGAME N,3 - 4,397,AUS,6:37
5m shot - Post,2.0,4,1,3,AUS,3.0,TSOUKALA C,3 - 4,372,GRE,6:12
Turnover foul,7.0,4,1,3,AUS,3.0,WEBSTER R,3 - 4,342,AUS,5:42
Steal,6.0,4,1,3,AUS,3.0,AVRAMIDOU A,3 - 4,342,GRE,5:42
Penalty foul,7.0,4,1,3,AUS,3.0,WEBSTER R,3 - 4,318,AUS,5:18
Penalty shot - Goal,11.0,5,1,3,AUS,3.0,PLEVRITOU E,3 - 5,318,GRE,5:18
20 sec. exclusion in centre,4.0,5,1,3,AUS,3.0,KOTSIA C,3 - 5,293,GRE,4:53
Extra player shot - Goal,10.0,5,1,4,AUS,3.0,SOUTHERN A,4 - 5,287,AUS,4:47
20 sec. exclusion in centre,10.0,5,1,4,AUS,3.0,SOUTHERN A,4 - 5,271,AUS,4:31
Action shot - Blocked,3.0,5,1,4,AUS,3.0,CHARALAMPIDI S,4 - 5,248,GRE,4:08
Action shot - Post,6.0,5,1,4,AUS,3.0,KNOX B,4 - 5,221,AUS,3:41
Turnover foul,4.0,5,1,4,AUS,3.0,KOTSIA C,4 - 5,201,GRE,3:21
Steal,3.0,5,1,4,AUS,3.0,BUCKLING H,4 - 5,201,AUS,3:21
20 sec. exclusion in centre,8.0,5,1,4,AUS,3.0,ROUMPESI A,4 - 5,193,GRE,3:13
Extra player shot - Goal,7.0,5,1,5,AUS,3.0,WEBSTER R,5 - 5,176,AUS,2:56
Turnover foul,8.0,5,1,5,AUS,3.0,MCGHIE G,5 - 5,131,AUS,2:11
Steal,7.0,5,1,5,AUS,3.0,ASIMAKI A,5 - 5,131,GRE,2:11
20 sec. exclusion in field,9.0,5,1,5,AUS,3.0,ARANCINI Z,5 - 5,117,AUS,1:57
Extra player shot - Blocked,9.0,5,1,5,AUS,3.0,CHARALAMPIDI I,5 - 5,109,GRE,1:49
Action shot - Saved,3.0,5,1,5,AUS,3.0,BUCKLING H,5 - 5,83,AUS,1:23
Action shot - Post,3.0,5,1,5,AUS,3.0,BUCKLING H,5 - 5,66,AUS,1:06
5m shot - Saved,3.0,5,1,5,AUS,3.0,CHARALAMPIDI S,5 - 5,43,GRE,0:43
Time-Out,,5,1,5,AUS,3.0,,5 - 5,42,AUS,0:42
20 sec. exclusion in field,2.0,5,1,5,AUS,3.0,TSOUKALA C,5 - 5,16,GRE,0:16
Extra player shot - Missed,7.0,5,1,5,AUS,3.0,WEBSTER R,5 - 5,9,AUS,0:09
Starting goalkeeper,1.0,5,1,5,AUS,4.0,YANITSAS L,5 - 5,480,AUS,8:00
Starting goalkeeper,1.0,5,1,5,AUS,4.0,KOUVDOU E,5 - 5,480,GRE,8:00
Sprint won possession,12.0,5,1,5,AUS,4.0,ZAGAME N,5 - 5,480,AUS,8:00
Turnover foul,6.0,5,1,5,AUS,4.0,KNOX B,5 - 5,447,AUS,7:27
Steal,2.0,5,1,5,AUS,4.0,TSOUKALA C,5 - 5,447,GRE,7:27
Centre shot - Saved,7.0,5,1,5,AUS,4.0,ASIMAKI A,5 - 5,421,GRE,7:01
Action shot - Goal,8.0,5,1,6,AUS,4.0,MCGHIE G,6 - 5,408,AUS,6:48
Turnover foul,10.0,5,1,6,AUS,4.0,MANOLIOUDAKI T,6 - 5,388,GRE,6:28
Action shot - Saved,10.0,5,1,6,AUS,4.0,SOUTHERN A,6 - 5,360,AUS,6:00
20 sec. exclusion in field,8.0,5,1,6,AUS,4.0,MCGHIE G,6 - 5,341,AUS,5:41
Extra player shot - Goal,7.0,6,1,6,AUS,4.0,ASIMAKI A,6 - 6,319,GRE,5:19
Action shot - Post,11.0,6,1,6,AUS,4.0,HALLIGAN B,6 - 6,287,AUS,4:47
Centre shot - Missed,12.0,6,1,6,AUS,4.0,ZAGAME N,6 - 6,265,AUS,4:25
Turnover foul,10.0,6,1,6,AUS,4.0,MANOLIOUDAKI T,6 - 6,244,GRE,4:04
Steal,1.0,6,1,6,AUS,4.0,YANITSAS L,6 - 6,244,AUS,4:04
Turnover foul,2.0,6,1,6,AUS,4.0,BEADSWORTH G,6 - 6,207,AUS,3:27
Steal,1.0,6,1,6,AUS,4.0,KOUVDOU E,6 - 6,207,GRE,3:27
5m shot - Saved,8.0,6,1,6,AUS,4.0,ROUMPESI A,6 - 6,180,GRE,3:00
Action shot - Goal,9.0,6,1,7,AUS,4.0,ARANCINI Z,7 - 6,156,AUS,2:36
Penalty foul,3.0,6,1,7,AUS,4.0,BUCKLING H,7 - 6,139,AUS,2:19
Penalty shot - Saved,2.0,6,1,7,AUS,4.0,TSOUKALA C,7 - 6,139,GRE,2:19
Exclusion with substitution,3.0,6,1,7,AUS,4.0,BUCKLING H,7 - 6,139,AUS,2:19
5m shot - Goal,2.0,7,1,7,AUS,4.0,TSOUKALA C,7 - 7,116,GRE,1:56
Action shot - Missed,6.0,7,1,7,AUS,4.0,KNOX B,7 - 7,87,AUS,1:27
Turnover foul,8.0,7,1,7,AUS,4.0,ROUMPESI A,7 - 7,67,GRE,1:07
Steal,2.0,7,1,7,AUS,4.0,BEADSWORTH G,7 - 7,67,AUS,1:07
Counter attack - Goal,12.0,7,1,8,AUS,4.0,ZAGAME N,8 - 7,59,AUS,0:59
20 sec. exclusion in centre,6.0,7,1,8,AUS,4.0,KNOX B,8 - 7,42,AUS,0:42
Time-Out,,7,1,8,AUS,4.0,,8 - 7,42,GRE,0:42
Action shot - Saved,8.0,7,1,8,AUS,4.0,ROUMPESI A,8 - 7,15,GRE,0:15
20 sec. exclusion in centre,10.0,7,1,8,AUS,4.0,SOUTHERN A,8 - 7,8,AUS,0:08
5m shot - Missed,8.0,7,1,8,AUS,4.0,ROUMPESI A,8 - 7,0,GRE,0:00
Starting goalkeeper,13.0,0,2,0,NED,1.0,WILLEMSZ D,0 - 0,480,NED,8:00
Starting goalkeeper,1.0,0,2,0,NED,1.0,KOUVDOU E,0 - 0,480,GRE,8:00
Sprint won possession,4.0,0,2,0,NED,1.0,VAN DER SLOOT C,0 - 0,480,NED,8:00
Turnover foul,2.0,0,2,0,NED,1.0,TSOUKALA C,0 - 0,452,GRE,7:32
Centre shot - Saved,7.0,0,2,0,NED,1.0,ASIMAKI A,0 - 0,431,GRE,7:11
5m shot - Post,2.0,0,2,0,NED,1.0,SMIT M,0 - 0,403,NED,6:43
20 sec. exclusion in centre,2.0,0,2,0,NED,1.0,SMIT M,0 - 0,392,NED,6:32
Action shot - Missed,11.0,0,2,0,NED,1.0,PLEVRITOU E,0 - 0,367,GRE,6:07
Action shot - Post,9.0,0,2,0,NED,1.0,MEGENS M,0 - 0,355,NED,5:55
Action shot - Post,8.0,0,2,0,NED,1.0,ROUMPESI A,0 - 0,334,GRE,5:34
Centre shot - Goal,10.0,1,2,0,NED,1.0,MANOLIOUDAKI T,0 - 1,333,GRE,5:33
5m shot - Missed,11.0,1,2,0,NED,1.0,KLAASSEN L,0 - 1,308,NED,5:08
Turnover foul,7.0,1,2,0,NED,1.0,ASIMAKI A,0 - 1,308,GRE,5:08
Action shot - Blocked,7.0,1,2,0,NED,1.0,NIJHUIS M,0 - 1,297,NED,4:57
Turnover foul,9.0,1,2,0,NED,1.0,MEGENS M,0 - 1,284,NED,4:44
Steal,7.0,1,2,0,NED,1.0,ASIMAKI A,0 - 1,284,GRE,4:44
Turnover foul,7.0,1,2,0,NED,1.0,ASIMAKI A,0 - 1,266,GRE,4:26
Steal,3.0,1,2,0,NED,1.0,GENEE D,0 - 1,266,NED,4:26
Counter attack - Saved,9.0,1,2,0,NED,1.0,MEGENS M,0 - 1,254,NED,4:14
5m shot - Goal,11.0,1,2,1,NED,1.0,KLAASSEN L,1 - 1,236,NED,3:56
20 sec. exclusion in centre,3.0,1,2,1,NED,1.0,GENEE D,1 - 1,216,NED,3:36
Action shot - Goal,8.0,2,2,1,NED,1.0,ROUMPESI A,1 - 2,196,GRE,3:16
5m shot - Saved,9.0,2,2,1,NED,1.0,MEGENS M,1 - 2,149,NED,2:29
Action shot - Saved,9.0,2,2,1,NED,1.0,MEGENS M,1 - 2,143,NED,2:23
5m shot - Post,11.0,2,2,1,NED,1.0,PLEVRITOU E,1 - 2,120,GRE,2:00
5m shot - Blocked,2.0,2,2,1,NED,1.0,SMIT M,1 - 2,89,NED,1:29
20 sec. exclusion in field,4.0,2,2,1,NED,1.0,VAN DER SLOOT C,1 - 2,66,NED,1:06
Time-Out,,2,2,1,NED,1.0,,1 - 2,66,GRE,1:06
Extra player shot - Goal,3.0,3,2,1,NED,1.0,CHARALAMPIDI S,1 - 3,46,GRE,0:46
20 sec. exclusion in centre,5.0,3,2,1,NED,1.0,PLEVRITOU M,1 - 3,18,GRE,0:18
Time-Out,,3,2,1,NED,1.0,,1 - 3,18,NED,0:18
Extra player shot - Goal,4.0,3,2,2,NED,1.0,VAN DER SLOOT C,2 - 3,1,NED,0:01
Starting goalkeeper,13.0,3,2,2,NED,2.0,WILLEMSZ D,2 - 3,480,NED,8:00
Starting goalkeeper,1.0,3,2,2,NED,2.0,KOUVDOU E,2 - 3,480,GRE,8:00
Sprint won possession,11.0,3,2,2,NED,2.0,PLEVRITOU E,2 - 3,480,GRE,8:00
Turnover foul,7.0,3,2,2,NED,2.0,ASIMAKI A,2 - 3,465,GRE,7:45
5m shot - Post,4.0,3,2,2,NED,2.0,VAN DER SLOOT C,2 - 3,436,NED,7:16
Turnover foul,7.0,3,2,2,NED,2.0,ASIMAKI A,2 - 3,410,GRE,6:50
Steal,8.0,3,2,2,NED,2.0,SEVENICH V,2 - 3,410,NED,6:50
5m shot - Post,9.0,3,2,2,NED,2.0,MEGENS M,2 - 3,381,NED,6:21
5m shot - Blocked,2.0,3,2,2,NED,2.0,TSOUKALA C,2 - 3,358,GRE,5:58
Action shot - Saved,8.0,3,2,2,NED,2.0,SEVENICH V,2 - 3,336,NED,5:36
Action shot - Saved,8.0,3,2,2,NED,2.0,ROUMPESI A,2 - 3,314,GRE,5:14
5m shot - Saved,9.0,3,2,2,NED,2.0,MEGENS M,2 - 3,288,NED,4:48
5m shot - Post,11.0,3,2,2,NED,2.0,KLAASSEN L,2 - 3,264,NED,4:24
Action shot - Post,10.0,3,2,2,NED,2.0,MANOLIOUDAKI T,2 - 3,244,GRE,4:04
20 sec. exclusion in centre,2.0,3,2,2,NED,2.0,TSOUKALA C,2 - 3,226,GRE,3:46
Time-Out,,3,2,2,NED,2.0,,2 - 3,226,NED,3:46
Action shot - Post,8.0,3,2,2,NED,2.0,ROUMPESI A,2 - 3,174,GRE,2:54
20 sec. exclusion in field,8.0,3,2,2,NED,2.0,ROUMPESI A,2 - 3,172,GRE,2:52
Extra player shot - Saved,11.0,3,2,2,NED,2.0,KLAASSEN L,2 - 3,147,NED,2:27
Action shot - Post,10.0,3,2,2,NED,2.0,MANOLIOUDAKI T,2 - 3,120,GRE,2:00
Action shot - Goal,2.0,3,2,3,NED,2.0,SMIT M,3 - 3,104,NED,1:44
Double exclusion,12.0,3,2,3,NED,2.0,XENAKI E,3 - 3,85,GRE,1:25
Double exclusion,3.0,3,2,3,NED,2.0,GENEE D,3 - 3,85,NED,1:25
Extra player shot - Goal,2.0,4,2,3,NED,2.0,TSOUKALA C,3 - 4,81,GRE,1:21
Action shot - Saved,5.0,4,2,3,NED,2.0,GENEE A,3 - 4,51,NED,0:51
5m shot - Goal,4.0,5,2,3,NED,2.0,KOTSIA C,3 - 5,25,GRE,0:25
5m shot - Goal,7.0,5,2,4,NED,2.0,NIJHUIS M,4 - 5,2,NED,0:02
5m shot - Missed,11.0,5,2,4,NED,2.0,PLEVRITOU E,4 - 5,1,GRE,0:01
Starting goalkeeper,1.0,5,2,4,NED,3.0,AARTS L,4 - 5,480,NED,8:00
Starting goalkeeper,1.0,5,2,4,NED,3.0,KOUVDOU E,4 - 5,480,GRE,8:00
Sprint won possession,6.0,5,2,4,NED,3.0,STOMPHORST N,4 - 5,480,NED,8:00
Action shot - Post,11.0,5,2,4,NED,3.0,PLEVRITOU E,4 - 5,432,GRE,7:12
Action shot - Goal,2.0,5,2,5,NED,3.0,SMIT M,5 - 5,414,NED,6:54
20 sec. exclusion in centre,11.0,5,2,5,NED,3.0,KLAASSEN L,5 - 5,399,NED,6:39
Extra player shot - Goal,5.0,6,2,5,NED,3.0,PLEVRITOU M,5 - 6,378,GRE,6:18
5m shot - Goal,6.0,6,2,6,NED,3.0,STOMPHORST N,6 - 6,352,NED,5:52
Action shot - Goal,5.0,7,2,6,NED,3.0,PLEVRITOU M,6 - 7,329,GRE,5:29
Centre shot - Saved,4.0,7,2,6,NED,3.0,VAN DER SLOOT C,6 - 7,303,NED,5:03
5m shot - Blocked,8.0,7,2,6,NED,3.0,ROUMPESI A,6 - 7,270,GRE,4:30
Action shot - Saved,9.0,7,2,6,NED,3.0,MEGENS M,6 - 7,253,NED,4:13
5m shot - Missed,2.0,7,2,6,NED,3.0,TSOUKALA C,6 - 7,225,GRE,3:45
20 sec. exclusion in centre,5.0,7,2,6,NED,3.0,PLEVRITOU M,6 - 7,212,GRE,3:32
Time-Out,,7,2,6,NED,3.0,,6 - 7,212,NED,3:32
Action shot - Goal,2.0,7,2,7,NED,3.0,SMIT M,7 - 7,191,NED,3:11
5m shot - Missed,10.0,7,2,7,NED,3.0,MANOLIOUDAKI T,7 - 7,161,GRE,2:41
20 sec. exclusion in field,10.0,7,2,7,NED,3.0,MANOLIOUDAKI T,7 - 7,161,GRE,2:41
Action shot - Goal,4.0,7,2,8,NED,3.0,VAN DER SLOOT C,8 - 7,136,NED,2:16
20 sec. exclusion in centre,11.0,7,2,8,NED,3.0,KLAASSEN L,8 - 7,112,NED,1:52
Time-Out,,7,2,8,NED,3.0,,8 - 7,110,GRE,1:50
5m shot - Missed,8.0,7,2,8,NED,3.0,ROUMPESI A,8 - 7,87,GRE,1:27
Penalty foul,9.0,7,2,8,NED,3.0,CHARALAMPIDI I,8 - 7,67,GRE,1:07
Penalty shot - Goal,4.0,7,2,9,NED,3.0,VAN DER SLOOT C,9 - 7,67,NED,1:07
20 sec. exclusion in field,10.0,7,2,9,NED,3.0,VAN TOORN I,9 - 7,44,NED,0:44
Turnover foul,7.0,7,2,9,NED,3.0,ASIMAKI A,9 - 7,18,GRE,0:18
5m shot - Missed,4.0,7,2,9,NED,3.0,VAN DER SLOOT C,9 - 7,0,NED,0:00
Starting goalkeeper,1.0,7,2,9,NED,4.0,AARTS L,9 - 7,480,NED,8:00
Starting goalkeeper,1.0,7,2,9,NED,4.0,KOUVDOU E,9 - 7,480,GRE,8:00
Sprint won possession,6.0,7,2,9,NED,4.0,STOMPHORST N,9 - 7,480,NED,8:00
5m shot - Saved,7.0,7,2,9,NED,4.0,NIJHUIS M,9 - 7,451,NED,7:31
Action shot - Goal,8.0,8,2,9,NED,4.0,ROUMPESI A,9 - 8,430,GRE,7:10
Action shot - Goal,4.0,8,2,10,NED,4.0,VAN DER SLOOT C,10 - 8,410,NED,6:50
Centre shot - Saved,7.0,8,2,10,NED,4.0,ASIMAKI A,10 - 8,383,GRE,6:23
5m shot - Saved,2.0,8,2,10,NED,4.0,SMIT M,10 - 8,366,NED,6:06
20 sec. exclusion in field,3.0,8,2,10,NED,4.0,GENEE D,10 - 8,353,NED,5:53
Exclusion with substitution,3.0,8,2,10,NED,4.0,GENEE D,10 - 8,353,NED,5:53
Extra player shot - Saved,3.0,8,2,10,NED,4.0,CHARALAMPIDI S,10 - 8,332,GRE,5:32
Action shot - Saved,7.0,8,2,10,NED,4.0,ASIMAKI A,10 - 8,282,GRE,4:42
Action shot - Saved,4.0,8,2,10,NED,4.0,VAN DER SLOOT C,10 - 8,259,NED,4:19
Counter attack - Goal,11.0,9,2,10,NED,4.0,PLEVRITOU E,10 - 9,244,GRE,4:04
5m shot - Missed,2.0,9,2,10,NED,4.0,SMIT M,10 - 9,217,NED,3:37
Turnover foul,12.0,9,2,10,NED,4.0,XENAKI E,10 - 9,200,GRE,3:20
5m shot - Saved,11.0,9,2,10,NED,4.0,KLAASSEN L,10 - 9,174,NED,2:54
Penalty foul,8.0,9,2,10,NED,4.0,SEVENICH V,10 - 9,156,NED,2:36
Penalty shot - Saved,2.0,9,2,10,NED,4.0,TSOUKALA C,10 - 9,156,GRE,2:36
Turnover foul,12.0,9,2,10,NED,4.0,XENAKI E,10 - 9,131,GRE,2:11
Steal,4.0,9,2,10,NED,4.0,VAN DER SLOOT C,10 - 9,131,NED,2:11
Turnover foul,4.0,9,2,10,NED,4.0,VAN DER SLOOT C,10 - 9,111,NED,1:51
Steal,10.0,9,2,10,NED,4.0,MANOLIOUDAKI T,10 - 9,111,GRE,1:51
Time-Out,,9,2,10,NED,4.0,,10 - 9,60,NED,1:00
20 sec. exclusion in field,5.0,9,2,10,NED,4.0,PLEVRITOU M,10 - 9,60,GRE,1:00
Exclusion with substitution,5.0,9,2,10,NED,4.0,PLEVRITOU M,10 - 9,60,GRE,1:00
Action shot - Saved,6.0,9,2,10,NED,4.0,STOMPHORST N,10 - 9,33,NED,0:33
Time-Out,,9,2,10,NED,4.0,,10 - 9,33,GRE,0:33
Turnover foul,8.0,9,2,10,NED,4.0,ROUMPESI A,10 - 9,18,GRE,0:18
Steal,9.0,9,2,10,NED,4.0,MEGENS M,10 - 9,18,NED,0:18
5m shot - Missed,6.0,9,2,10,NED,4.0,STOMPHORST N,10 - 9,0,NED,0:00
Starting goalkeeper,1.0,0,3,0,RSA,1.0,THOMAS R,0 - 0,480,RSA,8:00
Starting goalkeeper,1.0,0,3,0,RSA,1.0,KOUVDOU E,0 - 0,480,GRE,8:00
Sprint won possession,9.0,0,3,0,RSA,1.0,CHARALAMPIDI I,0 - 0,480,GRE,8:00
Action shot - Goal,8.0,1,3,0,RSA,1.0,ROUMPESI A,0 - 1,458,GRE,7:38
Centre shot - Goal,4.0,1,3,1,RSA,1.0,VERSFELD R,1 - 1,443,RSA,7:23
Action shot - Saved,9.0,1,3,1,RSA,1.0,CHARALAMPIDI I,1 - 1,419,GRE,6:59
Turnover foul,7.0,1,3,1,RSA,1.0,ASIMAKI A,1 - 1,403,GRE,6:43
Steal,6.0,1,3,1,RSA,1.0,HALLENDORFF A,1 - 1,403,RSA,6:43
Turnover foul,7.0,1,3,1,RSA,1.0,KAY K,1 - 1,377,RSA,6:17
Centre shot - Goal,7.0,2,3,1,RSA,1.0,ASIMAKI A,1 - 2,367,GRE,6:07
5m shot - Missed,12.0,2,3,1,RSA,1.0,WHITE K,1 - 2,339,RSA,5:39
Turnover foul,11.0,2,3,1,RSA,1.0,PLEVRITOU E,1 - 2,315,GRE,5:15
5m shot - Missed,7.0,2,3,1,RSA,1.0,KAY K,1 - 2,291,RSA,4:51
Action shot - Goal,7.0,3,3,1,RSA,1.0,ASIMAKI A,1 - 3,281,GRE,4:41
Turnover foul,10.0,3,3,1,RSA,1.0,KILLEEN L,1 - 3,254,RSA,4:14
20 sec. exclusion in centre,10.0,3,3,1,RSA,1.0,KILLEEN L,1 - 3,237,RSA,3:57
Extra player shot - Saved,6.0,3,3,1,RSA,1.0,AVRAMIDOU A,1 - 3,221,GRE,3:41
Turnover foul,3.0,3,3,1,RSA,1.0,PALEY K,1 - 3,201,RSA,3:21
Action shot - Post,3.0,3,3,1,RSA,1.0,CHARALAMPIDI S,1 - 3,183,GRE,3:03
Time-Out,,3,3,1,RSA,1.0,,1 - 3,183,RSA,3:03
5m shot - Missed,12.0,3,3,1,RSA,1.0,WHITE K,1 - 3,168,RSA,2:48
Counter attack - Goal,3.0,4,3,1,RSA,1.0,CHARALAMPIDI S,1 - 4,160,GRE,2:40
20 sec. exclusion in field,3.0,4,3,1,RSA,1.0,PALEY K,1 - 4,141,RSA,2:21
Extra player shot - Goal,3.0,5,3,1,RSA,1.0,CHARALAMPIDI S,1 - 5,132,GRE,2:12
Action shot - Saved,3.0,5,3,1,RSA,1.0,PALEY K,1 - 5,105,RSA,1:45
Turnover foul,3.0,5,3,1,RSA,1.0,CHARALAMPIDI S,1 - 5,92,GRE,1:32
Steal,12.0,5,3,1,RSA,1.0,WHITE K,1 - 5,92,RSA,1:32
5m shot - Missed,12.0,5,3,1,RSA,1.0,WHITE K,1 - 5,68,RSA,1:08
Action shot - Saved,2.0,5,3,1,RSA,1.0,TSOUKALA C,1 - 5,43,GRE,0:43
Turnover foul,2.0,5,3,1,RSA,1.0,PARKES M,1 - 5,14,RSA,0:14
20 sec. exclusion in centre,5.0,5,3,1,RSA,1.0,SCHOOLING M,1 - 5,5,RSA,0:05
Starting goalkeeper,13.0,5,3,1,RSA,2.0,GASCOIGNE A,1 - 5,480,RSA,8:00
Starting goalkeeper,1.0,5,3,1,RSA,2.0,KOUVDOU E,1 - 5,480,GRE,8:00
Sprint won possession,11.0,5,3,1,RSA,2.0,PLEVRITOU E,1 - 5,480,GRE,8:00
Action shot - Goal,6.0,6,3,1,RSA,2.0,AVRAMIDOU A,1 - 6,454,GRE,7:34
Turnover foul,10.0,6,3,1,RSA,2.0,KILLEEN L,1 - 6,429,RSA,7:09
