Period,Time,Action,Score,Team,Player,Cap,Opponent,KAZ,Seconds,Game,Opponent name
4.0,8:00,Starting goalkeeper,13 - 3,KAZ,ZHARKIMBAYEVA A,1.0,13,3,480,2,GRE
4.0,8:00,Sprint won possession,13 - 3,KAZ,YEREMINA A,9.0,13,3,480,2,GRE
4.0,7:35,Action shot - Goal,13 - 4,KAZ,AKILBAYEVA A,3.0,13,4,455,2,GRE
4.0,7:18,Action shot - Goal,14 - 4,GRE,PLEVRITOU E,11.0,14,4,438,2,GRE
4.0,7:08,20 sec. exclusion in field,14 - 4,GRE,ELEFTHERIADOU N,4.0,14,4,428,2,GRE
4.0,6:53,Extra player shot - Saved,14 - 4,KAZ,MYRZABEKOVA Z,10.0,14,4,413,2,GRE
4.0,6:26,Action shot - Goal,15 - 4,GRE,ELEFTHERIADOU N,4.0,15,4,386,2,GRE
4.0,5:29,Action shot - Saved,15 - 4,GRE,PLEVRITOU E,11.0,15,4,329,2,GRE
4.0,5:07,5m shot - Goal,15 - 5,KAZ,MIRSHINA A,11.0,15,5,307,2,GRE
4.0,4:59,20 sec. exclusion in field,15 - 5,KAZ,ROGA D,6.0,15,5,299,2,GRE
4.0,4:40,Extra player shot - Goal,16 - 5,GRE,AVRAMIDOU A,6.0,16,5,280,2,GRE
4.0,4:29,20 sec. exclusion in field,16 - 5,GRE,MANOLIOUDAKI T,10.0,16,5,269,2,GRE
4.0,4:29,Exclusion with substitution,16 - 5,GRE,MANOLIOUDAKI T,10.0,16,5,269,2,GRE
4.0,4:10,Extra player shot - Saved,16 - 5,KAZ,MIRSHINA A,11.0,16,5,250,2,GRE
4.0,3:41,20 sec. exclusion in centre,16 - 5,KAZ,SAICHUK O,8.0,16,5,221,2,GRE
4.0,3:24,Extra player shot - Goal,17 - 5,GRE,ASIMAKI A,7.0,17,5,204,2,GRE
4.0,3:09,20 sec. exclusion in field,17 - 5,GRE,KOTSIA C,9.0,17,5,189,2,GRE
4.0,3:09,Time-Out,17 - 5,KAZ,,,17,5,189,2,GRE
4.0,2:50,Extra player shot - Missed,17 - 5,KAZ,ROGA D,6.0,17,5,170,2,GRE
4.0,2:31,Centre shot - Post,17 - 5,GRE,ASIMAKI A,7.0,17,5,151,2,GRE
4.0,1:45,Action shot - Missed,17 - 5,GRE,CHYDIRIOTI I,8.0,17,5,105,2,GRE
4.0,1:19,Turnover foul,17 - 5,KAZ,MYRZABEKOVA Z,10.0,17,5,79,2,GRE
4.0,0:24,Counter attack - Goal,19 - 5,GRE,ASIMAKI A,7.0,19,5,24,2,GRE
4.0,0:02,Turnover foul,19 - 5,KAZ,MUSSAROVA A,12.0,19,5,2,2,GRE
4.0,0:02,Steal,19 - 5,GRE,CHYDIRIOTI I,8.0,19,5,2,2,GRE
1.0,8:00,Starting goalkeeper,0 - 0,RUS,USTIUKHINA A,1.0,0,0,480,3,RUS
1.0,8:00,Starting goalkeeper,0 - 0,KAZ,ZHARKIMBAYEVA A,1.0,0,0,480,3,RUS
1.0,8:00,Sprint won possession,0 - 0,KAZ,ZAKIROVA K,5.0,0,0,480,3,RUS
1.0,7:33,Action shot - Missed,0 - 0,KAZ,ZAKIROVA K,5.0,0,0,453,3,RUS
1.0,7:13,Action shot - Goal,1 - 0,RUS,RYZHKOVA D,12.0,1,0,433,3,RUS
1.0,6:44,Centre shot - Goal,1 - 1,KAZ,MIRSHINA A,11.0,1,1,404,3,RUS
