Period,Time,Action,Score,Team,Player,Cap,Opponent,KAZ,Seconds,Game,Opponent name,Result,Goal
4.0,3:14,Action shot,14 - 4,KAZ,ROGA D,6.0,14,4,194,1,AUS,Missed,0
4.0,3:02,Action shot,14 - 4,AUS,STEERE M,12.0,14,4,182,1,AUS,Missed,0
4.0,2:20,Action shot,14 - 4,KAZ,MIRSHINA A,11.0,14,4,140,1,AUS,Saved,0
4.0,1:50,Action shot,14 - 4,AUS,GOFERS K,2.0,14,4,110,1,AUS,Saved,0
4.0,1:26,Action shot,15 - 4,AUS,GOFERS K,2.0,15,4,86,1,AUS,Goal,1
4.0,0:59,5m shot,15 - 4,KAZ,ROGA D,6.0,15,4,59,1,AUS,Missed,0
4.0,0:47,Action shot,16 - 4,AUS,WEBSTER R,7.0,16,4,47,1,AUS,Goal,1
4.0,0:29,Centre shot,16 - 4,KAZ,RAITER S,2.0,16,4,29,1,AUS,Blocked,0
1.0,7:41,Action shot,1 - 0,GRE,ASIMAKI A,7.0,1,0,461,2,GRE,Goal,1
1.0,7:12,Extra player shot,1 - 0,KAZ,MIRSHINA A,11.0,1,0,432,2,GRE,Post,0
1.0,6:02,Centre shot,2 - 0,GRE,ASIMAKI A,7.0,2,0,362,2,GRE,Goal,1
1.0,5:33,Action shot,2 - 0,KAZ,AKILBAYEVA A,3.0,2,0,333,2,GRE,Blocked,0
1.0,5:06,5m shot,3 - 0,GRE,KOTSIA C,9.0,3,0,306,2,GRE,Goal,1
1.0,4:26,Action shot,4 - 0,GRE,MANOLIOUDAKI T,10.0,4,0,266,2,GRE,Goal,1
1.0,3:07,Action shot,4 - 0,KAZ,ROGA D,6.0,4,0,187,2,GRE,Missed,0
1.0,2:46,Action shot,4 - 0,GRE,PLEVRITOU E,11.0,4,0,166,2,GRE,Saved,0
1.0,2:15,Centre shot,4 - 0,KAZ,ZAKIROVA K,5.0,4,0,135,2,GRE,Saved,0
1.0,1:53,Centre shot,4 - 0,GRE,XENAKI E,12.0,4,0,113,2,GRE,Saved,0
1.0,1:32,Action shot,4 - 0,KAZ,AKILBAYEVA A,3.0,4,0,92,2,GRE,Saved,0
1.0,0:22,Centre shot,5 - 0,GRE,ELEFTHERIADOU N,4.0,5,0,22,2,GRE,Goal,1
2.0,7:40,Penalty shot,6 - 0,GRE,PLEVRITOU E,11.0,6,0,460,2,GRE,Goal,1
2.0,7:14,Extra player shot,6 - 0,KAZ,MIRSHINA A,11.0,6,0,434,2,GRE,Saved,0
2.0,6:29,Extra player shot,6 - 1,KAZ,AKILBAYEVA A,3.0,6,1,389,2,GRE,Goal,1
2.0,4:48,5m shot,6 - 1,GRE,ELEFTHERIADOU N,4.0,6,1,288,2,GRE,Post,0
2.0,4:13,Action shot,7 - 1,GRE,CHYDIRIOTI I,8.0,7,1,253,2,GRE,Goal,1
2.0,2:50,Action shot,7 - 1,GRE,CHYDIRIOTI I,8.0,7,1,170,2,GRE,Missed,0
2.0,2:34,Action shot,7 - 1,KAZ,YEREMINA A,9.0,7,1,154,2,GRE,Missed,0
2.0,2:20,Action shot,8 - 1,GRE,TSOUKALA C,2.0,8,1,140,2,GRE,Goal,1
2.0,2:05,Centre shot,8 - 2,KAZ,MYRZABEKOVA Z,10.0,8,2,125,2,GRE,Goal,1
2.0,1:38,Centre shot,8 - 2,GRE,XENAKI E,12.0,8,2,98,2,GRE,Saved,0
2.0,1:12,Action shot,8 - 2,KAZ,ROGA D,6.0,8,2,72,2,GRE,Blocked,0
2.0,0:51,Penalty shot,9 - 2,GRE,MANOLIOUDAKI T,10.0,9,2,51,2,GRE,Goal,1
4.0,0:59,Extra player shot,18 - 5,GRE,ELEFTHERIADOU N,4.0,18,5,59,2,GRE,Goal,1
2.0,0:01,5m shot,18 - 5,KAZ,ZAKIROVA K,5.0,18,5,1,2,GRE,Blocked,0
3.0,7:19,Action shot,10 - 2,GRE,MANOLIOUDAKI T,10.0,10,2,439,2,GRE,Goal,1
3.0,6:38,Action shot,10 - 2,KAZ,MIRSHINA A,11.0,10,2,398,2,GRE,Saved,0
3.0,6:23,Counter attack,11 - 2,GRE,PLEVRITOU E,11.0,11,2,383,2,GRE,Goal,1
3.0,5:41,Extra player shot,11 - 2,KAZ,AKILBAYEVA A,3.0,11,2,341,2,GRE,Blocked,0
3.0,5:31,Action shot,11 - 2,KAZ,ROGA D,6.0,11,2,331,2,GRE,Saved,0
3.0,5:28,Centre shot,11 - 3,KAZ,AKILBAYEVA A,3.0,11,3,328,2,GRE,Goal,1
3.0,5:06,Centre shot,11 - 3,GRE,ASIMAKI A,7.0,11,3,306,2,GRE,Saved,0
3.0,4:35,5m shot,11 - 3,KAZ,MIRSHINA A,11.0,11,3,275,2,GRE,Post,0
3.0,4:01,Centre shot,11 - 3,GRE,ASIMAKI A,7.0,11,3,241,2,GRE,Saved,0
3.0,3:15,Action shot,11 - 3,GRE,TSOUKALA C,2.0,11,3,195,2,GRE,Saved,0
3.0,2:35,Centre shot,11 - 3,GRE,XENAKI E,12.0,11,3,155,2,GRE,Missed,0
3.0,1:54,Centre shot,11 - 3,KAZ,MUSSAROVA A,12.0,11,3,114,2,GRE,Saved,0
3.0,1:22,5m shot,11 - 3,KAZ,ZAKIROVA K,5.0,11,3,82,2,GRE,Blocked,0
3.0,1:03,Action shot,12 - 3,GRE,DIAMANTOPOULOU V,3.0,12,3,63,2,GRE,Goal,1
3.0,0:33,Penalty shot,13 - 3,GRE,XENAKI E,12.0,13,3,33,2,GRE,Goal,1
4.0,7:35,Action shot,13 - 4,KAZ,AKILBAYEVA A,3.0,13,4,455,2,GRE,Goal,1
4.0,7:18,Action shot,14 - 4,GRE,PLEVRITOU E,11.0,14,4,438,2,GRE,Goal,1
4.0,6:53,Extra player shot,14 - 4,KAZ,MYRZABEKOVA Z,10.0,14,4,413,2,GRE,Saved,0
4.0,6:26,Action shot,15 - 4,GRE,ELEFTHERIADOU N,4.0,15,4,386,2,GRE,Goal,1
4.0,5:29,Action shot,15 - 4,GRE,PLEVRITOU E,11.0,15,4,329,2,GRE,Saved,0
4.0,5:07,5m shot,15 - 5,KAZ,MIRSHINA A,11.0,15,5,307,2,GRE,Goal,1
4.0,4:40,Extra player shot,16 - 5,GRE,AVRAMIDOU A,6.0,16,5,280,2,GRE,Goal,1
4.0,4:10,Extra player shot,16 - 5,KAZ,MIRSHINA A,11.0,16,5,250,2,GRE,Saved,0
4.0,3:24,Extra player shot,17 - 5,GRE,ASIMAKI A,7.0,17,5,204,2,GRE,Goal,1
4.0,2:50,Extra player shot,17 - 5,KAZ,ROGA D,6.0,17,5,170,2,GRE,Missed,0
4.0,2:31,Centre shot,17 - 5,GRE,ASIMAKI A,7.0,17,5,151,2,GRE,Post,0
4.0,1:45,Action shot,17 - 5,GRE,CHYDIRIOTI I,8.0,17,5,105,2,GRE,Missed,0
4.0,0:24,Counter attack,19 - 5,GRE,ASIMAKI A,7.0,19,5,24,2,GRE,Goal,1
1.0,7:33,Action shot,0 - 0,KAZ,ZAKIROVA K,5.0,0,0,453,3,RUS,Missed,0
1.0,7:13,Action shot,1 - 0,RUS,RYZHKOVA D,12.0,1,0,433,3,RUS,Goal,1
1.0,6:44,Centre shot,1 - 1,KAZ,MIRSHINA A,11.0,1,1,404,3,RUS,Goal,1
1.0,5:55,Action shot,2 - 1,RUS,SIMANOVICH A,8.0,2,1,355,3,RUS,Goal,1
1.0,5:05,Action shot,2 - 1,KAZ,ZAKIROVA K,5.0,2,1,305,3,RUS,Missed,0
1.0,4:37,5m shot,2 - 1,KAZ,MYRZABEKOVA Z,10.0,2,1,277,3,RUS,Saved,0
1.0,4:18,Action shot,2 - 1,RUS,GORBUNOVA O,6.0,2,1,258,3,RUS,Saved,0
1.0,3:45,5m shot,2 - 1,KAZ,AKILBAYEVA A,3.0,2,1,225,3,RUS,Post,0
1.0,3:07,5m shot,2 - 1,RUS,RYZHKOVA D,12.0,2,1,187,3,RUS,Post,0
1.0,2:53,Action shot,3 - 1,RUS,TIMOFEEVA A,9.0,3,1,173,3,RUS,Goal,1
1.0,2:01,Centre shot,3 - 1,RUS,SERZHANTOVA A,7.0,3,1,121,3,RUS,Post,0
1.0,1:44,5m shot,3 - 1,KAZ,TUROVA A,4.0,3,1,104,3,RUS,Saved,0
1.0,0:59,Action shot,4 - 1,RUS,TIMOFEEVA A,9.0,4,1,59,3,RUS,Goal,1
1.0,0:19,Action shot,4 - 1,KAZ,ZAKIROVA K,5.0,4,1,19,3,RUS,Saved,0
1.0,0:04,Penalty shot,5 - 1,RUS,SERZHANTOVA A,7.0,5,1,4,3,RUS,Goal,1
1.0,0:01,5m shot,5 - 1,KAZ,ZAKIROVA K,5.0,5,1,1,3,RUS,Missed,0
2.0,7:16,Centre shot,5 - 1,KAZ,MYRZABEKOVA Z,10.0,5,1,436,3,RUS,Missed,0
2.0,7:03,Action shot,6 - 1,RUS,KARIMOVA E,4.0,6,1,423,3,RUS,Goal,1
2.0,6:33,Extra player shot,6 - 2,KAZ,MIRSHINA A,11.0,6,2,393,3,RUS,Goal,1
2.0,6:15,Centre shot,7 - 2,RUS,SIMANOVICH A,8.0,7,2,375,3,RUS,Goal,1
2.0,5:01,Action shot,7 - 2,RUS,GORBUNOVA O,6.0,7,2,301,3,RUS,Missed,0
2.0,4:18,Centre shot,8 - 2,RUS,SIMANOVICH A,8.0,8,2,258,3,RUS,Goal,1
2.0,3:47,5m shot,8 - 2,KAZ,ZAKIROVA K,5.0,8,2,227,3,RUS,Blocked,0
2.0,3:30,5m shot,8 - 2,RUS,TOLKUNOVA T,10.0,8,2,210,3,RUS,Missed,0
2.0,2:52,Extra player shot,8 - 3,KAZ,ZAKIROVA K,5.0,8,3,172,3,RUS,Goal,1
4.0,6:14,5m shot,8 - 3,KAZ,TUROVA A,4.0,8,3,374,3,RUS,Saved,0
4.0,5:52,5m shot,8 - 3,RUS,RYZHKOVA D,12.0,8,3,352,3,RUS,Missed,0
4.0,4:38,Extra player shot,13 - 6,KAZ,ZAKIROVA K,5.0,13,6,278,3,RUS,Goal,1
4.0,4:15,Centre shot,13 - 6,RUS,IVANOVA E,11.0,13,6,255,3,RUS,Post,0
4.0,3:19,Extra player shot,14 - 6,RUS,SERZHANTOVA A,7.0,14,6,199,3,RUS,Goal,1
4.0,2:49,5m shot,14 - 6,KAZ,YEREMINA A,9.0,14,6,169,3,RUS,Post,0
2.0,2:12,Centre shot,14 - 6,KAZ,NOVIKOVA A,7.0,14,6,132,3,RUS,Missed,0
2.0,1:44,Extra player shot,14 - 6,RUS,SIMANOVICH A,8.0,14,6,104,3,RUS,Missed,0
2.0,1:21,5m shot,14 - 6,KAZ,MIRSHINA A,11.0,14,6,81,3,RUS,Saved,0
2.0,0:46,Extra player shot,14 - 6,RUS,BORISOVA M,5.0,14,6,46,3,RUS,Post,0
2.0,0:02,Extra player shot,14 - 6,KAZ,MIRSHINA A,11.0,14,6,2,3,RUS,Missed,0
3.0,6:41,Extra player shot,9 - 3,RUS,PROKOFYEVA E,3.0,9,3,401,3,RUS,Goal,1
3.0,6:21,5m shot,9 - 3,KAZ,TUROVA A,4.0,9,3,381,3,RUS,Blocked,0
3.0,6:11,Counter attack,9 - 3,RUS,RYZHKOVA D,12.0,9,3,371,3,RUS,Post,0
3.0,5:46,Extra player shot,9 - 3,KAZ,ZAKIROVA K,5.0,9,3,346,3,RUS,Missed,0
3.0,4:53,Extra player shot,10 - 3,RUS,IVANOVA E,11.0,10,3,293,3,RUS,Goal,1
3.0,4:36,5m shot,10 - 3,KAZ,YEREMINA A,9.0,10,3,276,3,RUS,Saved,0
3.0,4:26,Counter attack,11 - 3,RUS,KARIMOVA E,4.0,11,3,266,3,RUS,Goal,1
3.0,3:52,Action shot,12 - 3,RUS,IVANOVA E,11.0,12,3,232,3,RUS,Goal,1
3.0,3:17,5m shot,12 - 3,KAZ,AKILBAYEVA A,3.0,12,3,197,3,RUS,Post,0
3.0,2:58,5m shot,12 - 3,RUS,TIMOFEEVA A,9.0,12,3,178,3,RUS,Missed,0
3.0,2:35,5m shot,12 - 3,KAZ,AKILBAYEVA A,3.0,12,3,155,3,RUS,Post,0
3.0,1:56,5m shot,12 - 4,KAZ,AKILBAYEVA A,3.0,12,4,116,3,RUS,Goal,1
3.0,1:02,Centre shot,12 - 4,KAZ,NOVIKOVA A,7.0,12,4,62,3,RUS,Missed,0
3.0,0:45,Action shot,12 - 4,RUS,SIMANOVICH A,8.0,12,4,45,3,RUS,Saved,0
3.0,0:15,Extra player shot,12 - 5,KAZ,MIRSHINA A,11.0,12,5,15,3,RUS,Goal,1
3.0,0:01,5m shot,12 - 5,RUS,SERZHANTOVA A,7.0,12,5,1,3,RUS,Blocked,0
4.0,6:37,5m shot,13 - 5,RUS,PROKOFYEVA E,3.0,13,5,397,3,RUS,Goal,1
4.0,2:26,Extra player shot,13 - 5,RUS,IVANOVA E,11.0,13,5,146,3,RUS,Saved,0
4.0,2:00,5m shot,13 - 5,KAZ,MIRSHINA A,11.0,13,5,120,3,RUS,Saved,0
4.0,1:40,Action shot,15 - 6,RUS,RYZHKOVA D,12.0,15,6,100,3,RUS,Goal,1
4.0,1:15,Action shot,15 - 6,KAZ,MYRZABEKOVA Z,10.0,15,6,75,3,RUS,Missed,0
4.0,0:53,Centre shot,15 - 6,RUS,VAKHITOVA V,2.0,15,6,53,3,RUS,Post,0
1.0,7:11,Extra player shot,0 - 0,JPN,INABA A,7.0,0,0,431,4,JPN,Saved,0
1.0,6:09,Action shot,0 - 0,JPN,INABA A,7.0,0,0,369,4,JPN,Post,0
1.0,5:44,5m shot,0 - 1,KAZ,MIRSHINA A,11.0,0,1,344,4,JPN,Goal,1
1.0,5:23,5m shot,1 - 1,JPN,MAGARIYAMA S,4.0,1,1,323,4,JPN,Goal,1
1.0,4:39,5m shot,1 - 1,JPN,TOKUMOTO M,11.0,1,1,279,4,JPN,Post,0
1.0,4:20,5m shot,1 - 1,KAZ,MIRSHINA A,11.0,1,1,260,4,JPN,Saved,0
1.0,3:57,5m shot,1 - 1,JPN,SAKANOUE C,5.0,1,1,237,4,JPN,Missed,0
1.0,3:19,5m shot,1 - 1,KAZ,AKILBAYEVA A,3.0,1,1,199,4,JPN,Saved,0
1.0,2:09,Action shot,1 - 1,KAZ,MUSSAROVA A,12.0,1,1,129,4,JPN,Missed,0
1.0,1:59,Counter attack,2 - 1,JPN,SUZUKI K,12.0,2,1,119,4,JPN,Goal,1
1.0,1:29,Action shot,2 - 1,JPN,ARIMA Y,2.0,2,1,89,4,JPN,Blocked,0
1.0,0:51,Counter attack,3 - 1,JPN,SAKANOUE C,5.0,3,1,51,4,JPN,Goal,1
1.0,0:35,Action shot,3 - 1,KAZ,ZAKIROVA K,5.0,3,1,35,4,JPN,Missed,0
1.0,0:01,5m shot,3 - 1,KAZ,MIRSHINA A,11.0,3,1,1,4,JPN,Saved,0
2.0,7:24,Action shot,3 - 1,JPN,TOKUMOTO M,11.0,3,1,444,4,JPN,Post,0
2.0,6:46,Extra player shot,3 - 1,KAZ,AKILBAYEVA A,3.0,3,1,406,4,JPN,Saved,0
2.0,6:24,5m shot,3 - 1,KAZ,MIRSHINA A,11.0,3,1,384,4,JPN,Missed,0
2.0,5:46,Centre shot,3 - 1,KAZ,MYRZABEKOVA Z,10.0,3,1,346,4,JPN,Saved,0
2.0,4:42,Action shot,3 - 1,KAZ,ZAKIROVA K,5.0,3,1,282,4,JPN,Post,0
2.0,4:31,5m shot,4 - 1,JPN,ARIMA Y,2.0,4,1,271,4,JPN,Goal,1
2.0,3:42,Action shot,4 - 2,KAZ,TUROVA A,4.0,4,2,222,4,JPN,Goal,1
2.0,3:25,Action shot,5 - 2,JPN,ARIMA Y,2.0,5,2,205,4,JPN,Goal,1
4.0,6:52,Action shot,5 - 2,JPN,TOKUMOTO M,11.0,5,2,412,4,JPN,Saved,0
4.0,6:22,Extra player shot,5 - 2,KAZ,ZAKIROVA K,5.0,5,2,382,4,JPN,Saved,0
4.0,6:07,Action shot,14 - 6,JPN,KAZAMA Y,3.0,14,6,367,4,JPN,Goal,1
4.0,5:54,Centre shot,14 - 7,KAZ,MIRSHINA A,11.0,14,7,354,4,JPN,Goal,1
4.0,5:35,Centre shot,15 - 7,JPN,ARIMA Y,2.0,15,7,335,4,JPN,Goal,1
4.0,5:03,Action shot,15 - 7,KAZ,MYRZABEKOVA Z,10.0,15,7,303,4,JPN,Missed,0
2.0,2:12,5m shot,15 - 7,KAZ,ZAKIROVA K,5.0,15,7,132,4,JPN,Saved,0
2.0,1:58,5m shot,15 - 7,JPN,MAGARIYAMA S,4.0,15,7,118,4,JPN,Saved,0
2.0,1:34,Extra player shot,15 - 7,JPN,SUZUKI K,12.0,15,7,94,4,JPN,Saved,0
2.0,0:17,Action shot,15 - 7,KAZ,MUSSAROVA A,12.0,15,7,17,4,JPN,Saved,0
3.0,7:44,Action shot,5 - 3,KAZ,MYRZABEKOVA Z,10.0,5,3,464,4,JPN,Goal,1
3.0,7:16,Action shot,5 - 3,KAZ,MYRZABEKOVA Z,10.0,5,3,436,4,JPN,Missed,0
3.0,7:01,Action shot,6 - 3,JPN,KAZAMA Y,3.0,6,3,421,4,JPN,Goal,1
3.0,6:40,Counter attack,6 - 3,JPN,ARIMA Y,2.0,6,3,400,4,JPN,Saved,0
3.0,5:57,Action shot,7 - 3,JPN,INABA A,7.0,7,3,357,4,JPN,Goal,1
3.0,5:35,Extra player shot,7 - 3,KAZ,MYRZABEKOVA Z,10.0,7,3,335,4,JPN,Saved,0
3.0,5:08,Extra player shot,8 - 3,JPN,NIIZAWA Y,8.0,8,3,308,4,JPN,Goal,1
3.0,4:38,5m shot,8 - 3,KAZ,ZAKIROVA K,5.0,8,3,278,4,JPN,Blocked,0
3.0,4:27,Action shot,9 - 3,JPN,INABA A,7.0,9,3,267,4,JPN,Goal,1
3.0,4:08,Counter attack,10 - 3,JPN,YAMAMOTO M,6.0,10,3,248,4,JPN,Goal,1
3.0,3:27,Action shot,10 - 3,JPN,NIIZAWA Y,8.0,10,3,207,4,JPN,Saved,0
3.0,3:08,5m shot,10 - 4,KAZ,MIRSHINA A,11.0,10,4,188,4,JPN,Goal,1
3.0,2:40,Counter attack,11 - 4,JPN,YAMAMOTO M,6.0,11,4,160,4,JPN,Goal,1
3.0,2:19,5m shot,11 - 4,KAZ,MIRSHINA A,11.0,11,4,139,4,JPN,Blocked,0
3.0,2:07,Action shot,12 - 4,JPN,ARIMA Y,2.0,12,4,127,4,JPN,Goal,1
3.0,1:56,Action shot,12 - 5,KAZ,MYRZABEKOVA Z,10.0,12,5,116,4,JPN,Goal,1
3.0,0:46,Action shot,12 - 5,KAZ,AKILBAYEVA A,3.0,12,5,46,4,JPN,Saved,0
3.0,0:30,Action shot,12 - 5,JPN,SAKANOUE C,5.0,12,5,30,4,JPN,Missed,0
3.0,0:18,Centre shot,12 - 6,KAZ,MIRSHINA A,11.0,12,6,18,4,JPN,Goal,1
3.0,0:01,5m shot,12 - 6,JPN,SAKANOUE C,5.0,12,6,1,4,JPN,Blocked,0
4.0,7:20,Action shot,13 - 6,JPN,SAKANOUE C,5.0,13,6,440,4,JPN,Goal,1
4.0,3:25,Counter attack,16 - 7,JPN,SAKANOUE C,5.0,16,7,205,4,JPN,Goal,1
4.0,2:57,Counter attack,17 - 7,JPN,SAKANOUE C,5.0,17,7,177,4,JPN,Goal,1
4.0,2:26,5m shot,17 - 7,KAZ,MIRSHINA A,11.0,17,7,146,4,JPN,Missed,0
4.0,1:34,Action shot,17 - 7,JPN,ARIMA Y,2.0,17,7,94,4,JPN,Saved,0
4.0,1:19,Penalty shot,17 - 7,KAZ,MIRSHINA A,11.0,17,7,79,4,JPN,Post,0
4.0,0:57,Action shot,17 - 7,JPN,MAGARIYAMA S,4.0,17,7,57,4,JPN,Saved,0
4.0,0:43,Extra player shot,17 - 8,KAZ,NOVIKOVA A,7.0,17,8,43,4,JPN,Goal,1
4.0,0:32,Action shot,17 - 8,JPN,NIIZAWA Y,8.0,17,8,32,4,JPN,Missed,0
1.0,6:16,Action shot,0 - 0,RSA,WHITE K,12.0,0,0,376,5,RSA,Saved,0
1.0,5:25,Action shot,0 - 0,KAZ,ZAKIROVA K,5.0,0,0,325,5,RSA,Saved,0
1.0,4:51,Extra player shot,0 - 0,RSA,HALLENDORFF A,6.0,0,0,291,5,RSA,Missed,0
1.0,4:19,Extra player shot,0 - 1,KAZ,AKILBAYEVA A,3.0,0,1,259,5,RSA,Goal,1
1.0,3:22,Extra player shot,0 - 1,KAZ,MYRZABEKOVA Z,10.0,0,1,202,5,RSA,Post,0
1.0,2:57,Centre shot,1 - 1,RSA,SMIT Z,9.0,1,1,177,5,RSA,Goal,1
1.0,2:25,Counter attack,1 - 1,RSA,BARRETT N,11.0,1,1,145,5,RSA,Saved,0
1.0,2:04,Action shot,1 - 2,KAZ,AKILBAYEVA A,3.0,1,2,124,5,RSA,Goal,1
1.0,1:21,5m shot,1 - 2,KAZ,MUSSAROVA A,12.0,1,2,81,5,RSA,Saved,0
1.0,0:53,Penalty shot,1 - 2,KAZ,MIRSHINA A,11.0,1,2,53,5,RSA,Missed,0
1.0,0:13,Action shot,1 - 2,KAZ,ZAKIROVA K,5.0,1,2,13,5,RSA,Saved,0
2.0,7:26,Extra player shot,1 - 2,RSA,SCHOOLING M,5.0,1,2,446,5,RSA,Saved,0
2.0,6:58,Action shot,1 - 3,KAZ,YEREMINA A,9.0,1,3,418,5,RSA,Goal,1
2.0,6:06,5m shot,1 - 4,KAZ,MIRSHINA A,11.0,1,4,366,5,RSA,Goal,1
2.0,5:51,Penalty shot,2 - 4,RSA,WHITE K,12.0,2,4,351,5,RSA,Goal,1
2.0,5:17,Centre shot,3 - 4,RSA,SMIT Z,9.0,3,4,317,5,RSA,Goal,1
2.0,4:59,Action shot,3 - 4,KAZ,SAICHUK O,8.0,3,4,299,5,RSA,Missed,0
2.0,4:36,Action shot,3 - 4,RSA,BARRETT N,11.0,3,4,276,5,RSA,Saved,0
2.0,4:12,Action shot,3 - 4,KAZ,AKILBAYEVA A,3.0,3,4,252,5,RSA,Missed,0
2.0,3:19,5m shot,3 - 4,RSA,MANSON M,10.0,3,4,199,5,RSA,Post,0
4.0,3:25,Centre shot,4 - 5,KAZ,NOVIKOVA A,7.0,4,5,205,5,RSA,Goal,1
4.0,2:24,5m shot,4 - 5,KAZ,NOVIKOVA A,7.0,4,5,144,5,RSA,Missed,0
2.0,1:48,Centre shot,4 - 5,KAZ,MYRZABEKOVA Z,10.0,4,5,108,5,RSA,Saved,0
2.0,0:22,Extra player shot,4 - 5,KAZ,ZAKIROVA K,5.0,4,5,22,5,RSA,Blocked,0
2.0,0:04,5m shot,4 - 5,RSA,PENNEY A,2.0,4,5,4,5,RSA,Missed,0
3.0,7:21,Extra player shot,4 - 5,RSA,WHITE K,12.0,4,5,441,5,RSA,Saved,0
