Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,12.0,3,5,4,ITA,4.0,GARCIA X,3 - 4,432,ESP,7:12,Saved,0
Extra player shot,6.0,3,5,4,ITA,4.0,MINGUELL M,3 - 4,375,ESP,6:15,Saved,0
Extra player shot,10.0,3,5,4,ITA,4.0,PERRONE F,3 - 4,351,ESP,5:51,Saved,0
5m shot,12.0,3,5,4,ITA,4.0,GARCIA X,3 - 4,343,ESP,5:43,Post,0
5m shot,4.0,3,5,4,ITA,4.0,FIGLIOLI P,3 - 4,297,ITA,4:57,Saved,0
5m shot,6.0,3,5,4,ITA,4.0,MINGUELL M,3 - 4,272,ESP,4:32,Blocked,0
Centre shot,11.0,3,5,4,ITA,4.0,AICARDI M,3 - 4,248,ITA,4:08,Saved,0
Action shot,6.0,3,5,4,ITA,4.0,FELUGO M,3 - 4,146,ITA,2:26,Saved,0
5m shot,11.0,3,5,4,ITA,4.0,AICARDI M,3 - 4,15,ITA,0:15,Post,0
Extra player shot,6.0,0,6,1,SRB,1.0,PIJETLOVIC D,1 - 0,422,SRB,7:02,Goal,1
Extra player shot,12.0,0,6,1,SRB,1.0,GARCIA X,1 - 0,392,ESP,6:32,Saved,0
Extra player shot,5.0,0,6,1,SRB,1.0,MOLINA G,1 - 0,379,ESP,6:19,Saved,0
5m shot,4.0,0,6,1,SRB,1.0,UDOVICIC V,1 - 0,355,SRB,5:55,Missed,0
5m shot,5.0,0,6,1,SRB,1.0,MOLINA G,1 - 0,325,ESP,5:25,Missed,0
Action shot,12.0,0,6,1,SRB,1.0,GARCIA X,1 - 0,278,ESP,4:38,Saved,0
Action shot,10.0,0,6,1,SRB,1.0,PERRONE F,1 - 0,261,ESP,4:21,Saved,0
Centre shot,9.0,0,6,1,SRB,1.0,VALLES X,1 - 0,232,ESP,3:52,Saved,0
Action shot,6.0,0,6,1,SRB,1.0,PIJETLOVIC D,1 - 0,207,SRB,3:27,Saved,0
Penalty shot,8.0,1,6,1,SRB,1.0,ESPANOL A,1 - 1,193,ESP,3:13,Goal,1
Action shot,4.0,1,6,1,SRB,1.0,UDOVICIC V,1 - 1,161,SRB,2:41,Saved,0
Centre shot,7.0,1,6,1,SRB,1.0,NIKIC S,1 - 1,159,SRB,2:39,Post,0
Centre shot,4.0,1,6,2,SRB,1.0,UDOVICIC V,2 - 1,114,SRB,1:54,Goal,1
5m shot,11.0,1,6,2,SRB,1.0,PRLAINOVIC A,2 - 1,66,SRB,1:06,Saved,0
Centre shot,7.0,2,6,2,SRB,1.0,SZIRANYI B,2 - 2,38,ESP,0:38,Goal,1
Action shot,3.0,2,6,2,SRB,1.0,GOCIC Z,2 - 2,16,SRB,0:16,Blocked,0
5m shot,10.0,2,6,2,SRB,1.0,PERRONE F,2 - 2,1,ESP,0:01,Saved,0
Action shot,3.0,2,6,2,SRB,2.0,de LERA R,2 - 2,450,ESP,7:30,Saved,0
Extra player shot,7.0,2,6,2,SRB,2.0,NIKIC S,2 - 2,434,SRB,7:14,Post,0
Centre shot,12.0,2,6,2,SRB,2.0,MITROVIC S,2 - 2,388,SRB,6:28,Saved,0
Action shot,10.0,2,6,2,SRB,2.0,PERRONE F,2 - 2,294,ESP,4:54,Saved,0
Centre shot,8.0,2,6,2,SRB,2.0,ESPANOL A,2 - 2,268,ESP,4:28,Saved,0
Counter attack,10.0,2,6,2,SRB,2.0,FILIPOVIC F,2 - 2,252,SRB,4:12,Saved,0
Centre shot,7.0,2,6,2,SRB,2.0,NIKIC S,2 - 2,243,SRB,4:03,Missed,0
Action shot,10.0,2,6,2,SRB,2.0,PERRONE F,2 - 2,219,ESP,3:39,Saved,0
Extra player shot,10.0,2,6,3,SRB,2.0,FILIPOVIC F,3 - 2,183,SRB,3:03,Goal,1
Action shot,3.0,2,6,3,SRB,2.0,de LERA R,3 - 2,155,ESP,2:35,Saved,0
5m shot,11.0,2,6,3,SRB,2.0,PRLAINOVIC A,3 - 2,79,SRB,1:19,Saved,0
Action shot,11.0,2,6,3,SRB,2.0,PRLAINOVIC A,3 - 2,34,SRB,0:34,Saved,0
Action shot,12.0,2,6,3,SRB,2.0,GARCIA X,3 - 2,13,ESP,0:13,Saved,0
Centre shot,6.0,7,6,7,SRB,ET1,MINGUELL M,7 - 7,53,ESP,0:53,Goal,1
Action shot,12.0,7,6,7,SRB,ET1,MITROVIC S,7 - 7,10,SRB,0:10,Blocked,0
Centre shot,11.0,7,6,8,SRB,ET1,PRLAINOVIC A,8 - 7,9,SRB,0:09,Goal,1
5m shot,6.0,7,6,8,SRB,ET1,MINGUELL M,8 - 7,1,ESP,0:01,Saved,0
Action shot,6.0,8,6,8,SRB,ET2,MINGUELL M,8 - 8,99,ESP,1:39,Goal,1
Action shot,4.0,8,6,8,SRB,ET2,UDOVICIC V,8 - 8,45,SRB,0:45,Saved,0
Action shot,5.0,8,6,8,SRB,ET2,MOLINA G,8 - 8,22,ESP,0:22,Saved,0
Action shot,12.0,8,6,8,SRB,ET2,GARCIA X,8 - 8,1,ESP,0:01,Saved,0
Extra player shot,5.0,8,6,8,SRB,3,MOLINA G,8 - 8,391,ESP,6:31,Post,0
Action shot,6.0,8,6,8,SRB,3,MINGUELL M,8 - 8,341,ESP,5:41,Blocked,0
Action shot,5.0,8,6,8,SRB,3,CUK M,8 - 8,313,SRB,5:13,Saved,0
Extra player shot,8.0,3,6,3,SRB,3,ESPANOL A,3 - 3,281,ESP,4:41,Goal,1
Action shot,4.0,3,6,3,SRB,3,UDOVICIC V,3 - 3,213,SRB,3:33,Blocked,0
5m shot,5.0,3,6,3,SRB,3,MOLINA G,3 - 3,185,ESP,3:05,Saved,0
Action shot,2.0,3,6,4,SRB,3,MANDIC D,4 - 3,169,SRB,2:49,Goal,1
Action shot,2.0,4,6,4,SRB,3,MUNARRIZ A,4 - 4,141,ESP,2:21,Goal,1
5m shot,2.0,4,6,4,SRB,3,MANDIC D,4 - 4,115,SRB,1:55,Missed,0
Extra player shot,2.0,5,6,4,SRB,3,MUNARRIZ A,4 - 5,82,ESP,1:22,Goal,1
Centre shot,6.0,5,6,5,SRB,3,PIJETLOVIC D,5 - 5,60,SRB,1:00,Goal,1
Extra player shot,6.0,5,6,5,SRB,3,MINGUELL M,5 - 5,14,ESP,0:14,Saved,0
5m shot,10.0,5,6,5,SRB,3,FILIPOVIC F,5 - 5,2,SRB,0:02,Saved,0
Action shot,10.0,6,6,5,SRB,4,PERRONE F,5 - 6,456,ESP,7:36,Goal,1
Action shot,5.0,6,6,6,SRB,4,CUK M,6 - 6,419,SRB,6:59,Goal,1
Action shot,7.0,6,6,6,SRB,4,NIKIC S,6 - 6,362,SRB,6:02,Saved,0
Action shot,6.0,6,6,6,SRB,4,MINGUELL M,6 - 6,291,ESP,4:51,Saved,0
Counter attack,7.0,6,6,6,SRB,4,NIKIC S,6 - 6,273,SRB,4:33,Saved,0
Action shot,2.0,6,6,6,SRB,4,MANDIC D,6 - 6,244,SRB,4:04,Saved,0
Action shot,5.0,6,6,6,SRB,4,MOLINA G,6 - 6,216,ESP,3:36,Blocked,0
5m shot,10.0,6,6,6,SRB,4,FILIPOVIC F,6 - 6,191,SRB,3:11,Missed,0
Extra player shot,12.0,6,6,6,SRB,4,GARCIA X,6 - 6,150,ESP,2:30,Blocked,0
Centre shot,6.0,6,6,6,SRB,4,PIJETLOVIC D,6 - 6,122,SRB,2:02,Saved,0
Action shot,8.0,6,6,6,SRB,4,ESPANOL A,6 - 6,104,ESP,1:44,Saved,0
Action shot,10.0,6,6,6,SRB,4,PERRONE F,6 - 6,82,ESP,1:22,Saved,0
5m shot,11.0,6,6,6,SRB,4,PRLAINOVIC A,6 - 6,50,SRB,0:50,Saved,0
Extra player shot,12.0,6,6,6,SRB,4,MITROVIC S,6 - 6,2,SRB,0:02,Post,0
Action shot,5.0,6,6,6,SRB,ET1,MOLINA G,6 - 6,154,ESP,2:34,Saved,0
5m shot,8.0,6,6,6,SRB,ET1,ESPANOL A,6 - 6,132,ESP,2:12,Saved,0
Action shot,10.0,6,6,7,SRB,ET1,FILIPOVIC F,7 - 6,99,SRB,1:39,Goal,1
Action shot,9.0,6,6,7,SRB,ET1,VALLES X,7 - 6,55,ESP,0:55,Post,0
Action shot,12.0,0,7,0,GRE,1.0,GARCIA X,0 - 0,454,ESP,7:34,Post,0
Centre shot,9.0,0,7,0,GRE,1.0,MOURIKIS K,0 - 0,433,GRE,7:13,Missed,0
Action shot,12.0,0,7,0,GRE,1.0,VLACHOPOULOS A,0 - 0,393,GRE,6:33,Saved,0
5m shot,5.0,0,7,1,GRE,1.0,FOUNTOULIS I,1 - 0,341,GRE,5:41,Goal,1
Extra player shot,6.0,0,7,1,GRE,1.0,MINGUELL M,1 - 0,304,ESP,5:04,Saved,0
Extra player shot,9.0,0,7,1,GRE,1.0,VALLES X,1 - 0,298,ESP,4:58,Missed,0
Action shot,12.0,0,7,1,GRE,1.0,VLACHOPOULOS A,1 - 0,272,GRE,4:32,Post,0
Action shot,2.0,0,7,1,GRE,1.0,MYLONAKIS E,1 - 0,222,GRE,3:42,Saved,0
Action shot,10.0,0,7,1,GRE,1.0,PERRONE F,1 - 0,205,ESP,3:25,Saved,0
Centre shot,5.0,1,7,1,GRE,1.0,MOLINA G,1 - 1,204,ESP,3:24,Goal,1
Extra player shot,8.0,1,7,2,GRE,1.0,DELAKAS E,2 - 1,168,GRE,2:48,Goal,1
Action shot,5.0,1,7,2,GRE,1.0,MOLINA G,2 - 1,140,ESP,2:20,Saved,0
5m shot,7.0,1,7,2,GRE,1.0,AFROUDAKIS C,2 - 1,112,GRE,1:52,Missed,0
5m shot,5.0,1,7,2,GRE,1.0,FOUNTOULIS I,2 - 1,61,GRE,1:01,Saved,0
Extra player shot,5.0,1,7,2,GRE,1.0,FOUNTOULIS I,2 - 1,30,GRE,0:30,Missed,0
Action shot,3.0,1,7,2,GRE,1.0,de LERA R,2 - 1,7,ESP,0:07,Saved,0
Extra player shot,8.0,2,7,2,GRE,2.0,ESPANOL A,2 - 2,442,ESP,7:22,Goal,1
Extra player shot,8.0,3,7,2,GRE,2.0,ESPANOL A,2 - 3,379,ESP,6:19,Goal,1
5m shot,8.0,3,7,3,GRE,2.0,DELAKAS E,3 - 3,352,GRE,5:52,Goal,1
Extra player shot,9.0,4,7,3,GRE,2.0,VALLES X,3 - 4,280,ESP,4:40,Goal,1
Extra player shot,8.0,5,7,3,GRE,2.0,ESPANOL A,3 - 5,179,ESP,2:59,Goal,1
5m shot,6.0,5,7,3,GRE,2.0,MINGUELL M,3 - 5,133,ESP,2:13,Saved,0
Action shot,11.0,5,7,4,GRE,2.0,GOUNAS A,4 - 5,95,GRE,1:35,Goal,1
5m shot,7.0,5,7,4,GRE,2.0,AFROUDAKIS C,4 - 5,36,GRE,0:36,Saved,0
Penalty shot,8.0,6,7,4,GRE,2.0,ESPANOL A,4 - 6,7,ESP,0:07,Goal,1
5m shot,12.0,6,7,4,GRE,2.0,VLACHOPOULOS A,4 - 6,2,GRE,0:02,Saved,0
Extra player shot,8.0,6,7,5,GRE,3.0,DELAKAS E,5 - 6,441,GRE,7:21,Goal,1
Centre shot,9.0,6,7,5,GRE,3.0,MOURIKIS K,5 - 6,397,GRE,6:37,Saved,0
Extra player shot,12.0,6,7,5,GRE,3.0,GARCIA X,5 - 6,370,ESP,6:10,Saved,0
Extra player shot,12.0,7,7,5,GRE,3.0,GARCIA X,5 - 7,356,ESP,5:56,Goal,1
5m shot,7.0,7,7,5,GRE,3.0,AFROUDAKIS C,5 - 7,326,GRE,5:26,Blocked,0
Action shot,3.0,7,7,5,GRE,3.0,de LERA R,5 - 7,300,ESP,5:00,Saved,0
5m shot,12.0,7,7,6,GRE,3.0,VLACHOPOULOS A,6 - 7,206,GRE,3:26,Goal,1
5m shot,5.0,8,7,6,GRE,3.0,MOLINA G,6 - 8,129,ESP,2:09,Goal,1
Extra player shot,10.0,8,7,7,GRE,3.0,KOLOMVOS C,7 - 8,89,GRE,1:29,Goal,1
5m shot,4.0,8,7,7,GRE,3.0,ALARCON R,7 - 8,60,ESP,1:00,Saved,0
Penalty shot,5.0,8,7,8,GRE,3.0,FOUNTOULIS I,8 - 8,33,GRE,0:33,Goal,1
Action shot,12.0,8,7,8,GRE,4.0,GARCIA X,8 - 8,433,ESP,7:13,Missed,0
Action shot,5.0,8,7,8,GRE,4.0,FOUNTOULIS I,8 - 8,406,GRE,6:46,Missed,0
Action shot,5.0,8,7,8,GRE,4.0,MOLINA G,8 - 8,352,ESP,5:52,Missed,0
Action shot,7.0,8,7,8,GRE,4.0,AFROUDAKIS C,8 - 8,334,GRE,5:34,Post,0
Action shot,10.0,8,7,8,GRE,4.0,PERRONE F,8 - 8,317,ESP,5:17,Blocked,0
Centre shot,6.0,9,7,8,GRE,4.0,MINGUELL M,8 - 9,264,ESP,4:24,Goal,1
Action shot,8.0,10,7,8,GRE,4.0,ESPANOL A,8 - 10,225,ESP,3:45,Goal,1
5m shot,10.0,10,7,8,GRE,4.0,PERRONE F,8 - 10,179,ESP,2:59,Post,0
Extra player shot,10.0,10,7,8,GRE,4.0,KOLOMVOS C,8 - 10,144,GRE,2:24,Post,0
Centre shot,7.0,10,7,8,GRE,4.0,SZIRANYI B,8 - 10,97,ESP,1:37,Post,0
Action shot,12.0,10,7,8,GRE,4.0,VLACHOPOULOS A,8 - 10,71,GRE,1:11,Saved,0
Centre shot,10.0,10,7,8,GRE,4.0,KOLOMVOS C,8 - 10,18,GRE,0:18,Saved,0
