Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,4.0,5,3,5,GRE,2.0,ELEFTHERIADOU N,3 - 5,193,GRE,3:13,Saved,0
Action shot,3.0,5,3,5,GRE,2.0,DIAMANTOPOULOU V,3 - 5,172,GRE,2:52,Saved,0
Action shot,4.0,5,3,5,GRE,2.0,GURISATTI G,3 - 5,156,HUN,2:36,Post,0
5m shot,5.0,5,3,5,GRE,2.0,SZUCS G,3 - 5,132,HUN,2:12,Saved,0
Extra player shot,6.0,5,10,9,GRE,4.0,AVRAMIDOU A,10 - 9,156,GRE,2:36,Goal,1
Action shot,3.0,5,10,9,GRE,4.0,ANTAL D,10 - 9,128,HUN,2:08,Blocked,0
5m shot,8.0,5,10,9,GRE,4.0,KESZTHELYI R,10 - 9,110,HUN,1:50,Missed,0
Centre shot,12.0,5,3,6,GRE,2.0,XENAKI E,3 - 6,104,GRE,1:44,Goal,1
5m shot,8.0,5,3,6,GRE,2.0,KESZTHELYI R,3 - 6,88,HUN,1:28,Saved,0
5m shot,8.0,5,3,6,GRE,2.0,KESZTHELYI R,3 - 6,75,HUN,1:15,Saved,0
Action shot,3.0,5,3,6,GRE,2.0,DIAMANTOPOULOU V,3 - 6,45,GRE,0:45,Blocked,0
Action shot,10.0,5,3,6,GRE,2.0,MANOLIOUDAKI T,3 - 6,23,GRE,0:23,Saved,0
Extra player shot,10.0,5,3,6,GRE,3.0,BUJKA B,3 - 6,461,HUN,7:41,Saved,0
Extra player shot,6.0,5,4,6,GRE,3.0,TAKACS O,4 - 6,419,HUN,6:59,Goal,1
Action shot,6.0,5,4,6,GRE,3.0,AVRAMIDOU A,4 - 6,394,GRE,6:34,Blocked,0
Action shot,2.0,5,4,6,GRE,3.0,CZIGANY D,4 - 6,374,HUN,6:14,Saved,0
Action shot,12.0,5,5,6,GRE,3.0,SZILAGYI D,5 - 6,346,HUN,5:46,Goal,1
Action shot,10.0,5,5,6,GRE,3.0,MANOLIOUDAKI T,5 - 6,322,GRE,5:22,Saved,0
Action shot,10.0,5,5,6,GRE,3.0,MANOLIOUDAKI T,5 - 6,278,GRE,4:38,Saved,0
5m shot,6.0,5,5,6,GRE,3.0,TAKACS O,5 - 6,249,HUN,4:09,Post,0
Penalty shot,8.0,5,6,6,GRE,3.0,KESZTHELYI R,6 - 6,231,HUN,3:51,Goal,1
Action shot,3.0,5,6,6,GRE,3.0,DIAMANTOPOULOU V,6 - 6,215,GRE,3:35,Saved,0
Action shot,5.0,5,6,6,GRE,3.0,SZUCS G,6 - 6,186,HUN,3:06,Blocked,0
5m shot,3.0,5,6,6,GRE,3.0,DIAMANTOPOULOU V,6 - 6,120,GRE,2:00,Missed,0
Counter attack,4.0,5,7,6,GRE,3.0,GURISATTI G,7 - 6,111,HUN,1:51,Goal,1
Extra player shot,7.0,5,7,6,GRE,3.0,ASIMAKI A,7 - 6,75,GRE,1:15,Saved,0
5m shot,5.0,5,8,6,GRE,3.0,SZUCS G,8 - 6,50,HUN,0:50,Goal,1
5m shot,5.0,5,8,6,GRE,4.0,SZUCS G,8 - 6,453,HUN,7:33,Blocked,0
Action shot,11.0,5,8,6,GRE,4.0,PLEVRITOU E,8 - 6,424,GRE,7:04,Missed,0
5m shot,12.0,5,9,6,GRE,4.0,SZILAGYI D,9 - 6,395,HUN,6:35,Goal,1
Action shot,6.0,5,9,7,GRE,4.0,AVRAMIDOU A,9 - 7,377,GRE,6:17,Goal,1
