Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,10.0,3,3,2,USA,1.0,BONANNI B,2 - 3,242,USA,4:02,Goal,1
Action shot,10.0,3,3,2,USA,1.0,BONANNI B,2 - 3,193,USA,3:13,Saved,0
Counter attack,11.0,3,3,2,USA,1.0,AICARDI M,2 - 3,174,ITA,2:54,Missed,0
Counter attack,2.0,3,4,2,USA,1.0,DI FULVIO F,2 - 4,135,ITA,2:15,Goal,1
Extra player shot,8.0,3,4,3,USA,1.0,AZEVEDO T,3 - 4,109,USA,1:49,Goal,1
Action shot,8.0,3,4,3,USA,1.0,AZEVEDO T,3 - 4,82,USA,1:22,Saved,0
Action shot,7.0,3,4,3,USA,1.0,SAMUELS J,3 - 4,64,USA,1:04,Post,0
5m shot,7.0,3,4,4,USA,1.0,SAMUELS J,4 - 4,19,USA,0:19,Goal,1
Action shot,10.0,3,4,4,USA,1.0,LUONGO S,4 - 4,0,ITA,0:00,Saved,0
Action shot,5.0,3,4,4,USA,2.0,GIORGETTI A,4 - 4,422,ITA,7:02,Saved,0
Centre shot,4.0,3,4,5,USA,2.0,KIMBELL J,5 - 4,383,USA,6:23,Goal,1
Action shot,4.0,3,4,5,USA,2.0,FIGLIOLI P,5 - 4,362,ITA,6:02,Saved,0
5m shot,7.0,3,4,5,USA,2.0,SAMUELS J,5 - 4,326,USA,5:26,Blocked,0
Centre shot,4.0,3,5,5,USA,2.0,FIGLIOLI P,5 - 5,252,ITA,4:12,Goal,1
Action shot,2.0,3,5,6,USA,2.0,VAVIC N,6 - 5,230,USA,3:50,Goal,1
Centre shot,11.0,3,5,6,USA,2.0,AICARDI M,6 - 5,210,ITA,3:30,Saved,0
Centre shot,3.0,3,5,7,USA,2.0,OBERT A,7 - 5,188,USA,3:08,Goal,1
Action shot,9.0,3,5,7,USA,2.0,BOWEN A,7 - 5,129,USA,2:09,Saved,0
5m shot,9.0,3,5,7,USA,2.0,BOWEN A,7 - 5,113,USA,1:53,Saved,0
5m shot,10.0,3,5,7,USA,2.0,LUONGO S,7 - 5,92,ITA,1:32,Saved,0
Centre shot,11.0,3,6,7,USA,2.0,AICARDI M,7 - 6,79,ITA,1:19,Goal,1
Counter attack,10.0,3,6,7,USA,2.0,LUONGO S,7 - 6,37,ITA,0:37,Saved,0
5m shot,2.0,3,6,7,USA,2.0,DI FULVIO F,7 - 6,0,ITA,0:00,Post,0
Action shot,12.0,3,6,7,USA,3.0,MANN J,7 - 6,449,USA,7:29,Post,0
5m shot,9.0,3,6,7,USA,3.0,GITTO N,7 - 6,420,ITA,7:00,Saved,0
Extra player shot,10.0,3,6,7,USA,3.0,LUONGO S,7 - 6,384,ITA,6:24,Saved,0
Action shot,8.0,3,6,8,USA,3.0,AZEVEDO T,8 - 6,337,USA,5:37,Goal,1
Centre shot,12.0,3,6,8,USA,3.0,BARALDI F,8 - 6,269,ITA,4:29,Saved,0
Extra player shot,7.0,3,6,8,USA,3.0,GIACOPPO M,8 - 6,233,ITA,3:53,Missed,0
Action shot,10.0,3,6,9,USA,3.0,BONANNI B,9 - 6,200,USA,3:20,Goal,1
5m shot,5.0,3,6,9,USA,3.0,GIORGETTI A,9 - 6,174,ITA,2:54,Saved,0
5m shot,2.0,3,7,9,USA,3.0,DI FULVIO F,9 - 7,157,ITA,2:37,Goal,1
Action shot,8.0,3,7,9,USA,3.0,AZEVEDO T,9 - 7,113,USA,1:53,Post,0
5m shot,4.0,3,7,9,USA,3.0,FIGLIOLI P,9 - 7,86,ITA,1:26,Post,0
Centre shot,10.0,3,7,9,USA,3.0,LUONGO S,9 - 7,54,ITA,0:54,Post,0
Action shot,6.0,3,7,9,USA,3.0,CUPIDO L,9 - 7,28,USA,0:28,Post,0
5m shot,8.0,3,7,9,USA,3.0,AZEVEDO T,9 - 7,0,USA,0:00,Saved,0
Extra player shot,6.0,3,7,9,USA,4.0,FONDELLI A,9 - 7,427,ITA,7:07,Blocked,0
Action shot,10.0,3,8,9,USA,4.0,LUONGO S,9 - 8,420,ITA,7:00,Goal,1
5m shot,10.0,3,8,9,USA,4.0,LUONGO S,9 - 8,341,ITA,5:41,Blocked,0
5m shot,6.0,3,8,9,USA,4.0,CUPIDO L,9 - 8,318,USA,5:18,Missed,0
5m shot,5.0,3,8,9,USA,4.0,GIORGETTI A,9 - 8,246,ITA,4:06,Missed,0
5m shot,6.0,3,8,9,USA,4.0,CUPIDO L,9 - 8,225,USA,3:45,Blocked,0
Counter attack,2.0,3,8,10,USA,4.0,VAVIC N,10 - 8,200,USA,3:20,Goal,1
5m shot,5.0,3,8,11,USA,4.0,ROELSE A,11 - 8,84,USA,1:24,Goal,1
