Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Time-Out,,1,3,3,GRE,1.0,,3 - 3,55,GRE,0:55
20 sec. exclusion in centre,8.0,1,3,3,GRE,1.0,PRESCIUTTI N,3 - 3,39,ITA,0:39
Extra player shot - Goal,9.0,1,3,4,GRE,1.0,MOURIKIS K,4 - 3,27,GRE,0:27
Time-Out,,1,3,4,GRE,1.0,,4 - 3,27,ITA,0:27
Penalty foul,2.0,1,3,4,GRE,1.0,MYLONAKIS E,4 - 3,8,GRE,0:08
Penalty shot - Goal,5.0,1,4,4,GRE,1.0,GIORGETTI A,4 - 4,8,ITA,0:08
5m shot - Saved,12.0,1,4,4,GRE,1.0,VLACHOPOULOS A,4 - 4,0,GRE,0:00
Starting goalkeeper,1.0,1,4,4,GRE,2.0,FLEGKAS K,4 - 4,480,GRE,8:00
Starting goalkeeper,1.0,1,4,4,GRE,2.0,TEMPESTI S,4 - 4,480,ITA,8:00
Sprint won possession,4.0,1,4,4,GRE,2.0,FIGLIOLI P,4 - 4,480,ITA,8:00
20 sec. exclusion in centre,3.0,1,4,4,GRE,2.0,DERVISIS G,4 - 4,459,GRE,7:39
Action shot - Saved,4.0,1,4,4,GRE,2.0,FIGLIOLI P,4 - 4,434,ITA,7:14
20 sec. exclusion in field,4.0,1,4,4,GRE,2.0,FIGLIOLI P,4 - 4,431,ITA,7:11
5m shot - Blocked,4.0,1,4,4,GRE,2.0,GENIDOUNIAS K,4 - 4,405,GRE,6:45
20 sec. exclusion in field,2.0,1,4,4,GRE,2.0,MYLONAKIS E,4 - 4,394,GRE,6:34
Action shot - Post,10.0,1,4,4,GRE,2.0,LUONGO S,4 - 4,371,ITA,6:11
5m shot - Saved,12.0,1,4,4,GRE,2.0,VLACHOPOULOS A,4 - 4,327,GRE,5:27
5m shot - Saved,5.0,1,4,4,GRE,2.0,GIORGETTI A,4 - 4,319,ITA,5:19
20 sec. exclusion in centre,7.0,1,4,4,GRE,2.0,GIACOPPO M,4 - 4,299,ITA,4:59
5m shot - Saved,12.0,1,4,4,GRE,2.0,VLACHOPOULOS A,4 - 4,273,GRE,4:33
5m shot - Goal,7.0,1,4,5,GRE,2.0,AFROUDAKIS C,5 - 4,256,GRE,4:16
5m shot - Blocked,10.0,1,4,5,GRE,2.0,LUONGO S,5 - 4,226,ITA,3:46
Turnover foul,9.0,1,4,5,GRE,2.0,MOURIKIS K,5 - 4,202,GRE,3:22
Turnover foul,10.0,1,4,5,GRE,2.0,LUONGO S,5 - 4,185,ITA,3:05
Steal,12.0,1,4,5,GRE,2.0,VLACHOPOULOS A,5 - 4,185,GRE,3:05
5m shot - Blocked,12.0,1,4,5,GRE,2.0,VLACHOPOULOS A,5 - 4,159,GRE,2:39
Turnover foul,2.0,1,4,5,GRE,2.0,DI FULVIO F,5 - 4,131,ITA,2:11
Steal,7.0,1,4,5,GRE,2.0,AFROUDAKIS C,5 - 4,131,GRE,2:11
Penalty foul,2.0,1,4,5,GRE,2.0,DI FULVIO F,5 - 4,107,ITA,1:47
Penalty shot - Saved,5.0,1,4,5,GRE,2.0,FOUNTOULIS I,5 - 4,107,GRE,1:47
Action shot - Goal,4.0,1,4,6,GRE,2.0,GENIDOUNIAS K,6 - 4,83,GRE,1:23
20 sec. exclusion in centre,3.0,1,4,6,GRE,2.0,DERVISIS G,6 - 4,68,GRE,1:08
Exclusion with substitution,3.0,1,4,6,GRE,2.0,DERVISIS G,6 - 4,68,GRE,1:08
Extra player shot - Goal,11.0,1,5,6,GRE,2.0,AICARDI M,6 - 5,49,ITA,0:49
Time-Out,,1,5,6,GRE,2.0,,6 - 5,49,GRE,0:49
Turnover foul,5.0,1,5,6,GRE,2.0,FOUNTOULIS I,6 - 5,22,GRE,0:22
Steal,3.0,1,5,6,GRE,2.0,VELOTTO A,6 - 5,22,ITA,0:22
Time-Out,,1,5,6,GRE,2.0,,6 - 5,22,ITA,0:22
Turnover foul,3.0,1,5,6,GRE,2.0,VELOTTO A,6 - 5,1,ITA,0:01
Steal,1.0,1,5,6,GRE,2.0,FLEGKAS K,6 - 5,1,GRE,0:01
Starting goalkeeper,1.0,1,5,6,GRE,3.0,FLEGKAS K,6 - 5,480,GRE,8:00
Starting goalkeeper,1.0,1,5,6,GRE,3.0,TEMPESTI S,6 - 5,480,ITA,8:00
Sprint won possession,4.0,1,5,6,GRE,3.0,FIGLIOLI P,6 - 5,480,ITA,8:00
Turnover foul,11.0,1,5,6,GRE,3.0,AICARDI M,6 - 5,460,ITA,7:40
Turnover foul,10.0,1,5,6,GRE,3.0,KOLOMVOS C,6 - 5,433,GRE,7:13
20 sec. exclusion in centre,12.0,1,5,6,GRE,3.0,VLACHOPOULOS A,6 - 5,407,GRE,6:47
20 sec. exclusion in centre,8.0,1,5,6,GRE,3.0,PRESCIUTTI N,6 - 5,365,ITA,6:05
Action shot - Goal,11.0,1,5,7,GRE,3.0,GOUNAS A,7 - 5,338,GRE,5:38
20 sec. exclusion in centre,6.0,1,5,7,GRE,3.0,PONTIKEAS K,7 - 5,312,GRE,5:12
Extra player shot - Saved,11.0,1,5,7,GRE,3.0,AICARDI M,7 - 5,289,ITA,4:49
Action shot - Saved,9.0,1,5,7,GRE,3.0,MOURIKIS K,7 - 5,262,GRE,4:22
5m shot - Saved,10.0,1,5,7,GRE,3.0,LUONGO S,7 - 5,231,ITA,3:51
20 sec. exclusion in centre,9.0,1,5,7,GRE,3.0,GITTO N,7 - 5,206,ITA,3:26
Time-Out,,1,5,7,GRE,3.0,,7 - 5,206,GRE,3:26
Extra player shot - Goal,5.0,1,5,8,GRE,3.0,FOUNTOULIS I,8 - 5,187,GRE,3:07
20 sec. exclusion in centre,7.0,1,5,8,GRE,3.0,AFROUDAKIS C,8 - 5,164,GRE,2:44
Extra player shot - Goal,4.0,1,6,8,GRE,3.0,FIGLIOLI P,8 - 6,143,ITA,2:23
Turnover foul,12.0,1,6,8,GRE,3.0,VLACHOPOULOS A,8 - 6,126,GRE,2:06
Steal,3.0,1,6,8,GRE,3.0,VELOTTO A,8 - 6,126,ITA,2:06
Action shot - Post,4.0,1,6,8,GRE,3.0,FIGLIOLI P,8 - 6,113,ITA,1:53
Centre shot - Goal,7.0,1,7,8,GRE,3.0,GIACOPPO M,8 - 7,113,ITA,1:53
20 sec. exclusion in centre,7.0,1,7,8,GRE,3.0,GIACOPPO M,8 - 7,90,ITA,1:30
Extra player shot - Goal,5.0,1,7,9,GRE,3.0,FOUNTOULIS I,9 - 7,73,GRE,1:13
Turnover foul,3.0,1,7,9,GRE,3.0,VELOTTO A,9 - 7,53,ITA,0:53
Steal,5.0,1,7,9,GRE,3.0,FOUNTOULIS I,9 - 7,53,GRE,0:53
Turnover foul,9.0,1,7,9,GRE,3.0,MOURIKIS K,9 - 7,31,GRE,0:31
Turnover foul,4.0,1,7,9,GRE,3.0,FIGLIOLI P,9 - 7,9,ITA,0:09
Steal,12.0,1,7,9,GRE,3.0,VLACHOPOULOS A,9 - 7,9,GRE,0:09
5m shot - Saved,5.0,1,7,9,GRE,3.0,FOUNTOULIS I,9 - 7,1,GRE,0:01
Starting goalkeeper,1.0,1,7,9,GRE,4.0,FLEGKAS K,9 - 7,480,GRE,8:00
Starting goalkeeper,1.0,1,7,9,GRE,4.0,TEMPESTI S,9 - 7,480,ITA,8:00
Sprint won possession,4.0,1,7,9,GRE,4.0,FIGLIOLI P,9 - 7,480,ITA,8:00
5m shot - Post,2.0,1,7,9,GRE,4.0,DI FULVIO F,9 - 7,450,ITA,7:30
20 sec. exclusion in centre,9.0,1,7,9,GRE,4.0,GITTO N,9 - 7,423,ITA,7:03
Exclusion with substitution,9.0,1,7,9,GRE,4.0,GITTO N,9 - 7,423,ITA,7:03
Action shot - Saved,8.0,1,7,9,GRE,4.0,DELAKAS E,9 - 7,402,GRE,6:42
Turnover foul,8.0,1,7,9,GRE,4.0,DELAKAS E,9 - 7,371,GRE,6:11
Steal,4.0,1,7,9,GRE,4.0,FIGLIOLI P,9 - 7,371,ITA,6:11
20 sec. exclusion in field,7.0,1,7,9,GRE,4.0,AFROUDAKIS C,9 - 7,371,GRE,6:11
Action shot - Saved,2.0,1,7,9,GRE,4.0,DI FULVIO F,9 - 7,358,ITA,5:58
Action shot - Goal,4.0,1,8,9,GRE,4.0,FIGLIOLI P,9 - 8,343,ITA,5:43
Turnover foul,12.0,1,8,9,GRE,4.0,VLACHOPOULOS A,9 - 8,317,GRE,5:17
Action shot - Goal,12.0,1,9,9,GRE,4.0,BARALDI F,9 - 9,301,ITA,5:01
20 sec. exclusion in centre,8.0,1,9,9,GRE,4.0,PRESCIUTTI N,9 - 9,285,ITA,4:45
Exclusion with substitution,8.0,1,9,9,GRE,4.0,PRESCIUTTI N,9 - 9,285,ITA,4:45
20 sec. exclusion in centre,4.0,1,9,9,GRE,4.0,FIGLIOLI P,9 - 9,271,ITA,4:31
Extra player shot - Goal,9.0,1,9,10,GRE,4.0,MOURIKIS K,10 - 9,256,GRE,4:16
20 sec. exclusion in centre,8.0,1,9,10,GRE,4.0,DELAKAS E,10 - 9,229,GRE,3:49
Extra player shot - Goal,10.0,1,10,10,GRE,4.0,LUONGO S,10 - 10,214,ITA,3:34
Penalty foul,3.0,1,10,10,GRE,4.0,VELOTTO A,10 - 10,186,ITA,3:06
Penalty shot - Goal,7.0,1,10,11,GRE,4.0,AFROUDAKIS C,11 - 10,186,GRE,3:06
5m shot - Blocked,10.0,1,10,11,GRE,4.0,LUONGO S,11 - 10,160,ITA,2:40
Turnover foul,12.0,1,10,11,GRE,4.0,VLACHOPOULOS A,11 - 10,128,GRE,2:08
20 sec. exclusion in centre,8.0,1,10,11,GRE,4.0,DELAKAS E,11 - 10,110,GRE,1:50
Exclusion with substitution,8.0,1,10,11,GRE,4.0,DELAKAS E,11 - 10,110,GRE,1:50
Time-Out,,1,10,11,GRE,4.0,,11 - 10,110,ITA,1:50
Extra player shot - Missed,5.0,1,10,11,GRE,4.0,GIORGETTI A,11 - 10,82,ITA,1:22
5m shot - Saved,5.0,1,10,11,GRE,4.0,FOUNTOULIS I,11 - 10,65,GRE,1:05
Turnover foul,5.0,1,10,11,GRE,4.0,FOUNTOULIS I,11 - 10,35,GRE,0:35
20 sec. exclusion in centre,9.0,1,10,11,GRE,4.0,MOURIKIS K,11 - 10,22,GRE,0:22
Extra player shot - Blocked,6.0,1,10,11,GRE,4.0,FONDELLI A,11 - 10,8,ITA,0:08
Starting goalkeeper,13.0,2,0,0,RUS,1.0,IVANOV V,0 - 0,480,RUS,8:00
Starting goalkeeper,1.0,2,0,0,RUS,1.0,TEMPESTI S,0 - 0,480,ITA,8:00
Sprint won possession,4.0,2,0,0,RUS,1.0,FIGLIOLI P,0 - 0,480,ITA,8:00
Action shot - Post,11.0,2,0,0,RUS,1.0,AICARDI M,0 - 0,460,ITA,7:40
5m shot - Post,2.0,2,0,0,RUS,1.0,BUGAYCHUK A,0 - 0,430,RUS,7:10
Action shot - Blocked,10.0,2,0,0,RUS,1.0,LUONGO S,0 - 0,410,ITA,6:50
20 sec. exclusion in centre,3.0,2,0,0,RUS,1.0,VELOTTO A,0 - 0,391,ITA,6:31
Turnover foul,10.0,2,0,0,RUS,1.0,KHOLOD D,0 - 0,369,RUS,6:09
Steal,5.0,2,0,0,RUS,1.0,GIORGETTI A,0 - 0,369,ITA,6:09
Turnover foul,5.0,2,0,0,RUS,1.0,GIORGETTI A,0 - 0,338,ITA,5:38
Steal,6.0,2,0,0,RUS,1.0,ASHAEV A,0 - 0,338,RUS,5:38
Action shot - Blocked,2.0,2,0,0,RUS,1.0,BUGAYCHUK A,0 - 0,321,RUS,5:21
Action shot - Goal,2.0,2,1,0,RUS,1.0,DI FULVIO F,0 - 1,304,ITA,5:04
Action shot - Saved,5.0,2,1,0,RUS,1.0,GIORGETTI A,0 - 1,280,ITA,4:40
Turnover foul,7.0,2,1,0,RUS,1.0,GIACOPPO M,0 - 1,258,ITA,4:18
Turnover foul,3.0,2,1,0,RUS,1.0,ODINTSOV A,0 - 1,229,RUS,3:49
Steal,7.0,2,1,0,RUS,1.0,GIACOPPO M,0 - 1,229,ITA,3:49
Centre shot - Post,12.0,2,1,0,RUS,1.0,BARALDI F,0 - 1,209,ITA,3:29
Centre shot - Saved,12.0,2,1,0,RUS,1.0,BARALDI F,0 - 1,202,ITA,3:22
5m shot - Blocked,7.0,2,1,0,RUS,1.0,TIMAKOV V,0 - 1,177,RUS,2:57
Action shot - Saved,2.0,2,1,0,RUS,1.0,DI FULVIO F,0 - 1,149,ITA,2:29
5m shot - Saved,9.0,2,1,0,RUS,1.0,STEPANIUK K,0 - 1,120,RUS,2:00
5m shot - Missed,2.0,2,1,0,RUS,1.0,DI FULVIO F,0 - 1,93,ITA,1:33
20 sec. exclusion in centre,7.0,2,1,0,RUS,1.0,GIACOPPO M,0 - 1,71,ITA,1:11
Time-Out,,2,1,0,RUS,1.0,,0 - 1,71,RUS,1:11
Extra player shot - Goal,10.0,2,1,1,RUS,1.0,KHOLOD D,1 - 1,51,RUS,0:51
Centre shot - Post,11.0,2,1,1,RUS,1.0,AICARDI M,1 - 1,34,ITA,0:34
Action shot - Saved,8.0,2,1,1,RUS,1.0,NAGAEV I,1 - 1,15,RUS,0:15
Time-Out,,2,1,1,RUS,1.0,,1 - 1,15,ITA,0:15
Action shot - Saved,10.0,2,1,1,RUS,1.0,LUONGO S,1 - 1,3,ITA,0:03
20 sec. exclusion in centre,9.0,2,1,1,RUS,1.0,STEPANIUK K,1 - 1,3,RUS,0:03
Starting goalkeeper,13.0,2,1,1,RUS,2.0,IVANOV V,1 - 1,480,RUS,8:00
Starting goalkeeper,1.0,2,1,1,RUS,2.0,TEMPESTI S,1 - 1,480,ITA,8:00
Sprint won possession,4.0,2,1,1,RUS,2.0,FIGLIOLI P,1 - 1,480,ITA,8:00
Action shot - Saved,11.0,2,1,1,RUS,2.0,AICARDI M,1 - 1,456,ITA,7:36
Centre shot - Saved,11.0,2,1,1,RUS,2.0,AICARDI M,1 - 1,432,ITA,7:12
Turnover foul,9.0,2,1,1,RUS,2.0,STEPANIUK K,1 - 1,405,RUS,6:45
20 sec. exclusion in centre,3.0,2,1,1,RUS,2.0,ODINTSOV A,1 - 1,398,RUS,6:38
Extra player shot - Goal,5.0,2,2,1,RUS,2.0,GIORGETTI A,1 - 2,379,ITA,6:19
5m shot - Blocked,9.0,2,2,1,RUS,2.0,STEPANIUK K,1 - 2,349,RUS,5:49
5m shot - Goal,9.0,2,3,1,RUS,2.0,GITTO N,1 - 3,323,ITA,5:23
5m shot - Missed,4.0,2,3,1,RUS,2.0,BYCHKOV I,1 - 3,301,RUS,5:01
Action shot - Saved,2.0,2,3,1,RUS,2.0,DI FULVIO F,1 - 3,274,ITA,4:34
Turnover foul,4.0,2,3,1,RUS,2.0,FIGLIOLI P,1 - 3,248,ITA,4:08
Turnover foul,9.0,2,3,1,RUS,2.0,STEPANIUK K,1 - 3,216,RUS,3:36
5m shot - Goal,4.0,2,4,1,RUS,2.0,FIGLIOLI P,1 - 4,195,ITA,3:15
5m shot - Saved,4.0,2,4,1,RUS,2.0,BYCHKOV I,1 - 4,166,RUS,2:46
Action shot - Missed,7.0,2,4,1,RUS,2.0,TIMAKOV V,1 - 4,146,RUS,2:26
Turnover foul,6.0,2,4,1,RUS,2.0,ASHAEV A,1 - 4,130,RUS,2:10
20 sec. exclusion in centre,6.0,2,4,1,RUS,2.0,ASHAEV A,1 - 4,130,RUS,2:10
Centre shot - Goal,11.0,2,5,1,RUS,2.0,AICARDI M,1 - 5,106,ITA,1:46
Turnover foul,12.0,2,5,1,RUS,2.0,MAGOMAEV L,1 - 5,85,RUS,1:25
20 sec. exclusion in centre,2.0,2,5,1,RUS,2.0,BUGAYCHUK A,1 - 5,85,RUS,1:25
Time-Out,,2,5,1,RUS,2.0,,1 - 5,85,ITA,1:25
Extra player shot - Goal,7.0,2,6,1,RUS,2.0,GIACOPPO M,1 - 6,66,ITA,1:06
Turnover foul,12.0,2,6,1,RUS,2.0,MAGOMAEV L,1 - 6,49,RUS,0:49
Time-Out,,2,6,1,RUS,2.0,,1 - 6,24,RUS,0:24
20 sec. exclusion in centre,4.0,2,6,1,RUS,2.0,FIGLIOLI P,1 - 6,16,ITA,0:16
Extra player shot - Saved,4.0,2,6,1,RUS,2.0,BYCHKOV I,1 - 6,0,RUS,0:00
Starting goalkeeper,13.0,2,6,1,RUS,3.0,IVANOV V,1 - 6,480,RUS,8:00
Starting goalkeeper,13.0,2,6,1,RUS,3.0,DEL LUNGO M,1 - 6,480,ITA,8:00
Sprint won possession,4.0,2,6,1,RUS,3.0,FIGLIOLI P,1 - 6,480,ITA,8:00
20 sec. exclusion in centre,3.0,2,6,1,RUS,3.0,ODINTSOV A,1 - 6,462,RUS,7:42
Turnover foul,9.0,2,6,1,RUS,3.0,GITTO N,1 - 6,383,ITA,6:23
Steal,8.0,2,6,1,RUS,3.0,NAGAEV I,1 - 6,383,RUS,6:23
Turnover foul,8.0,2,6,1,RUS,3.0,NAGAEV I,1 - 6,383,RUS,6:23
Steal,4.0,2,6,1,RUS,3.0,FIGLIOLI P,1 - 6,383,ITA,6:23
Action shot - Post,5.0,2,6,1,RUS,3.0,GIORGETTI A,1 - 6,383,ITA,6:23
Penalty foul,10.0,2,6,1,RUS,3.0,KHOLOD D,1 - 6,356,RUS,5:56
Penalty shot - Post,6.0,2,6,1,RUS,3.0,FONDELLI A,1 - 6,356,ITA,5:56
20 sec. exclusion in field,12.0,2,6,1,RUS,3.0,BARALDI F,1 - 6,339,ITA,5:39
Action shot - Goal,10.0,2,6,2,RUS,3.0,KHOLOD D,2 - 6,313,RUS,5:13
Goalkeeper substitution,1.0,2,6,2,RUS,3.0,TEMPESTI S,2 - 6,313,ITA,5:13
Turnover foul,11.0,2,6,2,RUS,3.0,AICARDI M,2 - 6,287,ITA,4:47
20 sec. exclusion in centre,4.0,2,6,2,RUS,3.0,FIGLIOLI P,2 - 6,270,ITA,4:30
Extra player shot - Goal,11.0,2,6,3,RUS,3.0,LISUNOV S,3 - 6,265,RUS,4:25
Action shot - Missed,11.0,2,6,3,RUS,3.0,AICARDI M,3 - 6,251,ITA,4:11
Turnover foul,2.0,2,6,3,RUS,3.0,BUGAYCHUK A,3 - 6,251,RUS,4:11
5m shot - Goal,10.0,2,7,3,RUS,3.0,LUONGO S,3 - 7,232,ITA,3:52
Turnover foul,9.0,2,7,3,RUS,3.0,STEPANIUK K,3 - 7,200,RUS,3:20
5m shot - Saved,3.0,2,7,3,RUS,3.0,VELOTTO A,3 - 7,194,ITA,3:14
20 sec. exclusion in centre,3.0,2,7,3,RUS,3.0,VELOTTO A,3 - 7,192,ITA,3:12
Time-Out,,2,7,3,RUS,3.0,,3 - 7,192,RUS,3:12
Action shot - Goal,10.0,2,7,4,RUS,3.0,KHOLOD D,4 - 7,163,RUS,2:43
,,2,7,4,RUS,3.0,,4 - 7,163,A,2:43
20 sec. exclusion in centre,4.0,2,7,4,RUS,3.0,BYCHKOV I,4 - 7,137,RUS,2:17
Time-Out,,2,7,4,RUS,3.0,,4 - 7,137,ITA,2:17
Action shot - Blocked,4.0,2,7,4,RUS,3.0,FIGLIOLI P,4 - 7,107,ITA,1:47
5m shot - Blocked,9.0,2,7,4,RUS,3.0,STEPANIUK K,4 - 7,74,RUS,1:14
Turnover foul,11.0,2,7,4,RUS,3.0,AICARDI M,4 - 7,50,ITA,0:50
Turnover foul,8.0,2,7,4,RUS,3.0,NAGAEV I,4 - 7,12,RUS,0:12
5m shot - Blocked,10.0,2,7,4,RUS,3.0,LUONGO S,4 - 7,0,ITA,0:00
Starting goalkeeper,13.0,2,7,4,RUS,4.0,IVANOV V,4 - 7,480,RUS,8:00
Starting goalkeeper,1.0,2,7,4,RUS,4.0,TEMPESTI S,4 - 7,480,ITA,8:00
Sprint won possession,2.0,2,7,4,RUS,4.0,DI FULVIO F,4 - 7,480,ITA,8:00
20 sec. exclusion in centre,4.0,2,7,4,RUS,4.0,BYCHKOV I,4 - 7,453,RUS,7:33
Extra player shot - Saved,10.0,2,7,4,RUS,4.0,LUONGO S,4 - 7,435,ITA,7:15
5m shot - Missed,6.0,2,7,4,RUS,4.0,ASHAEV A,4 - 7,405,RUS,6:45
Turnover foul,10.0,2,7,4,RUS,4.0,LUONGO S,4 - 7,380,ITA,6:20
20 sec. exclusion in centre,7.0,2,7,4,RUS,4.0,GIACOPPO M,4 - 7,363,ITA,6:03
Extra player shot - Saved,2.0,2,7,4,RUS,4.0,BUGAYCHUK A,4 - 7,343,RUS,5:43
Turnover foul,3.0,2,7,4,RUS,4.0,ODINTSOV A,4 - 7,329,RUS,5:29
Action shot - Saved,9.0,2,7,4,RUS,4.0,GITTO N,4 - 7,314,ITA,5:14
Turnover foul,10.0,2,7,4,RUS,4.0,LUONGO S,4 - 7,285,ITA,4:45
Steal,3.0,2,7,4,RUS,4.0,ODINTSOV A,4 - 7,285,RUS,4:45
5m shot - Missed,2.0,2,7,4,RUS,4.0,BUGAYCHUK A,4 - 7,255,RUS,4:15
Action shot - Saved,2.0,2,7,4,RUS,4.0,DI FULVIO F,4 - 7,241,ITA,4:01
Turnover foul,10.0,2,7,4,RUS,4.0,LUONGO S,4 - 7,219,ITA,3:39
Steal,5.0,2,7,4,RUS,4.0,ZINNATULLIN A,4 - 7,219,RUS,3:39
20 sec. exclusion in centre,9.0,2,7,4,RUS,4.0,GITTO N,4 - 7,196,ITA,3:16
Time-Out,,2,7,4,RUS,4.0,,4 - 7,196,RUS,3:16
Action shot - Goal,7.0,2,7,5,RUS,4.0,TIMAKOV V,5 - 7,172,RUS,2:52
20 sec. exclusion in centre,10.0,2,7,5,RUS,4.0,KHOLOD D,5 - 7,145,RUS,2:25
Extra player shot - Goal,5.0,2,8,5,RUS,4.0,GIORGETTI A,5 - 8,136,ITA,2:16
20 sec. exclusion in centre,9.0,2,8,5,RUS,4.0,GITTO N,5 - 8,117,ITA,1:57
Extra player shot - Post,8.0,2,8,5,RUS,4.0,NAGAEV I,5 - 8,100,RUS,1:40
Extra player shot - Saved,11.0,2,8,5,RUS,4.0,LISUNOV S,5 - 8,92,RUS,1:32
Turnover foul,11.0,2,8,5,RUS,4.0,AICARDI M,5 - 8,68,ITA,1:08
Yellow card,,2,8,5,RUS,4.0,Team Official,5 - 8,62,ITA,1:02
Penalty foul,4.0,2,8,5,RUS,4.0,FIGLIOLI P,5 - 8,62,ITA,1:02
Exclusion with substitution,4.0,2,8,5,RUS,4.0,FIGLIOLI P,5 - 8,62,ITA,1:02
Penalty shot - Goal,8.0,2,8,6,RUS,4.0,NAGAEV I,6 - 8,62,RUS,1:02
Centre shot - Post,2.0,2,8,6,RUS,4.0,DI FULVIO F,6 - 8,32,ITA,0:32
20 sec. exclusion in centre,4.0,2,8,6,RUS,4.0,BYCHKOV I,6 - 8,15,RUS,0:15
Exclusion with substitution,4.0,2,8,6,RUS,4.0,BYCHKOV I,6 - 8,15,RUS,0:15
Extra player shot - Goal,3.0,2,9,6,RUS,4.0,VELOTTO A,6 - 9,15,ITA,0:15
Starting goalkeeper,13.0,3,0,0,USA,1.0,BARON M,0 - 0,480,USA,8:00
Starting goalkeeper,1.0,3,0,0,USA,1.0,TEMPESTI S,0 - 0,480,ITA,8:00
Sprint won possession,4.0,3,0,0,USA,1.0,FIGLIOLI P,0 - 0,480,ITA,8:00
Turnover foul,4.0,3,0,0,USA,1.0,FIGLIOLI P,0 - 0,459,ITA,7:39
Steal,7.0,3,0,0,USA,1.0,SAMUELS J,0 - 0,459,USA,7:39
Action shot - Saved,4.0,3,0,0,USA,1.0,KIMBELL J,0 - 0,440,USA,7:20
20 sec. exclusion in field,4.0,3,0,0,USA,1.0,KIMBELL J,0 - 0,436,USA,7:16
Action shot - Goal,2.0,3,1,0,USA,1.0,DI FULVIO F,0 - 1,411,ITA,6:51
20 sec. exclusion in centre,3.0,3,1,0,USA,1.0,VELOTTO A,0 - 1,392,ITA,6:32
20 sec. exclusion in field,11.0,3,1,0,USA,1.0,AICARDI M,0 - 1,377,ITA,6:17
Extra player shot - Saved,8.0,3,1,0,USA,1.0,AZEVEDO T,0 - 1,366,USA,6:06
Extra player shot - Goal,2.0,3,1,1,USA,1.0,VAVIC N,1 - 1,364,USA,6:04
20 sec. exclusion in field,8.0,3,1,1,USA,1.0,AZEVEDO T,1 - 1,344,USA,5:44
20 sec. exclusion in field,7.0,3,1,1,USA,1.0,SAMUELS J,1 - 1,329,USA,5:29
Extra player shot - Goal,5.0,3,2,1,USA,1.0,GIORGETTI A,1 - 2,325,ITA,5:25
5m shot - Saved,9.0,3,2,1,USA,1.0,BOWEN A,1 - 2,296,USA,4:56
Penalty foul,7.0,3,2,1,USA,1.0,SAMUELS J,1 - 2,277,USA,4:37
Penalty shot - Goal,5.0,3,3,1,USA,1.0,GIORGETTI A,1 - 3,277,ITA,4:37
20 sec. exclusion in centre,7.0,3,3,1,USA,1.0,GIACOPPO M,1 - 3,260,ITA,4:20
