Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
5m shot,6.0,3,12,ESP,4.0,de CARVALHO J,3,12 - 3,394,RSA,6:34,Missed,0
Action shot,7.0,3,12,ESP,4.0,BARROSO MACARRO A,3,12 - 3,347,ESP,5:47,Saved,0
5m shot,2.0,3,12,ESP,4.0,le ROUX E,3,12 - 3,299,RSA,4:59,Missed,0
Action shot,6.0,3,12,ESP,4.0,MINGUELL ALFEREZ M,3,12 - 3,281,ESP,4:41,Saved,0
Extra player shot,12.0,3,13,ESP,4.0,GUTIERREZ SANTIAGO,3,13 - 3,229,ESP,3:49,Goal,1
5m shot,7.0,3,13,ESP,4.0,RABIE L,4,13 - 4,203,RSA,3:23,Goal,1
5m shot,12.0,3,14,ESP,4.0,GUTIERREZ SANTIAGO,4,14 - 4,177,ESP,2:57,Goal,1
Extra player shot,4.0,3,15,ESP,4.0,del TORO M,4,15 - 4,125,ESP,2:05,Goal,1
5m shot,5.0,3,15,ESP,4.0,BROWN C,4,15 - 4,49,RSA,0:49,Saved,0
5m shot,2.0,3,16,ESP,4.0,MUNARRIZ EGANA A,4,16 - 4,18,ESP,0:18,Goal,1
5m shot,2.0,4,0,USA,1.0,HOOPER J,0,0 - 0,387,USA,6:27,Post,0
Penalty shot,6.0,4,1,USA,1.0,CUPIDO L,0,0 - 1,347,USA,5:47,Goal,1
5m shot,6.0,4,1,USA,1.0,CUPIDO L,0,0 - 1,315,USA,5:15,Saved,0
Action shot,3.0,4,1,USA,1.0,VAVIC M,0,0 - 1,272,USA,4:32,Post,0
5m shot,11.0,4,1,USA,1.0,MOLYNEUX N,0,0 - 1,179,RSA,2:59,Missed,0
5m shot,2.0,4,1,USA,1.0,le ROUX E,0,0 - 1,139,RSA,2:19,Saved,0
5m shot,6.0,4,1,USA,1.0,CUPIDO L,0,0 - 1,74,USA,1:14,Post,0
5m shot,10.0,4,1,USA,1.0,le ROUX P,0,0 - 1,55,RSA,0:55,Missed,0
Centre shot,5.0,4,1,USA,1.0,HALLOCK B,0,0 - 1,34,USA,0:34,Post,0
Action shot,10.0,4,1,USA,2.0,le ROUX P,0,0 - 1,457,RSA,7:37,Saved,0
Extra player shot,2.0,4,1,USA,2.0,le ROUX E,1,1 - 1,393,RSA,6:33,Goal,1
5m shot,6.0,4,1,USA,2.0,CUPIDO L,1,1 - 1,380,USA,6:20,Saved,0
Action shot,3.0,4,1,USA,2.0,CARD D,1,1 - 1,351,RSA,5:51,Saved,0
Action shot,6.0,4,1,USA,2.0,CUPIDO L,1,1 - 1,318,USA,5:18,Saved,0
Action shot,11.0,4,2,USA,2.0,ROELSE A,1,1 - 2,288,USA,4:48,Goal,1
5m shot,8.0,4,2,USA,2.0,RODDA N,1,1 - 2,261,RSA,4:21,Missed,0
Extra player shot,10.0,4,3,USA,2.0,RAMIREZ C,1,1 - 3,234,USA,3:54,Goal,1
Centre shot,2.0,4,3,USA,2.0,le ROUX E,1,1 - 3,210,RSA,3:30,Saved,0
5m shot,12.0,4,4,USA,2.0,IRVING M,1,1 - 4,164,USA,2:44,Goal,1
5m shot,10.0,4,4,USA,2.0,le ROUX P,1,1 - 4,138,RSA,2:18,Saved,0
5m shot,10.0,4,4,USA,4.0,le ROUX P,1,1 - 4,289,RSA,4:49,Saved,0
5m shot,8.0,4,4,USA,4.0,RODDA N,1,1 - 4,255,RSA,4:15,Saved,0
Action shot,3.0,4,12,USA,4.0,VAVIC M,4,4 - 12,227,USA,3:47,Goal,1
5m shot,2.0,4,12,USA,4.0,le ROUX E,4,4 - 12,200,RSA,3:20,Post,0
Action shot,7.0,4,12,USA,2.0,RABIE L,4,4 - 12,122,RSA,2:02,Saved,0
Action shot,12.0,4,5,USA,2.0,IRVING M,1,1 - 5,105,USA,1:45,Goal,1
Action shot,10.0,4,5,USA,2.0,le ROUX P,2,2 - 5,94,RSA,1:34,Goal,1
Penalty shot,2.0,4,6,USA,2.0,HOOPER J,2,2 - 6,78,USA,1:18,Goal,1
5m shot,3.0,4,6,USA,2.0,VAVIC M,2,2 - 6,29,USA,0:29,Saved,0
5m shot,8.0,4,6,USA,2.0,RODDA N,3,3 - 6,17,RSA,0:17,Goal,1
5m shot,6.0,4,6,USA,2.0,CUPIDO L,3,3 - 6,3,USA,0:03,Saved,0
Action shot,4.0,4,7,USA,2.0,OBERT A,3,3 - 7,2,USA,0:02,Goal,1
Action shot,11.0,4,7,USA,3.0,ROELSE A,3,3 - 7,400,USA,6:40,Saved,0
Extra player shot,2.0,4,7,USA,3.0,HOOPER J,3,3 - 7,323,USA,5:23,Saved,0
Action shot,2.0,4,7,USA,3.0,le ROUX E,3,3 - 7,295,RSA,4:55,Saved,0
Action shot,4.0,4,7,USA,3.0,BADENHORST N,4,4 - 7,293,RSA,4:53,Goal,1
5m shot,10.0,4,7,USA,3.0,le ROUX P,4,4 - 7,250,RSA,4:10,Blocked,0
Action shot,12.0,4,8,USA,3.0,IRVING M,4,4 - 8,208,USA,3:28,Goal,1
Action shot,4.0,4,9,USA,3.0,OBERT A,4,4 - 9,156,USA,2:36,Goal,1
Extra player shot,8.0,4,10,USA,3.0,CARNIGLIA N,4,4 - 10,84,USA,1:24,Goal,1
Action shot,10.0,4,10,USA,3.0,le ROUX P,4,4 - 10,40,RSA,0:40,Post,0
Extra player shot,6.0,4,10,USA,3.0,CUPIDO L,4,4 - 10,6,USA,0:06,Blocked,0
