Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in field,3,11.0,6,6,NED,4.0,KLAASSEN L,6 - 3,110,NED,1:50
Extra player shot - Saved,3,7.0,6,6,NED,4.0,NONG S,6 - 3,91,CHN,1:31
Counter attack - Goal,6,6.0,6,14,NED,4.0,STOMPHORST N,14 - 6,72,NED,1:12
Centre shot - Goal,7,9.0,6,14,NED,4.0,ZHAO Z,14 - 7,46,CHN,0:46
Steal,7,6.0,6,14,NED,2.0,GUO N,14 - 7,81,CHN,1:21
5m shot - Goal,4,8.0,6,6,NED,2.0,ZHANG C,6 - 4,54,CHN,0:54
Action shot - Saved,4,8.0,6,6,NED,2.0,SEVENICH V,6 - 4,27,NED,0:27
Counter attack - Saved,4,9.0,6,6,NED,2.0,ZHAO Z,6 - 4,14,CHN,0:14
Penalty foul,4,5.0,6,6,NED,2.0,NIU G,6 - 4,1,CHN,0:01
Penalty shot - Goal,4,9.0,6,7,NED,2.0,MEGENS M,7 - 4,1,NED,0:01
Starting goalkeeper,4,1.0,6,7,NED,3.0,AARTS L,7 - 4,480,NED,8:00
Starting goalkeeper,4,13.0,6,7,NED,3.0,SHEN Y,7 - 4,480,CHN,8:00
Sprint won possession,4,5.0,6,7,NED,3.0,NIU G,7 - 4,480,CHN,8:00
Turnover foul,4,4.0,6,7,NED,3.0,XIONG D,7 - 4,452,CHN,7:32
20 sec. exclusion in field,4,9.0,6,7,NED,3.0,MEGENS M,7 - 4,410,NED,6:50
Action shot - Saved,4,6.0,6,7,NED,3.0,GUO N,7 - 4,383,CHN,6:23
Action shot - Saved,4,5.0,6,7,NED,3.0,GENEE A,7 - 4,362,NED,6:02
20 sec. exclusion in centre,4,3.0,6,7,NED,3.0,GENEE D,7 - 4,340,NED,5:40
Action shot - Goal,5,5.0,6,7,NED,3.0,NIU G,7 - 5,318,CHN,5:18
20 sec. exclusion in centre,5,11.0,6,7,NED,3.0,CHEN X,7 - 5,302,CHN,5:02
Extra player shot - Goal,5,6.0,6,8,NED,3.0,STOMPHORST N,8 - 5,288,NED,4:48
Turnover foul,5,11.0,6,8,NED,3.0,CHEN X,8 - 5,277,CHN,4:37
Steal,5,11.0,6,8,NED,3.0,KLAASSEN L,8 - 5,277,NED,4:37
Action shot - Missed,5,7.0,6,8,NED,3.0,NIJHUIS M,8 - 5,256,NED,4:16
Turnover foul,5,9.0,6,8,NED,3.0,ZHAO Z,8 - 5,239,CHN,3:59
Steal,5,6.0,6,8,NED,3.0,STOMPHORST N,8 - 5,239,NED,3:59
Counter attack - Goal,5,6.0,6,9,NED,3.0,STOMPHORST N,9 - 5,231,NED,3:51
Action shot - Blocked,5,5.0,6,9,NED,3.0,NIU G,9 - 5,204,CHN,3:24
Turnover foul,5,11.0,6,9,NED,3.0,KLAASSEN L,9 - 5,187,NED,3:07
Steal,5,12.0,6,9,NED,3.0,ZHANG J,9 - 5,187,CHN,3:07
Turnover foul,5,4.0,6,9,NED,3.0,XIONG D,9 - 5,165,CHN,2:45
Steal,5,1.0,6,9,NED,3.0,AARTS L,9 - 5,165,NED,2:45
5m shot - Saved,5,5.0,6,9,NED,3.0,NIU G,9 - 5,112,CHN,1:52
Time-Out,5,,6,9,NED,3.0,,9 - 5,110,NED,1:50
20 sec. exclusion in field,5,9.0,6,9,NED,3.0,ZHAO Z,9 - 5,95,CHN,1:35
Extra player shot - Saved,5,9.0,6,9,NED,3.0,MEGENS M,9 - 5,77,NED,1:17
Action shot - Saved,5,3.0,6,9,NED,3.0,GENEE D,9 - 5,31,NED,0:31
Counter attack - Saved,5,9.0,6,9,NED,3.0,ZHAO Z,9 - 5,14,CHN,0:14
Starting goalkeeper,5,1.0,6,9,NED,4.0,AARTS L,9 - 5,480,NED,8:00
Starting goalkeeper,5,13.0,6,9,NED,4.0,SHEN Y,9 - 5,480,CHN,8:00
Sprint won possession,5,3.0,6,9,NED,4.0,GENEE D,9 - 5,480,NED,8:00
5m shot - Missed,5,9.0,6,9,NED,4.0,MEGENS M,9 - 5,458,NED,7:38
Turnover foul,5,4.0,6,9,NED,4.0,XIONG D,9 - 5,438,CHN,7:18
Double exclusion,5,4.0,6,9,NED,4.0,XIONG D,9 - 5,435,CHN,7:15
Double exclusion,5,6.0,6,9,NED,4.0,STOMPHORST N,9 - 5,435,NED,7:15
5m shot - Goal,5,7.0,6,10,NED,4.0,NIJHUIS M,10 - 5,418,NED,6:58
Turnover foul,5,12.0,6,10,NED,4.0,ZHANG J,10 - 5,395,CHN,6:35
Steal,5,8.0,6,10,NED,4.0,SEVENICH V,10 - 5,395,NED,6:35
