Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,8.0,2,4,1,RUS,1.0,ESPANOL LIFANTE A,2 - 1,198,ESP,3:18,Post,0
Penalty shot,7.0,2,4,2,RUS,1.0,MERKULOV D,2 - 2,174,RUS,2:54,Goal,1
Extra player shot,6.0,2,4,2,RUS,1.0,MINGUELL ALFEREZ M,2 - 2,125,ESP,2:05,Saved,0
5m shot,12.0,2,4,2,RUS,1.0,SHEPELEV R,2 - 2,95,RUS,1:35,Saved,0
5m shot,3.0,2,4,2,RUS,1.0,GRANADOS ORTEGA A,2 - 2,35,ESP,0:35,Blocked,0
Extra player shot,8.0,2,4,3,RUS,1.0,NAGAEV I,2 - 3,7,RUS,0:07,Goal,1
5m shot,11.0,2,4,3,RUS,1.0,MALLARACH GUELL B,2 - 3,4,ESP,0:04,Blocked,0
Extra player shot,11.0,2,4,4,RUS,2.0,LISUNOV S,2 - 4,425,RUS,7:05,Goal,1
Extra player shot,2.0,3,4,4,RUS,2.0,MUNARRIZ EGANA A,3 - 4,382,ESP,6:22,Goal,1
5m shot,2.0,3,4,4,RUS,2.0,MUNARRIZ EGANA A,3 - 4,333,ESP,5:33,Blocked,0
Extra player shot,4.0,3,4,5,RUS,2.0,DEREVIANKIN N,3 - 5,287,RUS,4:47,Goal,1
5m shot,8.0,3,4,5,RUS,2.0,NAGAEV I,3 - 5,231,RUS,3:51,Saved,0
Extra player shot,6.0,4,4,5,RUS,2.0,MINGUELL ALFEREZ M,4 - 5,217,ESP,3:37,Goal,1
Action shot,7.0,4,4,5,RUS,2.0,BARROSO MACARRO A,4 - 5,172,ESP,2:52,Saved,0
5m shot,2.0,4,4,5,RUS,2.0,MUNARRIZ EGANA A,4 - 5,117,ESP,1:57,Saved,0
5m shot,7.0,4,4,5,RUS,2.0,BARROSO MACARRO A,4 - 5,95,ESP,1:35,Post,0
5m shot,2.0,4,4,5,RUS,2.0,LAZAREV N,4 - 5,58,RUS,0:58,Saved,0
Action shot,6.0,4,4,5,RUS,2.0,MINGUELL ALFEREZ M,4 - 5,43,ESP,0:43,Missed,0
Counter attack,11.0,4,4,6,RUS,2.0,LISUNOV S,4 - 6,35,RUS,0:35,Goal,1
5m shot,8.0,4,4,7,RUS,2.0,NAGAEV I,4 - 7,3,RUS,0:03,Goal,1
5m shot,11.0,4,4,7,RUS,2.0,MALLARACH GUELL B,4 - 7,1,ESP,0:01,Saved,0
5m shot,5.0,4,4,7,RUS,3.0,BUGAYCHUK A,4 - 7,425,RUS,7:05,Missed,0
Extra player shot,11.0,4,4,7,RUS,3.0,MALLARACH GUELL B,4 - 7,398,ESP,6:38,Saved,0
Action shot,11.0,4,4,7,RUS,3.0,MALLARACH GUELL B,4 - 7,386,ESP,6:26,Saved,0
5m shot,2.0,4,4,7,RUS,3.0,LAZAREV N,4 - 7,357,RUS,5:57,Saved,0
5m shot,8.0,5,4,7,RUS,3.0,ESPANOL LIFANTE A,5 - 7,326,ESP,5:26,Goal,1
5m shot,9.0,5,4,7,RUS,3.0,SUCHKOV I,5 - 7,302,RUS,5:02,Saved,0
Centre shot,11.0,5,4,8,RUS,3.0,LISUNOV S,5 - 8,277,RUS,4:37,Goal,1
5m shot,8.0,6,4,8,RUS,3.0,ESPANOL LIFANTE A,6 - 8,205,ESP,3:25,Goal,1
Centre shot,9.0,7,4,8,RUS,3.0,TAHULL COMPTE R,7 - 8,157,ESP,2:37,Goal,1
5m shot,7.0,7,4,9,RUS,3.0,MERKULOV D,7 - 9,135,RUS,2:15,Goal,1
Centre shot,9.0,7,4,9,RUS,3.0,TAHULL COMPTE R,7 - 9,111,ESP,1:51,Missed,0
5m shot,7.0,7,4,9,RUS,3.0,MERKULOV D,7 - 9,87,RUS,1:27,Missed,0
Action shot,8.0,7,4,9,RUS,3.0,ESPANOL LIFANTE A,7 - 9,74,ESP,1:14,Missed,0
Extra player shot,4.0,7,4,10,RUS,3.0,DEREVIANKIN N,7 - 10,32,RUS,0:32,Goal,1
5m shot,2.0,7,4,10,RUS,3.0,MUNARRIZ EGANA A,7 - 10,14,ESP,0:14,Post,0
5m shot,6.0,7,4,10,RUS,3.0,MINGUELL ALFEREZ M,7 - 10,1,ESP,0:01,Saved,0
5m shot,8.0,7,4,10,RUS,4.0,ESPANOL LIFANTE A,7 - 10,431,ESP,7:11,Blocked,0
Extra player shot,5.0,7,4,11,RUS,4.0,BUGAYCHUK A,7 - 11,392,RUS,6:32,Goal,1
Extra player shot,9.0,8,4,11,RUS,4.0,TAHULL COMPTE R,8 - 11,319,ESP,5:19,Goal,1
Extra player shot,8.0,8,4,11,RUS,4.0,NAGAEV I,8 - 11,279,RUS,4:39,Saved,0
Action shot,6.0,8,4,11,RUS,4.0,MINGUELL ALFEREZ M,8 - 11,245,ESP,4:05,Missed,0
Action shot,8.0,8,4,11,RUS,4.0,NAGAEV I,8 - 11,187,RUS,3:07,Post,0
Centre shot,5.0,8,4,11,RUS,4.0,BUSTOS SANCHEZ A,8 - 11,165,ESP,2:45,Post,0
5m shot,10.0,9,4,11,RUS,4.0,FERNANDEZ MIRANDA,9 - 11,132,ESP,2:12,Goal,1
Extra player shot,9.0,10,4,11,RUS,4.0,TAHULL COMPTE R,10 - 11,1,ESP,0:01,Goal,1
Action shot,11.0,0,5,0,KAZ,1.0,MALLARACH GUELL B,0 - 0,414,ESP,6:54,Blocked,0
Action shot,11.0,0,5,0,KAZ,1.0,MALLARACH GUELL B,0 - 0,404,ESP,6:44,Saved,0
5m shot,7.0,1,5,0,KAZ,1.0,BARROSO MACARRO A,0 - 1,316,ESP,5:16,Goal,1
Centre shot,12.0,2,5,0,KAZ,1.0,GUTIERREZ SANTIAGO,0 - 2,267,ESP,4:27,Goal,1
5m shot,4.0,2,5,0,KAZ,1.0,PILIPENKO R,0 - 2,238,KAZ,3:58,Saved,0
5m shot,2.0,2,5,0,KAZ,1.0,MUNARRIZ EGANA A,0 - 2,224,ESP,3:44,Saved,0
5m shot,12.0,2,5,0,KAZ,1.0,TURLYKHANOV B,0 - 2,158,KAZ,2:38,Post,0
5m shot,10.0,2,5,0,KAZ,1.0,RUDAY M,0 - 2,122,KAZ,2:02,Blocked,0
Action shot,4.0,3,5,0,KAZ,1.0,del TORO M,0 - 3,101,ESP,1:41,Goal,1
5m shot,7.0,3,5,0,KAZ,1.0,SHAKENOV M,0 - 3,80,KAZ,1:20,Missed,0
Counter attack,10.0,4,5,0,KAZ,1.0,FERNANDEZ MIRANDA,0 - 4,65,ESP,1:05,Goal,1
Action shot,10.0,4,5,0,KAZ,1.0,RUDAY M,0 - 4,49,KAZ,0:49,Missed,0
Penalty shot,8.0,5,5,0,KAZ,2.0,ESPANOL LIFANTE A,0 - 5,454,ESP,7:34,Goal,1
5m shot,8.0,5,5,0,KAZ,2.0,ESPANOL LIFANTE A,0 - 5,409,ESP,6:49,Blocked,0
Action shot,11.0,6,5,0,KAZ,2.0,MALLARACH GUELL B,0 - 6,388,ESP,6:28,Goal,1
Action shot,9.0,6,5,0,KAZ,2.0,TAHULL COMPTE R,0 - 6,337,ESP,5:37,Missed,0
Action shot,7.0,6,5,0,KAZ,2.0,BARROSO MACARRO A,0 - 6,272,ESP,4:32,Saved,0
5m shot,9.0,6,5,0,KAZ,2.0,UKUMANOV R,0 - 6,246,KAZ,4:06,Missed,0
Action shot,9.0,7,5,0,KAZ,2.0,TAHULL COMPTE R,0 - 7,228,ESP,3:48,Goal,1
5m shot,7.0,7,5,1,KAZ,2.0,SHAKENOV M,1 - 7,211,KAZ,3:31,Goal,1
Action shot,2.0,7,5,1,KAZ,2.0,MUNARRIZ EGANA A,1 - 7,172,ESP,2:52,Post,0
5m shot,7.0,7,5,1,KAZ,2.0,SHAKENOV M,1 - 7,137,KAZ,2:17,Blocked,0
Action shot,10.0,7,5,1,KAZ,2.0,RUDAY M,1 - 7,122,KAZ,2:02,Post,0
5m shot,2.0,8,5,1,KAZ,2.0,MUNARRIZ EGANA A,1 - 8,104,ESP,1:44,Goal,1
5m shot,9.0,8,5,1,KAZ,2.0,UKUMANOV R,1 - 8,81,KAZ,1:21,Blocked,0
Action shot,8.0,8,5,1,KAZ,2.0,VERDESH Y,1 - 8,28,KAZ,0:28,Saved,0
Action shot,9.0,9,5,1,KAZ,2.0,TAHULL COMPTE R,1 - 9,10,ESP,0:10,Goal,1
5m shot,4.0,10,5,1,KAZ,3.0,del TORO M,1 - 10,455,ESP,7:35,Goal,1
Action shot,2.0,10,5,1,KAZ,3.0,MEDVEDEV Y,1 - 10,410,KAZ,6:50,Saved,0
Action shot,11.0,10,5,2,KAZ,3.0,MANAFOV R,2 - 10,371,KAZ,6:11,Goal,1
Action shot,7.0,10,5,2,KAZ,3.0,BARROSO MACARRO A,2 - 10,341,ESP,5:41,Saved,0
Action shot,6.0,10,5,2,KAZ,3.0,SHMIDER A,2 - 10,320,KAZ,5:20,Saved,0
5m shot,7.0,10,5,2,KAZ,3.0,SHAKENOV M,2 - 10,291,KAZ,4:51,Saved,0
Action shot,6.0,10,5,2,KAZ,3.0,MINGUELL ALFEREZ M,2 - 10,254,ESP,4:14,Saved,0
5m shot,8.0,10,5,2,KAZ,3.0,ESPANOL LIFANTE A,2 - 10,230,ESP,3:50,Saved,0
5m shot,2.0,10,5,2,KAZ,3.0,MEDVEDEV Y,2 - 10,190,KAZ,3:10,Post,0
Action shot,7.0,10,5,2,KAZ,3.0,SHAKENOV M,2 - 10,171,KAZ,2:51,Saved,0
Extra player shot,7.0,11,5,2,KAZ,3.0,BARROSO MACARRO A,2 - 11,133,ESP,2:13,Goal,1
5m shot,2.0,11,5,2,KAZ,3.0,MEDVEDEV Y,2 - 11,104,KAZ,1:44,Saved,0
Penalty shot,3.0,11,5,2,KAZ,3.0,GRANADOS ORTEGA A,2 - 11,80,ESP,1:20,Saved,0
Extra player shot,10.0,12,5,2,KAZ,3.0,FERNANDEZ MIRANDA,2 - 12,52,ESP,0:52,Goal,1
5m shot,2.0,12,5,2,KAZ,3.0,MEDVEDEV Y,2 - 12,23,KAZ,0:23,Saved,0
Penalty shot,7.0,12,5,3,KAZ,4.0,SHAKENOV M,3 - 12,427,KAZ,7:07,Goal,1
Extra player shot,7.0,13,5,3,KAZ,4.0,BARROSO MACARRO A,3 - 13,380,ESP,6:20,Goal,1
5m shot,9.0,13,5,3,KAZ,4.0,UKUMANOV R,3 - 13,354,KAZ,5:54,Blocked,0
Action shot,7.0,13,5,4,KAZ,4.0,SHAKENOV M,4 - 13,336,KAZ,5:36,Goal,1
5m shot,5.0,13,5,4,KAZ,4.0,BUSTOS SANCHEZ A,4 - 13,307,ESP,5:07,Blocked,0
Extra player shot,7.0,14,5,4,KAZ,4.0,BARROSO MACARRO A,4 - 14,284,ESP,4:44,Goal,1
Action shot,2.0,15,5,4,KAZ,4.0,MUNARRIZ EGANA A,4 - 15,255,ESP,4:15,Goal,1
5m shot,4.0,15,5,5,KAZ,4.0,PILIPENKO R,5 - 15,229,KAZ,3:49,Goal,1
5m shot,2.0,15,5,5,KAZ,4.0,MEDVEDEV Y,5 - 15,171,KAZ,2:51,Saved,0
5m shot,2.0,15,5,5,KAZ,4.0,MUNARRIZ EGANA A,5 - 15,147,ESP,2:27,Saved,0
5m shot,2.0,16,5,5,KAZ,4.0,MUNARRIZ EGANA A,5 - 16,125,ESP,2:05,Goal,1
Action shot,4.0,17,5,5,KAZ,4.0,del TORO M,5 - 17,89,ESP,1:29,Goal,1
5m shot,7.0,17,5,6,KAZ,4.0,SHAKENOV M,6 - 17,25,KAZ,0:25,Goal,1
5m shot,7.0,18,5,6,KAZ,4.0,BARROSO MACARRO A,6 - 18,4,ESP,0:04,Goal,1
5m shot,2.0,18,5,6,KAZ,4.0,MEDVEDEV Y,6 - 18,1,KAZ,0:01,Missed,0
Centre shot,2.0,0,6,0,JPN,1.0,MUNARRIZ EGANA A,0 - 0,434,ESP,7:14,Saved,0
