Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,3.0,13,6,10,JPN,4.0,GRANADOS ORTEGA A,10 - 13,169,ESP,2:49
Turnover foul,12.0,13,6,10,JPN,4.0,GUTIERREZ SANTIAGO,10 - 13,150,ESP,2:30
Penalty foul,12.0,13,6,10,JPN,4.0,GUTIERREZ SANTIAGO,10 - 13,137,ESP,2:17
Penalty shot - Goal,2.0,13,6,11,JPN,4.0,ADACHI S,11 - 13,137,JPN,2:17
Time-Out,,13,6,11,JPN,2.0,,11 - 13,145,ESP,2:25
Centre shot - Goal,9.0,6,6,4,JPN,2.0,TAHULL COMPTE R,4 - 6,125,ESP,2:05
Penalty foul,2.0,6,6,4,JPN,2.0,MUNARRIZ EGANA A,4 - 6,108,ESP,1:48
Penalty shot - Goal,2.0,6,6,5,JPN,2.0,ADACHI S,5 - 6,108,JPN,1:48
Centre shot - Saved,12.0,6,6,5,JPN,2.0,GUTIERREZ SANTIAGO,5 - 6,90,ESP,1:30
Turnover foul,2.0,6,6,5,JPN,2.0,ADACHI S,5 - 6,64,JPN,1:04
Steal,7.0,6,6,5,JPN,2.0,BARROSO MACARRO A,5 - 6,64,ESP,1:04
20 sec. exclusion in centre,8.0,6,6,5,JPN,2.0,TAKATA M,5 - 6,48,JPN,0:48
Extra player shot - Goal,11.0,7,6,5,JPN,2.0,MALLARACH GUELL B,5 - 7,35,ESP,0:35
Centre shot - Blocked,7.0,7,6,5,JPN,2.0,SHIMIZU Y,5 - 7,8,JPN,0:08
Action shot - Goal,9.0,7,6,6,JPN,2.0,ARAI A,6 - 7,6,JPN,0:06
5m shot - Missed,5.0,7,6,6,JPN,2.0,BUSTOS SANCHEZ A,6 - 7,1,ESP,0:01
Starting goalkeeper,1.0,7,6,6,JPN,3.0,TANAMURA K,6 - 7,480,JPN,8:00
Starting goalkeeper,13.0,7,6,6,JPN,3.0,MOTOS MARTIN J,6 - 7,480,ESP,8:00
Sprint won possession,2.0,7,6,6,JPN,3.0,ADACHI S,6 - 7,480,JPN,8:00
Turnover foul,9.0,7,6,6,JPN,3.0,ARAI A,6 - 7,448,JPN,7:28
Steal,2.0,7,6,6,JPN,3.0,MUNARRIZ EGANA A,6 - 7,448,ESP,7:28
20 sec. exclusion in centre,4.0,7,6,6,JPN,3.0,SHIGA M,6 - 7,430,JPN,7:10
Extra player shot - Goal,12.0,8,6,6,JPN,3.0,GUTIERREZ SANTIAGO,6 - 8,429,ESP,7:09
