Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,11.0,5,6,3,CAN,2.0,GUAL ROVIROSA A,3 - 5,179,ESP,2:59,Blocked,0
Action shot,11.0,5,6,3,CAN,2.0,GUAL ROVIROSA A,3 - 5,166,ESP,2:46,Saved,0
Action shot,4.0,5,6,3,CAN,2.0,WRIGHT E,3 - 5,138,CAN,2:18,Saved,0
Action shot,12.0,6,6,3,CAN,2.0,LEITON ARRONES P,3 - 6,106,ESP,1:46,Goal,1
Action shot,7.0,6,6,3,CAN,2.0,BEKHAZI J,3 - 6,88,CAN,1:28,Saved,0
Action shot,12.0,6,6,4,CAN,2.0,FOURNIER S,4 - 6,47,CAN,0:47,Goal,1
Action shot,11.0,7,6,4,CAN,2.0,GUAL ROVIROSA A,4 - 7,22,ESP,0:22,Goal,1
5m shot,12.0,7,6,4,CAN,2.0,FOURNIER S,4 - 7,1,CAN,0:01,Saved,0
Action shot,11.0,8,6,4,CAN,3.0,GUAL ROVIROSA A,4 - 8,456,ESP,7:36,Goal,1
Action shot,4.0,8,6,5,CAN,3.0,WRIGHT E,5 - 8,431,CAN,7:11,Goal,1
Action shot,2.0,9,6,5,CAN,3.0,BACH PASCUAL M,5 - 9,407,ESP,6:47,Goal,1
Action shot,6.0,9,6,5,CAN,3.0,LLORET GOMEZ H,5 - 9,336,ESP,5:36,Post,0
Action shot,10.0,9,6,5,CAN,3.0,ROBINSON C,5 - 9,310,CAN,5:10,Post,0
Centre shot,2.0,9,6,5,CAN,3.0,ALOGBO K,5 - 9,285,CAN,4:45,Saved,0
Action shot,3.0,9,6,5,CAN,3.0,ESPAR LLAQUET A,5 - 9,210,ESP,3:30,Blocked,0
Extra player shot,12.0,9,6,6,CAN,3.0,FOURNIER S,6 - 9,184,CAN,3:04,Goal,1
5m shot,4.0,9,6,6,CAN,3.0,ORTIZ MUNOZ B,6 - 9,163,ESP,2:43,Saved,0
Action shot,12.0,9,6,6,CAN,3.0,LEITON ARRONES P,6 - 9,148,ESP,2:28,Saved,0
Action shot,3.0,9,6,6,CAN,3.0,ESPAR LLAQUET A,6 - 9,59,ESP,0:59,Blocked,0
Action shot,7.0,9,6,6,CAN,3.0,BEKHAZI J,6 - 9,9,CAN,0:09,Saved,0
5m shot,9.0,9,6,6,CAN,3.0,FORCA ARIZA J,6 - 9,4,ESP,0:04,Saved,0
Action shot,12.0,9,6,7,CAN,4.0,FOURNIER S,7 - 9,453,CAN,7:33,Goal,1
Action shot,11.0,10,6,7,CAN,4.0,GUAL ROVIROSA A,7 - 10,414,ESP,6:54,Goal,1
5m shot,12.0,10,6,7,CAN,4.0,FOURNIER S,7 - 10,343,CAN,5:43,Missed,0
Action shot,6.0,10,6,8,CAN,4.0,CHRISTMAS K,8 - 10,298,CAN,4:58,Goal,1
Centre shot,12.0,10,6,8,CAN,4.0,LEITON ARRONES P,8 - 10,245,ESP,4:05,Saved,0
Action shot,5.0,10,6,9,CAN,4.0,EGGENS M,9 - 10,228,CAN,3:48,Goal,1
Extra player shot,4.0,11,6,9,CAN,4.0,ORTIZ MUNOZ B,9 - 11,199,ESP,3:19,Goal,1
5m shot,11.0,11,6,9,CAN,4.0,McKEE K,9 - 11,170,CAN,2:50,Saved,0
Action shot,6.0,11,6,9,CAN,4.0,CHRISTMAS K,9 - 11,155,CAN,2:35,Saved,0
Centre shot,2.0,11,6,9,CAN,4.0,BACH PASCUAL M,9 - 11,125,ESP,2:05,Saved,0
Action shot,12.0,11,6,9,CAN,4.0,FOURNIER S,9 - 11,113,CAN,1:53,Post,0
5m shot,4.0,11,6,9,CAN,4.0,ORTIZ MUNOZ B,9 - 11,87,ESP,1:27,Saved,0
5m shot,6.0,11,6,9,CAN,4.0,CHRISTMAS K,9 - 11,68,CAN,1:08,Missed,0
Centre shot,4.0,12,6,9,CAN,4.0,ORTIZ MUNOZ B,9 - 12,39,ESP,0:39,Goal,1
Penalty shot,6.0,12,6,9,CAN,4.0,CHRISTMAS K,9 - 12,28,CAN,0:28,Saved,0
Action shot,5.0,12,6,9,CAN,4.0,EGGENS M,9 - 12,16,CAN,0:16,Saved,0
Action shot,6.0,12,6,10,CAN,4.0,CHRISTMAS K,10 - 12,3,CAN,0:03,Goal,1
5m shot,4.0,0,7,0,USA,1.0,FATTAL R,0 - 0,426,USA,7:06,Missed,0
Centre shot,8.0,0,7,0,USA,1.0,NEUSHUL K,0 - 0,382,USA,6:22,Post,0
Action shot,8.0,0,7,0,USA,1.0,PENA CARRASCO M,0 - 0,355,ESP,5:55,Saved,0
Extra player shot,4.0,0,7,0,USA,1.0,ORTIZ MUNOZ B,0 - 0,290,ESP,4:50,Saved,0
Action shot,4.0,0,7,0,USA,1.0,ORTIZ MUNOZ B,0 - 0,280,ESP,4:40,Saved,0
Extra player shot,3.0,0,7,1,USA,1.0,SEIDEMANN M,1 - 0,250,USA,4:10,Goal,1
