Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,UZB
Action shot - Missed,5.0,1,11,RUS,3.0,ANTONOVA A,11 - 2,464,RUS,7:44,2
20 sec. exclusion in centre,6.0,1,11,RUS,3.0,MOROZOVA E,11 - 2,426,UZB,7:06,2
Extra player shot - Goal,3.0,1,12,RUS,3.0,PROKOFYEVA E,12 - 2,413,RUS,6:53,2
5m shot - Saved,10.0,1,12,RUS,3.0,ZINUROVA A,12 - 2,388,UZB,6:28,2
5m shot - Saved,12.0,1,12,RUS,3.0,ZELENTSOVA E,12 - 2,368,RUS,6:08,2
Counter attack - Post,7.0,1,12,RUS,3.0,PLYUSOVA N,12 - 2,356,UZB,5:56,2
Counter attack - Goal,3.0,1,13,RUS,3.0,PROKOFYEVA E,13 - 2,339,RUS,5:39,2
Turnover foul,7.0,1,13,RUS,3.0,PLYUSOVA N,13 - 2,320,UZB,5:20,2
Steal,11.0,1,13,RUS,3.0,IVANOVA E,13 - 2,320,RUS,5:20,2
Action shot - Goal,10.0,1,14,RUS,3.0,BELIAEVA O,14 - 2,302,RUS,5:02,2
Centre shot - Saved,3.0,1,14,RUS,3.0,SARANCHA A,14 - 2,272,UZB,4:32,2
5m shot - Post,4.0,1,14,RUS,3.0,KARIMOVA E,14 - 2,248,RUS,4:08,2
Turnover foul,10.0,1,14,RUS,3.0,ZINUROVA A,14 - 2,227,UZB,3:47,2
Steal,10.0,1,14,RUS,3.0,BELIAEVA O,14 - 2,227,RUS,3:47,2
Counter attack - Goal,3.0,1,15,RUS,3.0,PROKOFYEVA E,15 - 2,211,RUS,3:31,2
20 sec. exclusion in field,6.0,1,15,RUS,3.0,BELOVA O,15 - 2,179,RUS,2:59,2
Extra player shot - Goal,9.0,1,15,RUS,3.0,HALIKOVA R,15 - 3,177,UZB,2:57,3
Action shot - Post,11.0,1,15,RUS,3.0,IVANOVA E,15 - 3,156,RUS,2:36,3
20 sec. exclusion in field,11.0,1,15,RUS,3.0,IVANOVA E,15 - 3,146,RUS,2:26,3
Extra player shot - Goal,7.0,1,15,RUS,3.0,PLYUSOVA N,15 - 4,130,UZB,2:10,4
20 sec. exclusion in centre,2.0,1,15,RUS,3.0,DADABAEVA D,15 - 4,110,UZB,1:50,4
Extra player shot - Goal,6.0,1,16,RUS,3.0,BELOVA O,16 - 4,98,RUS,1:38,4
Turnover foul,3.0,1,16,RUS,3.0,SARANCHA A,16 - 4,87,UZB,1:27,4
Steal,6.0,1,16,RUS,3.0,BELOVA O,16 - 4,87,RUS,1:27,4
Turnover foul,8.0,1,16,RUS,3.0,GRINEVA A,16 - 4,67,RUS,1:07,4
Steal,3.0,1,16,RUS,3.0,SARANCHA A,16 - 4,67,UZB,1:07,4
Turnover foul,12.0,1,16,RUS,3.0,PLYUSOVA A,16 - 4,45,UZB,0:45,4
Steal,8.0,1,16,RUS,3.0,GRINEVA A,16 - 4,45,RUS,0:45,4
Turnover foul,9.0,1,16,RUS,3.0,TIMOFEEVA A,16 - 4,37,RUS,0:37,4
Steal,3.0,1,16,RUS,3.0,SARANCHA A,16 - 4,37,UZB,0:37,4
5m shot - Saved,2.0,1,16,RUS,3.0,ANTONOVA D,16 - 4,1,RUS,0:01,4
Starting goalkeeper,1.0,1,16,RUS,4.0,USTYUKHINA A,16 - 4,480,RUS,8:00,4
Starting goalkeeper,1.0,1,16,RUS,4.0,DUKHANOVA E,16 - 4,480,UZB,8:00,4
Sprint won possession,6.0,1,16,RUS,4.0,BELOVA O,16 - 4,480,RUS,8:00,4
Penalty foul,6.0,1,16,RUS,4.0,MOROZOVA E,16 - 4,465,UZB,7:45,4
Penalty shot - Goal,3.0,1,17,RUS,4.0,PROKOFYEVA E,17 - 4,465,RUS,7:45,4
Turnover foul,8.0,1,17,RUS,4.0,SHCHEGLOVA A,17 - 4,450,UZB,7:30,4
Counter attack - Goal,10.0,1,18,RUS,4.0,BELIAEVA O,18 - 4,437,RUS,7:17,4
Turnover foul,5.0,1,18,RUS,4.0,IVANOVA E,18 - 4,418,UZB,6:58,4
Steal,11.0,1,18,RUS,4.0,IVANOVA E,18 - 4,418,RUS,6:58,4
Action shot - Saved,6.0,1,18,RUS,4.0,BELOVA O,18 - 4,399,RUS,6:39,4
Action shot - Post,4.0,1,18,RUS,4.0,KARIMOVA E,18 - 4,397,RUS,6:37,4
Turnover foul,6.0,1,18,RUS,4.0,MOROZOVA E,18 - 4,383,UZB,6:23,4
Counter attack - Post,10.0,1,18,RUS,4.0,BELIAEVA O,18 - 4,370,RUS,6:10,4
Turnover foul,11.0,1,18,RUS,4.0,HAMITOVA G,18 - 4,344,UZB,5:44,4
Starting goalkeeper,1.0,2,0,NED,1.0,van der MEIJDEN I,0 - 0,480,NED,8:00,0
Starting goalkeeper,13.0,2,0,NED,1.0,SHLYONSKAYA N,0 - 0,480,UZB,8:00,0
Sprint won possession,7.0,2,0,NED,1.0,PLYUSOVA N,0 - 0,480,UZB,8:00,0
Turnover foul,3.0,2,0,NED,1.0,SARANCHA A,0 - 0,453,UZB,7:33,0
5m shot - Goal,11.0,2,1,NED,1.0,KLAASSEN L,0 - 1,440,NED,7:20,0
Turnover foul,10.0,2,1,NED,1.0,ZINUROVA A,0 - 1,419,UZB,6:59,0
Steal,2.0,2,1,NED,1.0,SMIT Y,0 - 1,419,NED,6:59,0
5m shot - Goal,7.0,2,2,NED,1.0,van BELKUM I,0 - 2,394,NED,6:34,0
Penalty foul,11.0,2,2,NED,1.0,KLAASSEN L,0 - 2,382,NED,6:22,0
Penalty shot - Goal,3.0,2,2,NED,1.0,SARANCHA A,1 - 2,382,UZB,6:22,1
5m shot - Goal,10.0,2,3,NED,1.0,GENEE D,1 - 3,364,NED,6:04,1
Turnover foul,8.0,2,3,NED,1.0,SHCHEGLOVA A,1 - 3,349,UZB,5:49,1
Steal,5.0,2,3,NED,1.0,van der SLOOT S,1 - 3,349,NED,5:49,1
20 sec. exclusion in centre,2.0,2,3,NED,1.0,DADABAEVA D,1 - 3,337,UZB,5:37,1
Extra player shot - Goal,9.0,2,4,NED,1.0,SLAGTER C,1 - 4,332,NED,5:32,1
Turnover foul,3.0,2,4,NED,1.0,SARANCHA A,1 - 4,307,UZB,5:07,1
Steal,12.0,2,4,NED,1.0,van der MOLEN l,1 - 4,307,NED,5:07,1
Centre shot - Goal,2.0,2,5,NED,1.0,SMIT Y,1 - 5,293,NED,4:53,1
Goalkeeper substitution,1.0,2,5,NED,1.0,DUKHANOVA E,1 - 5,293,UZB,4:53,1
Centre shot - Goal,12.0,2,6,NED,1.0,van der MOLEN l,1 - 6,249,NED,4:09,1
Turnover foul,5.0,2,6,NED,1.0,IVANOVA E,1 - 6,226,UZB,3:46,1
Steal,9.0,2,6,NED,1.0,SLAGTER C,1 - 6,226,NED,3:46,1
Centre shot - Saved,8.0,2,6,NED,1.0,SEVENICH V,1 - 6,210,NED,3:30,1
Centre shot - Goal,8.0,2,7,NED,1.0,SEVENICH V,1 - 7,165,NED,2:45,1
20 sec. exclusion in field,5.0,2,7,NED,1.0,van der SLOOT S,1 - 7,151,NED,2:31,1
Turnover foul,5.0,2,7,NED,1.0,IVANOVA E,1 - 7,132,UZB,2:12,1
Counter attack - Post,8.0,2,7,NED,1.0,SEVENICH V,1 - 7,121,NED,2:01,1
Action shot - Blocked,7.0,2,7,NED,1.0,PLYUSOVA N,1 - 7,94,UZB,1:34,1
5m shot - Post,2.0,2,7,NED,1.0,SMIT Y,1 - 7,76,NED,1:16,1
5m shot - Saved,7.0,2,7,NED,1.0,PLYUSOVA N,1 - 7,49,UZB,0:49,1
5m shot - Saved,9.0,2,7,NED,1.0,SLAGTER C,1 - 7,24,NED,0:24,1
Turnover foul,10.0,2,7,NED,1.0,ZINUROVA A,1 - 7,7,UZB,0:07,1
Steal,6.0,2,7,NED,1.0,STOMPHORST N,1 - 7,7,NED,0:07,1
Centre shot - Post,8.0,2,7,NED,1.0,SEVENICH V,1 - 7,4,NED,0:04,1
Starting goalkeeper,1.0,2,7,NED,2.0,van der MEIJDEN I,1 - 7,480,NED,8:00,1
Starting goalkeeper,1.0,2,7,NED,2.0,DUKHANOVA E,1 - 7,480,UZB,8:00,1
Sprint won possession,7.0,2,7,NED,2.0,van BELKUM I,1 - 7,480,NED,8:00,1
Centre shot - Goal,12.0,2,8,NED,2.0,van der MOLEN l,1 - 8,453,NED,7:33,1
5m shot - Saved,7.0,2,8,NED,2.0,van BELKUM I,1 - 8,414,NED,6:54,1
20 sec. exclusion in centre,2.0,2,8,NED,2.0,DADABAEVA D,1 - 8,401,UZB,6:41,1
Extra player shot - Post,5.0,2,8,NED,2.0,van der SLOOT S,1 - 8,386,NED,6:26,1
Action shot - Post,5.0,2,8,NED,2.0,van der SLOOT S,1 - 8,376,NED,6:16,1
Turnover foul,3.0,2,8,NED,2.0,SARANCHA A,1 - 8,353,UZB,5:53,1
Centre shot - Goal,12.0,2,9,NED,2.0,van der MOLEN l,1 - 9,336,NED,5:36,1
Turnover foul,9.0,2,9,NED,2.0,HALIKOVA R,1 - 9,311,UZB,5:11,1
Steal,6.0,2,9,NED,2.0,STOMPHORST N,1 - 9,311,NED,5:11,1
Action shot - Post,4.0,2,9,NED,2.0,HAKHVERDIAN B,1 - 9,295,NED,4:55,1
Turnover foul,3.0,2,9,NED,2.0,SARANCHA A,1 - 9,267,UZB,4:27,1
Action shot - Goal,4.0,2,10,NED,2.0,HAKHVERDIAN B,1 - 10,245,NED,4:05,1
Turnover foul,9.0,2,10,NED,2.0,HALIKOVA R,1 - 10,222,UZB,3:42,1
Steal,5.0,2,10,NED,2.0,van der SLOOT S,1 - 10,222,NED,3:42,1
Action shot - Saved,9.0,2,10,NED,2.0,SLAGTER C,1 - 10,211,NED,3:31,1
Centre shot - Goal,3.0,2,11,NED,2.0,NIJHUIS M,1 - 11,194,NED,3:14,1
Turnover foul,10.0,2,11,NED,2.0,ZINUROVA A,1 - 11,171,UZB,2:51,1
Action shot - Goal,9.0,2,12,NED,2.0,SLAGTER C,1 - 12,162,NED,2:42,1
5m shot - Missed,7.0,2,12,NED,2.0,PLYUSOVA N,1 - 12,134,UZB,2:14,1
Action shot - Goal,9.0,2,13,NED,2.0,SLAGTER C,1 - 13,123,NED,2:03,1
Turnover foul,9.0,2,13,NED,2.0,HALIKOVA R,1 - 13,97,UZB,1:37,1
Steal,8.0,2,13,NED,2.0,SEVENICH V,1 - 13,97,NED,1:37,1
Action shot - Goal,7.0,2,14,NED,2.0,van BELKUM I,1 - 14,89,NED,1:29,1
Turnover foul,3.0,2,14,NED,2.0,SARANCHA A,1 - 14,68,UZB,1:08,1
Steal,10.0,2,14,NED,2.0,GENEE D,1 - 14,68,NED,1:08,1
Action shot - Goal,10.0,2,15,NED,2.0,GENEE D,1 - 15,51,NED,0:51,1
Turnover foul,6.0,2,15,NED,4.0,MOROZOVA E,1 - 15,22,UZB,0:22,1
Steal,7.0,2,15,NED,4.0,van BELKUM I,1 - 15,22,NED,0:22,1
5m shot - Saved,9.0,2,15,NED,2.0,HALIKOVA R,1 - 15,26,UZB,0:26,1
Action shot - Goal,5.0,2,16,NED,2.0,van der SLOOT S,1 - 16,12,NED,0:12,1
Starting goalkeeper,13.0,2,16,NED,3.0,HEINIS A,1 - 16,480,NED,8:00,1
Starting goalkeeper,1.0,2,16,NED,3.0,DUKHANOVA E,1 - 16,480,UZB,8:00,1
Sprint won possession,3.0,2,16,NED,3.0,SARANCHA A,1 - 16,480,UZB,8:00,1
Turnover foul,4.0,2,16,NED,3.0,DJUMALIEVA A,1 - 16,457,UZB,7:37,1
20 sec. exclusion in centre,6.0,2,16,NED,3.0,MOROZOVA E,1 - 16,436,UZB,7:16,1
Extra player shot - Goal,11.0,2,17,NED,3.0,KLAASSEN L,1 - 17,423,NED,7:03,1
20 sec. exclusion in field,2.0,2,17,NED,3.0,SMIT Y,1 - 17,401,NED,6:41,1
Extra player shot - Post,7.0,2,17,NED,3.0,PLYUSOVA N,1 - 17,384,UZB,6:24,1
Action shot - Goal,7.0,2,17,NED,3.0,PLYUSOVA N,2 - 17,380,UZB,6:20,2
Action shot - Post,5.0,2,17,NED,3.0,van der SLOOT S,2 - 17,359,NED,5:59,2
Centre shot - Saved,3.0,2,17,NED,3.0,SARANCHA A,2 - 17,346,UZB,5:46,2
Turnover foul,10.0,2,17,NED,3.0,ZINUROVA A,2 - 17,341,UZB,5:41,2
Steal,2.0,2,17,NED,3.0,SMIT Y,2 - 17,341,NED,5:41,2
Turnover foul,11.0,2,17,NED,3.0,KLAASSEN L,2 - 17,330,NED,5:30,2
Steal,10.0,2,17,NED,3.0,ZINUROVA A,2 - 17,330,UZB,5:30,2
5m shot - Saved,10.0,2,17,NED,3.0,ZINUROVA A,2 - 17,304,UZB,5:04,2
Action shot - Post,6.0,2,17,NED,3.0,STOMPHORST N,2 - 17,292,NED,4:52,2
Action shot - Goal,2.0,2,18,NED,3.0,SMIT Y,2 - 18,290,NED,4:50,2
5m shot - Post,10.0,2,18,NED,3.0,ZINUROVA A,2 - 18,267,UZB,4:27,2
5m shot - Missed,11.0,2,18,NED,3.0,KLAASSEN L,2 - 18,245,NED,4:05,2
Action shot - Saved,5.0,2,18,NED,3.0,van der SLOOT S,2 - 18,198,NED,3:18,2
Turnover foul,10.0,2,18,NED,3.0,ZINUROVA A,2 - 18,171,UZB,2:51,2
Action shot - Goal,11.0,2,19,NED,3.0,KLAASSEN L,2 - 19,159,NED,2:39,2
5m shot - Goal,10.0,2,20,NED,3.0,GENEE D,2 - 20,116,NED,1:56,2
Turnover foul,9.0,2,20,NED,3.0,SLAGTER C,2 - 20,104,NED,1:44,2
Turnover foul,3.0,2,20,NED,3.0,SARANCHA A,2 - 20,99,UZB,1:39,2
5m shot - Goal,8.0,2,21,NED,3.0,SEVENICH V,2 - 21,92,NED,1:32,2
Turnover foul,7.0,2,21,NED,3.0,PLYUSOVA N,2 - 21,64,UZB,1:04,2
Steal,3.0,2,21,NED,3.0,NIJHUIS M,2 - 21,64,NED,1:04,2
Action shot - Goal,9.0,2,22,NED,3.0,SLAGTER C,2 - 22,51,NED,0:51,2
20 sec. exclusion in centre,10.0,2,22,NED,3.0,GENEE D,2 - 22,29,NED,0:29,2
Time-Out,,2,22,NED,3.0,,2 - 22,28,UZB,0:28,2
Extra player shot - Post,9.0,2,22,NED,3.0,HALIKOVA R,2 - 22,9,UZB,0:09,2
20 sec. exclusion in field,5.0,2,22,NED,3.0,IVANOVA E,2 - 22,5,UZB,0:05,2
Extra player shot - Saved,2.0,2,22,NED,3.0,SMIT Y,2 - 22,2,NED,0:02,2
Starting goalkeeper,1.0,2,22,NED,4.0,DUKHANOVA E,2 - 22,480,UZB,8:00,2
Starting goalkeeper,13.0,2,22,NED,4.0,HEINIS A,2 - 22,480,NED,8:00,2
Sprint won possession,3.0,2,22,NED,4.0,NIJHUIS M,2 - 22,480,NED,8:00,2
5m shot - Goal,11.0,2,23,NED,4.0,KLAASSEN L,2 - 23,460,NED,7:40,2
Turnover foul,7.0,2,23,NED,4.0,PLYUSOVA N,2 - 23,435,UZB,7:15,2
Centre shot - Missed,8.0,2,23,NED,4.0,SEVENICH V,2 - 23,412,NED,6:52,2
5m shot - Post,2.0,2,23,NED,4.0,DADABAEVA D,2 - 23,384,UZB,6:24,2
Action shot - Goal,4.0,2,24,NED,4.0,HAKHVERDIAN B,2 - 24,367,NED,6:07,2
5m shot - Goal,4.0,2,24,NED,4.0,DJUMALIEVA A,3 - 24,341,UZB,5:41,3
Penalty foul,3.0,2,24,NED,4.0,SARANCHA A,3 - 24,325,UZB,5:25,3
Penalty shot - Goal,11.0,2,25,NED,4.0,KLAASSEN L,3 - 25,325,NED,5:25,3
Centre shot - Missed,3.0,2,25,NED,4.0,SARANCHA A,3 - 25,301,UZB,5:01,3
Action shot - Post,9.0,2,25,NED,4.0,SLAGTER C,3 - 25,290,NED,4:50,3
5m shot - Saved,10.0,2,25,NED,4.0,ZINUROVA A,3 - 25,262,UZB,4:22,3
Action shot - Goal,11.0,2,26,NED,4.0,KLAASSEN L,3 - 26,243,NED,4:03,3
Centre shot - Saved,4.0,2,26,NED,4.0,DJUMALIEVA A,3 - 26,233,UZB,3:53,3
20 sec. exclusion in centre,7.0,2,26,NED,4.0,PLYUSOVA N,3 - 26,205,UZB,3:25,3
Extra player shot - Goal,5.0,2,27,NED,4.0,van der SLOOT S,3 - 27,193,NED,3:13,3
5m shot - Missed,6.0,2,27,NED,4.0,MOROZOVA E,3 - 27,169,UZB,2:49,3
5m shot - Missed,9.0,2,27,NED,4.0,SLAGTER C,3 - 27,161,NED,2:41,3
5m shot - Blocked,3.0,2,27,NED,4.0,SARANCHA A,3 - 27,138,UZB,2:18,3
Action shot - Goal,6.0,2,28,NED,4.0,STOMPHORST N,3 - 28,119,NED,1:59,3
Centre shot - Post,3.0,2,28,NED,4.0,SARANCHA A,3 - 28,100,UZB,1:40,3
Action shot - Goal,8.0,2,29,NED,4.0,SEVENICH V,3 - 29,77,NED,1:17,3
Turnover foul,4.0,2,29,NED,4.0,DJUMALIEVA A,3 - 29,60,UZB,1:00,3
Action shot - Post,10.0,2,29,NED,4.0,GENEE D,3 - 29,48,NED,0:48,3
Action shot - Goal,5.0,2,30,NED,4.0,van der SLOOT S,3 - 30,6,NED,0:06,3
Starting goalkeeper,1.0,3,0,ESP,1.0,ESTER L,0 - 0,480,ESP,8:00,0
Starting goalkeeper,1.0,3,0,ESP,1.0,DUKHANOVA E,0 - 0,480,UZB,8:00,0
Sprint won possession,6.0,3,0,ESP,1.0,PAREJA J,0 - 0,480,ESP,8:00,0
Penalty foul,3.0,3,0,ESP,1.0,SARANCHA A,0 - 0,468,UZB,7:48,0
Penalty shot - Goal,6.0,3,1,ESP,1.0,PAREJA J,1 - 0,468,ESP,7:48,0
Action shot - Missed,10.0,3,1,ESP,1.0,ZINUROVA A,1 - 0,444,UZB,7:24,0
Action shot - Goal,8.0,3,2,ESP,1.0,PENA P,2 - 0,429,ESP,7:09,0
Turnover foul,10.0,3,2,ESP,1.0,ZINUROVA A,2 - 0,401,UZB,6:41,0
Action shot - Blocked,3.0,3,2,ESP,1.0,ESPAR A,2 - 0,385,ESP,6:25,0
20 sec. exclusion in field,6.0,3,2,ESP,1.0,PAREJA J,2 - 0,361,ESP,6:01,0
Action shot - Goal,9.0,3,2,ESP,1.0,HALIKOVA R,2 - 1,340,UZB,5:40,1
Centre shot - Goal,9.0,3,3,ESP,1.0,BLAS A,3 - 1,329,ESP,5:29,1
Centre shot - Saved,3.0,3,3,ESP,1.0,SARANCHA A,3 - 1,315,UZB,5:15,1
Counter attack - Goal,6.0,3,4,ESP,1.0,PAREJA J,4 - 1,305,ESP,5:05,1
Turnover foul,9.0,3,4,ESP,1.0,HALIKOVA R,4 - 1,291,UZB,4:51,1
Turnover foul,5.0,3,4,ESP,1.0,ORTIZ M,4 - 1,277,ESP,4:37,1
Steal,9.0,3,4,ESP,1.0,HALIKOVA R,4 - 1,277,UZB,4:37,1
Turnover foul,9.0,3,4,ESP,1.0,HALIKOVA R,4 - 1,258,UZB,4:18,1
Steal,9.0,3,4,ESP,1.0,BLAS A,4 - 1,258,ESP,4:18,1
Counter attack - Saved,2.0,3,4,ESP,1.0,BACH M,4 - 1,245,ESP,4:05,1
Turnover foul,9.0,3,4,ESP,1.0,HALIKOVA R,4 - 1,216,UZB,3:36,1
