Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,2.0,2,3,2,BRA,2.0,SHEPELINA N,3 - 2,383,KAZ,6:23,Post,0
Action shot,3.0,2,3,2,BRA,2.0,AKILBAYEVA A,3 - 2,339,KAZ,5:39,Saved,0
Centre shot,3.0,2,3,2,BRA,2.0,ZABLITH M,3 - 2,318,BRA,5:18,Saved,0
Extra player shot,2.0,2,4,2,BRA,2.0,SHEPELINA N,4 - 2,223,KAZ,3:43,Goal,1
5m shot,10.0,2,4,2,BRA,2.0,VIGNA F,4 - 2,163,BRA,2:43,Saved,0
Centre shot,4.0,2,5,2,BRA,2.0,TUROVA A,5 - 2,98,KAZ,1:38,Goal,1
Counter attack,8.0,2,9,5,BRA,4.0,CHIAPPINI I,9 - 5,176,BRA,2:56,Goal,1
Action shot,3.0,2,9,5,BRA,4.0,AKILBAYEVA A,9 - 5,109,KAZ,1:49,Saved,0
Action shot,4.0,2,9,5,BRA,2.0,CANETTI M,9 - 5,23,BRA,0:23,Post,0
5m shot,3.0,2,9,5,BRA,2.0,AKILBAYEVA A,9 - 5,2,KAZ,0:02,Saved,0
5m shot,7.0,2,9,5,BRA,3.0,DIAS M,9 - 5,453,BRA,7:33,Missed,0
Penalty shot,11.0,2,9,5,BRA,3.0,COUTINHO M,9 - 5,433,BRA,7:13,Missed,0
Extra player shot,2.0,2,9,5,BRA,3.0,SHEPELINA N,9 - 5,410,KAZ,6:50,Post,0
Centre shot,9.0,2,6,2,BRA,3.0,JAKAYEVA A,6 - 2,400,KAZ,6:40,Goal,1
Centre shot,9.0,2,6,2,BRA,3.0,JAKAYEVA A,6 - 2,351,KAZ,5:51,Post,0
Extra player shot,8.0,2,6,2,BRA,3.0,CHIAPPINI I,6 - 2,323,BRA,5:23,Saved,0
Action shot,10.0,2,7,2,BRA,3.0,GRITSENKO M,7 - 2,280,KAZ,4:40,Goal,1
Action shot,8.0,2,7,2,BRA,3.0,CHIAPPINI I,7 - 2,250,BRA,4:10,Blocked,0
5m shot,10.0,2,7,2,BRA,3.0,GRITSENKO M,7 - 2,224,KAZ,3:44,Missed,0
Action shot,2.0,2,7,2,BRA,3.0,SHEPELINA N,7 - 2,180,KAZ,3:00,Post,0
Action shot,8.0,2,7,2,BRA,3.0,CHIAPPINI I,7 - 2,140,BRA,2:20,Blocked,0
Action shot,10.0,2,7,2,BRA,4.0,GRITSENKO M,7 - 2,442,KAZ,7:22,Post,0
Centre shot,8.0,2,8,2,BRA,4.0,GLUSHKOVA Y,8 - 2,441,KAZ,7:21,Goal,1
5m shot,10.0,2,8,2,BRA,4.0,VIGNA F,8 - 2,417,BRA,6:57,Saved,0
Action shot,3.0,2,9,2,BRA,4.0,AKILBAYEVA A,9 - 2,392,KAZ,6:32,Goal,1
Extra player shot,8.0,2,9,3,BRA,4.0,CHIAPPINI I,9 - 3,370,BRA,6:10,Goal,1
Action shot,8.0,2,9,3,BRA,4.0,CHIAPPINI I,9 - 3,320,BRA,5:20,Saved,0
Action shot,10.0,2,9,3,BRA,4.0,GRITSENKO M,9 - 3,292,KAZ,4:52,Blocked,0
Centre shot,3.0,2,9,3,BRA,4.0,ZABLITH M,9 - 3,265,BRA,4:25,Post,0
Extra player shot,8.0,2,9,4,BRA,4.0,CHIAPPINI I,9 - 4,210,BRA,3:30,Goal,1
Centre shot,3.0,2,9,4,BRA,4.0,AKILBAYEVA A,9 - 4,188,KAZ,3:08,Saved,0
Extra player shot,12.0,2,9,4,BRA,4.0,MUSSAROVA A,9 - 4,35,KAZ,0:35,Saved,0
Centre shot,2.0,2,9,4,BRA,4.0,ABLA D,9 - 4,3,BRA,0:03,Missed,0
5m shot,1.0,2,9,4,BRA,4.0,ZHARKOVA A,9 - 4,1,KAZ,0:01,Saved,0
Centre shot,9.0,3,0,1,HUN,1.0,TOTH I,1 - 0,433,HUN,7:13,Goal,1
Counter attack,8.0,3,0,2,HUN,1.0,KESZTHELYI R,2 - 0,404,HUN,6:44,Goal,1
Action shot,7.0,3,0,2,HUN,1.0,ALEXANDROVA N,2 - 0,366,KAZ,6:06,Blocked,0
Action shot,5.0,3,0,2,HUN,1.0,SZUCS G,2 - 0,335,HUN,5:35,Post,0
Centre shot,9.0,3,1,2,HUN,1.0,JAKAYEVA A,2 - 1,316,KAZ,5:16,Goal,1
Centre shot,6.0,3,1,3,HUN,1.0,TAKACS O,3 - 1,295,HUN,4:55,Goal,1
Action shot,6.0,3,1,3,HUN,1.0,ZUBKOVA A,3 - 1,252,KAZ,4:12,Saved,0
Penalty shot,10.0,3,1,4,HUN,1.0,BUJKA B,4 - 1,231,HUN,3:51,Goal,1
Counter attack,8.0,3,1,5,HUN,1.0,KESZTHELYI R,5 - 1,201,HUN,3:21,Goal,1
Action shot,7.0,3,1,5,HUN,1.0,ALEXANDROVA N,5 - 1,173,KAZ,2:53,Missed,0
Counter attack,3.0,3,1,6,HUN,1.0,ANTAL D,6 - 1,159,HUN,2:39,Goal,1
Action shot,10.0,3,1,6,HUN,1.0,GRITSENKO M,6 - 1,130,KAZ,2:10,Saved,0
Counter attack,10.0,3,1,7,HUN,1.0,BUJKA B,7 - 1,120,HUN,2:00,Goal,1
5m shot,4.0,3,1,7,HUN,1.0,TUROVA A,7 - 1,100,KAZ,1:40,Blocked,0
Counter attack,12.0,3,1,8,HUN,1.0,MENCZINGER K,8 - 1,90,HUN,1:30,Goal,1
Extra player shot,8.0,3,1,8,HUN,1.0,KESZTHELYI R,8 - 1,41,HUN,0:41,Saved,0
Action shot,7.0,3,1,8,HUN,2.0,MISKOLCZI I,8 - 1,456,HUN,7:36,Post,0
Action shot,9.0,3,1,8,HUN,2.0,JAKAYEVA A,8 - 1,431,KAZ,7:11,Saved,0
