Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Exclusion with substitution,4.0,1,6,8,ITA,4.0,RADICCHI F,8 - 6,288,ITA,4:48
Extra player shot - Saved,3.0,1,6,8,ITA,4.0,AKILBAYEVA A,8 - 6,266,KAZ,4:26
5m shot - Missed,7.0,1,6,8,ITA,4.0,di MARIO T,8 - 6,243,ITA,4:03
20 sec. exclusion in field,7.0,1,6,8,ITA,4.0,di MARIO T,8 - 6,241,ITA,4:01
Action shot - Blocked,9.0,1,6,8,ITA,4.0,JAKAYEVA A,8 - 6,210,KAZ,3:30
20 sec. exclusion in field,7.0,1,6,8,ITA,4.0,ALEXANDROVA N,8 - 6,210,KAZ,3:30
Time-Out,,1,6,8,ITA,4.0,,8 - 6,210,ITA,3:30
20 sec. exclusion in field,2.0,1,6,8,ITA,4.0,SHEPELINA N,8 - 6,199,KAZ,3:19
Double exclusion,8.0,1,6,8,ITA,4.0,BIANCONI R,8 - 6,46,ITA,0:46
Exclusion with substitution,8.0,1,6,8,ITA,4.0,BIANCONI R,8 - 6,46,ITA,0:46
20 sec. exclusion in field,7.0,1,6,8,ITA,4.0,di MARIO T,8 - 6,36,ITA,0:36
Exclusion with substitution,7.0,1,6,8,ITA,4.0,di MARIO T,8 - 6,36,ITA,0:36
Extra player shot - Goal,3.0,1,7,9,ITA,4.0,AKILBAYEVA A,9 - 7,23,KAZ,0:23
Action shot - Post,12.0,1,7,9,ITA,4.0,FRASSINETTI T,9 - 7,11,ITA,0:11
Action shot - Missed,9.0,1,7,9,ITA,4.0,JAKAYEVA A,9 - 7,2,KAZ,0:02
Starting goalkeeper,1.0,2,0,0,BRA,1.0,CANETTI M,0 - 0,480,BRA,8:00
Starting goalkeeper,1.0,2,0,0,BRA,1.0,ZHARKOVA A,0 - 0,480,KAZ,8:00
Sprint won possession,3.0,2,0,0,BRA,1.0,ZABLITH M,0 - 0,480,BRA,8:00
5m shot - Post,8.0,2,0,0,BRA,1.0,CHIAPPINI I,0 - 0,452,BRA,7:32
20 sec. exclusion in field,8.0,2,0,0,BRA,1.0,CHIAPPINI I,0 - 0,437,BRA,7:17
Extra player shot - Goal,7.0,2,1,0,BRA,1.0,ALEXANDROVA N,1 - 0,419,KAZ,6:59
Turnover foul,3.0,2,1,0,BRA,1.0,ZABLITH M,1 - 0,400,BRA,6:40
Steal,9.0,2,1,0,BRA,1.0,JAKAYEVA A,1 - 0,400,KAZ,6:40
Turnover foul,9.0,2,1,0,BRA,1.0,JAKAYEVA A,1 - 0,384,KAZ,6:24
Steal,1.0,2,1,0,BRA,1.0,CANETTI M,1 - 0,384,BRA,6:24
Action shot - Saved,11.0,2,1,0,BRA,1.0,COUTINHO M,1 - 0,368,BRA,6:08
20 sec. exclusion in field,10.0,2,1,0,BRA,1.0,GRITSENKO M,1 - 0,358,KAZ,5:58
Turnover foul,10.0,2,1,0,BRA,1.0,VIGNA F,1 - 0,334,BRA,5:34
