Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
20 sec. exclusion in centre,3.0,2,2,NZL,1.0,PALEY K,1,2 - 1,68,RSA,1:08
Time-Out,,2,2,NZL,1.0,,1,2 - 1,68,NZL,1:08
Starting goalkeeper,1.0,2,2,NZL,2.0,MILICICH J,1,2 - 1,480,NZL,8:00
Starting goalkeeper,1.0,2,2,NZL,2.0,THOMAS R,1,2 - 1,480,RSA,8:00
Sprint won possession,6.0,2,2,NZL,2.0,HALLENDORFF A,1,2 - 1,480,RSA,8:00
Action shot - Saved,12.0,2,2,NZL,2.0,WHITE K,1,2 - 1,451,RSA,7:31
20 sec. exclusion in centre,3.0,2,2,NZL,2.0,MASON K,1,2 - 1,436,NZL,7:16
Extra player shot - Goal,2.0,2,2,NZL,2.0,PENNEY A,2,2 - 2,418,RSA,6:58
20 sec. exclusion in centre,2.0,2,2,NZL,2.0,PENNEY A,2,2 - 2,406,RSA,6:46
Extra player shot - Blocked,12.0,2,2,NZL,2.0,PYE B,2,2 - 2,389,NZL,6:29
5m shot - Goal,11.0,2,2,NZL,2.0,BARRETT N,3,2 - 3,360,RSA,6:00
Turnover foul,11.0,2,2,NZL,2.0,HUDSON K,3,2 - 3,331,NZL,5:31
Steal,3.0,2,2,NZL,2.0,PALEY K,3,2 - 3,331,RSA,5:31
Turnover foul,5.0,2,2,NZL,2.0,SCHOOLING M,3,2 - 3,313,RSA,5:13
20 sec. exclusion in centre,12.0,2,2,NZL,2.0,WHITE K,3,2 - 3,306,RSA,5:06
Extra player shot - Goal,3.0,2,3,NZL,2.0,MASON K,3,3 - 3,296,NZL,4:56
20 sec. exclusion in centre,6.0,2,3,NZL,2.0,DOYLE B,3,3 - 3,277,NZL,4:37
Centre shot - Saved,7.0,2,3,NZL,2.0,WESSELS C,3,3 - 3,261,RSA,4:21
Steal,7.0,2,3,NZL,2.0,WESSELS C,3,3 - 3,252,RSA,4:12
Turnover foul,8.0,2,3,NZL,2.0,LOPES da SILVA C,3,3 - 3,239,NZL,3:59
Time-Out,,2,3,NZL,2.0,,3,3 - 3,239,RSA,3:59
Turnover foul,9.0,2,3,NZL,2.0,STONEMAN E,3,3 - 3,207,NZL,3:27
Turnover foul,9.0,2,3,NZL,2.0,SMIT Z,3,3 - 3,196,RSA,3:16
Centre shot - Saved,7.0,2,3,NZL,2.0,HOUGHTON E,3,3 - 3,180,NZL,3:00
20 sec. exclusion in centre,6.0,2,3,NZL,2.0,HALLENDORFF A,3,3 - 3,167,RSA,2:47
Centre shot - Saved,4.0,2,3,NZL,2.0,FERIGO R,3,3 - 3,151,NZL,2:31
Centre shot - Saved,10.0,2,3,NZL,2.0,BOWRY C,3,3 - 3,126,NZL,2:06
Double exclusion,10.0,2,3,NZL,2.0,MANSON M,3,3 - 3,106,RSA,1:46
Double exclusion,10.0,2,3,NZL,2.0,BOWRY C,3,3 - 3,106,NZL,1:46
Turnover foul,2.0,2,3,NZL,2.0,PENNEY A,3,3 - 3,83,RSA,1:23
Steal,4.0,2,3,NZL,2.0,FERIGO R,3,3 - 3,83,NZL,1:23
Turnover foul,4.0,2,3,NZL,2.0,FERIGO R,3,3 - 3,72,NZL,1:12
Steal,12.0,2,3,NZL,4.0,PYE B,3,3 - 3,97,NZL,1:37
5m shot - Goal,3.0,2,7,NZL,4.0,MASON K,6,7 - 6,88,NZL,1:28
Turnover foul,11.0,2,7,NZL,4.0,HUDSON K,6,7 - 6,54,NZL,0:54
Steal,12.0,2,7,NZL,4.0,WHITE K,6,7 - 6,54,RSA,0:54
Steal,3.0,2,7,NZL,2.0,PALEY K,6,7 - 6,72,RSA,1:12
5m shot - Post,3.0,2,7,NZL,2.0,MASON K,6,7 - 6,50,NZL,0:50
5m shot - Blocked,2.0,2,7,NZL,2.0,PENNEY A,6,7 - 6,19,RSA,0:19
Time-Out,,2,7,NZL,2.0,,6,7 - 6,19,NZL,0:19
5m shot - Saved,8.0,2,7,NZL,2.0,LOPES da SILVA C,6,7 - 6,1,NZL,0:01
Starting goalkeeper,1.0,2,7,NZL,3.0,MILICICH J,6,7 - 6,480,NZL,8:00
Starting goalkeeper,1.0,2,7,NZL,3.0,THOMAS R,6,7 - 6,480,RSA,8:00
Sprint won possession,6.0,2,7,NZL,3.0,HALLENDORFF A,6,7 - 6,480,RSA,8:00
Turnover foul,4.0,2,7,NZL,3.0,FAULMANN S,6,7 - 6,451,RSA,7:31
Steal,1.0,2,7,NZL,3.0,MILICICH J,6,7 - 6,451,NZL,7:31
20 sec. exclusion in centre,6.0,2,7,NZL,3.0,HALLENDORFF A,6,7 - 6,427,RSA,7:07
Action shot - Saved,8.0,2,7,NZL,3.0,LOPES da SILVA C,6,7 - 6,409,NZL,6:49
Turnover foul,12.0,2,7,NZL,3.0,WHITE K,6,7 - 6,380,RSA,6:20
Steal,6.0,2,7,NZL,3.0,DOYLE B,6,7 - 6,380,NZL,6:20
5m shot - Saved,12.0,2,7,NZL,3.0,PYE B,6,7 - 6,360,NZL,6:00
Turnover foul,10.0,2,7,NZL,3.0,BOWRY C,6,7 - 6,302,NZL,5:02
Steal,5.0,2,7,NZL,3.0,SCHOOLING M,6,7 - 6,302,RSA,5:02
5m shot - Saved,8.0,2,7,NZL,3.0,LOPES da SILVA C,6,7 - 6,291,NZL,4:51
