Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,9,12.0,1,3,USA,3.0,GARCIA GADEA J,3 - 9,342,CRO,5:42,Goal,1
Extra player shot,9,6.0,1,4,USA,3.0,CUPIDO L,4 - 9,241,USA,4:01,Goal,1
5m shot,9,8.0,1,4,USA,3.0,BUSLJE A,4 - 9,212,CRO,3:32,Saved,0
Action shot,9,11.0,1,4,USA,3.0,SETKA A,4 - 9,106,CRO,1:46,Saved,0
5m shot,10,12.0,1,4,USA,3.0,GARCIA GADEA J,4 - 10,80,CRO,1:20,Goal,1
Centre shot,10,5.0,1,4,USA,3.0,HALLOCK B,4 - 10,62,USA,1:02,Post,0
Action shot,10,5.0,1,4,USA,3.0,JOKOVIC M,4 - 10,29,CRO,0:29,Saved,0
5m shot,10,7.0,1,4,USA,3.0,VUKICEVIC A,4 - 10,1,CRO,0:01,Post,0
Action shot,10,5.0,1,4,USA,4.0,JOKOVIC M,4 - 10,435,CRO,7:15,Saved,0
Action shot,10,12.0,1,4,USA,4.0,IRVING M,4 - 10,406,USA,6:46,Saved,0
5m shot,10,2.0,1,4,USA,4.0,MACAN M,4 - 10,377,CRO,6:17,Saved,0
Extra player shot,10,9.0,1,5,USA,4.0,BOWEN A,5 - 10,340,USA,5:40,Goal,1
Centre shot,10,5.0,1,5,USA,4.0,JOKOVIC M,5 - 10,310,CRO,5:10,Saved,0
Extra player shot,10,9.0,1,5,USA,4.0,SUKNO S,5 - 10,243,CRO,4:03,Saved,0
5m shot,10,11.0,1,5,USA,4.0,SETKA A,5 - 10,166,CRO,2:46,Saved,0
5m shot,10,12.0,1,5,USA,4.0,GARCIA GADEA J,5 - 10,129,CRO,2:09,Post,0
Counter attack,11,12.0,1,5,USA,4.0,GARCIA GADEA J,5 - 11,86,CRO,1:26,Goal,1
Extra player shot,12,3.0,1,7,USA,4.0,VAVIC M,7 - 12,12,USA,0:12,Goal,1
5m shot,0,8.0,2,0,RUS,1.0,NAGAEV I,0 - 0,452,RUS,7:32,Saved,0
Action shot,0,12.0,2,0,RUS,1.0,GARCIA GADEA J,0 - 0,405,CRO,6:45,Missed,0
Action shot,0,12.0,2,0,RUS,1.0,GARCIA GADEA J,0 - 0,338,CRO,5:38,Saved,0
Counter attack,0,11.0,2,0,RUS,1.0,SETKA A,0 - 0,271,CRO,4:31,Saved,0
5m shot,0,2.0,2,1,RUS,1.0,LAZAREV N,1 - 0,249,RUS,4:09,Goal,1
Extra player shot,0,5.0,2,1,RUS,1.0,JOKOVIC M,1 - 0,198,CRO,3:18,Post,0
5m shot,0,6.0,2,2,RUS,1.0,ASHAEV A,2 - 0,153,RUS,2:33,Goal,1
Extra player shot,0,5.0,2,2,RUS,1.0,JOKOVIC M,2 - 0,109,CRO,1:49,Post,0
Extra player shot,1,9.0,2,2,RUS,1.0,SUKNO S,2 - 1,88,CRO,1:28,Goal,1
5m shot,1,9.0,2,3,RUS,1.0,SUCHKOV I,3 - 1,64,RUS,1:04,Goal,1
5m shot,1,12.0,2,3,RUS,1.0,GARCIA GADEA J,3 - 1,1,CRO,0:01,Saved,0
Centre shot,1,11.0,2,3,RUS,2.0,LISUNOV S,3 - 1,452,RUS,7:32,Missed,0
Action shot,1,9.0,2,3,RUS,2.0,SUKNO S,3 - 1,422,CRO,7:02,Missed,0
5m shot,1,2.0,2,3,RUS,2.0,LAZAREV N,3 - 1,402,RUS,6:42,Post,0
Action shot,1,9.0,2,3,RUS,2.0,SUKNO S,3 - 1,380,CRO,6:20,Saved,0
Action shot,1,12.0,2,3,RUS,2.0,GARCIA GADEA J,3 - 1,330,CRO,5:30,Blocked,0
5m shot,1,2.0,2,3,RUS,2.0,LAZAREV N,3 - 1,302,RUS,5:02,Blocked,0
Extra player shot,2,5.0,2,3,RUS,2.0,JOKOVIC M,3 - 2,240,CRO,4:00,Goal,1
Extra player shot,2,4.0,2,3,RUS,2.0,DEREVIANKIN N,3 - 2,202,RUS,3:22,Saved,0
Action shot,2,8.0,2,4,RUS,2.0,NAGAEV I,4 - 2,164,RUS,2:44,Goal,1
Centre shot,2,4.0,2,4,RUS,2.0,LONCAR L,4 - 2,142,CRO,2:22,Blocked,0
Counter attack,3,11.0,2,4,RUS,2.0,SETKA A,4 - 3,124,CRO,2:04,Goal,1
Action shot,3,5.0,2,5,RUS,2.0,BUGAYCHUK A,5 - 3,85,RUS,1:25,Goal,1
Centre shot,3,11.0,2,6,RUS,2.0,LISUNOV S,6 - 3,37,RUS,0:37,Goal,1
Action shot,3,2.0,2,6,RUS,4.0,LAZAREV N,6 - 3,36,RUS,0:36,Missed,0
Extra player shot,4,9.0,2,6,RUS,2.0,SUKNO S,6 - 4,10,CRO,0:10,Goal,1
5m shot,4,11.0,2,6,RUS,3.0,SETKA A,6 - 4,423,CRO,7:03,Saved,0
Action shot,4,2.0,2,6,RUS,3.0,LAZAREV N,6 - 4,402,RUS,6:42,Saved,0
Action shot,5,5.0,2,6,RUS,3.0,JOKOVIC M,6 - 5,373,CRO,6:13,Goal,1
5m shot,5,2.0,2,6,RUS,3.0,LAZAREV N,6 - 5,340,RUS,5:40,Missed,0
Extra player shot,6,5.0,2,6,RUS,3.0,JOKOVIC M,6 - 6,278,CRO,4:38,Goal,1
Extra player shot,6,2.0,2,6,RUS,3.0,LAZAREV N,6 - 6,244,RUS,4:04,Blocked,0
Counter attack,6,3.0,2,6,RUS,3.0,FATOVIC L,6 - 6,231,CRO,3:51,Saved,0
5m shot,6,7.0,2,6,RUS,3.0,MERKULOV D,6 - 6,206,RUS,3:26,Saved,0
Centre shot,6,11.0,2,6,RUS,3.0,LISUNOV S,6 - 6,158,RUS,2:38,Saved,0
5m shot,7,3.0,2,6,RUS,3.0,FATOVIC L,6 - 7,136,CRO,2:16,Goal,1
Extra player shot,7,11.0,2,7,RUS,3.0,LISUNOV S,7 - 7,89,RUS,1:29,Goal,1
Action shot,8,9.0,2,7,RUS,3.0,SUKNO S,7 - 8,35,CRO,0:35,Goal,1
Extra player shot,8,10.0,2,7,RUS,3.0,KHOLOD D,7 - 8,1,RUS,0:01,Saved,0
5m shot,8,10.0,2,7,RUS,4.0,KHOLOD D,7 - 8,451,RUS,7:31,Missed,0
Action shot,8,9.0,2,7,RUS,4.0,SUKNO S,7 - 8,422,CRO,7:02,Post,0
Extra player shot,8,11.0,2,7,RUS,4.0,SETKA A,7 - 8,350,CRO,5:50,Saved,0
5m shot,8,12.0,2,7,RUS,4.0,SHEPELEV R,7 - 8,326,RUS,5:26,Post,0
Extra player shot,9,5.0,2,7,RUS,4.0,JOKOVIC M,7 - 9,308,CRO,5:08,Goal,1
Extra player shot,9,7.0,2,7,RUS,4.0,MERKULOV D,7 - 9,271,RUS,4:31,Post,0
5m shot,9,7.0,2,7,RUS,4.0,MERKULOV D,7 - 9,201,RUS,3:21,Saved,0
Penalty shot,9,7.0,2,8,RUS,4.0,MERKULOV D,8 - 9,184,RUS,3:04,Goal,1
Extra player shot,9,9.0,2,8,RUS,4.0,SUCHKOV I,8 - 9,130,RUS,2:10,Saved,0
Action shot,10,4.0,2,8,RUS,4.0,LONCAR L,8 - 10,82,CRO,1:22,Goal,1
Action shot,0,7.0,3,0,JPN,1.0,SHIMIZU Y,0 - 0,451,JPN,7:31,Saved,0
Action shot,0,9.0,3,0,JPN,1.0,ARAI A,0 - 0,436,JPN,7:16,Saved,0
Action shot,0,2.0,3,0,JPN,1.0,ADACHI S,0 - 0,418,JPN,6:58,Saved,0
5m shot,0,9.0,3,0,JPN,1.0,SUKNO S,0 - 0,395,CRO,6:35,Missed,0
5m shot,0,4.0,3,0,JPN,1.0,SHIGA M,0 - 0,383,JPN,6:23,Missed,0
Centre shot,1,8.0,3,0,JPN,1.0,BUSLJE A,0 - 1,318,CRO,5:18,Goal,1
Extra player shot,2,5.0,3,0,JPN,1.0,JOKOVIC M,0 - 2,271,CRO,4:31,Goal,1
5m shot,2,10.0,3,0,JPN,1.0,KRAPIC I,0 - 2,222,CRO,3:42,Saved,0
5m shot,2,11.0,3,1,JPN,1.0,OKAWA K,1 - 2,203,JPN,3:23,Goal,1
5m shot,3,5.0,3,1,JPN,1.0,JOKOVIC M,1 - 3,182,CRO,3:02,Goal,1
Action shot,3,4.0,3,1,JPN,1.0,SHIGA M,1 - 3,141,JPN,2:21,Post,0
Action shot,4,3.0,3,1,JPN,1.0,FATOVIC L,1 - 4,79,CRO,1:19,Goal,1
Extra player shot,5,4.0,3,1,JPN,1.0,LONCAR L,1 - 5,28,CRO,0:28,Goal,1
5m shot,5,11.0,3,1,JPN,1.0,OKAWA K,1 - 5,1,JPN,0:01,Saved,0
Action shot,5,10.0,3,1,JPN,2.0,KRAPIC I,1 - 5,461,CRO,7:41,Missed,0
Centre shot,5,8.0,3,1,JPN,2.0,TAKATA M,1 - 5,448,JPN,7:28,Saved,0
5m shot,6,9.0,3,1,JPN,2.0,SUKNO S,1 - 6,432,CRO,7:12,Goal,1
5m shot,6,9.0,3,1,JPN,2.0,ARAI A,1 - 6,404,JPN,6:44,Blocked,0
Extra player shot,6,5.0,3,2,JPN,2.0,YOSHIDA T,2 - 6,340,JPN,5:40,Goal,1
Action shot,6,4.0,3,2,JPN,2.0,LONCAR L,2 - 6,313,CRO,5:13,Saved,0
5m shot,6,4.0,3,2,JPN,2.0,SHIGA M,2 - 6,300,JPN,5:00,Post,0
Counter attack,7,6.0,3,2,JPN,2.0,BULJUBASIC I,2 - 7,288,CRO,4:48,Goal,1
5m shot,7,11.0,3,2,JPN,2.0,OKAWA K,2 - 7,256,JPN,4:16,Saved,0
Extra player shot,8,4.0,3,2,JPN,2.0,LONCAR L,2 - 8,228,CRO,3:48,Goal,1
5m shot,8,6.0,3,2,JPN,2.0,IIDA A,2 - 8,196,JPN,3:16,Blocked,0
5m shot,8,6.0,3,2,JPN,2.0,BULJUBASIC I,2 - 8,166,CRO,2:46,Saved,0
5m shot,9,12.0,3,2,JPN,2.0,GARCIA GADEA J,2 - 9,100,CRO,1:40,Goal,1
5m shot,10,5.0,3,2,JPN,2.0,JOKOVIC M,2 - 10,66,CRO,1:06,Goal,1
Action shot,10,10.0,3,3,JPN,2.0,INABA K,3 - 10,37,JPN,0:37,Goal,1
Action shot,10,2.0,3,3,JPN,2.0,MACAN M,3 - 10,13,CRO,0:13,Missed,0
5m shot,10,6.0,3,4,JPN,2.0,IIDA A,4 - 10,3,JPN,0:03,Goal,1
5m shot,10,9.0,3,4,JPN,2.0,SUKNO S,4 - 10,1,CRO,0:01,Saved,0
Action shot,10,11.0,3,4,JPN,4.0,OKAWA K,4 - 10,113,JPN,1:53,Saved,0
5m shot,10,9.0,3,5,JPN,3.0,ARAI A,5 - 10,462,JPN,7:42,Goal,1
Extra player shot,11,9.0,3,5,JPN,3.0,SUKNO S,5 - 11,435,CRO,7:15,Goal,1
Action shot,11,8.0,3,5,JPN,3.0,TAKATA M,5 - 11,398,JPN,6:38,Saved,0
Action shot,11,8.0,3,5,JPN,3.0,TAKATA M,5 - 11,363,JPN,6:03,Blocked,0
Counter attack,12,9.0,3,5,JPN,3.0,SUKNO S,5 - 12,354,CRO,5:54,Goal,1
Centre shot,12,10.0,3,5,JPN,3.0,KRAPIC I,5 - 12,312,CRO,5:12,Post,0
5m shot,12,4.0,3,5,JPN,3.0,SHIGA M,5 - 12,297,JPN,4:57,Post,0
Action shot,13,7.0,3,5,JPN,3.0,VUKICEVIC A,5 - 13,203,CRO,3:23,Goal,1
5m shot,13,6.0,3,5,JPN,3.0,IIDA A,5 - 13,170,JPN,2:50,Blocked,0
5m shot,13,10.0,3,5,JPN,3.0,INABA K,5 - 13,110,JPN,1:50,Blocked,0
Action shot,13,3.0,3,5,JPN,3.0,FATOVIC L,5 - 13,69,CRO,1:09,Post,0
Action shot,13,8.0,3,5,JPN,3.0,TAKATA M,5 - 13,55,JPN,0:55,Post,0
Extra player shot,14,4.0,3,5,JPN,3.0,LONCAR L,5 - 14,17,CRO,0:17,Goal,1
Extra player shot,15,3.0,3,5,JPN,4.0,FATOVIC L,5 - 15,439,CRO,7:19,Goal,1
Action shot,15,11.0,3,5,JPN,4.0,SETKA A,5 - 15,379,CRO,6:19,Saved,0
Extra player shot,16,3.0,3,5,JPN,4.0,FATOVIC L,5 - 16,319,CRO,5:19,Goal,1
Action shot,16,12.0,3,5,JPN,4.0,ARAKI K,5 - 16,283,JPN,4:43,Saved,0
Action shot,16,4.0,3,5,JPN,4.0,LONCAR L,5 - 16,267,CRO,4:27,Missed,0
Action shot,16,2.0,3,5,JPN,4.0,ADACHI S,5 - 16,253,JPN,4:13,Saved,0
Action shot,16,9.0,3,6,JPN,4.0,ARAI A,6 - 16,232,JPN,3:52,Goal,1
Penalty shot,16,2.0,3,6,JPN,4.0,ADACHI S,6 - 16,184,JPN,3:04,Saved,0
5m shot,16,7.0,3,6,JPN,4.0,VUKICEVIC A,6 - 16,75,CRO,1:15,Post,0
5m shot,16,9.0,3,6,JPN,4.0,ARAI A,6 - 16,59,JPN,0:59,Post,0
Extra player shot,1,11.0,4,0,ITA,1.0,SETKA A,1 - 0,408,CRO,6:48,Goal,1
Extra player shot,1,2.0,4,0,ITA,1.0,di FULVIO F,1 - 0,371,ITA,6:11,Saved,0
Penalty shot,2,9.0,4,0,ITA,1.0,SUKNO S,2 - 0,330,CRO,5:30,Goal,1
5m shot,2,6.0,4,0,ITA,1.0,BULJUBASIC I,2 - 0,273,CRO,4:33,Saved,0
5m shot,2,2.0,4,0,ITA,1.0,di FULVIO F,2 - 0,247,ITA,4:07,Blocked,0
Extra player shot,2,9.0,4,1,ITA,1.0,RENZUTO IODICE V,2 - 1,220,ITA,3:40,Goal,1
Centre shot,2,11.0,4,2,ITA,1.0,AICARDI M,2 - 2,187,ITA,3:07,Goal,1
Extra player shot,3,9.0,4,2,ITA,1.0,SUKNO S,3 - 2,149,CRO,2:29,Goal,1
Extra player shot,3,10.0,4,2,ITA,1.0,BODEGAS M,3 - 2,111,ITA,1:51,Saved,0
Centre shot,3,2.0,4,2,ITA,1.0,di FULVIO F,3 - 2,82,ITA,1:22,Saved,0
Centre shot,3,4.0,4,2,ITA,1.0,LONCAR L,3 - 2,57,CRO,0:57,Saved,0
Extra player shot,3,7.0,4,2,ITA,1.0,NORA A,3 - 2,19,ITA,0:19,Blocked,0
5m shot,3,12.0,4,2,ITA,1.0,GARCIA GADEA J,3 - 2,1,CRO,0:01,Saved,0
Action shot,3,4.0,4,2,ITA,2.0,FIGLIOLI P,3 - 2,452,ITA,7:32,Saved,0
Action shot,3,5.0,4,2,ITA,2.0,JOKOVIC M,3 - 2,407,CRO,6:47,Saved,0
5m shot,3,5.0,4,2,ITA,2.0,PRESCIUTTI N,3 - 2,378,ITA,6:18,Saved,0
5m shot,3,4.0,4,3,ITA,2.0,FIGLIOLI P,3 - 3,322,ITA,5:22,Goal,1
Extra player shot,4,9.0,4,3,ITA,2.0,SUKNO S,4 - 3,278,CRO,4:38,Goal,1
5m shot,4,4.0,4,3,ITA,2.0,FIGLIOLI P,4 - 3,252,ITA,4:12,Missed,0
Action shot,4,8.0,4,3,ITA,2.0,BUSLJE A,4 - 3,200,CRO,3:20,Post,0
5m shot,4,4.0,4,3,ITA,2.0,FIGLIOLI P,4 - 3,158,ITA,2:38,Blocked,0
Counter attack,5,12.0,4,3,ITA,2.0,GARCIA GADEA J,5 - 3,146,CRO,2:26,Goal,1
Extra player shot,5,10.0,4,4,ITA,2.0,BODEGAS M,5 - 4,113,ITA,1:53,Goal,1
Extra player shot,5,3.0,4,4,ITA,2.0,FATOVIC L,5 - 4,65,CRO,1:05,Saved,0
Extra player shot,5,2.0,4,5,ITA,2.0,di FULVIO F,5 - 5,22,ITA,0:22,Goal,1
Centre shot,5,4.0,4,5,ITA,2.0,LONCAR L,5 - 5,8,CRO,0:08,Saved,0
Extra player shot,5,4.0,4,5,ITA,4.0,FIGLIOLI P,5 - 5,52,ITA,0:52,Blocked,0
Extra player shot,5,9.0,4,5,ITA,4.0,RENZUTO IODICE V,5 - 5,40,ITA,0:40,Blocked,0
5m shot,5,4.0,4,5,ITA,2.0,FIGLIOLI P,5 - 5,1,ITA,0:01,Missed,0
Extra player shot,5,10.0,4,5,ITA,3.0,BODEGAS M,5 - 5,444,ITA,7:24,Missed,0
5m shot,5,4.0,4,6,ITA,3.0,FIGLIOLI P,5 - 6,401,ITA,6:41,Goal,1
Extra player shot,5,7.0,4,6,ITA,3.0,VUKICEVIC A,5 - 6,362,CRO,6:02,Missed,0
5m shot,5,4.0,4,6,ITA,3.0,FIGLIOLI P,5 - 6,336,ITA,5:36,Saved,0
Action shot,5,9.0,4,6,ITA,3.0,SUKNO S,5 - 6,319,CRO,5:19,Post,0
Extra player shot,5,5.0,4,6,ITA,3.0,JOKOVIC M,5 - 6,287,CRO,4:47,Post,0
5m shot,5,8.0,4,6,ITA,3.0,FONDELLI A,5 - 6,262,ITA,4:22,Post,0
5m shot,6,12.0,4,6,ITA,3.0,GARCIA GADEA J,6 - 6,238,CRO,3:58,Goal,1
5m shot,6,10.0,4,6,ITA,3.0,BODEGAS M,6 - 6,211,ITA,3:31,Blocked,0
5m shot,6,2.0,4,6,ITA,3.0,di FULVIO F,6 - 6,188,ITA,3:08,Post,0
5m shot,6,7.0,4,6,ITA,3.0,NORA A,6 - 6,141,ITA,2:21,Missed,0
Action shot,7,9.0,4,6,ITA,3.0,SUKNO S,7 - 6,126,CRO,2:06,Goal,1
5m shot,7,4.0,4,6,ITA,3.0,FIGLIOLI P,7 - 6,101,ITA,1:41,Blocked,0
Extra player shot,8,11.0,4,6,ITA,3.0,SETKA A,8 - 6,56,CRO,0:56,Goal,1
Extra player shot,8,2.0,4,6,ITA,3.0,di FULVIO F,8 - 6,21,ITA,0:21,Saved,0
Action shot,8,9.0,4,6,ITA,4.0,RENZUTO IODICE V,8 - 6,451,ITA,7:31,Blocked,0
5m shot,9,7.0,4,6,ITA,4.0,VUKICEVIC A,9 - 6,429,CRO,7:09,Goal,1
5m shot,9,4.0,4,6,ITA,4.0,FIGLIOLI P,9 - 6,411,ITA,6:51,Saved,0
Action shot,9,5.0,4,6,ITA,4.0,JOKOVIC M,9 - 6,312,CRO,5:12,Saved,0
Extra player shot,9,9.0,4,7,ITA,4.0,RENZUTO IODICE V,9 - 7,287,ITA,4:47,Goal,1
5m shot,10,12.0,4,7,ITA,4.0,GARCIA GADEA J,10 - 7,260,CRO,4:20,Goal,1
Extra player shot,10,11.0,4,8,ITA,4.0,AICARDI M,10 - 8,235,ITA,3:55,Goal,1
5m shot,10,5.0,4,8,ITA,4.0,JOKOVIC M,10 - 8,210,CRO,3:30,Missed,0
Extra player shot,10,9.0,4,9,ITA,4.0,RENZUTO IODICE V,10 - 9,170,ITA,2:50,Goal,1
Centre shot,11,8.0,4,9,ITA,4.0,BUSLJE A,11 - 9,130,CRO,2:10,Goal,1
5m shot,11,7.0,4,9,ITA,4.0,NORA A,11 - 9,107,ITA,1:47,Saved,0
Action shot,12,12.0,4,9,ITA,4.0,GARCIA GADEA J,12 - 9,11,CRO,0:11,Goal,1
5m shot,12,6.0,4,9,ITA,4.0,MIRARCHI C,12 - 9,1,ITA,0:01,Saved,0
5m shot,0,4.0,5,0,SRB,1.0,RANDELOVIC S,0 - 0,412,SRB,6:52,Saved,0
5m shot,0,11.0,5,0,SRB,1.0,SETKA A,0 - 0,384,CRO,6:24,Post,0
Action shot,0,12.0,5,0,SRB,1.0,GARCIA GADEA J,0 - 0,320,CRO,5:20,Blocked,0
Action shot,0,12.0,5,0,SRB,1.0,GARCIA GADEA J,0 - 0,315,CRO,5:15,Missed,0
5m shot,0,11.0,5,0,SRB,1.0,PRLAINOVIC A,0 - 0,290,SRB,4:50,Saved,0
Extra player shot,0,11.0,5,0,SRB,1.0,SETKA A,0 - 0,241,CRO,4:01,Post,0
Extra player shot,0,11.0,5,1,SRB,1.0,PRLAINOVIC A,1 - 0,198,SRB,3:18,Goal,1
5m shot,0,3.0,5,1,SRB,1.0,RASOVIC V,1 - 0,139,SRB,2:19,Post,0
Action shot,0,12.0,5,1,SRB,1.0,GARCIA GADEA J,1 - 0,111,CRO,1:51,Saved,0
Centre shot,0,7.0,5,1,SRB,1.0,UBOVIC N,1 - 0,79,SRB,1:19,Saved,0
Extra player shot,1,9.0,5,1,SRB,1.0,SUKNO S,1 - 1,1,CRO,0:01,Goal,1
Extra player shot,1,11.0,5,2,SRB,2.0,PRLAINOVIC A,2 - 1,440,SRB,7:20,Goal,1
5m shot,1,11.0,5,2,SRB,2.0,SETKA A,2 - 1,393,CRO,6:33,Saved,0
5m shot,1,12.0,5,2,SRB,2.0,MITROVIC S,2 - 1,366,SRB,6:06,Blocked,0
Extra player shot,1,12.0,5,3,SRB,2.0,MITROVIC S,3 - 1,325,SRB,5:25,Goal,1
Centre shot,2,4.0,5,3,SRB,2.0,LONCAR L,3 - 2,298,CRO,4:58,Goal,1
5m shot,2,9.0,5,3,SRB,2.0,JAKSIC N,3 - 2,241,SRB,4:01,Missed,0
5m shot,3,8.0,5,3,SRB,2.0,BUSLJE A,3 - 3,214,CRO,3:34,Goal,1
Extra player shot,3,2.0,5,3,SRB,2.0,MANDIC D,3 - 3,180,SRB,3:00,Post,0
5m shot,3,9.0,5,3,SRB,2.0,SUKNO S,3 - 3,151,CRO,2:31,Saved,0
Extra player shot,3,11.0,5,4,SRB,2.0,PRLAINOVIC A,4 - 3,124,SRB,2:04,Goal,1
Centre shot,3,6.0,5,4,SRB,2.0,PIJETLOVIC D,4 - 3,76,SRB,1:16,Saved,0
Extra player shot,4,9.0,5,4,SRB,2.0,SUKNO S,4 - 4,48,CRO,0:48,Goal,1
Extra player shot,4,6.0,5,5,SRB,2.0,PIJETLOVIC D,5 - 4,20,SRB,0:20,Goal,1
Extra player shot,5,8.0,5,5,SRB,2.0,BUSLJE A,5 - 5,2,CRO,0:02,Goal,1
Extra player shot,5,2.0,5,5,SRB,4.0,MANDIC D,5 - 5,146,SRB,2:26,Blocked,0
5m shot,5,8.0,5,5,SRB,4.0,BUSLJE A,5 - 5,117,CRO,1:57,Saved,0
Action shot,5,10.0,5,5,SRB,4.0,FILIPOVIC F,5 - 5,91,SRB,1:31,Saved,0
5m shot,5,11.0,5,5,SRB,4.0,SETKA A,5 - 5,64,CRO,1:04,Saved,0
5m shot,5,10.0,5,5,SRB,3.0,FILIPOVIC F,5 - 5,425,SRB,7:05,Post,0
5m shot,5,9.0,5,5,SRB,3.0,JAKSIC N,5 - 5,384,SRB,6:24,Post,0
Centre shot,5,6.0,5,6,SRB,3.0,PIJETLOVIC D,6 - 5,327,SRB,5:27,Goal,1
5m shot,5,5.0,5,6,SRB,3.0,JOKOVIC M,6 - 5,300,CRO,5:00,Missed,0
Extra player shot,6,9.0,5,6,SRB,3.0,SUKNO S,6 - 6,243,CRO,4:03,Goal,1
Extra player shot,6,4.0,5,7,SRB,3.0,RANDELOVIC S,7 - 6,176,SRB,2:56,Goal,1
Extra player shot,7,5.0,5,7,SRB,3.0,JOKOVIC M,7 - 7,147,CRO,2:27,Goal,1
Centre shot,7,11.0,5,8,SRB,3.0,PRLAINOVIC A,8 - 7,130,SRB,2:10,Goal,1
Extra player shot,8,7.0,5,8,SRB,3.0,VUKICEVIC A,8 - 8,86,CRO,1:26,Goal,1
Counter attack,8,11.0,5,9,SRB,3.0,PRLAINOVIC A,9 - 8,12,SRB,0:12,Goal,1
Penalty shot,9,5.0,5,9,SRB,3.0,JOKOVIC M,9 - 9,1,CRO,0:01,Goal,1
Action shot,9,3.0,5,9,SRB,4.0,RASOVIC V,9 - 9,451,SRB,7:31,Saved,0
5m shot,9,8.0,5,9,SRB,4.0,BUSLJE A,9 - 9,430,CRO,7:10,Blocked,0
Counter attack,9,11.0,5,10,SRB,4.0,PRLAINOVIC A,10 - 9,422,SRB,7:02,Goal,1
Centre shot,10,4.0,5,10,SRB,4.0,LONCAR L,10 - 10,394,CRO,6:34,Goal,1
Extra player shot,10,12.0,5,10,SRB,4.0,MITROVIC S,10 - 10,369,SRB,6:09,Saved,0
5m shot,10,5.0,5,10,SRB,4.0,JOKOVIC M,10 - 10,343,CRO,5:43,Saved,0
