Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Time-Out,10,,1,5,USA,4.0,,5 - 10,166,USA,2:46
Turnover foul,10,12.0,1,5,USA,4.0,IRVING M,5 - 10,148,USA,2:28
Steal,10,3.0,1,5,USA,4.0,FATOVIC L,5 - 10,148,CRO,2:28
5m shot - Post,10,12.0,1,5,USA,4.0,GARCIA GADEA J,5 - 10,129,CRO,2:09
Turnover foul,10,2.0,1,5,USA,4.0,HOOPER J,5 - 10,101,USA,1:41
Steal,10,1.0,1,5,USA,4.0,BIJAC M,5 - 10,101,CRO,1:41
Counter attack - Goal,11,12.0,1,5,USA,4.0,GARCIA GADEA J,5 - 11,86,CRO,1:26
20 sec. exclusion in field,11,3.0,1,5,USA,4.0,FATOVIC L,5 - 11,19,CRO,0:19
Extra player shot - Goal,12,3.0,1,7,USA,4.0,VAVIC M,7 - 12,12,USA,0:12
Turnover foul,12,9.0,1,7,USA,4.0,SUKNO S,7 - 12,1,CRO,0:01
Steal,12,6.0,1,7,USA,4.0,CUPIDO L,7 - 12,1,USA,0:01
Starting goalkeeper,0,13.0,2,0,RUS,1.0,STATSENKO V,0 - 0,480,RUS,8:00
Starting goalkeeper,0,1.0,2,0,RUS,1.0,BIJAC M,0 - 0,480,CRO,8:00
Sprint won possession,0,10.0,2,0,RUS,1.0,KHOLOD D,0 - 0,480,RUS,8:00
5m shot - Saved,0,8.0,2,0,RUS,1.0,NAGAEV I,0 - 0,452,RUS,7:32
20 sec. exclusion in centre,0,3.0,2,0,RUS,1.0,VASILYEV E,0 - 0,428,RUS,7:08
Action shot - Missed,0,12.0,2,0,RUS,1.0,GARCIA GADEA J,0 - 0,405,CRO,6:45
Turnover foul,0,7.0,2,0,RUS,1.0,MERKULOV D,0 - 0,356,RUS,5:56
Steal,0,8.0,2,0,RUS,1.0,BUSLJE A,0 - 0,356,CRO,5:56
Action shot - Saved,0,12.0,2,0,RUS,1.0,GARCIA GADEA J,0 - 0,338,CRO,5:38
Turnover foul,0,4.0,2,0,RUS,1.0,LONCAR L,0 - 0,314,CRO,5:14
Steal,0,9.0,2,0,RUS,1.0,SUCHKOV I,0 - 0,314,RUS,5:14
Turnover foul,0,2.0,2,0,RUS,1.0,LAZAREV N,0 - 0,282,RUS,4:42
Steal,0,5.0,2,0,RUS,1.0,JOKOVIC M,0 - 0,282,CRO,4:42
Counter attack - Saved,0,11.0,2,0,RUS,1.0,SETKA A,0 - 0,271,CRO,4:31
5m shot - Goal,0,2.0,2,1,RUS,1.0,LAZAREV N,1 - 0,249,RUS,4:09
20 sec. exclusion in centre,0,9.0,2,1,RUS,1.0,SUCHKOV I,1 - 0,220,RUS,3:40
Extra player shot - Post,0,5.0,2,1,RUS,1.0,JOKOVIC M,1 - 0,198,CRO,3:18
20 sec. exclusion in centre,0,6.0,2,1,RUS,1.0,BULJUBASIC I,1 - 0,177,CRO,2:57
5m shot - Goal,0,6.0,2,2,RUS,1.0,ASHAEV A,2 - 0,153,RUS,2:33
Time-Out,0,,2,2,RUS,1.0,,2 - 0,153,CRO,2:33
20 sec. exclusion in centre,0,6.0,2,2,RUS,1.0,ASHAEV A,2 - 0,130,RUS,2:10
Extra player shot - Post,0,5.0,2,2,RUS,1.0,JOKOVIC M,2 - 0,109,CRO,1:49
20 sec. exclusion in centre,0,12.0,2,2,RUS,1.0,SHEPELEV R,2 - 0,96,RUS,1:36
Extra player shot - Goal,1,9.0,2,2,RUS,1.0,SUKNO S,2 - 1,88,CRO,1:28
Time-Out,1,,2,2,RUS,1.0,,2 - 1,88,RUS,1:28
5m shot - Goal,1,9.0,2,3,RUS,1.0,SUCHKOV I,3 - 1,64,RUS,1:04
Turnover foul,1,12.0,2,3,RUS,1.0,GARCIA GADEA J,3 - 1,36,CRO,0:36
Steal,1,6.0,2,3,RUS,1.0,ASHAEV A,3 - 1,36,RUS,0:36
5m shot - Saved,1,12.0,2,3,RUS,1.0,GARCIA GADEA J,3 - 1,1,CRO,0:01
Starting goalkeeper,1,13.0,2,3,RUS,2.0,STATSENKO V,3 - 1,480,RUS,8:00
Starting goalkeeper,1,13.0,2,3,RUS,2.0,MARCELIC I,3 - 1,480,CRO,8:00
Sprint won possession,1,10.0,2,3,RUS,2.0,KHOLOD D,3 - 1,480,RUS,8:00
Centre shot - Missed,1,11.0,2,3,RUS,2.0,LISUNOV S,3 - 1,452,RUS,7:32
Action shot - Missed,1,9.0,2,3,RUS,2.0,SUKNO S,3 - 1,422,CRO,7:02
5m shot - Post,1,2.0,2,3,RUS,2.0,LAZAREV N,3 - 1,402,RUS,6:42
Action shot - Saved,1,9.0,2,3,RUS,2.0,SUKNO S,3 - 1,380,CRO,6:20
Time-Out,1,,2,3,RUS,2.0,,3 - 1,374,RUS,6:14
Turnover foul,1,8.0,2,3,RUS,2.0,NAGAEV I,3 - 1,355,RUS,5:55
Steal,1,9.0,2,3,RUS,2.0,SUKNO S,3 - 1,355,CRO,5:55
Action shot - Blocked,1,12.0,2,3,RUS,2.0,GARCIA GADEA J,3 - 1,330,CRO,5:30
5m shot - Blocked,1,2.0,2,3,RUS,2.0,LAZAREV N,3 - 1,302,RUS,5:02
Turnover foul,1,10.0,2,3,RUS,2.0,KRAPIC I,3 - 1,281,CRO,4:41
Turnover foul,1,8.0,2,3,RUS,2.0,NAGAEV I,3 - 1,258,RUS,4:18
Steal,1,9.0,2,3,RUS,2.0,SUKNO S,3 - 1,258,CRO,4:18
20 sec. exclusion in centre,1,10.0,2,3,RUS,2.0,KHOLOD D,3 - 1,243,RUS,4:03
Extra player shot - Goal,2,5.0,2,3,RUS,2.0,JOKOVIC M,3 - 2,240,CRO,4:00
20 sec. exclusion in centre,2,8.0,2,3,RUS,2.0,BUSLJE A,3 - 2,217,CRO,3:37
Extra player shot - Saved,2,4.0,2,3,RUS,2.0,DEREVIANKIN N,3 - 2,202,RUS,3:22
Turnover foul,2,2.0,2,3,RUS,2.0,MACAN M,3 - 2,184,CRO,3:04
Steal,2,12.0,2,3,RUS,2.0,SHEPELEV R,3 - 2,184,RUS,3:04
Action shot - Goal,2,8.0,2,4,RUS,2.0,NAGAEV I,4 - 2,164,RUS,2:44
Centre shot - Blocked,2,4.0,2,4,RUS,2.0,LONCAR L,4 - 2,142,CRO,2:22
Turnover foul,2,13.0,2,4,RUS,2.0,STATSENKO V,4 - 2,134,RUS,2:14
Steal,2,5.0,2,4,RUS,2.0,JOKOVIC M,4 - 2,134,CRO,2:14
Counter attack - Goal,3,11.0,2,4,RUS,2.0,SETKA A,4 - 3,124,CRO,2:04
20 sec. exclusion in field,3,3.0,2,4,RUS,2.0,FATOVIC L,4 - 3,107,CRO,1:47
Action shot - Goal,3,5.0,2,5,RUS,2.0,BUGAYCHUK A,5 - 3,85,RUS,1:25
Turnover foul,3,4.0,2,5,RUS,2.0,LONCAR L,5 - 3,63,CRO,1:03
Centre shot - Goal,3,11.0,2,6,RUS,2.0,LISUNOV S,6 - 3,37,RUS,0:37
Time-Out,3,,2,6,RUS,2.0,,6 - 3,37,CRO,0:37
20 sec. exclusion in field,3,12.0,2,6,RUS,2.0,SHEPELEV R,6 - 3,23,RUS,0:23
Action shot - Missed,3,2.0,2,6,RUS,4.0,LAZAREV N,6 - 3,36,RUS,0:36
20 sec. exclusion in centre,3,10.0,2,6,RUS,4.0,KHOLOD D,6 - 3,9,RUS,0:09
Exclusion with substitution,3,10.0,2,6,RUS,4.0,KHOLOD D,6 - 3,9,RUS,0:09
Extra player shot - Goal,4,9.0,2,6,RUS,2.0,SUKNO S,6 - 4,10,CRO,0:10
Starting goalkeeper,4,13.0,2,6,RUS,3.0,STATSENKO V,6 - 4,480,RUS,8:00
Starting goalkeeper,4,1.0,2,6,RUS,3.0,BIJAC M,6 - 4,480,CRO,8:00
Sprint won possession,4,10.0,2,6,RUS,3.0,KHOLOD D,6 - 4,480,RUS,8:00
Turnover foul,4,2.0,2,6,RUS,3.0,LAZAREV N,6 - 4,452,RUS,7:32
Steal,4,9.0,2,6,RUS,3.0,SUKNO S,6 - 4,452,CRO,7:32
5m shot - Saved,4,11.0,2,6,RUS,3.0,SETKA A,6 - 4,423,CRO,7:03
Action shot - Saved,4,2.0,2,6,RUS,3.0,LAZAREV N,6 - 4,402,RUS,6:42
20 sec. exclusion in field,4,11.0,2,6,RUS,3.0,LISUNOV S,6 - 4,397,RUS,6:37
Action shot - Goal,5,5.0,2,6,RUS,3.0,JOKOVIC M,6 - 5,373,CRO,6:13
5m shot - Missed,5,2.0,2,6,RUS,3.0,LAZAREV N,6 - 5,340,RUS,5:40
Turnover foul,5,4.0,2,6,RUS,3.0,LONCAR L,6 - 5,319,CRO,5:19
Turnover foul,5,4.0,2,6,RUS,3.0,DEREVIANKIN N,6 - 5,296,RUS,4:56
20 sec. exclusion in centre,5,2.0,2,6,RUS,3.0,LAZAREV N,6 - 5,281,RUS,4:41
Extra player shot - Goal,6,5.0,2,6,RUS,3.0,JOKOVIC M,6 - 6,278,CRO,4:38
20 sec. exclusion in centre,6,6.0,2,6,RUS,3.0,BULJUBASIC I,6 - 6,258,CRO,4:18
Extra player shot - Blocked,6,2.0,2,6,RUS,3.0,LAZAREV N,6 - 6,244,RUS,4:04
Counter attack - Saved,6,3.0,2,6,RUS,3.0,FATOVIC L,6 - 6,231,CRO,3:51
5m shot - Saved,6,7.0,2,6,RUS,3.0,MERKULOV D,6 - 6,206,RUS,3:26
Turnover foul,6,10.0,2,6,RUS,3.0,KRAPIC I,6 - 6,186,CRO,3:06
Centre shot - Saved,6,11.0,2,6,RUS,3.0,LISUNOV S,6 - 6,158,RUS,2:38
5m shot - Goal,7,3.0,2,6,RUS,3.0,FATOVIC L,6 - 7,136,CRO,2:16
20 sec. exclusion in centre,7,8.0,2,6,RUS,3.0,BUSLJE A,6 - 7,107,CRO,1:47
Extra player shot - Goal,7,11.0,2,7,RUS,3.0,LISUNOV S,7 - 7,89,RUS,1:29
20 sec. exclusion in centre,7,9.0,2,7,RUS,3.0,SUCHKOV I,7 - 7,59,RUS,0:59
Time-Out,7,,2,7,RUS,3.0,,7 - 7,59,CRO,0:59
Action shot - Goal,8,9.0,2,7,RUS,3.0,SUKNO S,7 - 8,35,CRO,0:35
20 sec. exclusion in centre,8,2.0,2,7,RUS,3.0,MACAN M,7 - 8,8,CRO,0:08
Extra player shot - Saved,8,10.0,2,7,RUS,3.0,KHOLOD D,7 - 8,1,RUS,0:01
Starting goalkeeper,8,13.0,2,7,RUS,4.0,STATSENKO V,7 - 8,480,RUS,8:00
Starting goalkeeper,8,1.0,2,7,RUS,4.0,BIJAC M,7 - 8,480,CRO,8:00
Sprint won possession,8,10.0,2,7,RUS,4.0,KHOLOD D,7 - 8,480,RUS,8:00
5m shot - Missed,8,10.0,2,7,RUS,4.0,KHOLOD D,7 - 8,451,RUS,7:31
Action shot - Post,8,9.0,2,7,RUS,4.0,SUKNO S,7 - 8,422,CRO,7:02
Turnover foul,8,10.0,2,7,RUS,4.0,KHOLOD D,7 - 8,393,RUS,6:33
Steal,8,10.0,2,7,RUS,4.0,KRAPIC I,7 - 8,393,CRO,6:33
20 sec. exclusion in centre,8,4.0,2,7,RUS,4.0,DEREVIANKIN N,7 - 8,372,RUS,6:12
Extra player shot - Saved,8,11.0,2,7,RUS,4.0,SETKA A,7 - 8,350,CRO,5:50
5m shot - Post,8,12.0,2,7,RUS,4.0,SHEPELEV R,7 - 8,326,RUS,5:26
20 sec. exclusion in field,8,7.0,2,7,RUS,4.0,MERKULOV D,7 - 8,311,RUS,5:11
Extra player shot - Goal,9,5.0,2,7,RUS,4.0,JOKOVIC M,7 - 9,308,CRO,5:08
20 sec. exclusion in field,9,3.0,2,7,RUS,4.0,FATOVIC L,7 - 9,287,CRO,4:47
Extra player shot - Post,9,7.0,2,7,RUS,4.0,MERKULOV D,7 - 9,271,RUS,4:31
20 sec. exclusion in centre,9,6.0,2,7,RUS,4.0,ASHAEV A,7 - 9,252,RUS,4:12
Turnover foul,9,4.0,2,7,RUS,4.0,LONCAR L,7 - 9,227,CRO,3:47
Steal,9,2.0,2,7,RUS,4.0,LAZAREV N,7 - 9,227,RUS,3:47
5m shot - Saved,9,7.0,2,7,RUS,4.0,MERKULOV D,7 - 9,201,RUS,3:21
Penalty foul,9,8.0,2,7,RUS,4.0,BUSLJE A,7 - 9,184,CRO,3:04
Exclusion with substitution,9,8.0,2,7,RUS,4.0,BUSLJE A,7 - 9,184,CRO,3:04
Yellow card,9,,2,7,RUS,4.0,Team Official,7 - 9,184,CRO,3:04
Penalty shot - Goal,9,7.0,2,8,RUS,4.0,MERKULOV D,8 - 9,184,RUS,3:04
Turnover foul,9,6.0,2,8,RUS,4.0,ASHAEV A,8 - 9,160,RUS,2:40
Red card,9,,2,8,RUS,4.0,Team Official,8 - 9,151,CRO,2:31
20 sec. exclusion in centre,9,6.0,2,8,RUS,4.0,BULJUBASIC I,8 - 9,147,CRO,2:27
Exclusion with substitution,9,6.0,2,8,RUS,4.0,BULJUBASIC I,8 - 9,147,CRO,2:27
Extra player shot - Saved,9,9.0,2,8,RUS,4.0,SUCHKOV I,8 - 9,130,RUS,2:10
20 sec. exclusion in centre,9,8.0,2,8,RUS,4.0,NAGAEV I,8 - 9,103,RUS,1:43
Time-Out,9,,2,8,RUS,4.0,,8 - 9,103,CRO,1:43
Action shot - Goal,10,4.0,2,8,RUS,4.0,LONCAR L,8 - 10,82,CRO,1:22
20 sec. exclusion in centre,10,2.0,2,8,RUS,4.0,MACAN M,8 - 10,61,CRO,1:01
Time-Out,10,,2,8,RUS,4.0,,8 - 10,61,RUS,1:01
Exclusion with substitution,10,4.0,2,8,RUS,4.0,LONCAR L,8 - 10,1,CRO,0:01
20 sec. exclusion in field,10,4.0,2,8,RUS,4.0,LONCAR L,8 - 10,1,CRO,0:01
Starting goalkeeper,0,1.0,3,0,JPN,1.0,TANAMURA K,0 - 0,480,JPN,8:00
Starting goalkeeper,0,1.0,3,0,JPN,1.0,BIJAC M,0 - 0,480,CRO,8:00
Sprint won possession,0,2.0,3,0,JPN,1.0,ADACHI S,0 - 0,480,JPN,8:00
Action shot - Saved,0,7.0,3,0,JPN,1.0,SHIMIZU Y,0 - 0,451,JPN,7:31
20 sec. exclusion in field,0,12.0,3,0,JPN,1.0,GARCIA GADEA J,0 - 0,447,CRO,7:27
Action shot - Saved,0,9.0,3,0,JPN,1.0,ARAI A,0 - 0,436,JPN,7:16
Action shot - Saved,0,2.0,3,0,JPN,1.0,ADACHI S,0 - 0,418,JPN,6:58
5m shot - Missed,0,9.0,3,0,JPN,1.0,SUKNO S,0 - 0,395,CRO,6:35
5m shot - Missed,0,4.0,3,0,JPN,1.0,SHIGA M,0 - 0,383,JPN,6:23
Turnover foul,0,11.0,3,0,JPN,1.0,SETKA A,0 - 0,358,CRO,5:58
Centre shot - Goal,1,8.0,3,0,JPN,1.0,BUSLJE A,0 - 1,318,CRO,5:18
Turnover foul,1,4.0,3,0,JPN,1.0,SHIGA M,0 - 1,288,JPN,4:48
20 sec. exclusion in centre,1,4.0,3,0,JPN,1.0,SHIGA M,0 - 1,275,JPN,4:35
Extra player shot - Goal,2,5.0,3,0,JPN,1.0,JOKOVIC M,0 - 2,271,CRO,4:31
Turnover foul,2,11.0,3,0,JPN,1.0,OKAWA K,0 - 2,250,JPN,4:10
Steal,2,2.0,3,0,JPN,1.0,MACAN M,0 - 2,250,CRO,4:10
5m shot - Saved,2,10.0,3,0,JPN,1.0,KRAPIC I,0 - 2,222,CRO,3:42
5m shot - Goal,2,11.0,3,1,JPN,1.0,OKAWA K,1 - 2,203,JPN,3:23
5m shot - Goal,3,5.0,3,1,JPN,1.0,JOKOVIC M,1 - 3,182,CRO,3:02
20 sec. exclusion in centre,3,2.0,3,1,JPN,1.0,MACAN M,1 - 3,169,CRO,2:49
Action shot - Post,3,4.0,3,1,JPN,1.0,SHIGA M,1 - 3,141,JPN,2:21
Turnover foul,3,11.0,3,1,JPN,1.0,OKAWA K,1 - 3,93,JPN,1:33
Steal,3,3.0,3,1,JPN,1.0,FATOVIC L,1 - 3,93,CRO,1:33
