Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,2,2.0,2,8,AUS,3.0,CAMPBELL R,2 - 8,412,AUS,6:52,Goal,1
5m shot,2,6.0,2,8,AUS,3.0,PAN N,2 - 8,384,CHN,6:24,Post,0
Action shot,2,11.0,2,8,AUS,3.0,ZHANG C,2 - 8,367,CHN,6:07,Blocked,0
5m shot,2,5.0,2,8,AUS,3.0,GUO J,2 - 8,310,CHN,5:10,Blocked,0
Action shot,2,12.0,2,8,AUS,3.0,MILLER W,2 - 8,281,AUS,4:41,Blocked,0
Penalty shot,3,5.0,2,8,AUS,3.0,GUO J,3 - 8,260,CHN,4:20,Goal,1
Centre shot,3,2.0,2,8,AUS,3.0,CAMPBELL R,3 - 8,208,AUS,3:28,Saved,0
Action shot,3,7.0,2,8,AUS,3.0,ROACH A,3 - 8,176,AUS,2:56,Post,0
5m shot,3,7.0,2,8,AUS,3.0,LI B,3 - 8,151,CHN,2:31,Blocked,0
Action shot,3,4.0,2,8,AUS,3.0,COTTERILL J,3 - 8,123,AUS,2:03,Post,0
Centre shot,3,4.0,2,8,AUS,3.0,COTTERILL J,3 - 8,64,AUS,1:04,Saved,0
5m shot,3,2.0,2,8,AUS,3.0,TAN F,3 - 8,2,CHN,0:02,Saved,0
5m shot,3,13.0,2,8,AUS,3.0,CLARK J,3 - 8,1,AUS,0:01,Saved,0
Extra player shot,3,9.0,2,9,AUS,4.0,SWIFT J,3 - 9,457,AUS,7:37,Goal,1
Action shot,3,6.0,2,9,AUS,4.0,PAN N,3 - 9,436,CHN,7:16,Saved,0
Extra player shot,3,2.0,2,9,AUS,4.0,TAN F,3 - 9,408,CHN,6:48,Blocked,0
Extra player shot,3,6.0,2,9,AUS,4.0,PAN N,3 - 9,385,CHN,6:25,Saved,0
Action shot,4,10.0,2,9,AUS,4.0,ZHANG J,4 - 9,377,CHN,6:17,Goal,1
Action shot,5,10.0,2,9,AUS,4.0,ZHANG J,5 - 9,342,CHN,5:42,Goal,1
Counter attack,6,3.0,2,9,AUS,4.0,LIANG Z,6 - 9,317,CHN,5:17,Goal,1
Centre shot,6,8.0,2,9,AUS,4.0,YOUNGER A,6 - 9,276,AUS,4:36,Saved,0
Centre shot,6,3.0,2,9,AUS,4.0,MARTIN M,6 - 9,274,AUS,4:34,Saved,0
5m shot,6,8.0,2,9,AUS,4.0,YOUNGER A,6 - 9,225,AUS,3:45,Post,0
Action shot,6,11.0,2,9,AUS,4.0,HOWDEN R,6 - 9,181,AUS,3:01,Post,0
Centre shot,6,8.0,2,9,AUS,4.0,YOUNGER A,6 - 9,180,AUS,3:00,Post,0
Action shot,6,8.0,2,9,AUS,4.0,YOUNGER A,6 - 9,33,AUS,0:33,Saved,0
Extra player shot,7,11.0,2,9,AUS,4.0,ZHANG C,7 - 9,8,CHN,0:08,Goal,1
5m shot,0,7.0,3,0,SRB,1.0,LI B,0 - 0,407,CHN,6:47,Saved,0
5m shot,0,11.0,3,0,SRB,1.0,ZHANG C,0 - 0,375,CHN,6:15,Post,0
Counter attack,0,10.0,3,1,SRB,1.0,FILIPOVIC F,1 - 0,357,SRB,5:57,Goal,1
Action shot,1,6.0,3,1,SRB,1.0,PAN N,1 - 1,328,CHN,5:28,Goal,1
5m shot,1,5.0,3,1,SRB,1.0,GUO J,1 - 1,288,CHN,4:48,Missed,0
5m shot,1,3.0,3,1,SRB,1.0,LIANG Z,1 - 1,239,CHN,3:59,Post,0
Counter attack,1,4.0,3,2,SRB,1.0,UDOVICIC V,2 - 1,227,SRB,3:47,Goal,1
Extra player shot,2,9.0,3,2,SRB,1.0,XIE J,2 - 2,186,CHN,3:06,Goal,1
Extra player shot,2,12.0,3,3,SRB,1.0,MITROVIC S,3 - 2,168,SRB,2:48,Goal,1
Action shot,2,5.0,3,3,SRB,1.0,GUO J,3 - 2,146,CHN,2:26,Saved,0
5m shot,2,11.0,3,4,SRB,1.0,PRLAINOVIC A,4 - 2,125,SRB,2:05,Goal,1
Penalty shot,2,2.0,3,4,SRB,1.0,MANDIC D,4 - 2,80,SRB,1:20,Saved,0
Extra player shot,3,3.0,3,4,SRB,1.0,LIANG Z,4 - 3,32,CHN,0:32,Goal,1
Centre shot,3,12.0,3,4,SRB,2.0,LIANG N,4 - 3,455,CHN,7:35,Blocked,0
Action shot,3,4.0,3,5,SRB,2.0,UDOVICIC V,5 - 3,434,SRB,7:14,Goal,1
Centre shot,3,12.0,3,5,SRB,2.0,LIANG N,5 - 3,415,CHN,6:55,Saved,0
Action shot,3,5.0,3,5,SRB,2.0,CUK M,5 - 3,334,SRB,5:34,Saved,0
Action shot,4,11.0,3,5,SRB,2.0,ZHANG C,5 - 4,276,CHN,4:36,Goal,1
5m shot,4,8.0,3,5,SRB,2.0,ALEKSIC M,5 - 4,252,SRB,4:12,Saved,0
Extra player shot,4,7.0,3,5,SRB,2.0,NIKIC S,5 - 4,229,SRB,3:49,Saved,0
Extra player shot,4,7.0,3,5,SRB,2.0,NIKIC S,5 - 4,221,SRB,3:41,Saved,0
Centre shot,4,4.0,3,5,SRB,2.0,JIANG B,5 - 4,196,CHN,3:16,Saved,0
Extra player shot,4,3.0,3,6,SRB,2.0,GOCIC Z,6 - 4,174,SRB,2:54,Goal,1
Extra player shot,5,12.0,3,6,SRB,2.0,LIANG N,6 - 5,142,CHN,2:22,Goal,1
Centre shot,5,6.0,3,6,SRB,2.0,PIJETLOVIC D,6 - 5,126,SRB,2:06,Saved,0
5m shot,5,3.0,3,6,SRB,2.0,LIANG Z,6 - 5,100,CHN,1:40,Blocked,0
5m shot,5,7.0,3,6,SRB,2.0,LI B,6 - 5,72,CHN,1:12,Saved,0
Counter attack,5,12.0,3,7,SRB,2.0,MITROVIC S,7 - 5,57,SRB,0:57,Goal,1
Action shot,5,11.0,3,7,SRB,4.0,ZHANG C,7 - 5,210,CHN,3:30,Blocked,0
Action shot,5,4.0,3,7,SRB,4.0,UDOVICIC V,7 - 5,191,SRB,3:11,Saved,0
Centre shot,5,6.0,3,8,SRB,2.0,PIJETLOVIC D,8 - 5,13,SRB,0:13,Goal,1
5m shot,5,5.0,3,8,SRB,2.0,GUO J,8 - 5,3,CHN,0:03,Saved,0
5m shot,5,10.0,3,9,SRB,3.0,FILIPOVIC F,9 - 5,458,SRB,7:38,Goal,1
Action shot,5,6.0,3,9,SRB,3.0,PAN N,9 - 5,438,CHN,7:18,Saved,0
Counter attack,5,12.0,3,10,SRB,3.0,MITROVIC S,10 - 5,425,SRB,7:05,Goal,1
Centre shot,5,7.0,3,11,SRB,3.0,NIKIC S,11 - 5,380,SRB,6:20,Goal,1
5m shot,6,6.0,3,11,SRB,3.0,PAN N,11 - 6,358,CHN,5:58,Goal,1
Extra player shot,7,11.0,3,11,SRB,3.0,ZHANG C,11 - 7,303,CHN,5:03,Goal,1
Penalty shot,7,4.0,3,12,SRB,3.0,UDOVICIC V,12 - 7,290,SRB,4:50,Goal,1
5m shot,7,11.0,3,12,SRB,3.0,ZHANG C,12 - 7,271,CHN,4:31,Missed,0
Action shot,7,5.0,3,12,SRB,3.0,GUO J,12 - 7,236,CHN,3:56,Missed,0
Centre shot,7,3.0,3,12,SRB,3.0,LIANG Z,12 - 7,195,CHN,3:15,Saved,0
Centre shot,7,5.0,3,12,SRB,3.0,GUO J,12 - 7,147,CHN,2:27,Saved,0
Action shot,7,9.0,3,12,SRB,3.0,RADEN N,12 - 7,77,SRB,1:17,Saved,0
5m shot,8,3.0,3,12,SRB,3.0,LIANG Z,12 - 8,49,CHN,0:49,Goal,1
Centre shot,8,6.0,3,13,SRB,3.0,PIJETLOVIC D,13 - 8,34,SRB,0:34,Goal,1
5m shot,8,7.0,3,13,SRB,3.0,LI B,13 - 8,5,CHN,0:05,Missed,0
Penalty shot,8,10.0,3,13,SRB,4.0,FILIPOVIC F,13 - 8,459,SRB,7:39,Saved,0
Action shot,8,6.0,3,14,SRB,4.0,PIJETLOVIC D,14 - 8,417,SRB,6:57,Goal,1
Action shot,8,12.0,3,14,SRB,4.0,MITROVIC S,14 - 8,368,SRB,6:08,Saved,0
5m shot,8,5.0,3,14,SRB,4.0,GUO J,14 - 8,344,CHN,5:44,Saved,0
Action shot,8,3.0,3,14,SRB,4.0,LIANG Z,14 - 8,312,CHN,5:12,Saved,0
Action shot,8,3.0,3,14,SRB,4.0,LIANG Z,14 - 8,307,CHN,5:07,Post,0
Action shot,8,3.0,3,14,SRB,4.0,LIANG Z,14 - 8,291,CHN,4:51,Saved,0
Action shot,8,7.0,3,14,SRB,4.0,NIKIC S,14 - 8,274,SRB,4:34,Saved,0
Counter attack,8,12.0,3,15,SRB,4.0,MITROVIC S,15 - 8,124,SRB,2:04,Goal,1
Action shot,9,9.0,3,15,SRB,4.0,XIE J,15 - 9,76,CHN,1:16,Goal,1
Centre shot,9,6.0,3,15,SRB,4.0,PIJETLOVIC D,15 - 9,58,SRB,0:58,Missed,0
5m shot,9,5.0,3,15,SRB,4.0,GUO J,15 - 9,36,CHN,0:36,Saved,0
Action shot,9,5.0,3,16,SRB,4.0,CUK M,16 - 9,12,SRB,0:12,Goal,1
Centre shot,9,11.0,3,16,SRB,4.0,ZHANG C,16 - 9,2,CHN,0:02,Saved,0
Action shot,0,8.0,4,1,ITA,1.0,GALLO V,1 - 0,413,ITA,6:53,Goal,1
Action shot,0,2.0,4,1,ITA,1.0,TAN F,1 - 0,348,CHN,5:48,Blocked,0
Action shot,0,5.0,4,2,ITA,1.0,GIORGETTI A,2 - 0,295,ITA,4:55,Goal,1
Centre shot,0,12.0,4,2,ITA,1.0,NAPOLITANO C,2 - 0,244,ITA,4:04,Post,0
Extra player shot,1,11.0,4,2,ITA,1.0,ZHANG C,2 - 1,188,CHN,3:08,Goal,1
Action shot,1,4.0,4,2,ITA,1.0,FIGLIOLI P,2 - 1,164,ITA,2:44,Missed,0
Centre shot,1,11.0,4,3,ITA,1.0,AICARDI M,3 - 1,80,ITA,1:20,Goal,1
Extra player shot,1,6.0,4,4,ITA,2.0,FELUGO M,4 - 1,423,ITA,7:03,Goal,1
Extra player shot,1,7.0,4,4,ITA,2.0,FIGARI N,4 - 1,322,ITA,5:22,Missed,0
Action shot,1,3.0,4,4,ITA,2.0,LIANG Z,4 - 1,305,CHN,5:05,Post,0
Action shot,1,8.0,4,4,ITA,2.0,WANG Y,4 - 1,220,CHN,3:40,Saved,0
Centre shot,2,2.0,4,4,ITA,2.0,TAN F,4 - 2,217,CHN,3:37,Goal,1
5m shot,2,3.0,4,4,ITA,2.0,LIANG Z,4 - 2,101,CHN,1:41,Saved,0
5m shot,2,6.0,4,5,ITA,2.0,FELUGO M,5 - 2,79,ITA,1:19,Goal,1
Extra player shot,2,5.0,4,6,ITA,2.0,GIORGETTI A,6 - 2,32,ITA,0:32,Goal,1
5m shot,2,11.0,4,6,ITA,2.0,ZHANG C,6 - 2,9,CHN,0:09,Blocked,0
Centre shot,2,5.0,4,6,ITA,4.0,GUO J,6 - 2,10,CHN,0:10,Post,0
Counter attack,2,4.0,4,6,ITA,2.0,FIGLIOLI P,6 - 2,1,ITA,0:01,Saved,0
Extra player shot,2,5.0,4,7,ITA,3.0,GIORGETTI A,7 - 2,442,ITA,7:22,Goal,1
Counter attack,2,9.0,4,8,ITA,3.0,PRESCIUTTI C,8 - 2,362,ITA,6:02,Goal,1
5m shot,2,7.0,4,8,ITA,3.0,LI B,8 - 2,339,CHN,5:39,Blocked,0
Action shot,2,8.0,4,9,ITA,3.0,GALLO V,9 - 2,316,ITA,5:16,Goal,1
Extra player shot,2,8.0,4,9,ITA,3.0,GALLO V,9 - 2,256,ITA,4:16,Missed,0
5m shot,2,6.0,4,9,ITA,3.0,PAN N,9 - 2,235,CHN,3:55,Missed,0
Extra player shot,2,4.0,4,9,ITA,3.0,FIGLIOLI P,9 - 2,214,ITA,3:34,Saved,0
Action shot,2,5.0,4,9,ITA,3.0,GUO J,9 - 2,137,CHN,2:17,Saved,0
5m shot,2,2.0,4,9,ITA,3.0,TAN F,9 - 2,88,CHN,1:28,Saved,0
Action shot,2,5.0,4,9,ITA,3.0,GIORGETTI A,9 - 2,63,ITA,1:03,Blocked,0
Action shot,2,10.0,4,9,ITA,3.0,ZHANG J,9 - 2,17,CHN,0:17,Saved,0
Action shot,2,2.0,4,9,ITA,3.0,PEREZ A,9 - 2,1,ITA,0:01,Blocked,0
Centre shot,2,11.0,4,9,ITA,4.0,AICARDI M,9 - 2,461,ITA,7:41,Saved,0
Extra player shot,2,3.0,4,9,ITA,4.0,LIANG Z,9 - 2,424,CHN,7:04,Blocked,0
Action shot,2,4.0,4,9,ITA,4.0,FIGLIOLI P,9 - 2,409,ITA,6:49,Post,0
Centre shot,2,11.0,4,10,ITA,4.0,AICARDI M,10 - 2,389,ITA,6:29,Goal,1
5m shot,2,3.0,4,10,ITA,4.0,LIANG Z,10 - 2,362,CHN,6:02,Blocked,0
Penalty shot,2,4.0,4,10,ITA,4.0,FIGLIOLI P,10 - 2,343,ITA,5:43,Saved,0
Action shot,2,10.0,4,10,ITA,4.0,FIORENTINI D,10 - 2,304,ITA,5:04,Missed,0
Centre shot,2,9.0,4,10,ITA,4.0,XIE J,10 - 2,276,CHN,4:36,Saved,0
Action shot,2,5.0,4,11,ITA,4.0,GIORGETTI A,11 - 2,258,ITA,4:18,Goal,1
Action shot,2,3.0,4,11,ITA,4.0,LIANG Z,11 - 2,233,CHN,3:53,Blocked,0
Centre shot,2,12.0,4,11,ITA,4.0,NAPOLITANO C,11 - 2,205,ITA,3:25,Post,0
Extra player shot,2,10.0,4,11,ITA,4.0,FIORENTINI D,11 - 2,157,ITA,2:37,Blocked,0
Action shot,2,5.0,4,11,ITA,4.0,GUO J,11 - 2,83,CHN,1:23,Saved,0
Penalty shot,3,3.0,4,11,ITA,4.0,LIANG Z,11 - 3,1,CHN,0:01,Goal,1
