Period,Time,Action,Score,Team,Player,Cap,Opponent,NZL,Seconds,Game,Opponent name
4.0,8:00,Starting goalkeeper,11 - 3,NZL,MILLAR B,1.0,11,3,480,1,AUS
4.0,8:00,Sprint won possession,11 - 3,AUS,McGHIE G,8.0,11,3,480,1,AUS
4.0,7:01,Turnover foul,11 - 3,NZL,SIEPRATH L,9.0,11,3,421,1,AUS
4.0,7:01,Steal,11 - 3,AUS,WEBSTER R,7.0,11,3,421,1,AUS
4.0,6:34,Turnover foul,11 - 3,AUS,WEBSTER R,7.0,11,3,394,1,AUS
4.0,6:34,Steal,11 - 3,NZL,SMITH L,6.0,11,3,394,1,AUS
4.0,6:12,5m shot - Blocked,11 - 3,NZL,SMITH L,6.0,11,3,372,1,AUS
4.0,5:46,Action shot - Saved,11 - 3,AUS,WEBSTER R,7.0,11,3,346,1,AUS
4.0,5:19,Turnover foul,11 - 3,NZL,LEWIS D,8.0,11,3,319,1,AUS
4.0,5:19,Steal,11 - 3,AUS,McGHIE G,8.0,11,3,319,1,AUS
4.0,5:07,Centre shot - Goal,12 - 3,AUS,BUCKLING H,3.0,12,3,307,1,AUS
4.0,4:46,5m shot - Missed,12 - 3,NZL,BOWRY C,10.0,12,3,286,1,AUS
4.0,4:41,Turnover foul,12 - 3,AUS,SOUTHERN A,10.0,12,3,281,1,AUS
4.0,4:35,5m shot - Goal,12 - 4,NZL,MASON K,3.0,12,4,275,1,AUS
4.0,4:16,5m shot - Post,12 - 4,AUS,SOUTHERN A,10.0,12,4,256,1,AUS
4.0,3:51,5m shot - Missed,12 - 4,NZL,MYLES A,12.0,12,4,231,1,AUS
4.0,3:25,Action shot - Missed,12 - 4,AUS,McGHIE G,8.0,12,4,205,1,AUS
4.0,3:13,Turnover foul,12 - 4,NZL,SIEPRATH L,9.0,12,4,193,1,AUS
4.0,3:13,Steal,12 - 4,AUS,BISHOP I,5.0,12,4,193,1,AUS
4.0,3:11,Time-Out,12 - 4,AUS,,,12,4,191,1,AUS
4.0,2:45,20 sec. exclusion in centre,12 - 4,NZL,MASON K,3.0,12,4,165,1,AUS
4.0,2:33,Turnover foul,12 - 4,AUS,GOFERS K,11.0,12,4,153,1,AUS
4.0,2:04,5m shot - Saved,12 - 4,NZL,LEWIS D,8.0,12,4,124,1,AUS
4.0,1:49,Centre shot - Goal,13 - 4,AUS,LINCOLN-SMITH H,4.0,13,4,109,1,AUS
4.0,1:23,Action shot - Saved,13 - 4,NZL,SMITH L,6.0,13,4,83,1,AUS
4.0,1:05,20 sec. exclusion in centre,13 - 4,NZL,BOWRY C,10.0,13,4,65,1,AUS
4.0,1:05,Time-Out,13 - 4,AUS,,,13,4,65,1,AUS
4.0,0:49,5m shot - Goal,14 - 4,AUS,WEBSTER R,7.0,14,4,49,1,AUS
4.0,0:23,5m shot - Saved,14 - 4,NZL,HUDSON K,11.0,14,4,23,1,AUS
4.0,0:18,20 sec. exclusion in field,14 - 4,NZL,LEWIS D,8.0,14,4,18,1,AUS
4.0,0:02,Extra player shot - Goal,15 - 4,AUS,ARANCINI Z,9.0,15,4,2,1,AUS
4.0,0:01,5m shot - Saved,15 - 4,NZL,HUDSON K,11.0,15,4,1,1,AUS
1.0,8:00,Starting goalkeeper,0 - 0,NZL,MILLAR B,1.0,0,0,480,2,RSA
1.0,8:00,Starting goalkeeper,0 - 0,RSA,JACOBS A,1.0,0,0,480,2,RSA
1.0,8:00,Sprint won possession,0 - 0,NZL,MYLES A,12.0,0,0,480,2,RSA
1.0,7:36,5m shot - Saved,0 - 0,NZL,MYLES A,12.0,0,0,456,2,RSA
1.0,7:09,Action shot - Missed,0 - 0,RSA,WHITE K,12.0,0,0,429,2,RSA
1.0,6:47,Turnover foul,0 - 0,NZL,BOWRY C,10.0,0,0,407,2,RSA
1.0,6:47,Steal,0 - 0,RSA,SCHOOLING T,6.0,0,0,407,2,RSA
1.0,6:34,Counter attack - Missed,0 - 0,RSA,SCHOOLING T,6.0,0,0,394,2,RSA
1.0,6:15,20 sec. exclusion in centre,0 - 0,RSA,WHITE K,12.0,0,0,375,2,RSA
1.0,6:00,Extra player shot - Saved,0 - 0,NZL,MASON K,3.0,0,0,360,2,RSA
1.0,5:51,Action shot - Goal,0 - 1,NZL,HUDSON K,11.0,0,1,351,2,RSA
1.0,5:30,Action shot - Saved,0 - 1,RSA,SCHOOLING T,6.0,0,1,330,2,RSA
1.0,5:07,Action shot - Goal,0 - 2,NZL,HUDSON K,11.0,0,2,307,2,RSA
1.0,4:50,Centre shot - Post,0 - 2,RSA,KAY K,7.0,0,2,290,2,RSA
1.0,4:30,Turnover foul,0 - 2,NZL,MYLES A,12.0,0,2,270,2,RSA
1.0,4:02,5m shot - Missed,0 - 2,RSA,WHITE K,12.0,0,2,242,2,RSA
1.0,3:44,Turnover foul,0 - 2,NZL,COX E,2.0,0,2,224,2,RSA
1.0,3:31,20 sec. exclusion in field,0 - 2,NZL,SMITH L,6.0,0,2,211,2,RSA
1.0,3:10,Action shot - Post,0 - 2,RSA,KILLEEN L,11.0,0,2,190,2,RSA
1.0,2:47,5m shot - Saved,0 - 2,NZL,BOWRY C,10.0,0,2,167,2,RSA
1.0,2:27,Action shot - Goal,1 - 2,RSA,WHITE K,12.0,1,2,147,2,RSA
1.0,2:05,Turnover foul,1 - 2,NZL,LEWIS N,4.0,1,2,125,2,RSA
1.0,2:05,Steal,1 - 2,RSA,KEET M,10.0,1,2,125,2,RSA
1.0,1:51,Turnover foul,1 - 2,RSA,KEET L,8.0,1,2,111,2,RSA
1.0,1:36,5m shot - Saved,1 - 2,NZL,MASON K,3.0,1,2,96,2,RSA
1.0,1:14,Turnover foul,1 - 2,RSA,KEET L,8.0,1,2,74,2,RSA
1.0,1:14,Steal,1 - 2,NZL,LANDRY S,7.0,1,2,74,2,RSA
1.0,0:52,Turnover foul,1 - 2,NZL,SIEPRATH L,9.0,1,2,52,2,RSA
1.0,0:52,Steal,1 - 2,RSA,JACOBS A,1.0,1,2,52,2,RSA
1.0,0:38,Turnover foul,1 - 2,RSA,SCHOOLING T,6.0,1,2,38,2,RSA
1.0,0:38,Steal,1 - 2,NZL,MASON K,3.0,1,2,38,2,RSA
1.0,0:20,5m shot - Goal,1 - 3,NZL,LEWIS D,8.0,1,3,20,2,RSA
1.0,0:02,Penalty foul,1 - 3,NZL,MILLAR B,1.0,1,3,2,2,RSA
1.0,0:02,Penalty shot - Goal,2 - 3,RSA,SCHOOLING T,6.0,2,3,2,2,RSA
1.0,0:01,5m shot - Missed,2 - 3,NZL,MASON K,3.0,2,3,1,2,RSA
2.0,8:00,Starting goalkeeper,2 - 3,RSA,JACOBS A,1.0,2,3,480,2,RSA
2.0,8:00,Starting goalkeeper,2 - 3,NZL,MILLAR B,1.0,2,3,480,2,RSA
2.0,8:00,Sprint won possession,2 - 3,NZL,LANDRY S,7.0,2,3,480,2,RSA
2.0,7:36,Turnover foul,2 - 3,NZL,LEWIS N,4.0,2,3,456,2,RSA
2.0,7:25,Penalty foul,2 - 3,NZL,LEWIS D,8.0,2,3,445,2,RSA
2.0,7:25,Penalty shot - Missed,2 - 3,RSA,SCHOOLING T,6.0,2,3,445,2,RSA
2.0,7:08,20 sec. exclusion in field,2 - 3,RSA,KEET M,10.0,2,3,428,2,RSA
2.0,6:46,Action shot - Goal,2 - 4,NZL,LANDRY S,7.0,2,4,406,2,RSA
2.0,6:32,Turnover foul,2 - 4,RSA,RAWSTRON C,4.0,2,4,392,2,RSA
2.0,6:32,Steal,2 - 4,NZL,MASON K,3.0,2,4,392,2,RSA
2.0,6:20,20 sec. exclusion in centre,2 - 4,RSA,SCHMIDT K,2.0,2,4,380,2,RSA
2.0,6:09,Extra player shot - Goal,2 - 5,NZL,MASON K,3.0,2,5,369,2,RSA
2.0,6:02,Turnover foul,2 - 5,RSA,SCHMIDT K,2.0,2,5,362,2,RSA
2.0,5:35,5m shot - Post,2 - 5,NZL,BOWRY C,10.0,2,5,335,2,RSA
2.0,5:08,Centre shot - Goal,3 - 5,RSA,KAY K,7.0,3,5,308,2,RSA
2.0,4:39,Action shot - Saved,3 - 5,NZL,BOWRY C,10.0,3,5,279,2,RSA
2.0,4:20,Turnover foul,3 - 5,RSA,WHITE K,12.0,3,5,260,2,RSA
2.0,4:20,Steal,3 - 5,NZL,HUDSON K,11.0,3,5,260,2,RSA
2.0,4:11,Centre shot - Saved,3 - 5,NZL,BOWRY C,10.0,3,5,251,2,RSA
2.0,4:02,Action shot - Missed,3 - 5,NZL,SIEPRATH L,9.0,3,5,242,2,RSA
2.0,3:39,Turnover foul,3 - 5,RSA,KAY K,7.0,3,5,219,2,RSA
2.0,3:39,Steal,3 - 5,NZL,BOWRY C,10.0,3,5,219,2,RSA
2.0,3:19,Turnover foul,3 - 5,NZL,SIEPRATH L,9.0,3,5,199,2,RSA
2.0,3:19,Steal,3 - 5,RSA,KEET M,10.0,3,5,199,2,RSA
2.0,3:06,Turnover foul,3 - 5,RSA,KAY K,7.0,3,5,186,2,RSA
2.0,3:06,Steal,3 - 5,NZL,MYLES A,12.0,3,5,186,2,RSA
2.0,3:05,20 sec. exclusion in field,3 - 5,RSA,KEET M,10.0,3,5,185,2,RSA
2.0,3:05,Time-Out,3 - 5,NZL,,,3,5,185,2,RSA
4.0,6:35,Turnover foul,3 - 5,NZL,LEWIS N,4.0,3,5,395,2,RSA
4.0,6:21,Action shot - Goal,6 - 10,RSA,WHITE K,12.0,6,10,381,2,RSA
