Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,4.0,0,7,0,AUS,1.0,LINCOLN-SMITH H,0 - 0,410,AUS,6:50
Turnover foul,8.0,0,7,0,AUS,1.0,PENA P,0 - 0,391,ESP,6:31
Steal,7.0,0,7,0,AUS,1.0,WEBSTER R,0 - 0,391,AUS,6:31
Turnover foul,8.0,0,7,0,AUS,1.0,McGHIE G,0 - 0,371,AUS,6:11
Steal,6.0,0,7,0,AUS,1.0,PAREJA J,0 - 0,371,ESP,6:11
Turnover foul,11.0,0,7,0,AUS,1.0,GARCIA GODOY M,0 - 0,345,ESP,5:45
Centre shot - Saved,4.0,0,7,0,AUS,1.0,LINCOLN-SMITH H,0 - 0,318,AUS,5:18
20 sec. exclusion in centre,12.0,0,7,0,AUS,1.0,ZAGAME N,0 - 0,295,AUS,4:55
Extra player shot - Goal,11.0,1,7,0,AUS,1.0,GARCIA GODOY M,0 - 1,280,ESP,4:40
5m shot - Saved,7.0,1,7,0,AUS,1.0,WEBSTER R,0 - 1,251,AUS,4:11
Turnover foul,8.0,1,7,0,AUS,1.0,PENA P,0 - 1,237,ESP,3:57
20 sec. exclusion in centre,5.0,1,7,0,AUS,1.0,ORTIZ M,0 - 1,215,ESP,3:35
Extra player shot - Blocked,10.0,1,7,0,AUS,1.0,SOUTHERN A,0 - 1,201,AUS,3:21
Turnover foul,9.0,1,7,0,AUS,1.0,BLAS A,0 - 1,176,ESP,2:56
Steal,13.0,1,7,0,AUS,1.0,WAKEFIELD K,0 - 1,176,AUS,2:56
20 sec. exclusion in centre,6.0,1,7,0,AUS,1.0,KNOX B,0 - 1,117,AUS,1:57
20 sec. exclusion in centre,7.0,1,7,0,AUS,1.0,WEBSTER R,0 - 1,117,AUS,1:57
Extra player shot - Goal,12.0,2,7,0,AUS,1.0,LOPEZ L,0 - 2,102,ESP,1:42
5m shot - Post,12.0,2,7,0,AUS,1.0,ZAGAME N,0 - 2,73,AUS,1:13
Action shot - Saved,6.0,2,7,0,AUS,1.0,PAREJA J,0 - 2,48,ESP,0:48
20 sec. exclusion in centre,3.0,2,7,0,AUS,1.0,ESPAR A,0 - 2,26,ESP,0:26
Extra player shot - Goal,9.0,2,7,1,AUS,1.0,ARANCINI Z,1 - 2,8,AUS,0:08
5m shot - Missed,4.0,2,7,1,AUS,1.0,TARRAGO R,1 - 2,4,ESP,0:04
Turnover foul,8.0,2,7,1,AUS,1.0,McGHIE G,1 - 2,1,AUS,0:01
Starting goalkeeper,1.0,2,7,1,AUS,2.0,ESTER L,1 - 2,480,ESP,8:00
Starting goalkeeper,13.0,2,7,1,AUS,2.0,WAKEFIELD K,1 - 2,480,AUS,8:00
Sprint won possession,6.0,2,7,1,AUS,2.0,PAREJA J,1 - 2,480,ESP,8:00
Turnover foul,11.0,2,7,1,AUS,2.0,GARCIA GODOY M,1 - 2,458,ESP,7:38
Steal,6.0,2,7,1,AUS,2.0,KNOX B,1 - 2,458,AUS,7:38
Action shot - Saved,8.0,2,7,1,AUS,2.0,McGHIE G,1 - 2,432,AUS,7:12
20 sec. exclusion in centre,6.0,2,7,1,AUS,2.0,KNOX B,1 - 2,409,AUS,6:49
Extra player shot - Goal,6.0,3,7,1,AUS,2.0,PAREJA J,1 - 3,390,ESP,6:30
20 sec. exclusion in centre,2.0,3,7,1,AUS,2.0,BACH M,1 - 3,372,ESP,6:12
Extra player shot - Goal,8.0,3,7,2,AUS,2.0,McGHIE G,2 - 3,368,AUS,6:08
Turnover foul,9.0,3,7,2,AUS,2.0,BLAS A,2 - 3,347,ESP,5:47
Steal,9.0,3,7,2,AUS,2.0,ARANCINI Z,2 - 3,347,AUS,5:47
Action shot - Post,12.0,3,7,2,AUS,2.0,ZAGAME N,2 - 3,322,AUS,5:22
20 sec. exclusion in field,3.0,3,7,2,AUS,2.0,BUCKLING H,2 - 3,311,AUS,5:11
Extra player shot - Goal,9.0,4,7,2,AUS,2.0,BLAS A,2 - 4,311,ESP,5:11
Turnover foul,6.0,4,7,2,AUS,2.0,PAREJA J,2 - 4,255,ESP,4:15
Steal,4.0,4,7,2,AUS,2.0,LINCOLN-SMITH H,2 - 4,255,AUS,4:15
Turnover foul,12.0,4,7,2,AUS,2.0,ZAGAME N,2 - 4,233,AUS,3:53
5m shot - Blocked,3.0,4,7,2,AUS,2.0,ESPAR A,2 - 4,207,ESP,3:27
5m shot - Blocked,12.0,4,7,2,AUS,2.0,ZAGAME N,2 - 4,178,AUS,2:58
20 sec. exclusion in centre,10.0,4,7,2,AUS,2.0,SOUTHERN A,2 - 4,158,AUS,2:38
Extra player shot - Missed,4.0,4,7,2,AUS,2.0,TARRAGO R,2 - 4,138,ESP,2:18
20 sec. exclusion in centre,3.0,4,7,2,AUS,2.0,ESPAR A,2 - 4,124,ESP,2:04
Extra player shot - Goal,7.0,4,7,3,AUS,2.0,WEBSTER R,3 - 4,106,AUS,1:46
5m shot - Goal,4.0,5,7,3,AUS,2.0,TARRAGO R,3 - 5,76,ESP,1:16
20 sec. exclusion in field,7.0,5,7,3,AUS,2.0,MIRANDA L,3 - 5,58,ESP,0:58
Extra player shot - Saved,3.0,5,7,3,AUS,2.0,BUCKLING H,3 - 5,44,AUS,0:44
Action shot - Blocked,12.0,5,7,3,AUS,2.0,ZAGAME N,3 - 5,38,AUS,0:38
5m shot - Missed,12.0,5,7,3,AUS,2.0,LOPEZ L,3 - 5,11,ESP,0:11
Turnover foul,6.0,5,7,3,AUS,2.0,KNOX B,3 - 5,2,AUS,0:02
Steal,12.0,5,7,3,AUS,2.0,LOPEZ L,3 - 5,2,ESP,0:02
Starting goalkeeper,1.0,5,7,3,AUS,3.0,ESTER L,3 - 5,480,ESP,8:00
Starting goalkeeper,13.0,5,7,3,AUS,3.0,WAKEFIELD K,3 - 5,480,AUS,8:00
Exclusion with substitution,10.0,5,7,3,AUS,4.0,SOUTHERN A,3 - 5,174,AUS,2:54
Time-Out,,5,7,3,AUS,4.0,,3 - 5,174,ESP,2:54
Turnover foul,3.0,5,7,3,AUS,4.0,ESPAR A,3 - 5,147,ESP,2:27
Steal,12.0,5,7,3,AUS,4.0,ZAGAME N,3 - 5,147,AUS,2:27
