Action,Cap,Game,Period,Player,Score,Team,Time,Result,Goal
Centre shot,7.0,4,2.0,WEBSTER R,0 - 0,AUS,6:11,Saved,0
Action shot,8.0,4,2.0,NEUSHUL K,0 - 0,USA,5:14,Post,0
Action shot,7.0,4,2.0,WEBSTER R,0 - 0,AUS,4:56,Post,0
Action shot,12.0,4,2.0,WILLIAMS A,0 - 0,USA,4:24,Saved,0
Action shot,2.0,4,2.0,GOFERS K,0 - 0,AUS,3:53,Saved,0
Extra player shot,7.0,4,2.0,RANEY J,1 - 0,USA,3:28,Goal,1
Action shot,7.0,4,2.0,RANEY J,2 - 0,USA,2:29,Goal,1
5m shot,11.0,4,2.0,FISCHER M,2 - 0,USA,1:05,Blocked,0
Action shot,2.0,4,2.0,MUSSELMAN M,3 - 0,USA,0:36,Goal,1
Extra player shot,4.0,4,2.0,HALLIGAN B,3 - 0,AUS,0:01,Saved,0
Extra player shot,2.0,4,3.0,MUSSELMAN M,3 - 0,USA,7:14,Saved,0
Action shot,2.0,4,3.0,MUSSELMAN M,3 - 0,USA,6:56,Missed,0
Action shot,2.0,4,3.0,GOFERS K,3 - 1,AUS,6:27,Goal,1
5m shot,5.0,4,3.0,BISHOP I,3 - 1,AUS,5:08,Saved,0
Action shot,8.0,4,3.0,NEUSHUL K,3 - 1,USA,4:36,Saved,0
5m shot,10.0,4,3.0,MIHAILOVIC L,3 - 1,AUS,4:03,Saved,0
Action shot,2.0,4,3.0,MUSSELMAN M,3 - 1,USA,3:43,Saved,0
Action shot,3.0,4,3.0,SEIDEMANN M,4 - 1,USA,3:02,Goal,1
Action shot,2.0,4,3.0,GOFERS K,4 - 2,AUS,2:17,Goal,1
Action shot,11.0,4,3.0,FISCHER M,4 - 2,USA,1:54,Missed,0
Centre shot,9.0,4,3.0,FISCHER A,4 - 2,USA,1:11,Saved,0
Action shot,10.0,4,3.0,NEUSHUL J,5 - 2,USA,1:10,Goal,1
5m shot,3.0,4,3.0,SEIDEMANN M,5 - 2,USA,0:15,Saved,0
Action shot,8.0,4,4.0,NEUSHUL K,5 - 2,USA,6:49,Saved,0
Action shot,5.0,4,4.0,BISHOP I,5 - 2,AUS,6:17,Saved,0
Action shot,2.0,4,4.0,GOFERS K,5 - 3,AUS,5:42,Goal,1
Action shot,12.0,4,4.0,WILLIAMS A,5 - 3,USA,5:26,Post,0
Extra player shot,2.0,4,4.0,MUSSELMAN M,6 - 3,USA,4:08,Goal,1
Centre shot,3.0,4,4.0,SEIDEMANN M,6 - 3,USA,3:20,Saved,0
5m shot,7.0,4,4.0,WEBSTER R,6 - 3,AUS,3:02,Missed,0
Action shot,4.0,4,4.0,FATTAL R,7 - 3,USA,2:45,Goal,1
