AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
13,Action shot,10.0,2,5,CHN,3.0,SOUTHERN A,13 - 5,414,AUS,6:54,Saved,0
5,Extra player shot,12.0,2,5,CHN,3.0,ZAGAME N,5 - 5,386,AUS,6:26,Goal,1
5,Action shot,8.0,2,5,CHN,3.0,McGHIE G,5 - 5,331,AUS,5:31,Post,0
5,5m shot,10.0,2,5,CHN,3.0,MA H,5 - 5,312,CHN,5:12,Missed,0
6,Action shot,8.0,2,5,CHN,3.0,McGHIE G,6 - 5,272,AUS,4:32,Goal,1
7,Centre shot,9.0,2,5,CHN,3.0,ARANCINI Z,7 - 5,228,AUS,3:48,Goal,1
7,Action shot,11.0,2,5,CHN,3.0,ZHANG C,7 - 5,203,CHN,3:23,Blocked,0
8,Action shot,6.0,2,5,CHN,3.0,KNOX B,8 - 5,175,AUS,2:55,Goal,1
8,Action shot,11.0,2,5,CHN,3.0,ZHANG C,8 - 5,151,CHN,2:31,Saved,0
9,Extra player shot,12.0,2,5,CHN,3.0,ZAGAME N,9 - 5,30,AUS,0:30,Goal,1
9,Action shot,12.0,2,5,CHN,3.0,XIA Q,9 - 5,13,CHN,0:13,Missed,0
10,Extra player shot,10.0,2,5,CHN,3.0,SOUTHERN A,10 - 5,1,AUS,0:01,Goal,1
10,5m shot,7.0,2,5,CHN,3.0,SONG D,10 - 5,1,CHN,0:01,Blocked,0
10,Action shot,8.0,2,5,CHN,4.0,McGHIE G,10 - 5,452,AUS,7:32,Post,0
10,5m shot,10.0,2,5,CHN,4.0,MA H,10 - 5,430,CHN,7:10,Saved,0
10,Action shot,10.0,2,5,CHN,4.0,SOUTHERN A,10 - 5,349,AUS,5:49,Blocked,0
10,5m shot,10.0,2,5,CHN,4.0,MA H,10 - 5,320,CHN,5:20,Blocked,0
10,Action shot,8.0,2,5,CHN,4.0,McGHIE G,10 - 5,290,AUS,4:50,Post,0
10,Extra player shot,11.0,2,5,CHN,4.0,ZHANG C,10 - 5,251,CHN,4:11,Blocked,0
11,Counter attack,10.0,2,5,CHN,4.0,SOUTHERN A,11 - 5,218,AUS,3:38,Goal,1
11,Action shot,8.0,2,5,CHN,4.0,XU L,11 - 5,193,CHN,3:13,Post,0
12,Action shot,5.0,2,5,CHN,4.0,BISHOP I,12 - 5,172,AUS,2:52,Goal,1
12,Action shot,5.0,2,5,CHN,4.0,BISHOP I,12 - 5,125,AUS,2:05,Saved,0
14,Centre shot,7.0,2,5,CHN,4.0,WEBSTER R,14 - 5,15,AUS,0:15,Goal,1
14,5m shot,11.0,2,5,CHN,4.0,ZHANG C,14 - 5,1,CHN,0:01,Missed,0
0,5m shot,12.0,3,0,RSA,1.0,WHITE K,0 - 0,425,RSA,7:05,Saved,0
0,Extra player shot,7.0,3,0,RSA,1.0,WEBSTER R,0 - 0,326,AUS,5:26,Missed,0
0,Action shot,11.0,3,0,RSA,1.0,GOFERS K,0 - 0,288,AUS,4:48,Saved,0
0,Action shot,9.0,3,0,RSA,1.0,ARANCINI Z,0 - 0,269,AUS,4:29,Post,0
0,Action shot,6.0,3,0,RSA,1.0,SCHOOLING T,0 - 0,201,RSA,3:21,Saved,0
0,Extra player shot,11.0,3,0,RSA,1.0,GOFERS K,0 - 0,158,AUS,2:38,Saved,0
1,Penalty shot,7.0,3,0,RSA,1.0,WEBSTER R,1 - 0,158,AUS,2:38,Goal,1
2,Action shot,12.0,3,0,RSA,1.0,ZAGAME N,2 - 0,125,AUS,2:05,Goal,1
2,5m shot,10.0,3,0,RSA,1.0,KEET M,2 - 0,105,RSA,1:45,Missed,0
2,Counter attack,10.0,3,0,RSA,1.0,SOUTHERN A,2 - 0,96,AUS,1:36,Saved,0
3,Centre shot,4.0,3,0,RSA,1.0,LINCOLN-SMITH H,3 - 0,84,AUS,1:24,Goal,1
4,Action shot,5.0,3,0,RSA,1.0,BISHOP I,4 - 0,38,AUS,0:38,Goal,1
4,5m shot,12.0,3,0,RSA,1.0,WHITE K,4 - 0,19,RSA,0:19,Missed,0
4,Action shot,7.0,3,0,RSA,2.0,KAY K,4 - 0,460,RSA,7:40,Blocked,0
4,5m shot,10.0,3,0,RSA,2.0,SOUTHERN A,4 - 0,446,AUS,7:26,Post,0
5,Action shot,4.0,3,0,RSA,2.0,LINCOLN-SMITH H,5 - 0,417,AUS,6:57,Goal,1
5,Action shot,12.0,3,0,RSA,2.0,WHITE K,5 - 0,352,RSA,5:52,Saved,0
6,Centre shot,2.0,3,0,RSA,2.0,APPEL J,6 - 0,337,AUS,5:37,Goal,1
6,Counter attack,3.0,3,0,RSA,2.0,BUCKLING H,6 - 0,315,AUS,5:15,Post,0
7,Counter attack,11.0,3,0,RSA,2.0,GOFERS K,7 - 0,286,AUS,4:46,Goal,1
7,Action shot,3.0,3,0,RSA,2.0,PALEY K,7 - 0,262,RSA,4:22,Blocked,0
7,Action shot,8.0,3,0,RSA,2.0,McGHIE G,7 - 0,217,AUS,3:37,Saved,0
7,Action shot,12.0,3,1,RSA,2.0,WHITE K,7 - 1,171,RSA,2:51,Goal,1
7,5m shot,8.0,3,1,RSA,2.0,McGHIE G,7 - 1,143,AUS,2:23,Post,0
7,Action shot,7.0,3,1,RSA,4.0,WEBSTER R,7 - 1,70,AUS,1:10,Saved,0
8,Action shot,7.0,3,1,RSA,2.0,WEBSTER R,8 - 1,102,AUS,1:42,Goal,1
8,Extra player shot,7.0,3,1,RSA,2.0,KAY K,8 - 1,73,RSA,1:13,Blocked,0
8,Action shot,12.0,3,1,RSA,2.0,WHITE K,8 - 1,19,RSA,0:19,Post,0
9,Extra player shot,7.0,3,1,RSA,2.0,WEBSTER R,9 - 1,3,AUS,0:03,Goal,1
9,5m shot,12.0,3,1,RSA,2.0,WHITE K,9 - 1,1,RSA,0:01,Saved,0
10,Extra player shot,9.0,3,1,RSA,3.0,ARANCINI Z,10 - 1,443,AUS,7:23,Goal,1
10,5m shot,4.0,3,1,RSA,3.0,LINCOLN-SMITH H,10 - 1,398,AUS,6:38,Missed,0
10,5m shot,7.0,3,1,RSA,3.0,KAY K,10 - 1,368,RSA,6:08,Blocked,0
11,Action shot,9.0,3,1,RSA,3.0,ARANCINI Z,11 - 1,279,AUS,4:39,Goal,1
11,Extra player shot,5.0,3,1,RSA,3.0,SCHOOLING M,11 - 1,242,RSA,4:02,Saved,0
11,Action shot,7.0,3,1,RSA,3.0,WEBSTER R,11 - 1,219,AUS,3:39,Post,0
12,Centre shot,4.0,3,1,RSA,3.0,LINCOLN-SMITH H,12 - 1,172,AUS,2:52,Goal,1
12,Action shot,6.0,3,1,RSA,3.0,SCHOOLING T,12 - 1,149,RSA,2:29,Missed,0
12,Action shot,3.0,3,1,RSA,3.0,BUCKLING H,12 - 1,138,AUS,2:18,Saved,0
13,Counter attack,10.0,3,1,RSA,3.0,SOUTHERN A,13 - 1,101,AUS,1:41,Goal,1
14,Penalty shot,10.0,3,1,RSA,3.0,SOUTHERN A,14 - 1,73,AUS,1:13,Goal,1
14,Centre shot,3.0,3,1,RSA,3.0,PALEY K,14 - 1,62,RSA,1:02,Missed,0
14,Action shot,4.0,3,1,RSA,3.0,LINCOLN-SMITH H,14 - 1,2,AUS,0:02,Missed,0
14,Action shot,9.0,3,1,RSA,4.0,ARANCINI Z,14 - 1,452,AUS,7:32,Saved,0
14,5m shot,5.0,3,1,RSA,4.0,BISHOP I,14 - 1,392,AUS,6:32,Blocked,0
14,Centre shot,11.0,3,1,RSA,4.0,GOFERS K,14 - 1,343,AUS,5:43,Missed,0
15,Action shot,5.0,3,1,RSA,4.0,BISHOP I,15 - 1,305,AUS,5:05,Goal,1
15,5m shot,11.0,3,1,RSA,4.0,GOFERS K,15 - 1,250,AUS,4:10,Missed,0
15,Centre shot,7.0,3,1,RSA,4.0,KAY K,15 - 1,232,RSA,3:52,Missed,0
15,5m shot,10.0,3,1,RSA,4.0,KEET M,15 - 1,177,RSA,2:57,Missed,0
16,Extra player shot,6.0,3,1,RSA,4.0,KNOX B,16 - 1,154,AUS,2:34,Goal,1
0,Action shot,9.0,4,0,UZB,1.0,HALIKOVA R,0 - 0,428,UZB,7:08,Missed,0
1,Centre shot,6.0,4,0,UZB,1.0,KNOX B,1 - 0,409,AUS,6:49,Goal,1
1,Action shot,3.0,4,0,UZB,1.0,SARANCHA A,1 - 0,333,UZB,5:33,Blocked,0
2,Centre shot,4.0,4,0,UZB,1.0,LINCOLN-SMITH H,2 - 0,307,AUS,5:07,Goal,1
3,Centre shot,7.0,4,0,UZB,1.0,WEBSTER R,3 - 0,285,AUS,4:45,Goal,1
4,Action shot,9.0,4,0,UZB,1.0,ARANCINI Z,4 - 0,238,AUS,3:58,Goal,1
4,Action shot,8.0,4,0,UZB,1.0,McGHIE G,4 - 0,188,AUS,3:08,Post,0
4,Action shot,7.0,4,0,UZB,1.0,WEBSTER R,4 - 0,170,AUS,2:50,Post,0
4,5m shot,3.0,4,0,UZB,1.0,SARANCHA A,4 - 0,143,UZB,2:23,Missed,0
