Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,5,5.0,3,1,NZL,2.0,BOYD A,5 - 1,203,NZL,3:23,Saved,0
5m shot,5,3.0,3,1,NZL,2.0,MASON K,5 - 1,150,NZL,2:30,Post,0
Action shot,6,7.0,3,1,NZL,2.0,SONG D,6 - 1,128,CHN,2:08,Goal,1
Extra player shot,6,10.0,3,1,NZL,2.0,BOWRY C,6 - 1,94,NZL,1:34,Missed,0
5m shot,6,3.0,3,1,NZL,2.0,LIU P,6 - 1,70,CHN,1:10,Saved,0
Action shot,6,6.0,3,1,NZL,2.0,SMITH L,6 - 1,44,NZL,0:44,Post,0
Action shot,6,11.0,3,1,NZL,2.0,ZHANG C,6 - 1,20,CHN,0:20,Blocked,0
Extra player shot,6,5.0,3,1,NZL,3.0,HE J,6 - 1,445,CHN,7:25,Post,0
5m shot,7,10.0,3,1,NZL,3.0,MA H,7 - 1,419,CHN,6:59,Goal,1
Action shot,7,12.0,3,2,NZL,3.0,MYLES A,7 - 2,398,NZL,6:38,Goal,1
5m shot,7,11.0,3,2,NZL,3.0,HUDSON K,7 - 2,325,NZL,5:25,Missed,0
5m shot,8,4.0,3,2,NZL,3.0,SUN Y,8 - 2,299,CHN,4:59,Goal,1
5m shot,8,3.0,3,2,NZL,3.0,MASON K,8 - 2,270,NZL,4:30,Post,0
Action shot,8,12.0,3,2,NZL,3.0,XIA Q,8 - 2,257,CHN,4:17,Saved,0
Extra player shot,9,7.0,3,2,NZL,3.0,SONG D,9 - 2,234,CHN,3:54,Goal,1
5m shot,9,12.0,3,3,NZL,3.0,MYLES A,9 - 3,218,NZL,3:38,Goal,1
5m shot,9,5.0,3,4,NZL,3.0,BOYD A,9 - 4,176,NZL,2:56,Goal,1
Action shot,9,6.0,3,4,NZL,3.0,SMITH L,9 - 4,132,NZL,2:12,Saved,0
Action shot,9,11.0,3,4,NZL,3.0,ZHANG C,9 - 4,116,CHN,1:56,Missed,0
5m shot,9,3.0,3,4,NZL,3.0,MASON K,9 - 4,94,NZL,1:34,Post,0
Action shot,10,4.0,3,4,NZL,3.0,SUN Y,10 - 4,65,CHN,1:05,Goal,1
Extra player shot,10,12.0,3,4,NZL,3.0,MYLES A,10 - 4,32,NZL,0:32,Blocked,0
Extra player shot,11,10.0,3,4,NZL,3.0,MA H,11 - 4,11,CHN,0:11,Goal,1
5m shot,11,10.0,3,4,NZL,3.0,BOWRY C,11 - 4,1,NZL,0:01,Saved,0
5m shot,11,7.0,3,4,NZL,4.0,SONG D,11 - 4,454,CHN,7:34,Post,0
Action shot,11,3.0,3,4,NZL,4.0,MASON K,11 - 4,423,NZL,7:03,Missed,0
Centre shot,11,5.0,3,4,NZL,4.0,HE J,11 - 4,403,CHN,6:43,Blocked,0
Centre shot,11,6.0,3,4,NZL,4.0,SUN Y,11 - 4,356,CHN,5:56,Missed,0
5m shot,11,6.0,3,4,NZL,4.0,SMITH L,11 - 4,332,NZL,5:32,Missed,0
Extra player shot,11,9.0,3,4,NZL,4.0,SIEPRATH L,11 - 4,266,NZL,4:26,Saved,0
Extra player shot,11,10.0,3,5,NZL,4.0,BOWRY C,11 - 5,232,NZL,3:52,Goal,1
Extra player shot,12,7.0,3,5,NZL,4.0,SONG D,12 - 5,210,CHN,3:30,Goal,1
Action shot,12,10.0,3,5,NZL,4.0,BOWRY C,12 - 5,184,NZL,3:04,Saved,0
Action shot,12,2.0,3,5,NZL,4.0,TENG F,12 - 5,156,CHN,2:36,Saved,0
5m shot,12,10.0,3,5,NZL,4.0,BOWRY C,12 - 5,130,NZL,2:10,Saved,0
Extra player shot,13,3.0,3,5,NZL,4.0,LIU P,13 - 5,111,CHN,1:51,Goal,1
Action shot,13,7.0,3,5,NZL,4.0,SONG D,13 - 5,3,CHN,0:03,Blocked,0
Action shot,0,2.0,4,1,NED,1.0,SMIT Y,0 - 1,391,NED,6:31,Goal,1
Centre shot,0,4.0,4,1,NED,1.0,SUN Y,0 - 1,361,CHN,6:01,Saved,0
Extra player shot,0,10.0,4,1,NED,1.0,MA H,0 - 1,311,CHN,5:11,Blocked,0
Penalty shot,1,10.0,4,1,NED,1.0,MA H,1 - 1,306,CHN,5:06,Goal,1
Penalty shot,2,10.0,4,1,NED,1.0,MA H,2 - 1,270,CHN,4:30,Goal,1
Centre shot,2,7.0,4,2,NED,1.0,van BELKUM I,2 - 2,253,NED,4:13,Goal,1
5m shot,2,3.0,4,2,NED,1.0,LIU P,2 - 2,235,CHN,3:55,Post,0
Action shot,2,6.0,4,2,NED,1.0,STOMPHORST N,2 - 2,206,NED,3:26,Post,0
5m shot,2,4.0,4,2,NED,1.0,SUN Y,2 - 2,177,CHN,2:57,Blocked,0
Centre shot,2,7.0,4,2,NED,1.0,van BELKUM I,2 - 2,157,NED,2:37,Saved,0
Action shot,2,11.0,4,2,NED,1.0,ZHANG C,2 - 2,131,CHN,2:11,Saved,0
5m shot,2,8.0,4,2,NED,1.0,SEVENICH V,2 - 2,101,NED,1:41,Missed,0
Extra player shot,2,6.0,4,2,NED,1.0,STOMPHORST N,2 - 2,33,NED,0:33,Saved,0
5m shot,2,10.0,4,2,NED,1.0,MA H,2 - 2,10,CHN,0:10,Missed,0
5m shot,2,6.0,4,2,NED,1.0,STOMPHORST N,2 - 2,1,NED,0:01,Saved,0
Action shot,2,6.0,4,2,NED,2.0,STOMPHORST N,2 - 2,456,NED,7:36,Post,0
Action shot,2,6.0,4,3,NED,2.0,STOMPHORST N,2 - 3,413,NED,6:53,Goal,1
Centre shot,2,5.0,4,3,NED,2.0,HE J,2 - 3,390,CHN,6:30,Post,0
Action shot,2,11.0,4,3,NED,2.0,KLAASSEN L,2 - 3,363,NED,6:03,Saved,0
5m shot,3,7.0,4,3,NED,2.0,SONG D,3 - 3,337,CHN,5:37,Goal,1
Action shot,3,2.0,4,4,NED,2.0,SMIT Y,3 - 4,321,NED,5:21,Goal,1
Extra player shot,3,2.0,4,4,NED,2.0,TENG F,3 - 4,287,CHN,4:47,Blocked,0
