Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,4,2.0,2,3,AUS,2.0,TENG F,3 - 4,216,CHN,3:36
Turnover foul,4,4.0,2,3,AUS,2.0,SUN Y,3 - 4,202,CHN,3:22
Steal,4,12.0,2,3,AUS,2.0,ZAGAME N,3 - 4,202,AUS,3:22
Action shot - Goal,4,8.0,2,4,AUS,2.0,McGHIE G,4 - 4,183,AUS,3:03
Turnover foul,4,6.0,2,4,AUS,2.0,SUN Y,4 - 4,162,CHN,2:42
20 sec. exclusion in field,4,4.0,2,4,AUS,2.0,SUN Y,4 - 4,160,CHN,2:40
Action shot - Saved,4,5.0,2,4,AUS,2.0,BISHOP I,4 - 4,131,AUS,2:11
Action shot - Saved,4,2.0,2,4,AUS,2.0,TENG F,4 - 4,105,CHN,1:45
Centre shot - Saved,4,4.0,2,4,AUS,2.0,LINCOLN-SMITH H,4 - 4,78,AUS,1:18
20 sec. exclusion in field,4,7.0,2,4,AUS,2.0,WEBSTER R,4 - 4,77,AUS,1:17
Extra player shot - Goal,5,11.0,2,4,AUS,2.0,ZHANG C,4 - 5,64,CHN,1:04
Action shot - Saved,5,10.0,2,4,AUS,2.0,SOUTHERN A,4 - 5,35,AUS,0:35
Action shot - Post,5,9.0,2,4,AUS,2.0,ARANCINI Z,4 - 5,11,AUS,0:11
Starting goalkeeper,5,1.0,2,4,AUS,3.0,YANG J,4 - 5,480,CHN,8:00
Starting goalkeeper,5,13.0,2,4,AUS,3.0,WAKEFIELD K,4 - 5,480,AUS,8:00
Time-Out,5,,2,4,AUS,4.0,,4 - 5,103,AUS,1:43
Action shot - Goal,5,5.0,2,13,AUS,4.0,BISHOP I,13 - 5,79,AUS,1:19
Action shot - Blocked,5,3.0,2,13,AUS,4.0,LIU P,13 - 5,51,CHN,0:51
Turnover foul,5,11.0,2,13,AUS,4.0,GOFERS K,13 - 5,45,AUS,0:45
Steal,5,6.0,2,13,AUS,4.0,SUN Y,13 - 5,45,CHN,0:45
Sprint won possession,5,6.0,2,13,AUS,3.0,SUN Y,13 - 5,480,CHN,8:00
20 sec. exclusion in centre,5,3.0,2,13,AUS,3.0,BUCKLING H,13 - 5,463,AUS,7:43
Turnover foul,5,11.0,2,13,AUS,3.0,ZHANG C,13 - 5,436,CHN,7:16
Steal,5,3.0,2,13,AUS,3.0,BUCKLING H,13 - 5,436,AUS,7:16
Action shot - Saved,5,10.0,2,13,AUS,3.0,SOUTHERN A,13 - 5,414,AUS,6:54
Turnover foul,5,2.0,2,13,AUS,3.0,TENG F,13 - 5,399,CHN,6:39
Steal,5,6.0,2,13,AUS,3.0,KNOX B,13 - 5,399,AUS,6:39
20 sec. exclusion in field,5,4.0,2,13,AUS,3.0,SUN Y,13 - 5,394,CHN,6:34
Extra player shot - Goal,5,12.0,2,5,AUS,3.0,ZAGAME N,5 - 5,386,AUS,6:26
Turnover foul,5,7.0,2,5,AUS,3.0,SONG D,5 - 5,360,CHN,6:00
Steal,5,2.0,2,5,AUS,3.0,APPEL J,5 - 5,360,AUS,6:00
Action shot - Post,5,8.0,2,5,AUS,3.0,McGHIE G,5 - 5,331,AUS,5:31
5m shot - Missed,5,10.0,2,5,AUS,3.0,MA H,5 - 5,312,CHN,5:12
Turnover foul,5,8.0,2,5,AUS,3.0,McGHIE G,5 - 5,311,AUS,5:11
Turnover foul,5,4.0,2,5,AUS,3.0,SUN Y,5 - 5,297,CHN,4:57
Steal,5,2.0,2,5,AUS,3.0,APPEL J,5 - 5,297,AUS,4:57
Action shot - Goal,5,8.0,2,6,AUS,3.0,McGHIE G,6 - 5,272,AUS,4:32
