Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,4.0,1,1,14,NED,3.0,SACRE A,14 - 1,104,FRA,1:44,Saved,0
5m shot,7.0,1,1,14,NED,3.0,NIJHUIS M,14 - 1,23,NED,0:23,Post,0
Action shot,12.0,1,1,14,NED,3.0,DAULE A,14 - 1,4,FRA,0:04,Missed,0
Penalty shot,4.0,1,1,15,NED,3.0,van der SLOOT S,15 - 1,1,NED,0:01,Goal,1
5m shot,12.0,1,1,15,NED,4.0,DAULE A,15 - 1,434,FRA,7:14,Blocked,0
5m shot,3.0,1,1,15,NED,4.0,GENEE D,15 - 1,419,NED,6:59,Post,0
5m shot,2.0,1,1,15,NED,4.0,MILLOT E,15 - 1,389,FRA,6:29,Saved,0
Action shot,9.0,1,1,16,NED,4.0,MEGENS M,16 - 1,361,NED,6:01,Goal,1
5m shot,9.0,1,1,16,NED,4.0,SACRE A,16 - 1,331,FRA,5:31,Blocked,0
5m shot,7.0,1,1,16,NED,4.0,VALVERDE C,16 - 1,305,FRA,5:05,Post,0
Action shot,3.0,1,1,16,NED,4.0,GENEE D,16 - 1,235,NED,3:55,Missed,0
5m shot,12.0,1,1,16,NED,4.0,DAULE A,16 - 1,205,FRA,3:25,Saved,0
Penalty shot,8.0,1,1,17,NED,4.0,SEVENICH V,17 - 1,177,NED,2:57,Goal,1
Action shot,11.0,1,1,17,NED,4.0,KLAASSEN L,17 - 1,96,NED,1:36,Post,0
Centre shot,6.0,2,1,17,NED,4.0,MAHIEU G,17 - 2,62,FRA,1:02,Goal,1
5m shot,11.0,2,1,17,NED,4.0,KLAASSEN L,17 - 2,36,NED,0:36,Post,0
Centre shot,12.0,2,1,17,NED,4.0,JOUSTRA K,17 - 2,1,NED,0:01,Saved,0
Action shot,8.0,0,2,1,HUN,1.0,KESZTHELYI R,0 - 1,452,HUN,7:32,Goal,1
5m shot,7.0,0,2,1,HUN,1.0,VALVERDE C,0 - 1,423,FRA,7:03,Saved,0
